r,e,y,AnnualEmissions
RE1,EMIC02,2015,651263.08
RE1,EMIC02,2016,652609.22
RE1,EMIC02,2017,667192.7
RE1,EMIC02,2018,711435.1
RE1,EMIC02,2019,727979.12
RE1,EMIC02,2020,745492.02
RE1,EMIC02,2021,759096.25
RE1,EMIC02,2022,772003.8
RE1,EMIC02,2023,808445.08
RE1,EMIC02,2024,577082.26
RE1,EMIC02,2025,554477.86
RE1,EMIC02,2026,564178.57
RE1,EMIC02,2027,573708.18
RE1,EMIC02,2028,583187.77
RE1,EMIC02,2029,590767.49
RE1,EMIC02,2030,522153.2
RE1,EMIC02,2031,523982.39
RE1,EMIC02,2032,531305.13
RE1,EMIC02,2033,538623.93
RE1,EMIC02,2034,545938.96
RE1,EMIC02,2035,551860.95
RE1,EMIC02,2036,557266.63
RE1,EMIC02,2037,558598.48
RE1,EMIC02,2038,562094.25
RE1,EMIC02,2039,565591.67
RE1,EMIC02,2040,560472.47
RE1,EMIC02,2041,568368.36
RE1,EMIC02,2042,572570.09
RE1,EMIC02,2043,576794.41
RE1,EMIC02,2044,581019.11
RE1,EMIC02,2045,518366.56
RE1,EMIC02,2046,520605.76
RE1,EMIC02,2047,523143.68
RE1,EMIC02,2048,525844.07
RE1,EMIC02,2049,526800.41
RE1,EMIC02,2050,90892.754
RE1,EMIC02,2051,91456.148
RE1,EMIC02,2052,92342.846
RE1,EMIC02,2053,93238.417
RE1,EMIC02,2054,94142.953
RE1,EMIC02,2055,95056.546
RE1,EMIC02,2056,95979.29
RE1,EMIC02,2057,96911.277
RE1,EMIC02,2058,97852.605
RE1,EMIC02,2059,99185.047
RE1,EMIC02,2060,99720.487
RE1,EMIC02,2061,100733.59
RE1,EMIC02,2062,101713.25
RE1,EMIC02,2063,102702.73
RE1,EMIC02,2064,103934.0
RE1,EMIC02,2065,104943.45
RE1,EMIC02,2066,105963.05
RE1,EMIC02,2067,106992.88
RE1,EMIC02,2068,114996.48
RE1,EMIC02,2069,126377.32
