r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,250.5689
RE1,PWRBIO001,2016,286.4126
RE1,PWRBIO001,2017,322.1721
RE1,PWRBIO001,2018,339.9256
RE1,PWRBIO001,2019,339.9256
RE1,PWRBIO001,2020,358.0157
RE1,PWRBIO001,2021,375.9375
RE1,PWRBIO001,2022,375.9375
RE1,PWRBIO001,2023,375.9375
RE1,PWRBIO001,2024,375.9375
RE1,PWRBIO001,2025,375.9375
RE1,PWRBIO001,2026,375.9375
RE1,PWRBIO001,2027,375.9375
RE1,PWRBIO001,2028,375.9375
RE1,PWRBIO001,2029,375.9375
RE1,PWRBIO001,2030,375.9375
RE1,PWRBIO001,2031,125.3686
RE1,PWRBIO001,2032,125.3686
RE1,PWRBIO001,2033,125.3686
RE1,PWRBIO001,2034,125.3686
RE1,PWRBIO001,2035,125.3686
RE1,PWRBIO001,2036,125.3686
RE1,PWRBIO001,2037,125.3686
RE1,PWRBIO001,2038,125.3686
RE1,PWRBIO001,2039,125.3686
RE1,PWRBIO001,2040,125.3686
RE1,PWRBIO001,2041,125.3686
RE1,PWRBIO001,2042,125.3686
RE1,PWRBIO001,2043,125.3686
RE1,PWRBIO001,2044,125.3686
RE1,PWRBIO001,2045,125.3686
RE1,PWRBIO001,2046,89.525
RE1,PWRBIO001,2047,53.7655
RE1,PWRBIO001,2048,36.0119
RE1,PWRBIO001,2049,36.0119
RE1,PWRBIO001,2050,17.9218
RE1,PWRCOA001,2015,333.4732
RE1,PWRCOA001,2016,333.4732
RE1,PWRCOA001,2017,333.4732
RE1,PWRCOA001,2018,668.6442
RE1,PWRCOA001,2019,668.6442
RE1,PWRCOA001,2020,668.6442
RE1,PWRCOA001,2021,668.6442
RE1,PWRCOA001,2022,668.6442
RE1,PWRCOA001,2023,668.6442
RE1,PWRCOA001,2024,668.6442
RE1,PWRCOA001,2025,516.4602
RE1,PWRCOA001,2026,516.4602
RE1,PWRCOA001,2027,516.4602
RE1,PWRCOA001,2028,516.4602
RE1,PWRCOA001,2029,495.6617
RE1,PWRCOA001,2030,495.6617
RE1,PWRCOA001,2031,462.308
RE1,PWRCOA001,2032,462.308
RE1,PWRCOA001,2033,462.308
RE1,PWRCOA001,2034,462.308
RE1,PWRCOA001,2035,462.308
RE1,PWRCOA001,2036,462.308
RE1,PWRCOA001,2037,377.0216
RE1,PWRCOA001,2038,377.0216
RE1,PWRCOA001,2039,377.0216
RE1,PWRCOA001,2040,377.0216
RE1,PWRCOA001,2041,377.0216
RE1,PWRCOA001,2042,335.171
RE1,PWRCOA001,2043,335.171
RE1,PWRCOA001,2044,335.171
RE1,PWRCOA001,2045,335.171
RE1,PWRCOA001,2046,335.171
RE1,PWRCOA001,2047,335.171
RE1,PWRCOA001,2048,335.171
RE1,PWRCOA001,2049,335.171
RE1,PWRCOA001,2050,335.171
RE1,PWRCOA001,2051,335.171
RE1,PWRCOA001,2052,335.171
RE1,PWRCOA001,2053,335.171
RE1,PWRCOA001,2054,335.171
RE1,PWRCOA001,2055,335.171
RE1,PWRCOA001,2056,335.171
RE1,PWRCOA001,2057,335.171
RE1,PWRCOA001,2058,335.171
RE1,PWRCOA001,2059,335.171
RE1,PWRCOA001,2060,335.171
RE1,PWRCOA001,2061,335.171
RE1,PWRCOA001,2062,335.171
RE1,PWRCOA001,2063,335.171
RE1,PWRCOA001,2064,335.171
RE1,PWRCOA001,2065,335.171
RE1,PWRCOA001,2066,335.171
RE1,PWRCOA001,2067,335.171
RE1,PWRCOA001,2068,335.171
RE1,PWRCOA001,2069,335.171
RE1,PWRCOA001,2070,335.171
RE1,PWRGEO,2024,0.8048
RE1,PWRGEO,2025,0.8048
RE1,PWRGEO,2026,0.8048
RE1,PWRGEO,2027,0.8048
RE1,PWRGEO,2028,0.8048
RE1,PWRGEO,2029,0.8048
RE1,PWRGEO,2030,0.8048
RE1,PWRGEO,2031,0.8048
RE1,PWRGEO,2032,0.8048
RE1,PWRGEO,2033,0.8048
RE1,PWRGEO,2034,0.8048
RE1,PWRGEO,2035,0.8048
RE1,PWRGEO,2036,0.8048
RE1,PWRGEO,2037,0.8048
RE1,PWRGEO,2038,0.8048
RE1,PWRGEO,2039,0.8048
RE1,PWRGEO,2040,0.8048
RE1,PWRGEO,2041,0.8048
RE1,PWRGEO,2042,0.8048
RE1,PWRGEO,2043,0.8048
RE1,PWRGEO,2044,0.8048
RE1,PWRGEO,2045,0.8048
RE1,PWRGEO,2046,0.8048
RE1,PWRGEO,2047,0.8048
RE1,PWRGEO,2048,0.8048
