r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2023,156982.94
RE1,MINBIO,EMIC02,2015,108315.31
RE1,MINBIO,EMIC02,2016,103930.07
RE1,MINBIO,EMIC02,2017,107790.26
RE1,MINBIO,EMIC02,2018,111663.82
RE1,MINBIO,EMIC02,2019,113739.16
RE1,MINBIO,EMIC02,2020,117051.73
RE1,MINBIO,EMIC02,2021,119775.43
RE1,MINBIO,EMIC02,2022,121266.92
RE1,MINBIO,EMIC02,2023,122755.92
RE1,MINBIO,EMIC02,2024,96380.394
RE1,MINBIO,EMIC02,2025,84883.175
RE1,MINBIO,EMIC02,2026,85948.051
RE1,MINBIO,EMIC02,2027,87001.341
RE1,MINBIO,EMIC02,2028,88052.867
RE1,MINBIO,EMIC02,2029,89196.328
RE1,MINBIO,EMIC02,2030,88726.534
RE1,MINBIO,EMIC02,2031,82588.043
RE1,MINBIO,EMIC02,2032,83610.423
RE1,MINBIO,EMIC02,2033,84630.9
RE1,MINBIO,EMIC02,2034,85649.576
RE1,MINBIO,EMIC02,2035,85277.114
RE1,MINBIO,EMIC02,2036,84992.004
RE1,MINBIO,EMIC02,2037,84216.767
RE1,MINBIO,EMIC02,2038,83175.677
RE1,MINBIO,EMIC02,2039,82135.988
RE1,MINBIO,EMIC02,2040,76066.721
RE1,MINBIO,EMIC02,2041,78591.556
RE1,MINBIO,EMIC02,2042,78803.81
RE1,MINBIO,EMIC02,2043,77659.034
RE1,MINBIO,EMIC02,2044,76515.573
RE1,MINBIO,EMIC02,2045,8495.7984
RE1,MINBIO,EMIC02,2046,6215.9723
RE1,MINBIO,EMIC02,2047,4056.2526
RE1,MINBIO,EMIC02,2048,2413.1628
RE1,MINBIO,EMIC02,2049,1029.4541
RE1,MINBIO,EMIC02,2050,512.3218
RE1,MINBIO,EMIC02,2068,6963.4246
RE1,MINBIO,EMIC02,2069,17293.626
RE1,MINCOA,EMIC02,2015,113697.42
RE1,MINCOA,EMIC02,2016,105984.58
RE1,MINCOA,EMIC02,2017,107145.27
RE1,MINCOA,EMIC02,2018,148236.18
RE1,MINCOA,EMIC02,2019,149810.03
RE1,MINCOA,EMIC02,2020,151381.48
RE1,MINCOA,EMIC02,2021,152471.87
RE1,MINCOA,EMIC02,2022,153560.63
RE1,MINCOA,EMIC02,2023,154647.86
RE1,MINCOA,EMIC02,2024,113881.35
RE1,MINCOA,EMIC02,2025,103577.35
RE1,MINCOA,EMIC02,2026,105037.84
RE1,MINCOA,EMIC02,2027,106233.56
RE1,MINCOA,EMIC02,2028,107427.85
RE1,MINCOA,EMIC02,2029,106415.38
RE1,MINCOA,EMIC02,2030,31678.101
RE1,MINCOA,EMIC02,2031,30054.454
RE1,MINCOA,EMIC02,2032,30054.454
RE1,MINCOA,EMIC02,2033,30054.454
RE1,MINCOA,EMIC02,2034,30054.454
RE1,MINCOA,EMIC02,2035,30054.454
RE1,MINCOA,EMIC02,2036,30054.454
RE1,MINCOA,EMIC02,2037,25198.012
RE1,MINCOA,EMIC02,2038,24110.782
RE1,MINCOA,EMIC02,2039,23024.995
RE1,MINCOA,EMIC02,2040,18353.316
RE1,MINCOA,EMIC02,2041,18353.316
RE1,MINCOA,EMIC02,2042,16316.039
RE1,MINCOA,EMIC02,2043,16316.039
RE1,MINCOA,EMIC02,2044,16316.039
RE1,MINCOA,EMIC02,2045,16316.039
RE1,MINCOA,EMIC02,2046,16316.039
RE1,MINCOA,EMIC02,2047,16316.039
RE1,MINCOA,EMIC02,2048,16316.039
RE1,MINCOA,EMIC02,2049,16316.039
RE1,MINCOA,EMIC02,2050,16316.039
RE1,MINCOA,EMIC02,2051,16316.039
RE1,MINCOA,EMIC02,2052,16316.039
RE1,MINCOA,EMIC02,2053,16316.039
RE1,MINCOA,EMIC02,2054,16316.039
RE1,MINCOA,EMIC02,2055,16316.039
RE1,MINCOA,EMIC02,2056,16316.039
RE1,MINCOA,EMIC02,2057,16316.039
RE1,MINCOA,EMIC02,2058,16316.039
RE1,MINCOA,EMIC02,2059,16316.039
RE1,MINCOA,EMIC02,2060,16316.039
RE1,MINCOA,EMIC02,2061,16316.039
RE1,MINCOA,EMIC02,2062,16316.039
RE1,MINCOA,EMIC02,2063,16316.039
RE1,MINCOA,EMIC02,2064,16316.039
RE1,MINCOA,EMIC02,2065,16316.039
RE1,MINCOA,EMIC02,2066,16316.039
RE1,MINCOA,EMIC02,2067,16316.039
RE1,MINCOA,EMIC02,2068,16316.039
RE1,MINCOA,EMIC02,2069,16316.039
RE1,IMPLFO,EMIC02,2015,384669.74
RE1,IMPLFO,EMIC02,2016,397985.64
RE1,IMPLFO,EMIC02,2017,407007.27
RE1,IMPLFO,EMIC02,2018,417054.01
RE1,IMPLFO,EMIC02,2019,426697.3
RE1,IMPLFO,EMIC02,2020,436337.33
RE1,IMPLFO,EMIC02,2021,444024.59
RE1,IMPLFO,EMIC02,2022,451709.63
RE1,IMPLFO,EMIC02,2023,326546.0
RE1,IMPLFO,EMIC02,2024,351529.94
RE1,IMPLFO,EMIC02,2025,357263.55
RE1,IMPLFO,EMIC02,2026,363649.62
