r,t,y,CapitalInvestment
RE1,MINOIL,2023,0.2142
RE1,MINBIO,2015,0.1083
RE1,MINBIO,2016,0.1039
RE1,MINBIO,2017,0.1078
RE1,MINBIO,2018,0.1117
RE1,MINBIO,2019,0.1137
RE1,MINBIO,2020,0.1171
RE1,MINBIO,2021,0.1198
RE1,MINBIO,2022,0.1213
RE1,MINBIO,2023,0.1228
RE1,MINBIO,2024,0.097
RE1,MINBIO,2025,0.098
RE1,MINBIO,2026,0.0992
RE1,MINBIO,2027,0.1003
RE1,MINBIO,2028,0.1015
RE1,MINBIO,2029,0.1026
RE1,MINBIO,2030,0.1038
RE1,MINBIO,2031,0.0876
RE1,MINBIO,2032,0.0886
RE1,MINBIO,2033,0.0896
RE1,MINBIO,2034,0.0907
RE1,MINBIO,2035,0.0903
RE1,MINBIO,2036,0.09
RE1,MINBIO,2037,0.0892
RE1,MINBIO,2038,0.0882
RE1,MINBIO,2039,0.0872
RE1,MINBIO,2040,0.0761
RE1,MINBIO,2041,0.0817
RE1,MINBIO,2042,0.0838
RE1,MINBIO,2043,0.0827
RE1,MINBIO,2044,0.0815
RE1,MINBIO,2045,0.0135
RE1,MINBIO,2046,0.0098
RE1,MINBIO,2047,0.0062
RE1,MINBIO,2048,0.0039
RE1,MINBIO,2049,0.0025
RE1,MINBIO,2050,0.0012
RE1,MINBIO,2068,0.007
RE1,MINBIO,2069,0.0173
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1133
RE1,MINCOA,2018,0.1567
RE1,MINCOA,2019,0.1584
RE1,MINCOA,2020,0.16
RE1,MINCOA,2021,0.1612
RE1,MINCOA,2022,0.1623
RE1,MINCOA,2023,0.1635
RE1,MINCOA,2024,0.1646
RE1,MINCOA,2025,0.1463
RE1,MINCOA,2026,0.1482
RE1,MINCOA,2027,0.1495
RE1,MINCOA,2028,0.1508
RE1,MINCOA,2029,0.1482
RE1,MINCOA,2030,0.0692
RE1,MINCOA,2031,0.0651
RE1,MINCOA,2032,0.0651
RE1,MINCOA,2033,0.0651
RE1,MINCOA,2034,0.0651
RE1,MINCOA,2035,0.0651
RE1,MINCOA,2036,0.0651
RE1,MINCOA,2037,0.0538
RE1,MINCOA,2038,0.0526
RE1,MINCOA,2039,0.0515
RE1,MINCOA,2040,0.0466
RE1,MINCOA,2041,0.0466
RE1,MINCOA,2042,0.0414
RE1,MINCOA,2043,0.0414
RE1,MINCOA,2044,0.0414
RE1,MINCOA,2045,0.0414
RE1,MINCOA,2046,0.0414
RE1,MINCOA,2047,0.0414
RE1,MINCOA,2048,0.0414
RE1,MINCOA,2049,0.0414
RE1,MINCOA,2050,0.0414
RE1,MINCOA,2051,0.0414
RE1,MINCOA,2052,0.0414
RE1,MINCOA,2053,0.0414
RE1,MINCOA,2054,0.0414
RE1,MINCOA,2055,0.0414
RE1,MINCOA,2056,0.0414
RE1,MINCOA,2057,0.0414
RE1,MINCOA,2058,0.0414
RE1,MINCOA,2059,0.0414
RE1,MINCOA,2060,0.0414
RE1,MINCOA,2061,0.0414
RE1,MINCOA,2062,0.0414
RE1,MINCOA,2063,0.0414
RE1,MINCOA,2064,0.0414
RE1,MINCOA,2065,0.0414
RE1,MINCOA,2066,0.0414
RE1,MINCOA,2067,0.0414
RE1,MINCOA,2068,0.0414
RE1,MINCOA,2069,0.0414
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.6296
RE1,IMPLFO,2021,0.6407
RE1,IMPLFO,2022,0.6518
RE1,IMPLFO,2023,0.4712
RE1,IMPLFO,2024,0.5073
RE1,IMPLFO,2025,0.5155
RE1,IMPLFO,2026,0.5247
RE1,IMPLFO,2027,0.534
RE1,IMPLFO,2028,0.5432
RE1,IMPLFO,2029,0.5524
RE1,IMPLFO,2030,0.5616
RE1,IMPLFO,2031,0.5692
RE1,IMPLFO,2032,0.5768
