y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.670977180162913,9.994908960229993e-05,4.079803749735355
2016,0.0,1.6702429981749989,0.00010001580709594907,4.252419578349131
2017,0.0,1.6516176633828223,9.997224920216454e-05,4.6285805468822625
2018,0.5920390677270899,1.8624500929200887,0.00010004729266164432,4.631927583763799
2019,0.5669088248724378,1.8142175221961427,0.00010007398714154505,5.098440153818357
2020,0.543825116396945,1.7514136160891831,9.997613788630621e-05,5.565613257073807
2021,0.5274221359751265,1.7129737957061986,9.998694532464602e-05,5.62818704131085
2022,0.5119855831915363,1.6628386030195332,9.999827191926407e-05,5.7293504880741795
2023,0.5006236979143096,1.625937209577398,9.997578051514282e-05,5.8096652370661666
2024,6.802122393420615,1.7952777067695378,0.0001000054224473829,1.5037562215078673
2025,8.007713390470961,1.7966583935530243,9.999621656388332e-05,0.8804438727634014
2026,8.081409771190435,1.7767426653507354,9.998854105444477e-05,0.9134650099905897
2027,8.118412349624272,1.758572852165436,0.00010001263697579117,0.9481215250812476
2028,8.156859911639103,1.7404965542550448,0.000100002470068068,1.0515420306360317
2029,8.221377125910188,1.716843200542163,0.00010001266416349778,1.0803384631330955
2030,8.496810966266612,1.4413027041400275,0.00010000346832838132,0.7363304782518878
2031,8.640427987806968,1.4166992058652168,9.999795968796829e-05,0.8741345844731067
2032,8.639417181601672,1.4063592174721267,9.999510808899718e-05,0.9039119587163065
2033,8.659390091044642,1.3964471513850338,9.999389083800248e-05,0.9328412817103346
2034,8.66281971502538,1.3859852909366208,9.997365732679689e-05,0.960979386481051
2035,8.677346806465804,1.3684441756512418,0.00010000920779481682,0.9835119421222884
2036,8.687615685322212,1.3469109567102764,9.999096590862424e-05,1.0035810882318514
2037,8.720565976591159,1.3325120261052275,9.998173757904517e-05,1.0402381953779214
2038,8.77271812334534,1.3155473090337273,9.998962113215823e-05,1.049755883721719
2039,8.744590346946028,1.3000439387305185,9.998068837344478e-05,1.0590321080345557
2040,8.690663918709488,1.2686388564219924,9.997582402800778e-05,1.0393531732235581
2041,8.693976499248787,1.2678381380720691,9.999603261908455e-05,1.0590646700793829
2042,8.696210689250302,1.2641399388418324,0.00010001723516043801,1.081107734045486
2043,8.670882265133029,1.2572823641443684,0.00010000592989469204,1.0881774586664057
2044,8.681265924819765,1.2509292555988074,0.00010001387178701155,1.0950045970252669
2045,8.414314979532891,1.1542443779467872,0.00010001046489593085,0.9260883145543539
2046,8.408868546090293,1.1479921178961494,9.9993711087353e-05,0.9388820382817891
2047,8.411419079772523,1.1308551453520506,0.0001000055266939317,0.9563919093270667
2048,8.28036386375362,1.124145956602106,0.00010000396190559463,0.9652084150724193
2049,8.2641221695981,1.1202328664864674,0.00010000781521595597,0.9751222722876052
2050,7.898002292352694,1.1402440109139556,0.00010000635353168119,1.302203448908781
2051,8.011053706493822,1.1399543913627113,0.00010000297523727518,1.3087685492918057
2052,8.003880217680331,1.1400840082368162,0.00010000980573366411,1.312583713180259
2053,8.000025916689639,1.1404773632380225,0.000100000688413654,1.316386568361197
2054,7.461568307807024,1.0512463210855028,0.00010000162132503215,1.3201784993527501
2055,7.34079176869543,1.0521340276673017,9.999526128913245e-05,1.3239580759479956
2056,7.324755407099342,1.05302007943161,9.999857348682614e-05,1.32772629743471
2057,7.309697224968625,1.0539043323777941,0.0001000029123830366,1.331483110258661
2058,7.295940005134919,1.054787465962538,0.0001,1.3352293093489562
2059,7.278379226312773,1.0565475590686206,0.00010000530770392811,1.342189632012804
2060,6.993018396277398,1.0564866156942956,9.99967533521639e-05,1.3424489464627773
2061,6.982114335556769,1.0574243306872477,0.0001000046667235256,1.3463984158887454
2062,6.972230322060917,1.0582997789102213,0.00010000502658103927,1.350099368740687
2063,6.9633789275416635,1.0591742534948727,9.999818026889297e-05,1.353790460336587
2064,6.9735073079612135,1.0579674328585136,0.00010000321654654302,1.3608945608197958
2065,6.961939589425836,1.0588561112965225,9.999758835752367e-05,1.364535552666771
2066,6.953652668356932,1.0597408393118875,0.0001,1.36816362530329
2067,6.958096187933725,1.0616869686413284,0.00010000290683887393,1.3717836918072643
2068,6.949064713443324,1.0659877207926838,9.999242307701137e-05,1.3877321198011021
2069,6.935815733627156,1.0715871519348,0.00010000253774511349,1.4098621389192434
2070,7.362660118416556,1.6805925231690706,9.999458727208153e-05,0.0
