r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2018,166.6694
RE1,PWRGEO,2024,0.1953
RE1,PWRNGS001,2042,9.791
RE1,PWRNGS001,2043,10.471
RE1,PWRNGS001,2044,37.8159
RE1,PWRNGS001,2045,49.2273
RE1,PWRNGS001,2046,28.9102
RE1,PWRNGS001,2047,40.313
RE1,PWRNGS001,2048,31.4677
RE1,PWRNGS001,2049,40.3562
RE1,PWRNGS001,2050,1974.7533
RE1,PWRNGS001,2051,58.7607
RE1,PWRNGS001,2052,52.1031
RE1,PWRNGS001,2053,56.1523
RE1,PWRNGS001,2054,60.1079
RE1,PWRNGS001,2055,63.9739
RE1,PWRNGS001,2056,165.5388
RE1,PWRNGS001,2057,139.9781
RE1,PWRNGS001,2058,153.5274
RE1,PWRNGS001,2059,220.5154
RE1,PWRNGS001,2060,195.4548
RE1,PWRNGS001,2061,484.9975
RE1,PWRNGS001,2062,181.4298
RE1,PWRNGS001,2063,243.2413
RE1,PWRNGS001,2064,238.4278
RE1,PWRNGS001,2065,197.9757
RE1,PWRNGS001,2066,189.5163
RE1,PWRNGS001,2067,323.839
RE1,PWRNGS001,2068,409.0348
RE1,PWRNGS001,2069,196.6605
RE1,PWRHYD001,2051,322.8096
RE1,PWRHYD001,2064,82.6404
RE1,PWRHYD002,2051,13.0099
RE1,PWRHYD002,2064,3.3306
RE1,PWRWND001,2070,6756.8337
RE1,PWRSOL001S,2042,17.0067
RE1,PWRSOL001S,2043,44.1972
RE1,PWRSOL001S,2044,64.2375
RE1,PWRSOL001S,2045,1127.8968
RE1,PWRSOL001S,2046,81.5651
RE1,PWRSOL001S,2047,97.4216
RE1,PWRSOL001S,2048,105.0031
RE1,PWRSOL001S,2049,136.8804
RE1,PWRSOL001S,2050,5654.5819
RE1,PWRSOL001S,2051,152.4828
RE1,PWRSOL001S,2052,165.4127
RE1,PWRSOL001S,2053,194.7338
RE1,PWRSOL001S,2054,4118.0899
RE1,PWRSOL001S,2055,1073.5898
RE1,PWRSOL001S,2056,333.4208
RE1,PWRSOL001S,2057,354.8603
RE1,PWRSOL001S,2058,373.4563
RE1,PWRSOL001S,2059,514.736
RE1,PWRSOL001S,2060,4494.9574
RE1,PWRSOL001S,2061,484.9662
RE1,PWRSOL001S,2062,490.7623
RE1,PWRSOL001S,2063,505.9208
