r,t,f,y,ProductionByTechnologyAnnual
RE1,COMENEFFDP,COMELC,2024,233.6666
RE1,COMENEFFDP,COMELC,2025,238.8134
RE1,COMENEFFDP,COMELC,2026,246.799
RE1,COMENEFFDP,COMELC,2027,253.6194
RE1,COMENEFFDP,COMELC,2028,260.4399
RE1,COMENEFFDP,COMELC,2029,265.9629
RE1,COMENEFFDP,COMELC,2030,272.7502
RE1,COMENEFFDP,COMELC,2031,280.5081
RE1,COMENEFFDP,COMELC,2032,288.2661
RE1,COMENEFFDP,COMELC,2033,296.024
RE1,COMENEFFDP,COMELC,2034,303.7819
RE1,COMENEFFDP,COMELC,2035,311.5398
RE1,COMENEFFDP,COMELC,2036,317.7854
RE1,COMENEFFDP,COMELC,2037,324.0311
RE1,COMENEFFDP,COMELC,2038,330.2767
RE1,COMENEFFDP,COMELC,2039,336.5223
RE1,COMENEFFDP,COMELC,2040,342.7681
RE1,COMENEFFDP,COMELC,2041,348.884
RE1,COMENEFFDP,COMELC,2042,354.9999
RE1,COMENEFFDP,COMELC,2043,361.1159
RE1,COMENEFFDP,COMELC,2044,367.2318
RE1,COMENEFFDP,COMELC,2045,373.3478
RE1,COMENEFFDP,COMELC,2046,377.6064
RE1,COMENEFFDP,COMELC,2047,381.8651
RE1,COMENEFFDP,COMELC,2048,386.1236
RE1,COMENEFFDP,COMELC,2049,390.3822
RE1,COMENEFFDP,COMELC,2050,394.6407
RE1,COMENEFFDP,COMELC,2051,399.0429
RE1,COMENEFFDP,COMELC,2052,403.4942
RE1,COMENEFFDP,COMELC,2053,407.9951
RE1,COMENEFFDP,COMELC,2054,412.5462
RE1,COMENEFFDP,COMELC,2055,417.1482
RE1,COMENEFFDP,COMELC,2056,421.8014
RE1,COMENEFFDP,COMELC,2057,426.5065
RE1,COMENEFFDP,COMELC,2058,431.264
RE1,COMENEFFDP,COMELC,2059,422.5069
RE1,COMENEFFDP,COMELC,2060,443.0903
RE1,COMENEFFDP,COMELC,2061,445.8577
RE1,COMENEFFDP,COMELC,2062,450.8312
RE1,COMENEFFDP,COMELC,2063,455.8602
RE1,COMENEFFDP,COMELC,2064,460.9452
RE1,COMENEFFDP,COMELC,2065,466.087
RE1,COMENEFFDP,COMELC,2066,471.2861
RE1,COMENEFFDP,COMELC,2067,476.5432
RE1,COMENEFFDP,COMELC,2068,481.8589
RE1,COMENEFFDP,COMELC,2069,487.234
RE1,COMENEFFDP,COMELC,2070,449.7225
RE1,DEMCOMELC,COMELC,2015,169.2528
RE1,DEMCOMELC,COMELC,2016,179.0399
RE1,DEMCOMELC,COMELC,2017,187.428
RE1,DEMCOMELC,COMELC,2018,195.8162
RE1,DEMCOMELC,COMELC,2019,204.2043
RE1,DEMCOMELC,COMELC,2020,212.5924
RE1,DEMCOMELC,COMELC,2021,219.0306
RE1,DEMCOMELC,COMELC,2022,225.4689
RE1,DEMCOMELC,COMELC,2023,231.9071
RE1,DEMCOMELC,COMELC,2024,4.6787
RE1,DEMCOMELC,COMELC,2025,5.9702
RE1,DEMCOMELC,COMELC,2026,4.9417
RE1,DEMCOMELC,COMELC,2027,5.0783
RE1,DEMCOMELC,COMELC,2028,5.2148
RE1,DEMCOMELC,COMELC,2029,6.649
RE1,DEMCOMELC,COMELC,2030,6.8186
RE1,DEMCOMELC,COMELC,2031,7.0126
RE1,DEMCOMELC,COMELC,2032,7.2065
RE1,DEMCOMELC,COMELC,2033,7.4005
RE1,DEMCOMELC,COMELC,2034,7.5944
RE1,DEMCOMELC,COMELC,2035,7.7883
RE1,DEMCOMELC,COMELC,2036,7.9445
RE1,DEMCOMELC,COMELC,2037,8.1006
RE1,DEMCOMELC,COMELC,2038,8.2568
RE1,DEMCOMELC,COMELC,2039,8.4129
