r,t,y,SalvageValue
RE1,PWRCOA001,2018,2561.2777
RE1,PWRGEO,2024,3.0012
RE1,PWRNGS001,2042,150.4617
RE1,PWRNGS001,2043,160.9124
RE1,PWRNGS001,2044,581.1329
RE1,PWRNGS001,2045,756.4957
RE1,PWRNGS001,2046,444.2744
RE1,PWRNGS001,2047,619.506
RE1,PWRNGS001,2048,483.5779
RE1,PWRNGS001,2049,620.1702
RE1,PWRNGS001,2050,30346.849
RE1,PWRNGS001,2051,902.9997
RE1,PWRNGS001,2052,800.6902
RE1,PWRNGS001,2053,862.916
RE1,PWRNGS001,2054,923.7023
RE1,PWRNGS001,2055,983.1135
RE1,PWRNGS001,2056,2543.9026
RE1,PWRNGS001,2057,2151.1017
RE1,PWRNGS001,2058,2359.3189
RE1,PWRNGS001,2059,3388.7517
RE1,PWRNGS001,2060,3003.634
RE1,PWRNGS001,2061,7453.156
RE1,PWRNGS001,2062,2788.1061
RE1,PWRNGS001,2063,3737.989
RE1,PWRNGS001,2064,3664.0189
RE1,PWRNGS001,2065,3042.3738
RE1,PWRNGS001,2066,2912.3745
RE1,PWRNGS001,2067,4976.5672
RE1,PWRNGS001,2068,6285.8067
RE1,PWRNGS001,2069,3022.1629
RE1,PWRHYD001,2051,4960.7489
RE1,PWRHYD001,2064,1269.9686
RE1,PWRHYD002,2051,199.9289
RE1,PWRHYD002,2064,51.1825
RE1,PWRWND001,2070,103835.05
RE1,PWRSOL001S,2042,261.3495
RE1,PWRSOL001S,2043,679.1971
RE1,PWRSOL001S,2044,987.1639
RE1,PWRSOL001S,2045,17332.856
RE1,PWRSOL001S,2046,1253.4448
RE1,PWRSOL001S,2047,1497.1185
RE1,PWRSOL001S,2048,1613.6261
RE1,PWRSOL001S,2049,2103.498
RE1,PWRSOL001S,2050,86896.292
RE1,PWRSOL001S,2051,2343.2657
RE1,PWRSOL001S,2052,2541.9655
RE1,PWRSOL001S,2053,2992.5545
RE1,PWRSOL001S,2054,63284.387
RE1,PWRSOL001S,2055,16498.298
RE1,PWRSOL001S,2056,5123.8149
RE1,PWRSOL001S,2057,5453.284
RE1,PWRSOL001S,2058,5739.0563
RE1,PWRSOL001S,2059,7910.1605
RE1,PWRSOL001S,2060,69075.865
RE1,PWRSOL001S,2061,7452.6748
