r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINOIL,1,2023,2141.65
RE1,MINBIO,1,2015,1083.1531
RE1,MINBIO,1,2016,1039.3007
RE1,MINBIO,1,2017,1077.9026
RE1,MINBIO,1,2018,1116.6382
RE1,MINBIO,1,2019,1137.3916
RE1,MINBIO,1,2020,1170.5173
RE1,MINBIO,1,2021,1197.7543
RE1,MINBIO,1,2022,1212.6692
RE1,MINBIO,1,2023,1227.5592
RE1,MINBIO,1,2024,963.8039
RE1,MINBIO,1,2025,848.8318
RE1,MINBIO,1,2026,859.4805
RE1,MINBIO,1,2027,870.0134
RE1,MINBIO,1,2028,880.5287
RE1,MINBIO,1,2029,891.9633
RE1,MINBIO,1,2030,887.2653
RE1,MINBIO,1,2031,825.8804
RE1,MINBIO,1,2032,836.1042
RE1,MINBIO,1,2033,846.309
RE1,MINBIO,1,2034,856.4958
RE1,MINBIO,1,2035,852.7711
RE1,MINBIO,1,2036,849.92
RE1,MINBIO,1,2037,842.1677
RE1,MINBIO,1,2038,831.7568
RE1,MINBIO,1,2039,821.3599
RE1,MINBIO,1,2040,760.6672
RE1,MINBIO,1,2041,785.9156
RE1,MINBIO,1,2042,788.0381
RE1,MINBIO,1,2043,776.5903
RE1,MINBIO,1,2044,765.1557
RE1,MINBIO,1,2045,84.958
RE1,MINBIO,1,2046,62.1597
RE1,MINBIO,1,2047,40.5625
RE1,MINBIO,1,2048,24.1316
RE1,MINBIO,1,2049,10.2945
RE1,MINBIO,1,2050,5.1232
RE1,MINBIO,1,2068,69.6342
RE1,MINBIO,1,2069,172.9363
RE1,MINCOA,1,2015,1201.8755
RE1,MINCOA,1,2016,1120.3443
RE1,MINCOA,1,2017,1132.6139
RE1,MINCOA,1,2018,1566.9786
RE1,MINCOA,1,2019,1583.6155
RE1,MINCOA,1,2020,1600.227
RE1,MINCOA,1,2021,1611.7534
RE1,MINCOA,1,2022,1623.2625
RE1,MINCOA,1,2023,1634.7554
RE1,MINCOA,1,2024,1203.8198
RE1,MINCOA,1,2025,1094.898
RE1,MINCOA,1,2026,1110.3365
RE1,MINCOA,1,2027,1122.9763
RE1,MINCOA,1,2028,1135.6009
RE1,MINCOA,1,2029,1124.8983
RE1,MINCOA,1,2030,334.8636
RE1,MINCOA,1,2031,317.7004
RE1,MINCOA,1,2032,317.7004
RE1,MINCOA,1,2033,317.7004
RE1,MINCOA,1,2034,317.7004
RE1,MINCOA,1,2035,317.7004
RE1,MINCOA,1,2036,317.7004
RE1,MINCOA,1,2037,266.3638
RE1,MINCOA,1,2038,254.8708
RE1,MINCOA,1,2039,243.3932
RE1,MINCOA,1,2040,194.0097
RE1,MINCOA,1,2041,194.0097
RE1,MINCOA,1,2042,172.474
RE1,MINCOA,1,2043,172.474
RE1,MINCOA,1,2044,172.474
RE1,MINCOA,1,2045,172.474
RE1,MINCOA,1,2046,172.474
RE1,MINCOA,1,2047,172.474
RE1,MINCOA,1,2048,172.474
RE1,MINCOA,1,2049,172.474
RE1,MINCOA,1,2050,172.474
RE1,MINCOA,1,2051,172.474
RE1,MINCOA,1,2052,172.474
RE1,MINCOA,1,2053,172.474
RE1,MINCOA,1,2054,172.474
RE1,MINCOA,1,2055,172.474
RE1,MINCOA,1,2056,172.474
RE1,MINCOA,1,2057,172.474
RE1,MINCOA,1,2058,172.474
RE1,MINCOA,1,2059,172.474
RE1,MINCOA,1,2060,172.474
RE1,MINCOA,1,2061,172.474
RE1,MINCOA,1,2062,172.474
RE1,MINCOA,1,2063,172.474
RE1,MINCOA,1,2064,172.474
RE1,MINCOA,1,2065,172.474
RE1,MINCOA,1,2066,172.474
RE1,MINCOA,1,2067,172.474
RE1,MINCOA,1,2068,172.474
RE1,MINCOA,1,2069,172.474
RE1,IMPLFO,1,2015,5550.7898
RE1,IMPLFO,1,2016,5742.9386
RE1,IMPLFO,1,2017,5873.1208
RE1,IMPLFO,1,2018,6018.0954
RE1,IMPLFO,1,2019,6157.2481
RE1,IMPLFO,1,2020,6296.354
RE1,IMPLFO,1,2021,6407.2812
RE1,IMPLFO,1,2022,6518.1765
RE1,IMPLFO,1,2023,4712.0634
RE1,IMPLFO,1,2024,5072.5821
RE1,IMPLFO,1,2025,5155.3183
RE1,IMPLFO,1,2026,5247.4693
RE1,IMPLFO,1,2027,5339.605
RE1,IMPLFO,1,2028,5431.7263
RE1,IMPLFO,1,2029,5523.8338
RE1,IMPLFO,1,2030,5615.9284
RE1,IMPLFO,1,2031,5692.1349
RE1,IMPLFO,1,2032,5768.3205
RE1,IMPLFO,1,2033,5844.4863
RE1,IMPLFO,1,2034,5920.6333
RE1,IMPLFO,1,2035,5996.7626
