r,t,y,TotalCapacityAnnual
RE1,MINOIL,2023,2141.6499
RE1,MINBIO,2015,1083.1531
RE1,MINBIO,2016,1039.3006
RE1,MINBIO,2017,1077.9026
RE1,MINBIO,2018,1116.6381
RE1,MINBIO,2019,1137.3915
RE1,MINBIO,2020,1170.5173
RE1,MINBIO,2021,1197.7543
RE1,MINBIO,2022,1212.6691
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,970.0932
RE1,MINBIO,2025,980.4769
RE1,MINBIO,2026,991.9534
RE1,MINBIO,2027,1003.415
RE1,MINBIO,2028,1014.8628
RE1,MINBIO,2029,1026.2974
RE1,MINBIO,2030,1037.7195
RE1,MINBIO,2031,876.0543
RE1,MINBIO,2032,886.2781
RE1,MINBIO,2033,896.4828
RE1,MINBIO,2034,906.6696
RE1,MINBIO,2035,902.945
RE1,MINBIO,2036,900.0939
RE1,MINBIO,2037,892.3415
RE1,MINBIO,2038,881.9306
RE1,MINBIO,2039,871.5337
RE1,MINBIO,2040,760.6672
RE1,MINBIO,2041,817.0715
RE1,MINBIO,2042,838.2119
RE1,MINBIO,2043,826.7642
RE1,MINBIO,2044,815.3296
RE1,MINBIO,2045,135.1318
RE1,MINBIO,2046,97.9886
RE1,MINBIO,2047,62.08
RE1,MINBIO,2048,38.544
RE1,MINBIO,2049,24.7069
RE1,MINBIO,2050,12.2957
RE1,MINBIO,2068,69.6342
RE1,MINBIO,2069,172.9362
RE1,MINCOA,2015,1201.8754
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1132.6138
RE1,MINCOA,2018,1566.9786
RE1,MINCOA,2019,1583.6154
RE1,MINCOA,2020,1600.227
RE1,MINCOA,2021,1611.7533
RE1,MINCOA,2022,1623.2624
RE1,MINCOA,2023,1634.7554
RE1,MINCOA,2024,1646.233
RE1,MINCOA,2025,1463.0699
RE1,MINCOA,2026,1482.4043
RE1,MINCOA,2027,1495.044
RE1,MINCOA,2028,1507.6687
RE1,MINCOA,2029,1481.9824
RE1,MINCOA,2030,691.9478
RE1,MINCOA,2031,650.7559
RE1,MINCOA,2032,650.7559
RE1,MINCOA,2033,650.7559
RE1,MINCOA,2034,650.7559
RE1,MINCOA,2035,650.7559
RE1,MINCOA,2036,650.7559
RE1,MINCOA,2037,537.9773
RE1,MINCOA,2038,526.4844
RE1,MINCOA,2039,515.0067
RE1,MINCOA,2040,465.6232
RE1,MINCOA,2041,465.6232
RE1,MINCOA,2042,413.9376
RE1,MINCOA,2043,413.9376
RE1,MINCOA,2044,413.9376
RE1,MINCOA,2045,413.9376
RE1,MINCOA,2046,413.9376
RE1,MINCOA,2047,413.9376
RE1,MINCOA,2048,413.9376
RE1,MINCOA,2049,413.9376
RE1,MINCOA,2050,413.9376
RE1,MINCOA,2051,413.9376
RE1,MINCOA,2052,413.9376
RE1,MINCOA,2053,413.9376
RE1,MINCOA,2054,413.9376
RE1,MINCOA,2055,413.9376
RE1,MINCOA,2056,413.9376
RE1,MINCOA,2057,413.9376
RE1,MINCOA,2058,413.9376
RE1,MINCOA,2059,413.9376
RE1,MINCOA,2060,413.9376
RE1,MINCOA,2061,413.9376
RE1,MINCOA,2062,413.9376
RE1,MINCOA,2063,413.9376
RE1,MINCOA,2064,413.9376
RE1,MINCOA,2065,413.9376
RE1,MINCOA,2066,413.9376
RE1,MINCOA,2067,413.9376
RE1,MINCOA,2068,413.9376
RE1,MINCOA,2069,413.9376
RE1,IMPLFO,2015,5550.7897
RE1,IMPLFO,2016,5742.9384
RE1,IMPLFO,2017,5873.1206
RE1,IMPLFO,2018,6018.0952
RE1,IMPLFO,2019,6157.2479
