r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2024,179.7436
RE1,COMENEFFDP,ELC003,2025,183.7026
RE1,COMENEFFDP,ELC003,2026,189.8454
RE1,COMENEFFDP,ELC003,2027,195.0919
RE1,COMENEFFDP,ELC003,2028,200.3384
RE1,COMENEFFDP,ELC003,2029,204.5869
RE1,COMENEFFDP,ELC003,2030,209.8079
RE1,COMENEFFDP,ELC003,2031,215.7755
RE1,COMENEFFDP,ELC003,2032,221.7432
RE1,COMENEFFDP,ELC003,2033,227.7108
RE1,COMENEFFDP,ELC003,2034,233.6784
RE1,COMENEFFDP,ELC003,2035,239.646
RE1,COMENEFFDP,ELC003,2036,244.4503
RE1,COMENEFFDP,ELC003,2037,249.2547
RE1,COMENEFFDP,ELC003,2038,254.059
RE1,COMENEFFDP,ELC003,2039,258.8633
RE1,COMENEFFDP,ELC003,2040,263.6677
RE1,COMENEFFDP,ELC003,2041,268.3723
RE1,COMENEFFDP,ELC003,2042,273.0768
RE1,COMENEFFDP,ELC003,2043,277.7815
RE1,COMENEFFDP,ELC003,2044,282.486
RE1,COMENEFFDP,ELC003,2045,287.1906
RE1,COMENEFFDP,ELC003,2046,290.4665
RE1,COMENEFFDP,ELC003,2047,293.7424
RE1,COMENEFFDP,ELC003,2048,297.0182
RE1,COMENEFFDP,ELC003,2049,300.294
RE1,COMENEFFDP,ELC003,2050,303.5698
RE1,COMENEFFDP,ELC003,2051,306.9561
RE1,COMENEFFDP,ELC003,2052,310.3801
RE1,COMENEFFDP,ELC003,2053,313.8424
RE1,COMENEFFDP,ELC003,2054,317.3432
RE1,COMENEFFDP,ELC003,2055,320.8832
RE1,COMENEFFDP,ELC003,2056,324.4626
RE1,COMENEFFDP,ELC003,2057,328.0819
RE1,COMENEFFDP,ELC003,2058,331.7416
RE1,COMENEFFDP,ELC003,2059,325.0053
RE1,COMENEFFDP,ELC003,2060,340.8387
RE1,COMENEFFDP,ELC003,2061,342.9674
RE1,COMENEFFDP,ELC003,2062,346.7932
RE1,COMENEFFDP,ELC003,2063,350.6617
RE1,COMENEFFDP,ELC003,2064,354.5732
RE1,COMENEFFDP,ELC003,2065,358.5284
RE1,COMENEFFDP,ELC003,2066,362.5278
RE1,COMENEFFDP,ELC003,2067,366.5717
RE1,COMENEFFDP,ELC003,2068,370.6607
RE1,COMENEFFDP,ELC003,2069,374.7954
RE1,COMENEFFDP,ELC003,2070,345.9404
RE1,DEMCOMELC,ELC003,2015,169.2528
RE1,DEMCOMELC,ELC003,2016,179.0399
RE1,DEMCOMELC,ELC003,2017,187.428
RE1,DEMCOMELC,ELC003,2018,195.8162
RE1,DEMCOMELC,ELC003,2019,204.2043
RE1,DEMCOMELC,ELC003,2020,212.5924
RE1,DEMCOMELC,ELC003,2021,219.0306
RE1,DEMCOMELC,ELC003,2022,225.4689
RE1,DEMCOMELC,ELC003,2023,231.9071
RE1,DEMCOMELC,ELC003,2024,4.6787
RE1,DEMCOMELC,ELC003,2025,5.9702
RE1,DEMCOMELC,ELC003,2026,4.9417
RE1,DEMCOMELC,ELC003,2027,5.0783
