r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,212.3862
RE1,PWRBIO001,2016,242.7678
RE1,PWRBIO001,2017,273.0782
RE1,PWRBIO001,2018,288.1263
RE1,PWRBIO001,2019,288.1263
RE1,PWRBIO001,2020,303.4598
RE1,PWRBIO001,2021,318.6506
RE1,PWRBIO001,2022,318.6506
RE1,PWRBIO001,2023,318.6506
RE1,PWRBIO001,2024,318.6506
RE1,PWRBIO001,2025,335.767
RE1,PWRBIO001,2026,352.8834
RE1,PWRBIO001,2027,369.9999
RE1,PWRBIO001,2028,387.1163
RE1,PWRBIO001,2029,404.2327
RE1,PWRBIO001,2030,421.3491
RE1,PWRBIO001,2031,226.0793
RE1,PWRBIO001,2032,243.1957
RE1,PWRBIO001,2033,260.3122
RE1,PWRBIO001,2034,277.4286
RE1,PWRBIO001,2035,294.545
RE1,PWRBIO001,2036,318.0801
RE1,PWRBIO001,2037,341.6151
RE1,PWRBIO001,2038,365.1502
RE1,PWRBIO001,2039,388.6853
RE1,PWRBIO001,2040,388.6853
RE1,PWRBIO001,2041,388.6853
RE1,PWRBIO001,2042,388.6853
RE1,PWRBIO001,2043,388.6853
RE1,PWRBIO001,2044,388.6853
RE1,PWRBIO001,2045,388.6853
RE1,PWRBIO001,2046,358.3036
RE1,PWRBIO001,2047,327.9933
RE1,PWRBIO001,2048,312.9451
RE1,PWRBIO001,2049,312.9451
RE1,PWRBIO001,2050,280.4953
RE1,PWRBIO001,2051,248.188
RE1,PWRBIO001,2052,231.0716
RE1,PWRBIO001,2053,213.9552
RE1,PWRBIO001,2054,196.8388
RE1,PWRBIO001,2055,179.7224
RE1,PWRBIO001,2056,162.606
RE1,PWRBIO001,2057,145.4895
RE1,PWRBIO001,2058,128.3731
RE1,PWRBIO001,2059,111.2567
RE1,PWRBIO001,2060,94.1403
RE1,PWRBIO001,2061,70.6052
RE1,PWRBIO001,2062,47.0701
RE1,PWRBIO001,2063,23.5351
RE1,PWRBIO001,2065,63.6094
RE1,PWRBIO001,2066,164.8384
RE1,PWRBIO001,2067,266.6565
RE1,PWRBIO001,2068,369.0703
RE1,PWRBIO001,2069,369.0703
