r,t,e,y,AnnualTechnologyEmission
RE1,IMPOIL,EMIC02,2030,31396.589
RE1,IMPOIL,EMIC02,2031,31396.589
RE1,IMPOIL,EMIC02,2032,31396.589
RE1,IMPOIL,EMIC02,2033,31396.589
RE1,IMPOIL,EMIC02,2034,31396.589
RE1,IMPOIL,EMIC02,2035,31396.589
RE1,IMPOIL,EMIC02,2036,31396.589
RE1,IMPOIL,EMIC02,2037,31396.589
RE1,IMPOIL,EMIC02,2038,31396.589
RE1,IMPOIL,EMIC02,2039,31396.589
RE1,IMPOIL,EMIC02,2040,31396.589
RE1,IMPOIL,EMIC02,2041,31396.589
RE1,IMPOIL,EMIC02,2042,31396.589
RE1,IMPOIL,EMIC02,2043,28930.171
RE1,IMPOIL,EMIC02,2051,-0.0
RE1,IMPOIL,EMIC02,2052,-0.0
RE1,IMPOIL,EMIC02,2056,-0.0
RE1,IMPOIL,EMIC02,2058,-0.0
RE1,IMPOIL,EMIC02,2059,-0.0
RE1,IMPOIL,EMIC02,2060,-0.0
RE1,IMPOIL,EMIC02,2062,-0.0001
RE1,IMPOIL,EMIC02,2063,-0.0
RE1,IMPOIL,EMIC02,2065,-0.0
RE1,MINOIL,EMIC02,2025,31396.589
RE1,MINOIL,EMIC02,2026,31396.589
RE1,MINOIL,EMIC02,2027,31396.589
RE1,MINOIL,EMIC02,2028,31396.589
RE1,MINOIL,EMIC02,2029,31396.589
RE1,MINBIO,EMIC02,2015,99738.387
RE1,MINBIO,EMIC02,2016,101000.59
RE1,MINBIO,EMIC02,2017,103793.34
RE1,MINBIO,EMIC02,2018,105849.91
RE1,MINBIO,EMIC02,2019,106456.53
RE1,MINBIO,EMIC02,2020,108302.72
RE1,MINBIO,EMIC02,2021,109982.25
RE1,MINBIO,EMIC02,2022,111877.9
RE1,MINBIO,EMIC02,2023,113772.55
RE1,MINBIO,EMIC02,2024,115666.28
RE1,MINBIO,EMIC02,2025,118944.56
RE1,MINBIO,EMIC02,2026,122265.62
RE1,MINBIO,EMIC02,2027,125585.7
RE1,MINBIO,EMIC02,2028,128904.85
RE1,MINBIO,EMIC02,2029,132223.13
RE1,MINBIO,EMIC02,2030,135540.58
RE1,MINBIO,EMIC02,2031,121626.26
RE1,MINBIO,EMIC02,2032,124901.51
RE1,MINBIO,EMIC02,2033,128175.5
RE1,MINBIO,EMIC02,2034,131448.29
RE1,MINBIO,EMIC02,2035,134719.94
RE1,MINBIO,EMIC02,2036,138454.12
RE1,MINBIO,EMIC02,2037,142187.65
RE1,MINBIO,EMIC02,2038,145920.55
RE1,MINBIO,EMIC02,2039,149652.86
RE1,MINBIO,EMIC02,2040,151479.62
RE1,MINBIO,EMIC02,2041,153305.78
RE1,MINBIO,EMIC02,2042,155131.52
RE1,MINBIO,EMIC02,2043,156956.84
RE1,MINBIO,EMIC02,2044,158781.77
RE1,MINBIO,EMIC02,2045,160606.31
RE1,MINBIO,EMIC02,2046,159880.21
RE1,MINBIO,EMIC02,2047,159159.7
RE1,MINBIO,EMIC02,2048,159674.38
RE1,MINBIO,EMIC02,2049,161406.91
RE1,MINBIO,EMIC02,2050,160512.74
RE1,MINBIO,EMIC02,2051,158190.42
RE1,MINBIO,EMIC02,2052,157099.95
RE1,MINBIO,EMIC02,2053,156011.79
RE1,MINBIO,EMIC02,2054,154925.94
RE1,MINBIO,EMIC02,2055,153842.42
RE1,MINBIO,EMIC02,2056,152761.26
RE1,MINBIO,EMIC02,2057,151682.47
RE1,MINBIO,EMIC02,2058,150606.06
RE1,MINBIO,EMIC02,2059,149532.07
RE1,MINBIO,EMIC02,2060,148460.51
RE1,MINBIO,EMIC02,2061,146871.85
RE1,MINBIO,EMIC02,2062,145285.66
RE1,MINBIO,EMIC02,2063,143701.95
RE1,MINBIO,EMIC02,2064,142120.75
RE1,MINBIO,EMIC02,2065,147595.71
RE1,MINBIO,EMIC02,2066,156118.2
RE1,MINBIO,EMIC02,2067,164690.94
RE1,MINBIO,EMIC02,2068,173314.48
RE1,MINBIO,EMIC02,2069,173651.06
RE1,MINBIO,EMIC02,2070,173990.27
RE1,IMPCOA,EMIC02,2042,24256.238
RE1,IMPCOA,EMIC02,2043,108181.23
RE1,IMPCOA,EMIC02,2044,109835.28
RE1,IMPCOA,EMIC02,2045,111489.34
RE1,IMPCOA,EMIC02,2046,113143.4
RE1,IMPCOA,EMIC02,2047,114797.45
RE1,IMPCOA,EMIC02,2048,116451.51
RE1,IMPCOA,EMIC02,2049,116979.54
RE1,IMPCOA,EMIC02,2050,115314.65
RE1,IMPCOA,EMIC02,2051,115314.66
RE1,IMPCOA,EMIC02,2052,115314.65
RE1,IMPCOA,EMIC02,2053,115314.65
RE1,IMPCOA,EMIC02,2054,115314.66
RE1,IMPCOA,EMIC02,2055,118648.38
RE1,IMPCOA,EMIC02,2056,118468.59
RE1,IMPCOA,EMIC02,2057,118207.63
RE1,IMPCOA,EMIC02,2058,118157.95
RE1,IMPCOA,EMIC02,2059,119204.0
RE1,IMPCOA,EMIC02,2060,115314.66
RE1,IMPCOA,EMIC02,2061,115314.66
RE1,IMPCOA,EMIC02,2062,115314.66
RE1,IMPCOA,EMIC02,2063,115314.66
RE1,IMPCOA,EMIC02,2064,115314.66
RE1,IMPCOA,EMIC02,2065,115314.66
RE1,IMPCOA,EMIC02,2066,115314.66
RE1,IMPCOA,EMIC02,2067,115314.66
RE1,IMPCOA,EMIC02,2068,115314.66
RE1,IMPCOA,EMIC02,2069,115314.66
RE1,IMPCOA,EMIC02,2070,112006.54
RE1,MINCOA,EMIC02,2015,94239.063
RE1,MINCOA,EMIC02,2016,94239.063
RE1,MINCOA,EMIC02,2017,94239.063
RE1,MINCOA,EMIC02,2018,94239.063
RE1,MINCOA,EMIC02,2019,94239.063
RE1,MINCOA,EMIC02,2020,94239.063
RE1,MINCOA,EMIC02,2021,94239.063
RE1,MINCOA,EMIC02,2022,95893.12
RE1,MINCOA,EMIC02,2023,97547.177
RE1,MINCOA,EMIC02,2024,99201.233
RE1,MINCOA,EMIC02,2025,100855.29
RE1,MINCOA,EMIC02,2026,106954.31
RE1,MINCOA,EMIC02,2027,108608.37
RE1,MINCOA,EMIC02,2028,110262.43
RE1,MINCOA,EMIC02,2029,111916.48
RE1,MINCOA,EMIC02,2030,113570.54
RE1,MINCOA,EMIC02,2031,115224.6
RE1,MINCOA,EMIC02,2032,116878.65
RE1,MINCOA,EMIC02,2033,118532.71
RE1,MINCOA,EMIC02,2034,120186.77
RE1,MINCOA,EMIC02,2035,121840.82
RE1,MINCOA,EMIC02,2036,107196.67
RE1,MINCOA,EMIC02,2037,108850.72
RE1,MINCOA,EMIC02,2038,110504.78
RE1,MINCOA,EMIC02,2039,112158.84
RE1,MINCOA,EMIC02,2040,113812.89
RE1,MINCOA,EMIC02,2041,115466.95
RE1,MINCOA,EMIC02,2042,82270.932
RE1,MINCOA,EMIC02,2054,-0.0
RE1,MINCOA,EMIC02,2059,-0.0
RE1,MINCOA,EMIC02,2061,-0.0001
RE1,IMPLFO,EMIC02,2015,344546.18
RE1,IMPLFO,EMIC02,2016,344120.76
RE1,IMPLFO,EMIC02,2017,343965.9
RE1,IMPLFO,EMIC02,2018,343583.29
RE1,IMPLFO,EMIC02,2019,343379.34
RE1,IMPLFO,EMIC02,2020,343176.04
RE1,IMPLFO,EMIC02,2021,343037.3
RE1,IMPLFO,EMIC02,2022,354365.25
RE1,IMPLFO,EMIC02,2023,364868.41
RE1,IMPLFO,EMIC02,2024,375371.96
RE1,IMPLFO,EMIC02,2025,383784.08
RE1,IMPLFO,EMIC02,2026,341314.92
RE1,IMPLFO,EMIC02,2027,303554.33
RE1,IMPLFO,EMIC02,2028,269442.39
RE1,IMPLFO,EMIC02,2029,245483.45
RE1,IMPLFO,EMIC02,2030,224389.68
RE1,IMPLFO,EMIC02,2031,211667.31
RE1,IMPLFO,EMIC02,2032,192798.38
RE1,IMPLFO,EMIC02,2033,176182.91
RE1,IMPLFO,EMIC02,2034,158295.82
RE1,IMPLFO,EMIC02,2035,140910.48
RE1,IMPLFO,EMIC02,2036,134331.55
RE1,IMPLFO,EMIC02,2037,116529.76
RE1,IMPLFO,EMIC02,2038,105229.73
RE1,IMPLFO,EMIC02,2039,85491.314
RE1,IMPLFO,EMIC02,2040,74780.721
RE1,IMPLFO,EMIC02,2041,64174.419
RE1,IMPLFO,EMIC02,2042,53671.646
RE1,IMPLFO,EMIC02,2043,45370.273
RE1,IMPLFO,EMIC02,2044,59688.551
RE1,IMPLFO,EMIC02,2045,49491.76
RE1,IMPLFO,EMIC02,2046,39395.436
RE1,IMPLFO,EMIC02,2047,29398.846
RE1,IMPLFO,EMIC02,2048,19501.236
RE1,IMPLFO,EMIC02,2049,9701.8637
RE1,IMPLFO,EMIC02,2057,0.0
RE1,IMPLFO,EMIC02,2058,-0.0
RE1,IMPLFO,EMIC02,2059,-0.0
RE1,IMPLFO,EMIC02,2065,0.0
RE1,IMPHFO,EMIC02,2052,-0.0
RE1,IMPHFO,EMIC02,2057,-0.0
RE1,IMPHFO,EMIC02,2058,-0.0
RE1,IMPHFO,EMIC02,2059,0.0
RE1,IMPHFO,EMIC02,2060,-0.0
RE1,IMPHFO,EMIC02,2061,0.0
RE1,IMPHFO,EMIC02,2062,-0.0
RE1,IMPHFO,EMIC02,2063,0.0
RE1,IMPHFO,EMIC02,2064,-0.0
RE1,IMPHFO,EMIC02,2070,0.0
RE1,IMPNGS,EMIC02,2015,47512.36
RE1,IMPNGS,EMIC02,2016,38682.873
RE1,IMPNGS,EMIC02,2026,63011.579
RE1,IMPNGS,EMIC02,2027,85747.58
RE1,IMPNGS,EMIC02,2028,104839.0
RE1,IMPNGS,EMIC02,2029,113381.14
RE1,IMPNGS,EMIC02,2030,120077.56
RE1,IMPNGS,EMIC02,2031,128406.06
RE1,IMPNGS,EMIC02,2032,137161.84
RE1,IMPNGS,EMIC02,2033,144471.16
RE1,IMPNGS,EMIC02,2034,152631.55
RE1,IMPNGS,EMIC02,2035,156246.3
RE1,IMPNGS,EMIC02,2036,156246.3
RE1,IMPNGS,EMIC02,2037,156246.3
RE1,IMPNGS,EMIC02,2038,151223.98
RE1,IMPNGS,EMIC02,2039,149406.41
RE1,IMPNGS,EMIC02,2040,142289.53
RE1,IMPNGS,EMIC02,2041,130210.81
RE1,IMPNGS,EMIC02,2042,118433.13
RE1,IMPNGS,EMIC02,2043,96776.237
RE1,IMPNGS,EMIC02,2044,81772.846
RE1,IMPNGS,EMIC02,2045,65120.58
RE1,IMPNGS,EMIC02,2046,48683.106
RE1,IMPNGS,EMIC02,2047,32842.624
RE1,IMPNGS,EMIC02,2048,16147.996
RE1,IMPNGS,EMIC02,2062,-0.0
RE1,IMPNGS,EMIC02,2069,0.0094
RE1,MINNGS,EMIC02,2016,8441.5475
RE1,MINNGS,EMIC02,2017,44126.211
RE1,MINNGS,EMIC02,2018,42442.676
RE1,MINNGS,EMIC02,2019,42159.688
RE1,MINNGS,EMIC02,2020,41616.306
RE1,MINNGS,EMIC02,2021,41011.048
RE1,MINNGS,EMIC02,2022,47512.36
RE1,MINNGS,EMIC02,2023,47512.36
RE1,MINNGS,EMIC02,2024,47512.36
RE1,MINNGS,EMIC02,2025,41585.443
