r,t,y,AnnualVariableOperatingCost
RE1,IMPOIL,2030,6977.1916
RE1,IMPOIL,2031,7129.1144
RE1,IMPOIL,2032,7281.0371
RE1,IMPOIL,2033,7432.9598
RE1,IMPOIL,2034,7584.8825
RE1,IMPOIL,2035,7736.8053
RE1,IMPOIL,2036,7888.728
RE1,IMPOIL,2037,8040.6507
RE1,IMPOIL,2038,8192.5734
RE1,IMPOIL,2039,8344.4961
RE1,IMPOIL,2040,8496.4189
RE1,IMPOIL,2041,8560.564
RE1,IMPOIL,2042,8624.7092
RE1,IMPOIL,2043,8006.2851
RE1,IMPOIL,2052,-0.0
RE1,IMPOIL,2056,-0.0
RE1,IMPOIL,2058,-0.0
RE1,IMPOIL,2059,-0.0
RE1,IMPOIL,2060,-0.0
RE1,IMPOIL,2062,-0.0
RE1,IMPOIL,2063,-0.0
RE1,IMPOIL,2065,-0.0
RE1,MINOIL,2025,5887.6449
RE1,MINOIL,2026,5978.6962
RE1,MINOIL,2027,6069.7475
RE1,MINOIL,2028,6160.7988
RE1,MINOIL,2029,6251.8502
RE1,MINBIO,2015,1336.4944
RE1,MINBIO,2016,1353.4078
RE1,MINBIO,2017,1390.8307
RE1,MINBIO,2018,1418.3888
RE1,MINBIO,2019,1426.5175
RE1,MINBIO,2020,1451.2564
RE1,MINBIO,2021,1473.7622
RE1,MINBIO,2022,1499.1638
RE1,MINBIO,2023,1524.5522
RE1,MINBIO,2024,1549.9281
RE1,MINBIO,2025,1593.8571
RE1,MINBIO,2026,1638.3593
RE1,MINBIO,2027,1682.8484
RE1,MINBIO,2028,1727.325
RE1,MINBIO,2029,1771.7899
RE1,MINBIO,2030,1816.2438
RE1,MINBIO,2031,1629.7918
RE1,MINBIO,2032,1673.6803
RE1,MINBIO,2033,1717.5517
RE1,MINBIO,2034,1761.4071
RE1,MINBIO,2035,1805.2472
RE1,MINBIO,2036,1855.2852
RE1,MINBIO,2037,1905.3145
RE1,MINBIO,2038,1955.3354
RE1,MINBIO,2039,2005.3483
RE1,MINBIO,2040,2029.8269
RE1,MINBIO,2041,2054.2975
RE1,MINBIO,2042,2078.7623
RE1,MINBIO,2043,2103.2216
RE1,MINBIO,2044,2127.6757
RE1,MINBIO,2045,2152.1246
RE1,MINBIO,2046,2142.3948
RE1,MINBIO,2047,2132.74
RE1,MINBIO,2048,2139.6366
RE1,MINBIO,2049,2162.8526
RE1,MINBIO,2050,2150.8708
RE1,MINBIO,2051,2119.7517
RE1,MINBIO,2052,2105.1394
RE1,MINBIO,2053,2090.5579
RE1,MINBIO,2054,2076.0075
RE1,MINBIO,2055,2061.4884
RE1,MINBIO,2056,2047.0008
RE1,MINBIO,2057,2032.545
RE1,MINBIO,2058,2018.1213
RE1,MINBIO,2059,2003.7298
RE1,MINBIO,2060,1989.3708
RE1,MINBIO,2061,1968.0828
RE1,MINBIO,2062,1946.8279
RE1,MINBIO,2063,1925.6062
RE1,MINBIO,2064,1904.4181
RE1,MINBIO,2065,1977.7825
RE1,MINBIO,2066,2091.9839
RE1,MINBIO,2067,2206.8585
RE1,MINBIO,2068,2322.414
RE1,MINBIO,2069,2326.9242
RE1,MINBIO,2070,2331.4696
RE1,IMPCOA,2042,910.0576
RE1,IMPCOA,2043,4066.9913
RE1,IMPCOA,2044,4137.4937
RE1,IMPCOA,2045,4208.2466
RE1,IMPCOA,2046,4279.2501
RE1,IMPCOA,2047,4350.5042
RE1,IMPCOA,2048,4422.0088
RE1,IMPCOA,2049,4450.9204
RE1,IMPCOA,2050,4396.3079
RE1,IMPCOA,2051,4396.3079
RE1,IMPCOA,2052,4396.3079
RE1,IMPCOA,2053,4396.3079
RE1,IMPCOA,2054,4396.3079
RE1,IMPCOA,2055,4523.4044
RE1,IMPCOA,2056,4516.5499
RE1,IMPCOA,2057,4506.6011
RE1,IMPCOA,2058,4504.7069
RE1,IMPCOA,2059,4544.5871
RE1,IMPCOA,2060,4396.3079
RE1,IMPCOA,2061,4396.3079
RE1,IMPCOA,2062,4396.3079
RE1,IMPCOA,2063,4396.3079
RE1,IMPCOA,2064,4396.3079
RE1,IMPCOA,2065,4396.3079
RE1,IMPCOA,2066,4396.3079
RE1,IMPCOA,2067,4396.3079
RE1,IMPCOA,2068,4396.3079
RE1,IMPCOA,2069,4396.3079
RE1,IMPCOA,2070,4270.1879
RE1,MINCOA,2015,2147.3598
RE1,MINCOA,2016,2260.3787
RE1,MINCOA,2017,2373.3977
RE1,MINCOA,2018,2486.4166
RE1,MINCOA,2019,2599.4356
RE1,MINCOA,2020,2712.4545
RE1,MINCOA,2021,2721.9719
RE1,MINCOA,2022,2779.4316
RE1,MINCOA,2023,2837.2253
RE1,MINCOA,2024,2895.3532
RE1,MINCOA,2025,2953.8152
RE1,MINCOA,2026,3143.2428
RE1,MINCOA,2027,3202.8219
RE1,MINCOA,2028,3262.735
RE1,MINCOA,2029,3322.9823
RE1,MINCOA,2030,3383.5636
RE1,MINCOA,2031,3476.4801
RE1,MINCOA,2032,3570.6495
RE1,MINCOA,2033,3666.0717
RE1,MINCOA,2034,3762.7467
RE1,MINCOA,2035,3860.6746
RE1,MINCOA,2036,3437.2542
RE1,MINCOA,2037,3531.5154
RE1,MINCOA,2038,3627.0293
RE1,MINCOA,2039,3723.7962
RE1,MINCOA,2040,3821.8158
RE1,MINCOA,2041,3886.1047
RE1,MINCOA,2042,2775.1057
RE1,MINCOA,2059,-0.0
RE1,MINCOA,2061,-0.0
RE1,IMPLFO,2015,33932.686
RE1,IMPLFO,2016,42222.643
RE1,IMPLFO,2017,50531.75
RE1,IMPLFO,2018,58794.382
RE1,IMPLFO,2019,67073.388
RE1,IMPLFO,2020,75342.659
RE1,IMPLFO,2021,76577.255
RE1,IMPLFO,2022,80412.857
RE1,IMPLFO,2023,84141.809
RE1,IMPLFO,2024,87948.318
RE1,IMPLFO,2025,91334.57
RE1,IMPLFO,2026,82486.282
RE1,IMPLFO,2027,74480.052
RE1,IMPLFO,2028,67104.004
RE1,IMPLFO,2029,62042.381
RE1,IMPLFO,2030,57538.743
RE1,IMPLFO,2031,55458.255
RE1,IMPLFO,2032,51590.943
RE1,IMPLFO,2033,48128.507
RE1,IMPLFO,2034,44126.059
RE1,IMPLFO,2035,40066.535
RE1,IMPLFO,2036,38945.909
RE1,IMPLFO,2037,34435.38
RE1,IMPLFO,2038,31683.68
RE1,IMPLFO,2039,26217.963
RE1,IMPLFO,2040,23350.834
RE1,IMPLFO,2041,20189.34
RE1,IMPLFO,2042,17010.945
RE1,IMPLFO,2043,14486.2
RE1,IMPLFO,2044,19197.749
RE1,IMPLFO,2045,16034.126
RE1,IMPLFO,2046,12855.492
RE1,IMPLFO,2047,9662.3123
RE1,IMPLFO,2048,6455.0385
RE1,IMPLFO,2049,3234.1191
RE1,IMPLFO,2058,-0.0
RE1,IMPLFO,2059,-0.0
RE1,IMPLFO,2065,0.0
RE1,IMPHFO,2057,-0.0
RE1,IMPHFO,2058,-0.0
RE1,IMPHFO,2059,0.0
RE1,IMPHFO,2060,-0.0
RE1,IMPHFO,2061,0.0
RE1,IMPHFO,2062,-0.0
RE1,IMPHFO,2063,0.0
RE1,IMPHFO,2070,0.0
RE1,UPSREF001,2025,307.4339
RE1,UPSREF001,2026,307.4339
RE1,UPSREF001,2027,307.4339
RE1,UPSREF001,2028,307.4339
RE1,UPSREF001,2029,307.4339
RE1,UPSREF001,2030,307.4339
RE1,UPSREF001,2031,307.4339
RE1,UPSREF001,2032,307.4339
RE1,UPSREF001,2033,307.4339
RE1,UPSREF001,2034,307.4339
RE1,UPSREF001,2035,307.4339
RE1,UPSREF001,2036,307.4339
RE1,UPSREF001,2037,307.4339
RE1,UPSREF001,2038,307.4339
RE1,UPSREF001,2039,307.4339
RE1,UPSREF001,2040,307.4339
RE1,UPSREF001,2041,307.4339
RE1,UPSREF001,2042,307.4339
RE1,UPSREF001,2043,283.2828
RE1,UPSREF001,2051,0.0
RE1,UPSREF001,2052,0.0
RE1,UPSREF001,2053,0.0
RE1,UPSREF001,2054,0.0
RE1,UPSREF001,2055,0.0
RE1,UPSREF001,2056,0.0
RE1,UPSREF001,2057,-0.0
RE1,UPSREF001,2058,0.0
RE1,UPSREF001,2059,0.0
RE1,UPSREF001,2060,0.0
RE1,UPSREF001,2061,0.0
RE1,UPSREF001,2062,0.0
RE1,UPSREF001,2063,0.0
RE1,UPSREF001,2064,0.0
RE1,UPSREF001,2065,-0.0
RE1,UPSREF001,2070,0.0
RE1,UPSREF002,2050,-0.0
