r,t,y,CapitalInvestment
RE1,IMPOIL,2030,0.0428
RE1,IMPOIL,2031,0.0428
RE1,IMPOIL,2032,0.0428
RE1,IMPOIL,2033,0.0428
RE1,IMPOIL,2034,0.0428
RE1,IMPOIL,2035,0.0428
RE1,IMPOIL,2036,0.0428
RE1,IMPOIL,2037,0.0428
RE1,IMPOIL,2038,0.0428
RE1,IMPOIL,2039,0.0428
RE1,IMPOIL,2040,0.0428
RE1,IMPOIL,2041,0.0428
RE1,IMPOIL,2042,0.0428
RE1,IMPOIL,2043,0.0428
RE1,MINOIL,2025,0.0428
RE1,MINOIL,2026,0.0428
RE1,MINOIL,2027,0.0428
RE1,MINOIL,2028,0.0428
RE1,MINOIL,2029,0.0428
RE1,MINBIO,2015,0.0997
RE1,MINBIO,2016,0.101
RE1,MINBIO,2017,0.1038
RE1,MINBIO,2018,0.1058
RE1,MINBIO,2019,0.1065
RE1,MINBIO,2020,0.1083
RE1,MINBIO,2021,0.11
RE1,MINBIO,2022,0.1119
RE1,MINBIO,2023,0.1138
RE1,MINBIO,2024,0.1157
RE1,MINBIO,2025,0.1189
RE1,MINBIO,2026,0.1223
RE1,MINBIO,2027,0.1256
RE1,MINBIO,2028,0.1289
RE1,MINBIO,2029,0.1322
RE1,MINBIO,2030,0.1355
RE1,MINBIO,2031,0.1216
RE1,MINBIO,2032,0.1249
RE1,MINBIO,2033,0.1282
RE1,MINBIO,2034,0.1314
RE1,MINBIO,2035,0.1347
RE1,MINBIO,2036,0.1385
RE1,MINBIO,2037,0.1422
RE1,MINBIO,2038,0.1459
RE1,MINBIO,2039,0.1497
RE1,MINBIO,2040,0.1515
RE1,MINBIO,2041,0.1533
RE1,MINBIO,2042,0.1551
RE1,MINBIO,2043,0.157
RE1,MINBIO,2044,0.1588
RE1,MINBIO,2045,0.1606
RE1,MINBIO,2046,0.1599
RE1,MINBIO,2047,0.1592
RE1,MINBIO,2048,0.1597
RE1,MINBIO,2049,0.1614
RE1,MINBIO,2050,0.1605
RE1,MINBIO,2051,0.1582
RE1,MINBIO,2052,0.1571
RE1,MINBIO,2053,0.156
RE1,MINBIO,2054,0.1549
RE1,MINBIO,2055,0.1538
RE1,MINBIO,2056,0.1528
RE1,MINBIO,2057,0.1517
RE1,MINBIO,2058,0.1506
RE1,MINBIO,2059,0.1495
RE1,MINBIO,2060,0.1485
RE1,MINBIO,2061,0.1469
RE1,MINBIO,2062,0.1453
RE1,MINBIO,2063,0.1437
RE1,MINBIO,2064,0.1421
RE1,MINBIO,2065,0.1476
RE1,MINBIO,2066,0.1561
RE1,MINBIO,2067,0.1647
RE1,MINBIO,2068,0.1733
RE1,MINBIO,2069,0.1737
RE1,MINBIO,2070,0.174
RE1,IMPCOA,2042,0.0256
RE1,IMPCOA,2043,0.1144
RE1,IMPCOA,2044,0.1161
RE1,IMPCOA,2045,0.1179
RE1,IMPCOA,2046,0.1196
RE1,IMPCOA,2047,0.1214
RE1,IMPCOA,2048,0.1231
RE1,IMPCOA,2049,0.1248
RE1,IMPCOA,2050,0.1219
RE1,IMPCOA,2051,0.1219
RE1,IMPCOA,2052,0.1219
RE1,IMPCOA,2053,0.1219
RE1,IMPCOA,2054,0.1219
RE1,IMPCOA,2055,0.1266
RE1,IMPCOA,2056,0.1266
RE1,IMPCOA,2057,0.1266
RE1,IMPCOA,2058,0.1266
RE1,IMPCOA,2059,0.1266
RE1,IMPCOA,2060,0.1219
RE1,IMPCOA,2061,0.1219
RE1,IMPCOA,2062,0.1219
RE1,IMPCOA,2063,0.1219
RE1,IMPCOA,2064,0.1219
RE1,IMPCOA,2065,0.1219
RE1,IMPCOA,2066,0.1219
RE1,IMPCOA,2067,0.1219
RE1,IMPCOA,2068,0.1219
RE1,IMPCOA,2069,0.1219
RE1,IMPCOA,2070,0.1184
RE1,MINCOA,2015,0.0996
RE1,MINCOA,2016,0.0996
RE1,MINCOA,2017,0.0996
RE1,MINCOA,2018,0.0996
RE1,MINCOA,2019,0.0996
RE1,MINCOA,2020,0.0996
RE1,MINCOA,2021,0.0996
RE1,MINCOA,2022,0.1014
RE1,MINCOA,2023,0.1031
RE1,MINCOA,2024,0.1049
RE1,MINCOA,2025,0.1066
