r,t,y,SalvageValue
RE1,UPSREF001,2046,0.0001
RE1,UPSREF001,2050,-0.0
RE1,UPSREF001,2053,-0.0
RE1,UPSREF001,2056,-0.0
RE1,UPSREF001,2057,-0.0
RE1,UPSREF001,2062,-0.0001
RE1,UPSREF001,2063,-0.0
RE1,UPSREF001,2064,-0.0
RE1,UPSREF001,2065,-0.0
RE1,UPSREF001,2066,0.0
RE1,UPSREF001,2067,-0.0
RE1,UPSREF001,2070,0.0001
RE1,UPSREF002,2050,-0.0
RE1,UPSREF002,2057,0.0
RE1,UPSREF002,2061,-0.0
RE1,UPSREF002,2062,-0.0
RE1,UPSREF002,2063,-0.0
RE1,UPSREF002,2064,0.0
RE1,UPSREF002,2065,0.0
RE1,UPSREF002,2066,-0.0
RE1,UPSREF002,2070,-0.0
RE1,PWRBIO001,2065,2564.5447
RE1,PWRBIO001,2066,4208.5289
RE1,PWRBIO001,2067,4354.9428
RE1,PWRBIO001,2068,4497.2185
RE1,PWRCOA001,2049,-0.0
RE1,PWRGEO,2025,3.9079
RE1,PWROHC001,2027,-0.0
RE1,PWROHC001,2049,-0.0
RE1,PWROHC001,2053,-0.0
RE1,PWROHC001,2060,-0.0
RE1,PWROHC001,2061,-0.0
RE1,PWROHC001,2063,-0.0001
RE1,PWROHC001,2064,0.0001
RE1,PWROHC001,2065,0.0001
RE1,PWROHC001,2067,-0.0
RE1,PWROHC001,2069,0.0
RE1,PWROHC002,2025,888.5589
RE1,PWRNGS001,2065,0.0065
RE1,PWRNGS002,2058,0.0001
RE1,PWRNGS002,2063,-0.0
RE1,PWRNGS002,2068,-0.0002
RE1,PWRSOL001,2054,1867.5725
RE1,PWRSOL001,2055,1167.2455
RE1,PWRSOL001,2056,205.4742
RE1,PWRSOL001,2057,214.5429
RE1,PWRSOL001,2058,223.1798
RE1,PWRSOL001,2059,231.4053
RE1,PWRSOL001,2061,493.4001
RE1,PWRSOL001,2062,253.8056
RE1,PWRSOL001,2063,260.5728
RE1,PWRSOL001,2064,267.0178
RE1,PWRSOL001,2065,273.1559
RE1,PWRSOL001,2066,279.0016
RE1,PWRSOL001,2067,284.569
RE1,PWRSOL001,2068,289.8713
RE1,PWRSOL001,2069,294.9211
RE1,PWRHYD001,2034,-0.0
RE1,PWRHYD002,2037,0.0001
RE1,PWRHYD002,2038,-0.0
RE1,PWRHYD002,2065,-0.0001
RE1,PWRHYD002,2066,-0.0
RE1,PWRHYD003,2034,-0.0
RE1,PWRHYD003,2060,-0.0
RE1,PWRHYD003,2067,-0.0
RE1,PWRHYD003,2068,-0.0
RE1,PWRWND001,2059,-0.0
RE1,PWRWND001,2069,8084.6724
RE1,PWRNUC,2026,0.0
RE1,PWRNUC,2035,13027.923
RE1,PWRNUC,2036,12907.53
RE1,PWRNUC,2037,19155.215
RE1,PWRNUC,2038,18926.764
RE1,PWRNUC,2039,24905.052
RE1,PWRNUC,2040,24551.848
RE1,PWRNUC,2041,30224.03
RE1,PWRNUC,2042,35685.077
RE1,PWRNUC,2043,40927.142
RE1,PWRNUC,2044,45944.509
RE1,PWRNUC,2045,45096.301
RE1,PWRNUC,2046,44233.148
RE1,PWRNUC,2047,43358.577
RE1,PWRNUC,2048,42475.772
RE1,PWRNUC,2049,41587.608
RE1,PWRNUC,2050,40696.671
RE1,PWRSOL001S,2055,1092.3227
RE1,PWRSOL001S,2056,1287.0387
RE1,PWRSOL001S,2057,1438.899
RE1,PWRSOL001S,2058,1318.8568
RE1,PWRSOL001S,2059,520.4952
RE1,PWRSOL001S,2061,658.7798
RE1,PWRSOL001S,2062,338.8771
RE1,PWRSOL001S,2063,347.9126
RE1,PWRSOL001S,2064,356.5178
RE1,PWRSOL001S,2065,364.7133
RE1,PWRSOL001S,2066,372.5184
RE1,PWRSOL001S,2067,379.9519
RE1,PWRSOL001S,2068,387.0315
RE1,PWRSOL001S,2069,393.7739
RE1,PWRTRN,2029,252.4309
RE1,PWRTRN,2030,290.7721
RE1,PWRTRN,2031,144.7472
RE1,PWRTRN,2032,418.8949
RE1,PWRTRN,2033,407.0979
RE1,PWRTRN,2034,493.5856
RE1,PWRTRN,2035,472.8444
RE1,PWRTRN,2036,113.0547
RE1,PWRTRN,2037,528.001
RE1,PWRTRN,2038,298.1424
RE1,PWRTRN,2039,700.0811
RE1,PWRTRN,2040,342.475
RE1,PWRTRN,2041,351.4928
RE1,PWRTRN,2042,357.282
RE1,PWRTRN,2043,321.8599
RE1,PWRTRN,2044,374.6619
RE1,PWRTRN,2045,380.6964
RE1,PWRTRN,2046,344.0215
RE1,PWRTRN,2047,363.9371
RE1,PWRTRN,2048,368.0595
RE1,PWRTRN,2049,410.3901
RE1,PWRTRN,2050,425.1286
RE1,PWRTRN,2051,9285.7009
RE1,PWRTRN,2052,183.7662
RE1,PWRTRN,2053,186.8223
RE1,PWRTRN,2054,274.8035
RE1,PWRTRN,2055,149.9861
RE1,PWRTRN,2070,7.4857
RE1,PWRDIST,2029,23.92
RE1,PWRDIST,2030,277.6372
RE1,PWRDIST,2031,130.0643
RE1,PWRDIST,2032,352.4996
RE1,PWRDIST,2033,325.7351
RE1,PWRDIST,2034,377.3346
RE1,PWRDIST,2035,347.5204
RE1,PWRDIST,2036,81.8138
RE1,PWRDIST,2037,362.5149
RE1,PWRDIST,2038,199.9157
RE1,PWRDIST,2039,454.2549
RE1,PWRDIST,2040,218.3331
RE1,PWRDIST,2041,219.2727
RE1,PWRDIST,2042,218.5257
RE1,PWRDIST,2043,193.6482
RE1,PWRDIST,2044,221.27
RE1,PWRDIST,2045,221.4077
RE1,PWRDIST,2046,197.6043
RE1,PWRDIST,2047,206.1896
RE1,PWRDIST,2048,206.0218
RE1,PWRDIST,2049,226.8139
RE1,PWRDIST,2050,232.4428
RE1,PWRDIST,2051,5205.7093
RE1,PWRDIST,2052,97.0209
RE1,PWRDIST,2053,97.7443
RE1,PWRDIST,2054,142.5603
RE1,PWRDIST,2055,77.1922
RE1,PWRDIST,2056,-0.0
RE1,PWRDIST,2057,-0.0
RE1,PWRDIST,2058,0.0
RE1,PWRDIST,2059,-0.0001
RE1,PWRDIST,2064,-0.0
RE1,PWRDIST,2070,3.5714
RE1,PWROHC003,2052,0.0
RE1,PWROHC003,2053,-0.0
RE1,PWROHC003,2055,-0.0
RE1,PWROHC003,2060,-0.0
RE1,PWROHC003,2062,-0.0
RE1,PWROHC003,2065,-0.0001
RE1,PWROHC003,2067,-0.0001
RE1,PWROHC003,2068,0.0004
RE1,PWROHC003,2069,0.0
RE1,PWRSOL002,2069,-0.0
RE1,PWRHYD004,2033,-0.0001
RE1,PWRHYD004,2038,-0.0
RE1,PWRHYD004,2069,-0.0
RE1,DEMTRAEVC,2025,119.6332
RE1,DEMTRAEVC,2026,407.8493
RE1,DEMTRAEVC,2027,322.138
RE1,DEMTRAEVC,2028,365.3207
RE1,DEMTRAEVC,2029,405.9203
RE1,DEMTRAEVC,2030,444.0773
RE1,DEMTRAEVC,2031,479.8666
RE1,DEMTRAEVC,2032,252.2238
RE1,DEMTRAEVC,2033,266.3425
RE1,DEMTRAEVC,2034,395.7458
RE1,DEMTRAEVC,2035,302.4872
RE1,DEMTRAEVC,2036,515.5189
RE1,DEMTRAEVC,2037,16.4545
RE1,DEMTRAEVC,2038,325.27
RE1,DEMTRAEVC,2039,246.6705
RE1,DEMTRAEVC,2040,337.3411
RE1,DEMTRAEVC,2041,344.1725
RE1,DEMTRAEVC,2042,350.3188
RE1,DEMTRAEVC,2043,355.8218
RE1,DEMTRAEVC,2044,360.7204
RE1,DEMTRAEVC,2045,365.0511
RE1,DEMTRAEVC,2046,368.8489
RE1,DEMTRAEVC,2047,372.1451
RE1,DEMTRAEVC,2048,374.9715
RE1,DEMTRAEVC,2049,377.357
RE1,DEMTRAEVC,2050,379.3283
RE1,DEMTRAEVC,2052,0.0
RE1,DEMTRAEVC,2053,-0.0
RE1,DEMTRAEVC,2055,0.0
RE1,DEMTRAEVC,2056,0.0001
RE1,DEMTRAEVC,2058,-0.0
RE1,DEMTRAEVC,2060,-0.0
RE1,DEMTRAEVC,2061,0.0
RE1,DEMTRAEVC,2062,0.0001
RE1,DEMTRAEVC,2063,-0.0
RE1,DEMTRAEVC,2067,-0.0001
RE1,DEMTRAEVC,2068,0.0001
RE1,DEMTRAMCYELC,2057,0.0
RE1,DEMTRAMCYELC,2058,0.0
RE1,DEMTRAMCYELC,2059,0.0
RE1,DEMTRAMCYELC,2060,0.0
RE1,DEMTRAMCYELC,2061,0.0
RE1,DEMTRAMCYELC,2064,0.0
RE1,DEMTRAMCYELC,2066,0.0
RE1,DEMTRACARELC,2052,0.0
RE1,DEMTRACARELC,2053,0.0
RE1,DEMTRACARELC,2054,0.0
RE1,DEMTRACARELC,2055,0.0
RE1,DEMTRACARELC,2056,0.0
RE1,DEMTRACARELC,2057,0.0
RE1,DEMTRACARELC,2058,0.0
RE1,DEMTRACARELC,2059,0.0
RE1,DEMTRACARELC,2060,0.0
RE1,DEMTRACARELC,2061,0.0
RE1,DEMTRACARELC,2062,0.0
RE1,DEMTRACARELC,2063,0.0
RE1,DEMTRACARELC,2064,0.0
RE1,DEMTRACARELC,2065,0.0001
RE1,DEMTRACARELC,2066,0.0001
RE1,DEMTRACARELC,2067,0.0001
RE1,DEMTRACARELC,2068,0.0001
RE1,DEMTRACARELC,2069,0.0001
RE1,DEMTRACARELC,2070,0.0001
RE1,DEMTRABUSELC,2052,971.0684
RE1,DEMTRABUSELC,2053,1876.5953
RE1,DEMTRABUSELC,2054,2720.3566
RE1,DEMTRABUSELC,2055,3505.9174
RE1,DEMTRABUSELC,2056,4236.6598
RE1,DEMTRABUSELC,2057,4915.765
RE1,DEMTRABUSELC,2058,5546.2146
RE1,DEMTRABUSELC,2059,6130.8378
RE1,DEMTRABUSELC,2060,6672.3244
RE1,DEMTRABUSELC,2061,7173.1927
RE1,DEMTRABUSELC,2062,7635.8
RE1,DEMTRABUSELC,2063,8062.3908
RE1,DEMTRABUSELC,2064,8455.0986
RE1,DEMTRABUSELC,2065,19650.288
RE1,DEMTRABUSELC,2066,20394.068
RE1,DEMTRABUSELC,2067,21075.197
RE1,DEMTRABUSELC,2068,21697.731
RE1,DEMTRABUSELC,2069,22264.891
RE1,DEMTRABUSELC,2070,22780.014
RE1,DEMTRAMCYGSL,2059,0.0
RE1,DEMTRAMCYGSL,2060,-0.0
RE1,DEMTRAMCYGSL,2061,-0.0001
RE1,DEMTRAMCYGSL,2062,-0.0001
RE1,DEMTRAMCYGSL,2063,0.0003
RE1,DEMTRAMCYGSL,2064,0.0001
RE1,DEMTRAMCYGSL,2065,-0.0
RE1,DEMTRAMCYGSL,2067,-0.0002
RE1,DEMTRAMCYGSL,2069,-0.0
RE1,DEMTRACARGSL,2059,-0.0
RE1,DEMTRACARGSL,2060,0.0
RE1,DEMTRACARGSL,2061,-0.0
RE1,DEMTRACARGSL,2062,-0.0
RE1,DEMTRACARGSL,2069,0.0
RE1,DEMINDELC,2065,0.0001
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0
RE1,DEMINDELC,2068,0.0
RE1,DEMINDELC,2070,0.0003
RE1,INDENEFFDP,2063,1158.7503
RE1,INDENEFFDP,2064,1127.4497
RE1,INDENEFFDP,2065,758.8246
RE1,INDENEFFDP,2066,1189.1737
RE1,INDENEFFDP,2067,1947.121
RE1,INDENEFFDP,2068,1883.0781
RE1,INDENEFFDP,2069,2152.0817
RE1,DEMINDHEEH,2060,-0.0
RE1,DEMINDHEEH,2065,-0.0
RE1,DEMINDHEEH,2066,0.0
RE1,DEMINDHEEH,2067,-0.0
RE1,DEMINDHEEH,2068,0.0
RE1,DEMINDHEEH,2070,244.4455
RE1,DEMINDHEEL,2058,-0.0
RE1,DEMINDHEEL,2062,-0.0
RE1,DEMINDHEEL,2063,0.0
RE1,DEMINDHENGS,2057,0.0
RE1,DEMINDHENGS,2062,-0.0
RE1,DEMINDHENGS,2063,0.0
RE1,DEMINDHENGS,2066,-0.0
RE1,DEMINDHENGS,2067,0.0
RE1,DEMINDHENGS,2068,0.0
RE1,DEMINDHENGS,2069,-0.0
RE1,DEMINDHEOIL,2057,0.0
RE1,DEMINDHEOIL,2061,0.0
RE1,DEMINDHEOIL,2062,-0.0
RE1,DEMINDHEOIL,2063,-0.0001
RE1,DEMINDHEOIL,2064,0.0
RE1,DEMINDHEOIL,2065,0.0002
RE1,DEMINDHEOIL,2066,-0.0001
RE1,DEMINDHEOIL,2067,-0.0
