r,t,y,TotalTechnologyAnnualActivity
RE1,IMPOIL,2030,428.33
RE1,IMPOIL,2031,428.33
RE1,IMPOIL,2032,428.33
RE1,IMPOIL,2033,428.33
RE1,IMPOIL,2034,428.33
RE1,IMPOIL,2035,428.33
RE1,IMPOIL,2036,428.33
RE1,IMPOIL,2037,428.33
RE1,IMPOIL,2038,428.33
RE1,IMPOIL,2039,428.33
RE1,IMPOIL,2040,428.33
RE1,IMPOIL,2041,428.33
RE1,IMPOIL,2042,428.33
RE1,IMPOIL,2043,394.6817
RE1,IMPOIL,2052,-0.0
RE1,IMPOIL,2056,-0.0
RE1,IMPOIL,2058,-0.0
RE1,IMPOIL,2059,-0.0
RE1,IMPOIL,2060,-0.0
RE1,IMPOIL,2062,-0.0
RE1,IMPOIL,2065,-0.0
RE1,MINOIL,2025,428.33
RE1,MINOIL,2026,428.33
RE1,MINOIL,2027,428.33
RE1,MINOIL,2028,428.33
RE1,MINOIL,2029,428.33
RE1,MINBIO,2015,997.3839
RE1,MINBIO,2016,1010.0059
RE1,MINBIO,2017,1037.9334
RE1,MINBIO,2018,1058.4991
RE1,MINBIO,2019,1064.5653
RE1,MINBIO,2020,1083.0272
RE1,MINBIO,2021,1099.8225
RE1,MINBIO,2022,1118.779
RE1,MINBIO,2023,1137.7255
RE1,MINBIO,2024,1156.6628
RE1,MINBIO,2025,1189.4456
RE1,MINBIO,2026,1222.6562
RE1,MINBIO,2027,1255.857
RE1,MINBIO,2028,1289.0485
RE1,MINBIO,2029,1322.2313
RE1,MINBIO,2030,1355.4058
RE1,MINBIO,2031,1216.2626
RE1,MINBIO,2032,1249.0151
RE1,MINBIO,2033,1281.755
RE1,MINBIO,2034,1314.4829
RE1,MINBIO,2035,1347.1994
RE1,MINBIO,2036,1384.5412
RE1,MINBIO,2037,1421.8765
RE1,MINBIO,2038,1459.2055
RE1,MINBIO,2039,1496.5286
RE1,MINBIO,2040,1514.7962
RE1,MINBIO,2041,1533.0578
RE1,MINBIO,2042,1551.3152
RE1,MINBIO,2043,1569.5684
RE1,MINBIO,2044,1587.8177
RE1,MINBIO,2045,1606.0631
RE1,MINBIO,2046,1598.8021
RE1,MINBIO,2047,1591.597
RE1,MINBIO,2048,1596.7438
RE1,MINBIO,2049,1614.0691
RE1,MINBIO,2050,1605.1274
RE1,MINBIO,2051,1581.9042
RE1,MINBIO,2052,1570.9995
RE1,MINBIO,2053,1560.1179
RE1,MINBIO,2054,1549.2594
RE1,MINBIO,2055,1538.4242
RE1,MINBIO,2056,1527.6126
RE1,MINBIO,2057,1516.8247
RE1,MINBIO,2058,1506.0606
RE1,MINBIO,2059,1495.3207
RE1,MINBIO,2060,1484.6051
RE1,MINBIO,2061,1468.7185
RE1,MINBIO,2062,1452.8566
RE1,MINBIO,2063,1437.0195
RE1,MINBIO,2064,1421.2075
RE1,MINBIO,2065,1475.9571
RE1,MINBIO,2066,1561.182
RE1,MINBIO,2067,1646.9094
RE1,MINBIO,2068,1733.1448
RE1,MINBIO,2069,1736.5106
RE1,MINBIO,2070,1739.9027
RE1,IMPCOA,2042,256.4084
RE1,IMPCOA,2043,1143.5648
RE1,IMPCOA,2044,1161.0495
RE1,IMPCOA,2045,1178.5342
RE1,IMPCOA,2046,1196.019
RE1,IMPCOA,2047,1213.5037
RE1,IMPCOA,2048,1230.9885
RE1,IMPCOA,2049,1236.5702
RE1,IMPCOA,2050,1218.971
RE1,IMPCOA,2051,1218.971
RE1,IMPCOA,2052,1218.971
RE1,IMPCOA,2053,1218.971
RE1,IMPCOA,2054,1218.971
RE1,IMPCOA,2055,1254.2112
RE1,IMPCOA,2056,1252.3107
RE1,IMPCOA,2057,1249.5521
RE1,IMPCOA,2058,1249.0269
RE1,IMPCOA,2059,1260.0846
RE1,IMPCOA,2060,1218.971
RE1,IMPCOA,2061,1218.971
RE1,IMPCOA,2062,1218.971
RE1,IMPCOA,2063,1218.971
RE1,IMPCOA,2064,1218.971
RE1,IMPCOA,2065,1218.971
RE1,IMPCOA,2066,1218.971
RE1,IMPCOA,2067,1218.971
RE1,IMPCOA,2068,1218.971
RE1,IMPCOA,2069,1218.971
RE1,IMPCOA,2070,1184.0015
RE1,MINCOA,2015,996.1846
RE1,MINCOA,2016,996.1846
RE1,MINCOA,2017,996.1846
RE1,MINCOA,2018,996.1846
RE1,MINCOA,2019,996.1846
RE1,MINCOA,2020,996.1846
RE1,MINCOA,2021,996.1846
RE1,MINCOA,2022,1013.6693
RE1,MINCOA,2023,1031.1541
RE1,MINCOA,2024,1048.6388
RE1,MINCOA,2025,1066.1236
RE1,MINCOA,2026,1130.5953
RE1,MINCOA,2027,1148.08
RE1,MINCOA,2028,1165.5648
RE1,MINCOA,2029,1183.0495
RE1,MINCOA,2030,1200.5343
