r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2025,2.0352
RE1,COMENEFFDP,ELC003,2026,4.0703
RE1,COMENEFFDP,ELC003,2027,6.1055
RE1,COMENEFFDP,ELC003,2028,8.1406
RE1,COMENEFFDP,ELC003,2029,10.1758
RE1,COMENEFFDP,ELC003,2030,12.211
RE1,COMENEFFDP,ELC003,2031,14.2461
RE1,COMENEFFDP,ELC003,2032,16.2813
RE1,COMENEFFDP,ELC003,2033,18.3165
RE1,COMENEFFDP,ELC003,2034,20.3516
RE1,COMENEFFDP,ELC003,2035,20.3516
RE1,COMENEFFDP,ELC003,2036,20.3516
RE1,COMENEFFDP,ELC003,2037,20.3516
RE1,COMENEFFDP,ELC003,2038,20.3516
RE1,COMENEFFDP,ELC003,2039,20.3516
RE1,COMENEFFDP,ELC003,2040,22.3868
RE1,COMENEFFDP,ELC003,2041,24.4219
RE1,COMENEFFDP,ELC003,2042,26.4571
RE1,COMENEFFDP,ELC003,2043,28.4923
RE1,COMENEFFDP,ELC003,2044,30.5274
RE1,COMENEFFDP,ELC003,2045,32.5626
RE1,COMENEFFDP,ELC003,2046,34.5977
RE1,COMENEFFDP,ELC003,2047,32.5626
RE1,COMENEFFDP,ELC003,2048,30.5274
RE1,COMENEFFDP,ELC003,2049,28.4923
RE1,COMENEFFDP,ELC003,2050,24.4219
RE1,COMENEFFDP,ELC003,2051,20.3516
RE1,COMENEFFDP,ELC003,2052,16.2813
RE1,COMENEFFDP,ELC003,2053,12.211
RE1,COMENEFFDP,ELC003,2054,8.1406
RE1,COMENEFFDP,ELC003,2055,50.2435
RE1,COMENEFFDP,ELC003,2056,64.7915
RE1,COMENEFFDP,ELC003,2057,83.454
RE1,COMENEFFDP,ELC003,2058,102.1609
RE1,COMENEFFDP,ELC003,2059,133.0832
RE1,COMENEFFDP,ELC003,2060,159.3892
RE1,COMENEFFDP,ELC003,2061,159.3892
RE1,COMENEFFDP,ELC003,2062,316.9528
RE1,COMENEFFDP,ELC003,2063,316.9528
RE1,COMENEFFDP,ELC003,2064,332.0543
RE1,COMENEFFDP,ELC003,2065,355.6717
RE1,COMENEFFDP,ELC003,2066,359.6392
RE1,COMENEFFDP,ELC003,2067,363.6509
RE1,COMENEFFDP,ELC003,2068,367.7073
RE1,COMENEFFDP,ELC003,2069,374.7954
RE1,COMENEFFDP,ELC003,2070,354.9075
RE1,COMENEFFGD,ELC003,2025,2.0352
RE1,COMENEFFGD,ELC003,2026,4.0703
RE1,COMENEFFGD,ELC003,2027,6.1055
RE1,COMENEFFGD,ELC003,2028,8.1406
RE1,COMENEFFGD,ELC003,2029,10.1758
RE1,COMENEFFGD,ELC003,2030,12.211
RE1,COMENEFFGD,ELC003,2031,14.2461
RE1,COMENEFFGD,ELC003,2032,16.2813
RE1,COMENEFFGD,ELC003,2033,18.3165
RE1,COMENEFFGD,ELC003,2034,20.3516
RE1,COMENEFFGD,ELC003,2035,20.3516
RE1,COMENEFFGD,ELC003,2036,20.3516
RE1,COMENEFFGD,ELC003,2037,20.3516
RE1,COMENEFFGD,ELC003,2038,20.3516
RE1,COMENEFFGD,ELC003,2039,20.3516
RE1,COMENEFFGD,ELC003,2040,22.3868
RE1,COMENEFFGD,ELC003,2041,24.4219
RE1,COMENEFFGD,ELC003,2042,26.4571
RE1,COMENEFFGD,ELC003,2043,28.4923
RE1,COMENEFFGD,ELC003,2044,30.5274
RE1,COMENEFFGD,ELC003,2045,32.5626
RE1,COMENEFFGD,ELC003,2046,30.5274
RE1,COMENEFFGD,ELC003,2047,28.4923
RE1,COMENEFFGD,ELC003,2048,26.4571
RE1,COMENEFFGD,ELC003,2049,24.4219
RE1,COMENEFFGD,ELC003,2050,20.3516
RE1,COMENEFFGD,ELC003,2051,16.2813
RE1,COMENEFFGD,ELC003,2052,12.211
RE1,COMENEFFGD,ELC003,2053,8.1406
RE1,COMENEFFGD,ELC003,2054,4.0703
RE1,COMENEFFGD,ELC003,2056,0.0
RE1,COMENEFFGD,ELC003,2057,0.0
RE1,COMENEFFGD,ELC003,2058,0.0
RE1,COMENEFFGD,ELC003,2059,0.0
RE1,COMENEFFGD,ELC003,2060,0.0
RE1,COMENEFFGD,ELC003,2061,0.0
RE1,COMENEFFGD,ELC003,2062,0.0
RE1,COMENEFFGD,ELC003,2065,0.0
RE1,DEMCOMELC,ELC003,2015,152.8569
RE1,DEMCOMELC,ELC003,2016,152.8569
RE1,DEMCOMELC,ELC003,2017,152.8569
RE1,DEMCOMELC,ELC003,2018,152.8569
RE1,DEMCOMELC,ELC003,2019,152.8569
RE1,DEMCOMELC,ELC003,2020,152.8569
RE1,DEMCOMELC,ELC003,2021,152.8569
RE1,DEMCOMELC,ELC003,2022,97.2381
RE1,DEMCOMELC,ELC003,2023,78.7768
RE1,DEMCOMELC,ELC003,2024,238.3453
RE1,DEMCOMELC,ELC003,2025,239.7974
RE1,DEMCOMELC,ELC003,2026,241.7683
RE1,DEMCOMELC,ELC003,2027,243.7393
RE1,DEMCOMELC,ELC003,2028,245.7102
RE1,DEMCOMELC,ELC003,2029,247.6811
RE1,DEMCOMELC,ELC003,2030,249.652
RE1,DEMCOMELC,ELC003,2031,252.6177
RE1,DEMCOMELC,ELC003,2032,255.5834
RE1,DEMCOMELC,ELC003,2033,258.5491
RE1,DEMCOMELC,ELC003,2034,261.5148
RE1,DEMCOMELC,ELC003,2035,269.4667
RE1,DEMCOMELC,ELC003,2036,275.8685
RE1,DEMCOMELC,ELC003,2037,282.2702
RE1,DEMCOMELC,ELC003,2038,288.672
RE1,DEMCOMELC,ELC003,2039,295.0738
RE1,DEMCOMELC,ELC003,2040,296.4895
RE1,DEMCOMELC,ELC003,2041,297.7722
RE1,DEMCOMELC,ELC003,2042,299.0549
RE1,DEMCOMELC,ELC003,2043,300.3376
RE1,DEMCOMELC,ELC003,2044,301.6203
RE1,DEMCOMELC,ELC003,2045,302.903
RE1,DEMCOMELC,ELC003,2046,306.9628
RE1,DEMCOMELC,ELC003,2047,316.314
RE1,DEMCOMELC,ELC003,2048,325.6652
RE1,DEMCOMELC,ELC003,2049,335.0164
RE1,DEMCOMELC,ELC003,2050,349.3537
RE1,DEMCOMELC,ELC003,2051,363.8382
RE1,DEMCOMELC,ELC003,2052,378.373
RE1,DEMCOMELC,ELC003,2053,392.9588
RE1,DEMCOMELC,ELC003,2054,407.596
RE1,DEMCOMELC,ELC003,2055,362.2601
RE1,DEMCOMELC,ELC003,2056,348.1172
RE1,DEMCOMELC,ELC003,2057,328.6787
RE1,DEMCOMELC,ELC003,2058,309.2363
RE1,DEMCOMELC,ELC003,2059,273.9682
RE1,DEMCOMELC,ELC003,2060,244.7565
RE1,DEMCOMELC,ELC003,2061,249.7981
RE1,DEMCOMELC,ELC003,2062,50.0631
RE1,DEMCOMELC,ELC003,2063,55.2177
RE1,DEMCOMELC,ELC003,2064,40.798
RE1,DEMCOMELC,ELC003,2065,15.3657
RE1,DEMCOMELC,ELC003,2066,15.5371
RE1,DEMCOMELC,ELC003,2067,15.7104
RE1,DEMCOMELC,ELC003,2068,15.8856
RE1,DEMCOMELC,ELC003,2069,12.1806
RE1,DEMCOMELC,ELC003,2070,43.6058
RE1,DEMCOMHEBIO,BIO,2015,37.1452
RE1,DEMCOMHEBIO,BIO,2016,37.1452
RE1,DEMCOMHEBIO,BIO,2017,37.1452
RE1,DEMCOMHEBIO,BIO,2018,37.1452
RE1,DEMCOMHEBIO,BIO,2019,37.1452
RE1,DEMCOMHEBIO,BIO,2020,37.1452
RE1,DEMCOMHEBIO,BIO,2021,37.1452
RE1,DEMCOMHEBIO,BIO,2022,38.106
RE1,DEMCOMHEBIO,BIO,2023,39.0666
RE1,DEMCOMHEBIO,BIO,2024,40.0272
RE1,DEMCOMHEBIO,BIO,2025,40.9879
RE1,DEMCOMHEBIO,BIO,2026,41.9485
RE1,DEMCOMHEBIO,BIO,2027,42.9093
RE1,DEMCOMHEBIO,BIO,2028,43.8699
RE1,DEMCOMHEBIO,BIO,2029,44.8305
RE1,DEMCOMHEBIO,BIO,2030,45.7912
RE1,DEMCOMHEBIO,BIO,2031,46.7518
RE1,DEMCOMHEBIO,BIO,2032,47.7124
RE1,DEMCOMHEBIO,BIO,2033,48.6732
RE1,DEMCOMHEBIO,BIO,2034,49.6338
RE1,DEMCOMHEBIO,BIO,2035,50.5944
RE1,DEMCOMHEBIO,BIO,2036,51.5551
RE1,DEMCOMHEBIO,BIO,2037,52.5157
RE1,DEMCOMHEBIO,BIO,2038,53.4765
RE1,DEMCOMHEBIO,BIO,2039,54.4371
RE1,DEMCOMHEBIO,BIO,2040,55.3977
RE1,DEMCOMHEBIO,BIO,2041,56.3584
RE1,DEMCOMHEBIO,BIO,2042,57.319
RE1,DEMCOMHEBIO,BIO,2043,58.2796
RE1,DEMCOMHEBIO,BIO,2044,59.2404
RE1,DEMCOMHEBIO,BIO,2045,60.201
RE1,DEMCOMHEBIO,BIO,2046,61.1616
RE1,DEMCOMHEBIO,BIO,2047,62.1223
RE1,DEMCOMHEBIO,BIO,2048,63.0829
RE1,DEMCOMHEBIO,BIO,2049,64.0437
RE1,DEMCOMHEBIO,BIO,2050,65.0043
RE1,DEMCOMHEBIO,BIO,2051,65.0043
RE1,DEMCOMHEBIO,BIO,2052,65.0043
RE1,DEMCOMHEBIO,BIO,2053,65.0043
RE1,DEMCOMHEBIO,BIO,2054,65.0043
RE1,DEMCOMHEBIO,BIO,2055,65.0043
RE1,DEMCOMHEBIO,BIO,2056,65.0043
RE1,DEMCOMHEBIO,BIO,2057,65.0043
RE1,DEMCOMHEBIO,BIO,2058,65.0043
RE1,DEMCOMHEBIO,BIO,2059,65.0043
RE1,DEMCOMHEBIO,BIO,2060,65.0043
RE1,DEMCOMHEBIO,BIO,2061,65.0043
RE1,DEMCOMHEBIO,BIO,2062,65.0043
RE1,DEMCOMHEBIO,BIO,2063,65.0043
RE1,DEMCOMHEBIO,BIO,2064,65.0043
RE1,DEMCOMHEBIO,BIO,2065,65.0043
RE1,DEMCOMHEBIO,BIO,2066,65.0043
RE1,DEMCOMHEBIO,BIO,2067,65.0043
RE1,DEMCOMHEBIO,BIO,2068,65.0043
RE1,DEMCOMHEBIO,BIO,2069,65.0043
RE1,DEMCOMHEBIO,BIO,2070,65.0043
RE1,DEMCOMHEEL,ELC003,2041,0.0
RE1,DEMCOMHEEL,ELC003,2053,0.0
RE1,DEMCOMHEEL,ELC003,2054,0.0
RE1,DEMCOMHEEL,ELC003,2062,0.0
RE1,DEMCOMHEOIL,LFO,2052,0.0
RE1,DEMCOMHEOIL,LFO,2056,-0.0
RE1,DEMCOMHEOIL,LFO,2062,-0.0
RE1,DEMCOMHEOIL,LFO,2065,-0.0
RE1,DEMCOMHEOIL,LFO,2066,-0.0
RE1,DEMINDELC,ELC003,2015,358.4325
RE1,DEMINDELC,ELC003,2016,384.5179
RE1,DEMINDELC,ELC003,2017,384.5179
RE1,DEMINDELC,ELC003,2018,384.5179
RE1,DEMINDELC,ELC003,2019,384.5179
RE1,DEMINDELC,ELC003,2020,384.5179
RE1,DEMINDELC,ELC003,2021,384.5179
RE1,DEMINDELC,ELC003,2022,436.9984
RE1,DEMINDELC,ELC003,2023,449.4769
RE1,DEMINDELC,ELC003,2024,448.528
RE1,DEMINDELC,ELC003,2025,474.2879
RE1,DEMINDELC,ELC003,2026,487.7719
RE1,DEMINDELC,ELC003,2027,501.2559
RE1,DEMINDELC,ELC003,2028,514.7399
RE1,DEMINDELC,ELC003,2029,528.224
RE1,DEMINDELC,ELC003,2030,541.708
RE1,DEMINDELC,ELC003,2031,557.12
RE1,DEMINDELC,ELC003,2032,572.5321
RE1,DEMINDELC,ELC003,2033,587.9442
RE1,DEMINDELC,ELC003,2034,603.3563
RE1,DEMINDELC,ELC003,2035,618.7684
RE1,DEMINDELC,ELC003,2036,631.1762
RE1,DEMINDELC,ELC003,2037,643.5839
RE1,DEMINDELC,ELC003,2038,655.9917
RE1,DEMINDELC,ELC003,2039,668.3995
RE1,DEMINDELC,ELC003,2040,680.6615
RE1,DEMINDELC,ELC003,2041,692.8116
RE1,DEMINDELC,ELC003,2042,704.9618
RE1,DEMINDELC,ELC003,2043,717.112
RE1,DEMINDELC,ELC003,2044,729.2621
RE1,DEMINDELC,ELC003,2045,741.4123
RE1,DEMINDELC,ELC003,2046,749.8725
RE1,DEMINDELC,ELC003,2047,758.3327
RE1,DEMINDELC,ELC003,2048,766.793
RE1,DEMINDELC,ELC003,2049,775.2532
RE1,DEMINDELC,ELC003,2050,783.8593
RE1,DEMINDELC,ELC003,2051,792.6047
RE1,DEMINDELC,ELC003,2052,801.4477
RE1,DEMINDELC,ELC003,2053,810.3894
RE1,DEMINDELC,ELC003,2054,819.4308
RE1,DEMINDELC,ELC003,2055,828.7188
RE1,DEMINDELC,ELC003,2056,757.394
RE1,DEMINDELC,ELC003,2057,650.313
RE1,DEMINDELC,ELC003,2058,562.6614
RE1,DEMINDELC,ELC003,2059,473.7677
RE1,DEMINDELC,ELC003,2060,381.7875
RE1,DEMINDELC,ELC003,2061,391.5589
RE1,DEMINDELC,ELC003,2062,401.4394
RE1,DEMINDELC,ELC003,2063,205.6686
RE1,DEMINDELC,ELC003,2064,79.0736
RE1,DEMINDELC,ELC003,2065,29.7814
RE1,DEMINDELC,ELC003,2066,30.1136
RE1,DEMINDELC,ELC003,2067,30.4495
RE1,DEMINDELC,ELC003,2068,30.7892
RE1,DEMINDELC,ELC003,2069,30.4908
RE1,DEMINDELC,ELC003,2070,130.8907
RE1,DEMINDHEBIO,BIO,2015,468.821
RE1,DEMINDHEBIO,BIO,2016,468.821
RE1,DEMINDHEBIO,BIO,2017,468.821
RE1,DEMINDHEBIO,BIO,2018,468.821
RE1,DEMINDHEBIO,BIO,2019,468.821
RE1,DEMINDHEBIO,BIO,2020,468.821
RE1,DEMINDHEBIO,BIO,2021,468.821
RE1,DEMINDHEBIO,BIO,2022,480.3354
RE1,DEMINDHEBIO,BIO,2023,491.8496
RE1,DEMINDHEBIO,BIO,2024,503.364
RE1,DEMINDHEBIO,BIO,2025,514.8784
RE1,DEMINDHEBIO,BIO,2026,526.3927
RE1,DEMINDHEBIO,BIO,2027,537.9071
RE1,DEMINDHEBIO,BIO,2028,549.4214
RE1,DEMINDHEBIO,BIO,2029,560.9357
RE1,DEMINDHEBIO,BIO,2030,572.4501
RE1,DEMINDHEBIO,BIO,2031,583.9644
RE1,DEMINDHEBIO,BIO,2032,595.4788
RE1,DEMINDHEBIO,BIO,2033,606.9931
RE1,DEMINDHEBIO,BIO,2034,618.5075
RE1,DEMINDHEBIO,BIO,2035,630.0218
RE1,DEMINDHEBIO,BIO,2036,641.5361
RE1,DEMINDHEBIO,BIO,2037,653.0505
RE1,DEMINDHEBIO,BIO,2038,664.5648
RE1,DEMINDHEBIO,BIO,2039,676.0792
RE1,DEMINDHEBIO,BIO,2040,687.5936
RE1,DEMINDHEBIO,BIO,2041,699.1078
RE1,DEMINDHEBIO,BIO,2042,710.6222
RE1,DEMINDHEBIO,BIO,2043,722.1365
RE1,DEMINDHEBIO,BIO,2044,733.6509
RE1,DEMINDHEBIO,BIO,2045,745.1653
RE1,DEMINDHEBIO,BIO,2046,756.6795
RE1,DEMINDHEBIO,BIO,2047,768.1939
RE1,DEMINDHEBIO,BIO,2048,779.7082
RE1,DEMINDHEBIO,BIO,2049,791.2226
RE1,DEMINDHEBIO,BIO,2050,802.737
RE1,DEMINDHEBIO,BIO,2051,802.737
RE1,DEMINDHEBIO,BIO,2052,802.737
RE1,DEMINDHEBIO,BIO,2053,802.737
RE1,DEMINDHEBIO,BIO,2054,802.737
RE1,DEMINDHEBIO,BIO,2055,802.737
RE1,DEMINDHEBIO,BIO,2056,802.737
RE1,DEMINDHEBIO,BIO,2057,802.737
RE1,DEMINDHEBIO,BIO,2058,802.737
RE1,DEMINDHEBIO,BIO,2059,802.737
RE1,DEMINDHEBIO,BIO,2060,802.737
RE1,DEMINDHEBIO,BIO,2061,802.737
RE1,DEMINDHEBIO,BIO,2062,802.737
RE1,DEMINDHEBIO,BIO,2063,802.737
RE1,DEMINDHEBIO,BIO,2064,802.737
RE1,DEMINDHEBIO,BIO,2065,802.737
RE1,DEMINDHEBIO,BIO,2066,802.737
RE1,DEMINDHEBIO,BIO,2067,802.737
RE1,DEMINDHEBIO,BIO,2068,802.737
RE1,DEMINDHEBIO,BIO,2069,802.737
RE1,DEMINDHEBIO,BIO,2070,802.737
RE1,DEMINDHECOA,COA,2015,711.9134
RE1,DEMINDHECOA,COA,2016,711.9134
RE1,DEMINDHECOA,COA,2017,711.9134
RE1,DEMINDHECOA,COA,2018,711.9134
RE1,DEMINDHECOA,COA,2019,711.9134
RE1,DEMINDHECOA,COA,2020,711.9134
RE1,DEMINDHECOA,COA,2021,711.9134
RE1,DEMINDHECOA,COA,2022,729.3982
RE1,DEMINDHECOA,COA,2023,746.8829
RE1,DEMINDHECOA,COA,2024,764.3677
RE1,DEMINDHECOA,COA,2025,781.8524
RE1,DEMINDHECOA,COA,2026,799.3371
RE1,DEMINDHECOA,COA,2027,816.8219
RE1,DEMINDHECOA,COA,2028,834.3066
RE1,DEMINDHECOA,COA,2029,851.7915
RE1,DEMINDHECOA,COA,2030,869.2761
RE1,DEMINDHECOA,COA,2031,886.7608
RE1,DEMINDHECOA,COA,2032,904.2457
RE1,DEMINDHECOA,COA,2033,921.7304
