r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2024,156982.95
RE1,MINBIO,EMIC02,2015,134374.23
RE1,MINBIO,EMIC02,2016,118318.5
RE1,MINBIO,EMIC02,2017,121111.25
RE1,MINBIO,EMIC02,2018,123167.83
RE1,MINBIO,EMIC02,2019,123774.45
RE1,MINBIO,EMIC02,2020,125620.63
RE1,MINBIO,EMIC02,2021,127300.17
RE1,MINBIO,EMIC02,2022,138584.84
RE1,MINBIO,EMIC02,2023,140073.84
RE1,MINBIO,EMIC02,2024,141560.51
RE1,MINBIO,EMIC02,2025,143044.99
RE1,MINBIO,EMIC02,2026,144681.52
RE1,MINBIO,EMIC02,2027,146315.59
RE1,MINBIO,EMIC02,2028,147947.34
RE1,MINBIO,EMIC02,2029,149576.91
RE1,MINBIO,EMIC02,2030,151204.4
RE1,MINBIO,EMIC02,2031,135482.29
RE1,MINBIO,EMIC02,2032,136947.75
RE1,MINBIO,EMIC02,2033,138410.05
RE1,MINBIO,EMIC02,2034,139869.34
RE1,MINBIO,EMIC02,2035,141325.78
RE1,MINBIO,EMIC02,2036,142603.41
RE1,MINBIO,EMIC02,2037,143879.42
RE1,MINBIO,EMIC02,2038,145153.88
RE1,MINBIO,EMIC02,2039,146426.83
RE1,MINBIO,EMIC02,2040,147698.35
RE1,MINBIO,EMIC02,2041,148991.32
RE1,MINBIO,EMIC02,2042,150283.22
RE1,MINBIO,EMIC02,2043,151574.1
RE1,MINBIO,EMIC02,2044,152863.98
RE1,MINBIO,EMIC02,2045,154152.91
RE1,MINBIO,EMIC02,2046,152680.19
RE1,MINBIO,EMIC02,2047,151212.82
RE1,MINBIO,EMIC02,2048,150980.37
RE1,MINBIO,EMIC02,2049,151965.55
RE1,MINBIO,EMIC02,2050,151709.21
RE1,MINBIO,EMIC02,2051,140312.28
RE1,MINBIO,EMIC02,2052,138875.14
RE1,MINBIO,EMIC02,2053,138681.17
RE1,MINBIO,EMIC02,2054,139713.12
RE1,MINBIO,EMIC02,2055,139511.89
RE1,MINBIO,EMIC02,2056,139330.22
RE1,MINBIO,EMIC02,2057,140386.19
RE1,MINBIO,EMIC02,2058,141450.29
RE1,MINBIO,EMIC02,2059,142522.59
RE1,MINBIO,EMIC02,2060,143603.16
RE1,MINBIO,EMIC02,2061,144692.04
RE1,MINBIO,EMIC02,2062,145789.32
RE1,MINBIO,EMIC02,2063,146895.04
RE1,MINBIO,EMIC02,2064,148009.29
RE1,MINBIO,EMIC02,2065,149132.13
RE1,MINBIO,EMIC02,2066,150263.62
