r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINOIL,1,2024,2141.65
RE1,MINBIO,1,2015,1343.7423
RE1,MINBIO,1,2016,1183.185
RE1,MINBIO,1,2017,1211.1125
RE1,MINBIO,1,2018,1231.6783
RE1,MINBIO,1,2019,1237.7445
RE1,MINBIO,1,2020,1256.2063
RE1,MINBIO,1,2021,1273.0017
RE1,MINBIO,1,2022,1385.8484
RE1,MINBIO,1,2023,1400.7384
RE1,MINBIO,1,2024,1415.6051
RE1,MINBIO,1,2025,1430.4499
RE1,MINBIO,1,2026,1446.8152
RE1,MINBIO,1,2027,1463.1559
RE1,MINBIO,1,2028,1479.4734
RE1,MINBIO,1,2029,1495.7691
RE1,MINBIO,1,2030,1512.044
RE1,MINBIO,1,2031,1354.8229
RE1,MINBIO,1,2032,1369.4775
RE1,MINBIO,1,2033,1384.1005
RE1,MINBIO,1,2034,1398.6934
RE1,MINBIO,1,2035,1413.2578
RE1,MINBIO,1,2036,1426.0341
RE1,MINBIO,1,2037,1438.7942
RE1,MINBIO,1,2038,1451.5388
RE1,MINBIO,1,2039,1464.2683
RE1,MINBIO,1,2040,1476.9835
RE1,MINBIO,1,2041,1489.9132
RE1,MINBIO,1,2042,1502.8322
RE1,MINBIO,1,2043,1515.741
RE1,MINBIO,1,2044,1528.6398
RE1,MINBIO,1,2045,1541.5291
RE1,MINBIO,1,2046,1526.8019
RE1,MINBIO,1,2047,1512.1282
RE1,MINBIO,1,2048,1509.8037
RE1,MINBIO,1,2049,1519.6555
RE1,MINBIO,1,2050,1517.0921
RE1,MINBIO,1,2051,1403.1228
RE1,MINBIO,1,2052,1388.7514
RE1,MINBIO,1,2053,1386.8117
RE1,MINBIO,1,2054,1397.1312
RE1,MINBIO,1,2055,1395.1189
RE1,MINBIO,1,2056,1393.3022
RE1,MINBIO,1,2057,1403.8619
RE1,MINBIO,1,2058,1414.5029
RE1,MINBIO,1,2059,1425.2259
RE1,MINBIO,1,2060,1436.0316
RE1,MINBIO,1,2061,1446.9204
RE1,MINBIO,1,2062,1457.8932
RE1,MINBIO,1,2063,1468.9504
RE1,MINBIO,1,2064,1480.0929
RE1,MINBIO,1,2065,1491.3213
RE1,MINBIO,1,2066,1502.6362
RE1,MINBIO,1,2067,1514.0383
RE1,MINBIO,1,2068,1525.5282
RE1,MINBIO,1,2069,1537.1067
RE1,MINBIO,1,2070,1548.7745
RE1,IMPCOA,1,2030,1098.8583
RE1,IMPCOA,1,2031,4055.5408
RE1,IMPCOA,1,2032,4173.7885
RE1,IMPCOA,1,2033,4291.9458
RE1,IMPCOA,1,2034,4410.0137
RE1,IMPCOA,1,2035,4556.3122
RE1,IMPCOA,1,2036,4676.8423
RE1,IMPCOA,1,2037,4777.0169
RE1,IMPCOA,1,2038,4877.406
RE1,IMPCOA,1,2039,4974.1385
RE1,IMPCOA,1,2040,5070.3849
RE1,IMPCOA,1,2041,5099.5938
RE1,IMPCOA,1,2042,5058.1748
RE1,IMPCOA,1,2043,5068.4348
RE1,IMPCOA,1,2044,5244.0187
RE1,IMPCOA,1,2045,5430.4369
RE1,IMPCOA,1,2046,5527.584
RE1,IMPCOA,1,2047,5637.405
RE1,IMPCOA,1,2048,5720.5452
RE1,IMPCOA,1,2049,5786.4342
RE1,IMPCOA,1,2050,5874.9624
RE1,IMPCOA,1,2051,6210.5434
RE1,IMPCOA,1,2052,6312.9557
RE1,IMPCOA,1,2053,6503.0468
RE1,IMPCOA,1,2054,6575.1502
RE1,IMPCOA,1,2055,6663.7432
RE1,IMPCOA,1,2056,6752.9736
RE1,IMPCOA,1,2057,6827.4276
RE1,IMPCOA,1,2058,6902.6823
RE1,IMPCOA,1,2059,6978.7463
RE1,IMPCOA,1,2060,7055.6285
RE1,IMPCOA,1,2061,7133.3378
RE1,IMPCOA,1,2062,7211.8832
RE1,IMPCOA,1,2063,7291.2737
RE1,IMPCOA,1,2064,7371.5187
RE1,IMPCOA,1,2065,7452.6273
RE1,IMPCOA,1,2066,7534.6089
RE1,IMPCOA,1,2067,7617.4732
RE1,IMPCOA,1,2068,7701.2296
RE1,IMPCOA,1,2069,7785.888
RE1,IMPCOA,1,2070,7871.4581
RE1,MINCOA,1,2015,1123.7542
RE1,MINCOA,1,2016,1123.7542
RE1,MINCOA,1,2017,1123.7542
RE1,MINCOA,1,2018,1123.7542
RE1,MINCOA,1,2019,1123.7542
RE1,MINCOA,1,2020,1123.7542
RE1,MINCOA,1,2021,1123.7542
RE1,MINCOA,1,2022,1209.3249
RE1,MINCOA,1,2023,1220.8178
RE1,MINCOA,1,2024,1232.2955
RE1,MINCOA,1,2025,3189.1005
RE1,MINCOA,1,2026,3295.3404
RE1,MINCOA,1,2027,3401.5031
RE1,MINCOA,1,2028,3507.5894
RE1,MINCOA,1,2029,3613.6004
RE1,MINCOA,1,2030,2620.6785
RE1,IMPLFO,1,2015,4957.7865
RE1,IMPLFO,1,2016,4965.6675
RE1,IMPLFO,1,2017,4963.433
RE1,IMPLFO,1,2018,4957.9118
RE1,IMPLFO,1,2019,4954.9689
RE1,IMPLFO,1,2020,4952.0353
RE1,IMPLFO,1,2021,4950.0332
RE1,IMPLFO,1,2022,6525.0251
RE1,IMPLFO,1,2023,6735.3902
RE1,IMPLFO,1,2024,4918.0419
RE1,IMPLFO,1,2025,6850.6895
RE1,IMPLFO,1,2026,6973.948
RE1,IMPLFO,1,2027,7097.1769
RE1,IMPLFO,1,2028,7220.3778
RE1,IMPLFO,1,2029,7343.5523
RE1,IMPLFO,1,2030,7466.7017
RE1,IMPLFO,1,2031,7569.1666
RE1,IMPLFO,1,2032,7671.5911
RE1,IMPLFO,1,2033,7773.9772
RE1,IMPLFO,1,2034,7876.3271
RE1,IMPLFO,1,2035,7978.6427
RE1,IMPLFO,1,2036,8071.7924
RE1,IMPLFO,1,2037,8164.9225
RE1,IMPLFO,1,2038,8258.0338
RE1,IMPLFO,1,2039,8350.4265
RE1,IMPLFO,1,2040,8442.8019
RE1,IMPLFO,1,2041,8530.8835
RE1,IMPLFO,1,2042,8618.9522
RE1,IMPLFO,1,2043,8707.0086
RE1,IMPLFO,1,2044,8795.053
RE1,IMPLFO,1,2045,8883.0859
RE1,IMPLFO,1,2046,8951.8267
RE1,IMPLFO,1,2047,9020.5623
RE1,IMPLFO,1,2048,9089.293
RE1,IMPLFO,1,2049,9158.0187
RE1,IMPLFO,1,2050,9226.7397
RE1,IMPLFO,1,2051,9297.0738
RE1,IMPLFO,1,2052,9367.9521
RE1,IMPLFO,1,2053,9439.3788
RE1,IMPLFO,1,2054,9511.3583
RE1,IMPLFO,1,2055,9583.8947
RE1,IMPLFO,1,2056,9656.9925
RE1,IMPLFO,1,2057,9730.6561
RE1,IMPLFO,1,2058,9804.8898
RE1,IMPLFO,1,2059,9879.6981
RE1,IMPLFO,1,2060,9955.0855
RE1,IMPLFO,1,2061,10031.056
RE1,IMPLFO,1,2062,10107.616
RE1,IMPLFO,1,2063,10184.767
RE1,IMPLFO,1,2064,10262.517
RE1,IMPLFO,1,2065,10340.868
RE1,IMPLFO,1,2066,10419.826
RE1,IMPLFO,1,2067,10499.395
RE1,IMPLFO,1,2068,10579.581
RE1,IMPLFO,1,2069,10660.387
RE1,IMPLFO,1,2070,10741.82
RE1,UPSREF001,1,2024,2141.65
RE1,MINNGS,1,2015,603.67
