y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.7564003029319484,0.00010003966965992282,3.387509656142107
2016,0.0,1.688834050791649,0.00010010193530408254,3.8785551075563793
2017,0.0,1.7421849245334897,9.99531817810245e-05,4.09395767292691
2018,0.0,1.7977278910547716,0.00010008072231523558,4.339163488033622
2019,0.0,1.8199612536464955,0.00010008227990126411,4.671166130267536
2020,0.0,1.8219075386814982,0.00010000673698078464,4.979036200317369
2021,0.0,1.8318378491756122,0.00010000524372064453,4.93996063342222
2022,0.0,1.4576108109358912,9.99641332392313e-05,5.749451247341506
2023,0.0,1.4156164738776522,9.994588378542922e-05,5.623086415264181
2024,0.0,1.489397266083779,9.991191439384051e-05,4.363503695806609
2025,2.4257834850734787,1.6696489490714015,9.998252424099601e-05,3.7644447894911135
2026,2.4606466496882633,1.638239023486548,9.998764949259999e-05,3.8035513993292387
2027,2.493552892519995,1.6240275657739989,9.994344712306005e-05,3.8413571168289056
2028,2.524660206061421,1.6080740867023868,9.995129079396006e-05,3.8779651779831017
2029,2.5802762040801683,1.5929856963256397,9.99596745498968e-05,3.9134711499241126
2030,2.6075200618699848,1.5585012646287726,9.996809528873764e-05,4.076955875164489
2031,2.8869019691271847,1.5106077286003146,0.00010002246686137947,4.671380819595518
2032,2.9080085381455447,1.4972742091255915,9.998732678113351e-05,4.746664233198724
2033,2.9279364441158715,1.4701133951775145,9.999702263224827e-05,4.821326157820287
2034,2.9468023817661346,1.4526877314795634,0.00010000745705976419,4.895452322142809
2035,2.989228983726077,1.4444931053279761,9.997779168601481e-05,5.007299343906693
2036,3.028044672895736,1.4343383330694952,0.00010000791514959636,5.110313235873554
2037,3.1364002001448084,1.4280880389904698,9.999844783162079e-05,5.185608707774095
2038,3.1547234027151894,1.3769965401348168,9.9989723172723e-05,5.260967270928462
2039,3.1686292644193927,1.3716036337431812,9.995407414598449e-05,5.32986609091996
2040,3.1816640672873064,1.3557030159352477,9.995712982335289e-05,5.39804632484916
2041,3.1432488993529355,1.3303336403938049,9.999856065403879e-05,5.462494532377714
2042,3.0918374710599505,1.2949783130485806,9.99685388968818e-05,5.564299670659047
2043,3.042227721263543,1.2731787738995108,9.997498888394843e-05,5.631998639012771
2044,3.1155704792805783,1.268084793973727,9.998258500056342e-05,5.6024016703342685
2045,3.1942550487432184,1.2658589406108143,9.99892556877703e-05,5.568107053684644
2046,3.223900345853674,1.2620249799191454,9.997278297409071e-05,5.609883075421377
2047,3.261828211108369,1.2467262822826768,9.999015521937454e-05,5.666109409297525
2048,3.280308658930305,1.2430568273633178,9.997436554729553e-05,5.69580778931805
2049,3.2865057250303797,1.2424774490015307,9.995924615004476e-05,5.710528144449183
2050,3.308018493273299,1.2346824386729425,9.997683076620337e-05,5.745400691617918
2051,3.67390553530134,1.1867292353070382,0.00010000313784555524,5.98140720228428
2052,3.6975691523585974,1.1843371759713108,9.99851092607989e-05,6.007579739139525
2053,3.78607812064046,1.1822116511167136,9.998589156131344e-05,5.9690279029147515
2054,3.7877762585648145,1.1826599067273929,0.0001000042451771755,5.9711786062824235
2055,2.426425921071949,1.1817690845644664,0.00010000959324635456,5.985304272632946
2056,2.3943146173585315,1.1810247723716032,0.0001000023711291317,5.999025687523087
2057,2.353364788653377,1.1816230194661532,9.998271107868218e-05,6.000826837432164
2058,2.3135857429430846,1.1822181951977007,0.00010000927084781901,6.002626606835624
2059,2.2591468469869835,1.1828051019560555,9.999398489348964e-05,6.004398654409549
2060,2.2217984336319563,1.1833821742811914,9.999461937760357e-05,6.006134978231211
2061,2.021693469992895,1.1839578340239667,0.00010001119946242579,6.007878110145692
2062,1.9802341428498882,1.1845238022737905,0.00010001467140211543,6.009585384680766
2063,1.9400004188816644,1.1850850760443268,0.00010000574745675039,6.011282445064557
2064,1.900961016847909,1.1856370042050233,9.998430557585008e-05,6.012945113376755
2065,1.8468330059075668,1.1861844439153197,0.0001000045480934125,6.014598858688477
2066,1.8051959245476843,1.1867228400025396,0.00010001163848741985,6.016219207040942
2067,1.7168936108815314,1.187260176528277,0.00010000653808434128,6.017846979239375
2068,1.6892074627001823,1.1877887899716346,9.998888150528903e-05,6.019443268126965
2069,1.664384072213092,1.188307372156222,0.00010000997031912691,6.021001791524547
2070,1.6406698384816814,1.1888238669251594,9.999317538995063e-05,6.022561647827577
