r,t,y,NewCapacity
RE1,MINOIL,2024,2141.6499
RE1,MINBIO,2015,1343.7422
RE1,MINBIO,2016,1183.185
RE1,MINBIO,2017,1211.1125
RE1,MINBIO,2018,1231.6783
RE1,MINBIO,2019,1237.7445
RE1,MINBIO,2020,1256.2063
RE1,MINBIO,2021,1273.0017
RE1,MINBIO,2022,1385.8483
RE1,MINBIO,2023,1400.7384
RE1,MINBIO,2024,1415.6051
RE1,MINBIO,2025,1430.4498
RE1,MINBIO,2026,1446.8151
RE1,MINBIO,2027,1463.1558
RE1,MINBIO,2028,1479.4734
RE1,MINBIO,2029,1495.769
RE1,MINBIO,2030,1512.0439
RE1,MINBIO,2031,1354.8229
RE1,MINBIO,2032,1369.4775
RE1,MINBIO,2033,1384.1004
RE1,MINBIO,2034,1398.6933
RE1,MINBIO,2035,1413.2578
RE1,MINBIO,2036,1426.0341
RE1,MINBIO,2037,1438.7942
RE1,MINBIO,2038,1451.5387
RE1,MINBIO,2039,1464.2683
RE1,MINBIO,2040,1476.9834
RE1,MINBIO,2041,1489.9131
RE1,MINBIO,2042,1502.8321
RE1,MINBIO,2043,1515.7409
RE1,MINBIO,2044,1528.6398
RE1,MINBIO,2045,1541.5291
RE1,MINBIO,2046,1526.8019
RE1,MINBIO,2047,1512.1281
RE1,MINBIO,2048,1509.8037
RE1,MINBIO,2049,1519.6554
RE1,MINBIO,2050,1517.0921
RE1,MINBIO,2051,1403.1227
RE1,MINBIO,2052,1388.7514
RE1,MINBIO,2053,1386.8117
RE1,MINBIO,2054,1397.1311
RE1,MINBIO,2055,1395.1189
RE1,MINBIO,2056,1393.3021
RE1,MINBIO,2057,1403.8619
RE1,MINBIO,2058,1414.5029
RE1,MINBIO,2059,1425.2259
RE1,MINBIO,2060,1436.0315
RE1,MINBIO,2061,1446.9204
RE1,MINBIO,2062,1457.8931
RE1,MINBIO,2063,1468.9504
RE1,MINBIO,2064,1480.0929
RE1,MINBIO,2065,1491.3212
RE1,MINBIO,2066,1502.6361
RE1,MINBIO,2067,1514.0382
RE1,MINBIO,2068,1525.5282
RE1,MINBIO,2069,1537.1067
RE1,MINBIO,2070,1548.7745
RE1,IMPCOA,2030,1098.8583
RE1,IMPCOA,2031,4055.5407
RE1,IMPCOA,2032,4173.7884
RE1,IMPCOA,2033,4291.9456
RE1,IMPCOA,2034,4410.0136
RE1,IMPCOA,2035,4556.312
RE1,IMPCOA,2036,4676.8421
RE1,IMPCOA,2037,4777.0167
RE1,IMPCOA,2038,4877.4059
RE1,IMPCOA,2039,4974.1384
RE1,IMPCOA,2040,5070.3847
RE1,IMPCOA,2041,5099.5937
RE1,IMPCOA,2042,5058.1747
RE1,IMPCOA,2043,5068.4346
RE1,IMPCOA,2044,5244.0186
RE1,IMPCOA,2045,5430.4367
RE1,IMPCOA,2046,5527.5838
RE1,IMPCOA,2047,5637.4048
RE1,IMPCOA,2048,5720.545
RE1,IMPCOA,2049,5786.434
RE1,IMPCOA,2050,5874.9622
RE1,IMPCOA,2051,6210.5432
RE1,IMPCOA,2052,6312.9555
RE1,IMPCOA,2053,6515.3505
RE1,IMPCOA,2054,6588.2417
RE1,IMPCOA,2055,6677.7804
RE1,IMPCOA,2056,6768.4971
RE1,IMPCOA,2057,6844.4542
RE1,IMPCOA,2058,6921.2286
RE1,IMPCOA,2059,6998.8293
RE1,IMPCOA,2060,7077.2654
RE1,IMPCOA,2061,7156.5458
RE1,IMPCOA,2062,7236.6799
RE1,IMPCOA,2063,7317.6768
RE1,IMPCOA,2064,7399.5461
RE1,IMPCOA,2065,7482.2972
RE1,IMPCOA,2066,7565.9396
RE1,IMPCOA,2067,7650.4832
RE1,IMPCOA,2068,7735.9377
RE1,IMPCOA,2069,7822.313
RE1,IMPCOA,2070,7909.6192
RE1,MINCOA,2015,1123.7542
RE1,MINCOA,2016,1123.7542
RE1,MINCOA,2017,1123.7542
RE1,MINCOA,2018,1123.7542
RE1,MINCOA,2019,1123.7542
RE1,MINCOA,2020,1123.7542
RE1,MINCOA,2021,1123.7542
RE1,MINCOA,2022,1209.3249
RE1,MINCOA,2023,1220.8178
RE1,MINCOA,2024,1232.2955
RE1,MINCOA,2025,3189.1004
RE1,MINCOA,2026,3295.3403
RE1,MINCOA,2027,3401.5029
RE1,MINCOA,2028,3507.5893
RE1,MINCOA,2029,3613.6003
RE1,MINCOA,2030,2620.6784
RE1,IMPLFO,2015,4957.7864
RE1,IMPLFO,2016,4965.6674
RE1,IMPLFO,2017,4963.4328
RE1,IMPLFO,2018,4957.9116
RE1,IMPLFO,2019,4954.9687
RE1,IMPLFO,2020,4952.0351
RE1,IMPLFO,2021,4950.0331
RE1,IMPLFO,2022,6525.0249
RE1,IMPLFO,2023,6735.39
RE1,IMPLFO,2024,4918.0418
RE1,IMPLFO,2025,6850.6893
RE1,IMPLFO,2026,6973.9478
RE1,IMPLFO,2027,7097.1767
RE1,IMPLFO,2028,7220.3776
RE1,IMPLFO,2029,7343.5521
RE1,IMPLFO,2030,7466.7014
RE1,IMPLFO,2031,7569.1664
RE1,IMPLFO,2032,7671.5908
RE1,IMPLFO,2033,7773.977
RE1,IMPLFO,2034,7876.3269
RE1,IMPLFO,2035,7978.6425
RE1,IMPLFO,2036,8071.7921
RE1,IMPLFO,2037,8164.9222
RE1,IMPLFO,2038,8258.0335
RE1,IMPLFO,2039,8350.4263
RE1,IMPLFO,2040,8442.8016
RE1,IMPLFO,2041,8530.8832
RE1,IMPLFO,2042,8618.952
RE1,IMPLFO,2043,8707.0083
RE1,IMPLFO,2044,8795.0527
RE1,IMPLFO,2045,8883.0856
RE1,IMPLFO,2046,8951.8264
RE1,IMPLFO,2047,9020.5621
RE1,IMPLFO,2048,9089.2927
RE1,IMPLFO,2049,9158.0185
RE1,IMPLFO,2050,9226.7394
RE1,IMPLFO,2051,9297.0735
RE1,IMPLFO,2052,9367.9518
RE1,IMPLFO,2053,9439.3785
RE1,IMPLFO,2054,9511.358
RE1,IMPLFO,2055,9583.8944
RE1,IMPLFO,2056,9656.9922
RE1,IMPLFO,2057,9730.6558
RE1,IMPLFO,2058,9804.8895
RE1,IMPLFO,2059,9879.6978
RE1,IMPLFO,2060,9955.0851
RE1,IMPLFO,2061,10031.056
RE1,IMPLFO,2062,10107.615
RE1,IMPLFO,2063,10184.767
RE1,IMPLFO,2064,10262.516
RE1,IMPLFO,2065,10340.868
RE1,IMPLFO,2066,10419.825
RE1,IMPLFO,2067,10499.395
RE1,IMPLFO,2068,10579.58
RE1,IMPLFO,2069,10660.387
RE1,IMPLFO,2070,10741.82
RE1,MINNGS,2015,603.67
RE1,MINNGS,2016,651.4837
RE1,MINNGS,2017,598.0397
RE1,MINNGS,2018,568.0301
RE1,MINNGS,2019,562.9858
RE1,MINNGS,2020,553.2998
RE1,MINNGS,2021,542.5109
RE1,MINNGS,2022,909.3524
RE1,MINNGS,2023,909.3524
RE1,MINNGS,2024,398.427
RE1,MINNGS,2041,36.4778
RE1,MINNGS,2042,110.4734
RE1,MINNGS,2043,156.3458
RE1,MINNGS,2044,112.3736
RE1,MINNGS,2045,62.4298
RE1,MINNGS,2046,62.4298
RE1,MINNGS,2047,62.4298
RE1,MINNGS,2048,62.4298
RE1,MINNGS,2049,62.4298
RE1,MINNGS,2050,62.4298
RE1,MINNGS,2051,62.4298
RE1,MINNGS,2052,62.4298
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,33.282
RE1,MINSOL,2017,36.6855
RE1,MINSOL,2018,40.2789
RE1,MINSOL,2019,40.5636
RE1,MINSOL,2020,40.5636
RE1,MINSOL,2021,41.6077
RE1,MINSOL,2022,41.6077
RE1,MINSOL,2023,41.6077
RE1,MINSOL,2024,41.6077
RE1,MINSOL,2025,41.6077
RE1,MINSOL,2026,41.6077
RE1,MINSOL,2027,41.6077
RE1,MINSOL,2028,41.6077
RE1,MINSOL,2029,41.6077
RE1,MINSOL,2030,41.6077
RE1,MINSOL,2031,41.6077
RE1,MINSOL,2032,41.6077
RE1,MINSOL,2033,41.6077
RE1,MINSOL,2034,41.6077
RE1,MINSOL,2035,22.4274
RE1,MINSOL,2036,8.3727
RE1,MINSOL,2037,4.9692
RE1,MINSOL,2038,1.3759
RE1,MINSOL,2039,1.0911
RE1,MINSOL,2040,1.0911
RE1,MINSOL,2041,0.047
RE1,MINSOL,2042,0.047
RE1,MINSOL,2043,0.047
RE1,MINWND,2015,1.5132
RE1,MINWND,2016,3.2785
RE1,MINWND,2017,4.061
RE1,MINWND,2018,7.1325
RE1,MINWND,2019,9.745
RE1,MINWND,2020,9.745
RE1,MINWND,2021,9.9907
RE1,MINWND,2022,9.9907
RE1,MINWND,2023,9.9907
RE1,MINWND,2024,9.9907
RE1,MINWND,2025,9.9907
RE1,MINWND,2026,9.9907
RE1,MINWND,2027,9.9907
RE1,MINWND,2028,9.9907
RE1,MINWND,2029,9.9907
RE1,MINWND,2030,9.9907
RE1,MINWND,2031,9.9907
RE1,MINWND,2032,9.9907
RE1,MINWND,2033,9.9907
RE1,MINWND,2034,9.9907
RE1,MINWND,2035,9.9907
RE1,MINWND,2036,8.2254
RE1,MINWND,2037,8.2254
RE1,MINWND,2038,8.2254
RE1,MINWND,2039,8.2254
RE1,MINWND,2040,8.2254
RE1,MINWND,2041,8.2254
RE1,MINWND,2042,8.2254
RE1,MINWND,2043,8.2254
RE1,MINWND,2044,8.2254
RE1,MINWND,2045,8.2254
RE1,MINWND,2046,8.2254
RE1,MINWND,2047,3.2785
RE1,MINWND,2048,2.5866
RE1,MINWND,2049,2.5866
RE1,MINHYD,2015,51.7481
RE1,MINHYD,2016,51.7481
RE1,MINHYD,2017,51.7481
RE1,MINHYD,2018,51.7481
RE1,MINHYD,2019,51.7481
RE1,MINHYD,2020,51.7481
RE1,MINHYD,2021,51.7481
RE1,MINHYD,2022,51.7481
RE1,MINHYD,2023,51.7481
RE1,MINHYD,2024,51.7481
RE1,MINHYD,2025,51.7481
RE1,MINHYD,2026,51.7481
RE1,MINHYD,2027,51.7481
RE1,MINHYD,2028,51.7481
RE1,MINHYD,2029,51.7481
RE1,MINHYD,2030,51.7481
RE1,MINHYD,2031,51.7481
RE1,MINHYD,2032,51.7481
RE1,MINHYD,2033,51.7481
RE1,MINHYD,2034,51.7481
RE1,MINHYD,2035,51.7481
RE1,MINHYD,2036,51.7481
RE1,MINHYD,2037,51.7481
RE1,MINHYD,2038,51.7481
