r,t,y,TotalCapacityAnnual
RE1,MINOIL,2024,2141.6499
RE1,MINBIO,2015,997.3838
RE1,MINBIO,2016,1010.0058
RE1,MINBIO,2017,1037.9333
RE1,MINBIO,2018,1058.4991
RE1,MINBIO,2019,1064.5653
RE1,MINBIO,2020,1083.0271
RE1,MINBIO,2021,1099.8225
RE1,MINBIO,2022,1212.6691
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,1242.4259
RE1,MINBIO,2025,1257.2706
RE1,MINBIO,2026,1273.6359
RE1,MINBIO,2027,1289.9767
RE1,MINBIO,2028,1306.2942
RE1,MINBIO,2029,1322.5898
RE1,MINBIO,2030,1338.8647
RE1,MINBIO,2031,1181.6437
RE1,MINBIO,2032,1196.2983
RE1,MINBIO,2033,1210.9212
RE1,MINBIO,2034,1225.5141
RE1,MINBIO,2035,1240.0786
RE1,MINBIO,2036,1252.8549
RE1,MINBIO,2037,1265.615
RE1,MINBIO,2038,1278.3595
RE1,MINBIO,2039,1291.0891
RE1,MINBIO,2040,1303.8042
RE1,MINBIO,2041,1316.7339
RE1,MINBIO,2042,1329.653
RE1,MINBIO,2043,1342.5617
RE1,MINBIO,2044,1355.4606
RE1,MINBIO,2045,1368.3499
RE1,MINBIO,2046,1353.6227
RE1,MINBIO,2047,1338.9489
RE1,MINBIO,2048,1336.6245
RE1,MINBIO,2049,1346.4763
RE1,MINBIO,2050,1343.9129
RE1,MINBIO,2051,1341.7018
RE1,MINBIO,2052,1351.8642
RE1,MINBIO,2053,1362.1048
RE1,MINBIO,2054,1372.4242
RE1,MINBIO,2055,1382.8231
RE1,MINBIO,2056,1393.3021
RE1,MINBIO,2057,1403.8619
RE1,MINBIO,2058,1414.5029
RE1,MINBIO,2059,1425.2259
RE1,MINBIO,2060,1436.0315
RE1,MINBIO,2061,1446.9204
RE1,MINBIO,2062,1457.8931
RE1,MINBIO,2063,1468.9504
RE1,MINBIO,2064,1480.0929
RE1,MINBIO,2065,1491.3212
RE1,MINBIO,2066,1502.6361
RE1,MINBIO,2067,1514.0382
RE1,MINBIO,2068,1525.5282
RE1,MINBIO,2069,1537.1067
RE1,MINBIO,2070,1548.7745
RE1,IMPCOA,2028,3052.2819
RE1,IMPCOA,2029,3832.8728
RE1,IMPCOA,2030,3938.8091
RE1,IMPCOA,2031,4274.8132
RE1,IMPCOA,2032,4393.0609
RE1,IMPCOA,2033,4511.2181
RE1,IMPCOA,2034,4629.2861
RE1,IMPCOA,2035,4775.5845
RE1,IMPCOA,2036,4896.1147
RE1,IMPCOA,2037,4996.2892
RE1,IMPCOA,2038,5096.6784
RE1,IMPCOA,2039,5106.5479
RE1,IMPCOA,2040,5116.408
RE1,IMPCOA,2041,5202.2061
RE1,IMPCOA,2042,5296.9227
RE1,IMPCOA,2043,5391.5776
RE1,IMPCOA,2044,5578.1481
RE1,IMPCOA,2045,5764.5662
RE1,IMPCOA,2046,5861.7133
RE1,IMPCOA,2047,5971.5344
RE1,IMPCOA,2048,6054.6745
RE1,IMPCOA,2049,6120.5636
RE1,IMPCOA,2050,6209.0917
RE1,IMPCOA,2051,6403.1689
RE1,IMPCOA,2052,6474.5176
RE1,IMPCOA,2053,6546.6334
RE1,IMPCOA,2054,6619.5246
RE1,IMPCOA,2055,6693.3487
RE1,IMPCOA,2056,6768.4971
RE1,IMPCOA,2057,6844.4542
RE1,IMPCOA,2058,6921.2286
RE1,IMPCOA,2059,6998.8293
RE1,IMPCOA,2060,7077.2654
RE1,IMPCOA,2061,7156.5458
RE1,IMPCOA,2062,7236.6799
RE1,IMPCOA,2063,7317.6768
RE1,IMPCOA,2064,7399.5461
RE1,IMPCOA,2065,7482.2972
RE1,IMPCOA,2066,7565.9396
RE1,IMPCOA,2067,7650.4832
RE1,IMPCOA,2068,7735.9377
RE1,IMPCOA,2069,7822.313
RE1,IMPCOA,2070,7909.6192
RE1,MINCOA,2015,1123.7542
RE1,MINCOA,2016,1123.7542
RE1,MINCOA,2017,1123.7542
RE1,MINCOA,2018,1123.7542
RE1,MINCOA,2019,1123.7542
RE1,MINCOA,2020,2341.1269
RE1,MINCOA,2021,2341.1269
RE1,MINCOA,2022,3114.3237
RE1,MINCOA,2023,3212.4117
RE1,MINCOA,2024,3310.4278
RE1,MINCOA,2025,3408.3729
RE1,MINCOA,2026,3514.6128
RE1,MINCOA,2027,3620.7755
RE1,MINCOA,2028,674.5799
RE1,IMPLFO,2015,4957.7864
RE1,IMPLFO,2016,4965.6674
RE1,IMPLFO,2017,4963.4328
RE1,IMPLFO,2018,4957.9116
RE1,IMPLFO,2019,4954.9687
RE1,IMPLFO,2020,4952.0351
RE1,IMPLFO,2021,4950.0331
RE1,IMPLFO,2022,6518.1763
RE1,IMPLFO,2023,6629.0416
RE1,IMPLFO,2024,4812.3938
RE1,IMPLFO,2025,6850.6893
RE1,IMPLFO,2026,6973.9478
RE1,IMPLFO,2027,7097.1767
RE1,IMPLFO,2028,7220.3776
RE1,IMPLFO,2029,7343.5521
RE1,IMPLFO,2030,7466.7014
RE1,IMPLFO,2031,7569.1664
RE1,IMPLFO,2032,7671.5908
RE1,IMPLFO,2033,7773.977
RE1,IMPLFO,2034,7876.3269
RE1,IMPLFO,2035,7978.6425
RE1,IMPLFO,2036,8071.7921
RE1,IMPLFO,2037,8164.9222
RE1,IMPLFO,2038,8258.0335
RE1,IMPLFO,2039,8350.4263
RE1,IMPLFO,2040,8442.8016
RE1,IMPLFO,2041,8530.8832
RE1,IMPLFO,2042,8618.952
RE1,IMPLFO,2043,8707.0083
RE1,IMPLFO,2044,8795.0527
RE1,IMPLFO,2045,8883.0856
RE1,IMPLFO,2046,8951.8264
RE1,IMPLFO,2047,9020.5621
RE1,IMPLFO,2048,9089.2927
RE1,IMPLFO,2049,9158.0185
RE1,IMPLFO,2050,9226.7394
RE1,IMPLFO,2051,9297.0735
RE1,IMPLFO,2052,9367.9518
RE1,IMPLFO,2053,9439.3785
RE1,IMPLFO,2054,9511.358
RE1,IMPLFO,2055,9583.8944
RE1,IMPLFO,2056,9656.9922
RE1,IMPLFO,2057,9730.6558
RE1,IMPLFO,2058,9804.8895
RE1,IMPLFO,2059,9879.6978
RE1,IMPLFO,2060,9955.0851
RE1,IMPLFO,2061,10031.056
RE1,IMPLFO,2062,10107.615
RE1,IMPLFO,2063,10184.767
RE1,IMPLFO,2064,10262.516
RE1,IMPLFO,2065,10340.868
RE1,IMPLFO,2066,10419.825
RE1,IMPLFO,2067,10499.395
RE1,IMPLFO,2068,10579.58
RE1,IMPLFO,2069,10660.387
RE1,IMPLFO,2070,10741.82
RE1,UPSREF001,2015,2876.6643
RE1,UPSREF001,2016,2876.6643
RE1,UPSREF001,2017,2876.6643
RE1,UPSREF001,2018,2876.6643
RE1,UPSREF001,2019,2876.6643
RE1,UPSREF001,2020,2876.6643
RE1,UPSREF001,2021,2876.6643
RE1,UPSREF001,2022,2876.6643
RE1,UPSREF001,2023,2876.6643
RE1,UPSREF001,2024,2876.6643
RE1,UPSREF001,2025,2876.6643
RE1,UPSREF001,2026,2876.6643
RE1,UPSREF001,2027,2876.6643
RE1,UPSREF001,2028,2876.6643
RE1,UPSREF001,2029,2876.6643
RE1,UPSREF001,2030,2876.6643
RE1,UPSREF001,2031,2876.6643
RE1,UPSREF001,2032,2876.6643
