r,t,f,y,UseByTechnologyAnnual
RE1,DEMCOMELC,ELC003,2015,152.8569
RE1,DEMCOMELC,ELC003,2016,152.8569
RE1,DEMCOMELC,ELC003,2017,152.8569
RE1,DEMCOMELC,ELC003,2018,152.8569
RE1,DEMCOMELC,ELC003,2019,152.8569
RE1,DEMCOMELC,ELC003,2020,152.8569
RE1,DEMCOMELC,ELC003,2021,152.8569
RE1,DEMCOMELC,ELC003,2022,225.4689
RE1,DEMCOMELC,ELC003,2023,231.9071
RE1,DEMCOMELC,ELC003,2024,238.3453
RE1,DEMCOMELC,ELC003,2025,244.7836
RE1,DEMCOMELC,ELC003,2026,251.7406
RE1,DEMCOMELC,ELC003,2027,258.6977
RE1,DEMCOMELC,ELC003,2028,265.6548
RE1,DEMCOMELC,ELC003,2029,272.6118
RE1,DEMCOMELC,ELC003,2030,279.5689
RE1,DEMCOMELC,ELC003,2031,287.5207
RE1,DEMCOMELC,ELC003,2032,295.4726
RE1,DEMCOMELC,ELC003,2033,303.4244
RE1,DEMCOMELC,ELC003,2034,311.3763
RE1,DEMCOMELC,ELC003,2035,319.3281
RE1,DEMCOMELC,ELC003,2036,325.7299
RE1,DEMCOMELC,ELC003,2037,332.1317
RE1,DEMCOMELC,ELC003,2038,338.5335
RE1,DEMCOMELC,ELC003,2039,344.9353
RE1,DEMCOMELC,ELC003,2040,351.3371
RE1,DEMCOMELC,ELC003,2041,357.6059
RE1,DEMCOMELC,ELC003,2042,363.8748
RE1,DEMCOMELC,ELC003,2043,370.1436
RE1,DEMCOMELC,ELC003,2044,376.4125
RE1,DEMCOMELC,ELC003,2045,382.6814
RE1,DEMCOMELC,ELC003,2046,387.0464
RE1,DEMCOMELC,ELC003,2047,391.4115
RE1,DEMCOMELC,ELC003,2048,395.7765
RE1,DEMCOMELC,ELC003,2049,400.1416
RE1,DEMCOMELC,ELC003,2050,404.5066
RE1,DEMCOMELC,ELC003,2051,409.0188
RE1,DEMCOMELC,ELC003,2052,413.5814
RE1,DEMCOMELC,ELC003,2053,418.1948
RE1,DEMCOMELC,ELC003,2054,422.8597
RE1,DEMCOMELC,ELC003,2055,427.5766
RE1,DEMCOMELC,ELC003,2056,432.3462
RE1,DEMCOMELC,ELC003,2057,437.1689
RE1,DEMCOMELC,ELC003,2058,442.0455
RE1,DEMCOMELC,ELC003,2059,446.9764
RE1,DEMCOMELC,ELC003,2060,451.9624
RE1,DEMCOMELC,ELC003,2061,457.004
RE1,DEMCOMELC,ELC003,2062,462.1018
RE1,DEMCOMELC,ELC003,2063,467.2564
RE1,DEMCOMELC,ELC003,2064,472.4686
RE1,DEMCOMELC,ELC003,2065,477.7389
RE1,DEMCOMELC,ELC003,2066,483.068
RE1,DEMCOMELC,ELC003,2067,488.4566
RE1,DEMCOMELC,ELC003,2068,493.9052
RE1,DEMCOMELC,ELC003,2069,499.4147
RE1,DEMCOMELC,ELC003,2070,504.9856
RE1,DEMCOMHEBIO,BIO,2015,37.1452
RE1,DEMCOMHEBIO,BIO,2016,37.1452
RE1,DEMCOMHEBIO,BIO,2017,37.1452
RE1,DEMCOMHEBIO,BIO,2018,37.1452
RE1,DEMCOMHEBIO,BIO,2019,37.1452
RE1,DEMCOMHEBIO,BIO,2020,37.1452
RE1,DEMCOMHEBIO,BIO,2021,37.1452
