r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2019,41.9228
RE1,PWRCOA001,2020,819.1352
RE1,PWRCOA001,2021,37.0552
RE1,PWRCOA001,2022,50.0848
RE1,PWRCOA001,2023,53.4074
RE1,PWRCOA001,2024,56.5659
RE1,PWRCOA001,2025,189.0259
RE1,PWRCOA001,2026,67.5927
RE1,PWRCOA001,2027,70.5298
RE1,PWRCOA001,2028,73.3211
RE1,PWRCOA001,2029,96.8674
RE1,PWRCOA001,2030,78.4944
RE1,PWRCOA001,2031,317.2484
RE1,PWRCOA001,2032,38.3484
RE1,PWRCOA001,2036,108.4977
RE1,PWRCOA001,2037,195.6719
RE1,PWRCOA001,2038,260.0468
RE1,PWRCOA001,2039,90.0495
RE1,PWRCOA001,2040,133.6119
RE1,PWRCOA001,2041,117.3524
RE1,PWRCOA001,2042,147.7102
RE1,PWRCOA001,2043,92.803
RE1,PWRCOA001,2044,196.3352
RE1,PWRCOA001,2045,198.5059
RE1,PWRCOA001,2046,101.7127
RE1,PWRCOA001,2047,117.3813
RE1,PWRCOA001,2048,87.525
RE1,PWRCOA001,2049,68.0999
RE1,PWRCOA001,2050,95.5127
RE1,PWRCOA001,2051,222.1149
RE1,PWRCOA001,2052,76.0978
RE1,PWRCOA001,2053,77.5199
RE1,PWRCOA001,2054,78.9367
RE1,PWRCOA001,2055,80.532
RE1,PWRCOA001,2056,82.5992
RE1,PWRCOA001,2057,84.0186
RE1,PWRCOA001,2058,85.4355
RE1,PWRCOA001,2059,86.8504
RE1,PWRCOA001,2060,88.2641
RE1,PWRCOA001,2061,89.677
RE1,PWRCOA001,2062,91.0898
RE1,PWRCOA001,2063,92.5032
RE1,PWRCOA001,2064,93.9176
RE1,PWRCOA001,2065,95.3337
RE1,PWRCOA001,2066,96.7519
RE1,PWRCOA001,2067,98.1728
RE1,PWRCOA001,2068,99.5969
RE1,PWRCOA001,2069,101.0247
RE1,PWRCOA001,2070,102.4567
RE1,PWRTRN,2033,1.8224
RE1,PWRTRN,2034,9.2994
RE1,PWRTRN,2035,9.793
RE1,PWRTRN,2036,8.2123
RE1,PWRTRN,2037,8.5692
RE1,PWRTRN,2038,8.9083
RE1,PWRTRN,2039,9.3608
RE1,PWRTRN,2040,9.6714
RE1,PWRTRN,2041,9.7558
RE1,PWRTRN,2042,10.0303
RE1,PWRTRN,2043,10.291
RE1,PWRTRN,2044,10.5387
RE1,PWRTRN,2045,10.774
RE1,PWRTRN,2046,7.5899
RE1,PWRTRN,2047,7.7364
RE1,PWRTRN,2048,7.8754
RE1,PWRTRN,2049,8.0074
RE1,PWRTRN,2050,8.1327
RE1,PWRTRN,2051,601.3419
RE1,PWRTRN,2052,9.0228
RE1,PWRTRN,2053,9.2462
RE1,PWRTRN,2054,9.4676
RE1,PWRTRN,2055,9.6871
RE1,PWRTRN,2056,9.9048
RE1,PWRTRN,2057,10.1209
RE1,PWRTRN,2058,10.3355
RE1,PWRTRN,2059,10.5487
RE1,PWRTRN,2060,10.7607
RE1,PWRTRN,2061,10.9716
RE1,PWRTRN,2062,11.1814
RE1,PWRTRN,2063,11.3904
RE1,PWRTRN,2064,11.5986
RE1,PWRTRN,2065,11.8061
RE1,PWRTRN,2066,12.013
RE1,PWRTRN,2067,12.2194
RE1,PWRTRN,2068,12.4255
RE1,PWRTRN,2069,12.6313
RE1,PWRTRN,2070,12.8369
RE1,PWRDIST,2036,5.5767
RE1,PWRDIST,2037,5.9484
RE1,PWRDIST,2038,6.0075
RE1,PWRDIST,2039,6.1478
RE1,PWRDIST,2040,6.2022
RE1,PWRDIST,2041,6.1241
RE1,PWRDIST,2042,6.1724
RE1,PWRDIST,2043,6.2183
RE1,PWRDIST,2044,6.2621
RE1,PWRDIST,2045,6.3038
RE1,PWRDIST,2046,4.4171
RE1,PWRDIST,2047,4.4434
RE1,PWRDIST,2048,4.4685
RE1,PWRDIST,2049,4.4924
RE1,PWRDIST,2050,4.5151
RE1,PWRDIST,2051,337.2016
RE1,PWRDIST,2052,4.7637
RE1,PWRDIST,2053,4.8376
RE1,PWRDIST,2054,4.9115
RE1,PWRDIST,2055,4.9856
RE1,PWRDIST,2056,5.0598
RE1,PWRDIST,2057,5.1341
RE1,PWRDIST,2058,5.2085
RE1,PWRDIST,2059,5.2832
RE1,PWRDIST,2060,5.3581
RE1,PWRDIST,2061,5.4332
RE1,PWRDIST,2062,5.5086
RE1,PWRDIST,2063,5.5843
RE1,PWRDIST,2064,5.6604
RE1,PWRDIST,2065,5.7367
RE1,PWRDIST,2066,5.8134
