r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,212.3862
RE1,PWRBIO001,2016,242.7678
RE1,PWRBIO001,2017,273.0782
RE1,PWRBIO001,2018,288.1263
RE1,PWRBIO001,2019,288.1263
RE1,PWRBIO001,2020,303.4598
RE1,PWRBIO001,2021,318.6506
RE1,PWRBIO001,2022,318.6506
RE1,PWRBIO001,2023,318.6506
RE1,PWRBIO001,2024,318.6506
RE1,PWRBIO001,2025,318.6506
RE1,PWRBIO001,2026,318.6506
RE1,PWRBIO001,2027,318.6506
RE1,PWRBIO001,2028,318.6506
RE1,PWRBIO001,2029,318.6506
RE1,PWRBIO001,2030,318.6506
RE1,PWRBIO001,2031,106.2644
RE1,PWRBIO001,2032,106.2644
RE1,PWRBIO001,2033,106.2644
RE1,PWRBIO001,2034,106.2644
RE1,PWRBIO001,2035,106.2644
RE1,PWRBIO001,2036,106.2644
RE1,PWRBIO001,2037,106.2644
RE1,PWRBIO001,2038,106.2644
RE1,PWRBIO001,2039,106.2644
RE1,PWRBIO001,2040,106.2644
RE1,PWRBIO001,2041,106.2644
RE1,PWRBIO001,2042,106.2644
RE1,PWRBIO001,2043,106.2644
RE1,PWRBIO001,2044,106.2644
RE1,PWRBIO001,2045,106.2644
RE1,PWRBIO001,2046,75.8828
RE1,PWRBIO001,2047,45.5725
RE1,PWRBIO001,2048,30.5243
RE1,PWRBIO001,2049,30.5243
RE1,PWRBIO001,2050,15.1908
RE1,PWRCOA001,2015,282.6565
RE1,PWRCOA001,2016,282.6565
RE1,PWRCOA001,2017,282.6565
RE1,PWRCOA001,2018,282.6565
RE1,PWRCOA001,2019,346.6325
RE1,PWRCOA001,2020,1483.3017
RE1,PWRCOA001,2021,1530.6331
RE1,PWRCOA001,2022,1590.1045
RE1,PWRCOA001,2023,1649.5368
RE1,PWRCOA001,2024,1708.9303
RE1,PWRCOA001,2025,1768.2849
RE1,PWRCOA001,2026,1832.514
RE1,PWRCOA001,2027,1896.7011
RE1,PWRCOA001,2028,1960.8462
RE1,PWRCOA001,2029,2024.9493
RE1,PWRCOA001,2030,2089.0106
RE1,PWRCOA001,2031,2311.8238
RE1,PWRCOA001,2032,2385.2005
