r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2024,156982.95
RE1,MINBIO,EMIC02,2015,108315.31
RE1,MINBIO,EMIC02,2016,103930.07
RE1,MINBIO,EMIC02,2017,107790.26
RE1,MINBIO,EMIC02,2018,111663.82
RE1,MINBIO,EMIC02,2019,113739.16
RE1,MINBIO,EMIC02,2020,117051.73
RE1,MINBIO,EMIC02,2021,119775.43
RE1,MINBIO,EMIC02,2022,121266.92
RE1,MINBIO,EMIC02,2023,122755.92
RE1,MINBIO,EMIC02,2024,124242.59
RE1,MINBIO,EMIC02,2025,125727.07
RE1,MINBIO,EMIC02,2026,127363.6
RE1,MINBIO,EMIC02,2027,128997.67
RE1,MINBIO,EMIC02,2028,130629.42
RE1,MINBIO,EMIC02,2029,132258.99
RE1,MINBIO,EMIC02,2030,133886.48
RE1,MINBIO,EMIC02,2031,118164.37
RE1,MINBIO,EMIC02,2032,119629.83
RE1,MINBIO,EMIC02,2033,121092.13
RE1,MINBIO,EMIC02,2034,122551.42
RE1,MINBIO,EMIC02,2035,124007.86
RE1,MINBIO,EMIC02,2036,125285.49
RE1,MINBIO,EMIC02,2037,126561.5
RE1,MINBIO,EMIC02,2038,127835.96
RE1,MINBIO,EMIC02,2039,129108.91
RE1,MINBIO,EMIC02,2040,130380.43
RE1,MINBIO,EMIC02,2041,131673.4
RE1,MINBIO,EMIC02,2042,132965.3
RE1,MINBIO,EMIC02,2043,134256.18
RE1,MINBIO,EMIC02,2044,135546.06
RE1,MINBIO,EMIC02,2045,136834.99
RE1,MINBIO,EMIC02,2046,135362.27
RE1,MINBIO,EMIC02,2047,133894.9
RE1,MINBIO,EMIC02,2048,133662.45
RE1,MINBIO,EMIC02,2049,134647.63
RE1,MINBIO,EMIC02,2050,134391.29
RE1,MINBIO,EMIC02,2051,134170.19
RE1,MINBIO,EMIC02,2052,135186.42
RE1,MINBIO,EMIC02,2053,136210.48
RE1,MINBIO,EMIC02,2054,137242.43
RE1,MINBIO,EMIC02,2055,138282.32
RE1,MINBIO,EMIC02,2056,139330.22
RE1,MINBIO,EMIC02,2057,140386.19
RE1,MINBIO,EMIC02,2058,141450.29
RE1,MINBIO,EMIC02,2059,142522.59
RE1,MINBIO,EMIC02,2060,143603.16
RE1,MINBIO,EMIC02,2061,144692.04
RE1,MINBIO,EMIC02,2062,145789.32
RE1,MINBIO,EMIC02,2063,146895.04
RE1,MINBIO,EMIC02,2064,148009.29
RE1,MINBIO,EMIC02,2065,149132.13
RE1,MINBIO,EMIC02,2066,150263.62
RE1,MINBIO,EMIC02,2067,151403.83
RE1,MINBIO,EMIC02,2068,152552.82
RE1,MINBIO,EMIC02,2069,153710.67
RE1,MINBIO,EMIC02,2070,154877.45
RE1,IMPCOA,EMIC02,2027,80126.087
RE1,IMPCOA,EMIC02,2028,352561.14
RE1,IMPCOA,EMIC02,2029,362589.78
RE1,IMPCOA,EMIC02,2030,372611.36
RE1,IMPCOA,EMIC02,2031,404397.34
RE1,IMPCOA,EMIC02,2032,415583.57
RE1,IMPCOA,EMIC02,2033,426761.25
RE1,IMPCOA,EMIC02,2034,437930.48
RE1,IMPCOA,EMIC02,2035,451770.31
RE1,IMPCOA,EMIC02,2036,463172.46
RE1,IMPCOA,EMIC02,2037,472648.98
RE1,IMPCOA,EMIC02,2038,482145.79
RE1,IMPCOA,EMIC02,2039,483079.45
RE1,IMPCOA,EMIC02,2040,484012.21
RE1,IMPCOA,EMIC02,2041,492128.71
RE1,IMPCOA,EMIC02,2042,501088.9
RE1,IMPCOA,EMIC02,2043,510043.25
RE1,IMPCOA,EMIC02,2044,527692.83
RE1,IMPCOA,EMIC02,2045,545327.98
RE1,IMPCOA,EMIC02,2046,554518.1
RE1,IMPCOA,EMIC02,2047,564907.17
RE1,IMPCOA,EMIC02,2048,572772.23
RE1,IMPCOA,EMIC02,2049,579005.33
RE1,IMPCOA,EMIC02,2050,587353.75
RE1,IMPCOA,EMIC02,2051,604722.44
RE1,IMPCOA,EMIC02,2052,611399.14
RE1,IMPCOA,EMIC02,2053,618147.59
RE1,IMPCOA,EMIC02,2054,624968.57
RE1,IMPCOA,EMIC02,2055,631862.87
RE1,IMPCOA,EMIC02,2056,638831.3
RE1,IMPCOA,EMIC02,2057,645874.65
RE1,IMPCOA,EMIC02,2058,652993.74
RE1,IMPCOA,EMIC02,2059,660189.4
RE1,IMPCOA,EMIC02,2060,667462.46
RE1,IMPCOA,EMIC02,2061,674813.76
RE1,IMPCOA,EMIC02,2062,682244.15
RE1,IMPCOA,EMIC02,2063,689754.5
