r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,250.5689
RE1,PWRBIO001,2016,286.4126
RE1,PWRBIO001,2017,322.1721
RE1,PWRBIO001,2018,339.9256
RE1,PWRBIO001,2019,339.9256
RE1,PWRBIO001,2020,358.0157
RE1,PWRBIO001,2021,375.9375
RE1,PWRBIO001,2022,375.9375
RE1,PWRBIO001,2023,375.9375
RE1,PWRBIO001,2024,375.9375
RE1,PWRBIO001,2025,375.9375
RE1,PWRBIO001,2026,375.9375
RE1,PWRBIO001,2027,375.9375
RE1,PWRBIO001,2028,375.9375
RE1,PWRBIO001,2029,375.9375
RE1,PWRBIO001,2030,375.9375
RE1,PWRBIO001,2031,125.3686
RE1,PWRBIO001,2032,125.3686
RE1,PWRBIO001,2033,125.3686
RE1,PWRBIO001,2034,125.3686
RE1,PWRBIO001,2035,125.3686
RE1,PWRBIO001,2036,125.3686
RE1,PWRBIO001,2037,125.3686
RE1,PWRBIO001,2038,125.3686
RE1,PWRBIO001,2039,125.3686
RE1,PWRBIO001,2040,125.3686
RE1,PWRBIO001,2041,125.3686
RE1,PWRBIO001,2042,125.3686
RE1,PWRBIO001,2043,125.3686
RE1,PWRBIO001,2044,125.3686
RE1,PWRBIO001,2045,125.3686
RE1,PWRBIO001,2046,89.525
RE1,PWRBIO001,2047,53.7655
RE1,PWRBIO001,2048,36.0119
RE1,PWRBIO001,2049,36.0119
RE1,PWRBIO001,2050,17.9218
RE1,PWRCOA001,2015,333.4732
RE1,PWRCOA001,2016,333.4732
RE1,PWRCOA001,2017,333.4732
RE1,PWRCOA001,2018,333.4732
RE1,PWRCOA001,2019,408.9509
RE1,PWRCOA001,2020,1749.9733
RE1,PWRCOA001,2021,1805.814
RE1,PWRCOA001,2022,1875.9772
RE1,PWRCOA001,2023,1946.0945
RE1,PWRCOA001,2024,2271.6199
RE1,PWRCOA001,2025,2119.4359
RE1,PWRCOA001,2026,2119.4359
RE1,PWRCOA001,2027,2119.4359
RE1,PWRCOA001,2028,2119.4359
RE1,PWRCOA001,2029,2098.6374
RE1,PWRCOA001,2030,2098.6374
RE1,PWRCOA001,2031,2065.2838
RE1,PWRCOA001,2032,2065.2838
RE1,PWRCOA001,2033,2065.2838
RE1,PWRCOA001,2034,2065.2838
RE1,PWRCOA001,2035,2065.2838
RE1,PWRCOA001,2036,2065.2838
RE1,PWRCOA001,2037,1979.9973
RE1,PWRCOA001,2038,1979.9973
RE1,PWRCOA001,2039,1979.9973
RE1,PWRCOA001,2040,1979.9973
RE1,PWRCOA001,2041,2013.924
RE1,PWRCOA001,2042,2065.0245
RE1,PWRCOA001,2043,2116.0918
RE1,PWRCOA001,2044,2241.5269
RE1,PWRCOA001,2045,2366.9288
RE1,PWRCOA001,2046,2427.3164
RE1,PWRCOA001,2047,2499.0986
RE1,PWRCOA001,2048,2548.3215
RE1,PWRCOA001,2049,2583.4288
RE1,PWRCOA001,2050,5092.3775
RE1,PWRCOA001,2051,5256.2749
RE1,PWRCOA001,2052,5313.0327
RE1,PWRCOA001,2053,5370.3587
RE1,PWRCOA001,2054,5428.2589
RE1,PWRCOA001,2055,5486.7391
RE1,PWRCOA001,2056,5545.8054
RE1,PWRCOA001,2057,5605.4636
RE1,PWRCOA001,2058,5665.72
RE1,PWRCOA001,2059,5757.5577
RE1,PWRCOA001,2060,5763.4561
RE1,PWRCOA001,2061,5850.14
RE1,PWRCOA001,2062,5912.8512
RE1,PWRCOA001,2063,5976.192
RE1,PWRCOA001,2064,6040.1689
RE1,PWRCOA001,2065,6104.7884
RE1,PWRCOA001,2066,6170.0572
RE1,PWRCOA001,2067,6235.982
RE1,PWRCOA001,2068,6302.5695
RE1,PWRCOA001,2069,6369.8266
RE1,PWRCOA001,2070,6369.8266
RE1,PWRGEO,2024,0.8048
RE1,PWRGEO,2025,0.8048
RE1,PWRGEO,2026,0.8048
RE1,PWRGEO,2027,0.8048
RE1,PWRGEO,2028,0.8048
RE1,PWRGEO,2029,0.8048
RE1,PWRGEO,2030,0.8048
RE1,PWRGEO,2031,0.8048
RE1,PWRGEO,2032,0.8048
RE1,PWRGEO,2033,0.8048
RE1,PWRGEO,2034,0.8048
RE1,PWRGEO,2035,0.8048
RE1,PWRGEO,2036,0.8048
RE1,PWRGEO,2037,0.8048
RE1,PWRGEO,2038,0.8048
RE1,PWRGEO,2039,0.8048
RE1,PWRGEO,2040,0.8048
RE1,PWRGEO,2041,0.8048
RE1,PWRGEO,2042,0.8048
RE1,PWRGEO,2043,0.8048
RE1,PWRGEO,2044,0.8048
