r,t,y,SalvageValue
RE1,PWRCOA001,2019,644.2451
RE1,PWRCOA001,2020,12587.988
RE1,PWRCOA001,2021,569.4425
RE1,PWRCOA001,2022,769.6741
RE1,PWRCOA001,2023,820.7329
RE1,PWRCOA001,2024,4038.3081
RE1,PWRCOA001,2041,688.7604
RE1,PWRCOA001,2042,1914.092
RE1,PWRCOA001,2043,1065.7543
RE1,PWRCOA001,2044,2650.8925
RE1,PWRCOA001,2045,2681.716
RE1,PWRCOA001,2046,1305.8442
RE1,PWRCOA001,2047,1568.614
RE1,PWRCOA001,2048,1086.3268
RE1,PWRCOA001,2049,782.0628
RE1,PWRCOA001,2050,56384.484
RE1,PWRCOA001,2051,3714.0691
RE1,PWRCOA001,2052,1296.3247
RE1,PWRCOA001,2053,1319.0581
RE1,PWRCOA001,2054,1341.6512
RE1,PWRCOA001,2055,1364.1171
RE1,PWRCOA001,2056,1386.4681
RE1,PWRCOA001,2057,1408.7162
RE1,PWRCOA001,2058,1430.8733
RE1,PWRCOA001,2059,2192.475
RE1,PWRCOA001,2060,141.5277
RE1,PWRCOA001,2061,2089.9034
RE1,PWRCOA001,2062,1518.812
RE1,PWRCOA001,2063,1540.6767
RE1,PWRCOA001,2064,1562.5132
RE1,PWRCOA001,2065,1584.3311
RE1,PWRCOA001,2066,1606.1394
RE1,PWRCOA001,2067,1627.947
RE1,PWRCOA001,2068,1649.7626
RE1,PWRCOA001,2069,1671.5946
RE1,PWRGEO,2024,3.0012
RE1,PWRWND001,2070,60076.625
RE1,PWRSOL001S,2042,49.259
RE1,PWRSOL001S,2043,656.38
RE1,PWRSOL001S,2044,299.6251
RE1,PWRSOL001S,2045,645.74
RE1,PWRSOL001S,2046,590.7085
RE1,PWRSOL001S,2047,765.3397
RE1,PWRSOL001S,2048,694.4895
RE1,PWRSOL001S,2049,652.0929
RE1,PWRSOL001S,2050,86281.147
RE1,PWRSOL001S,2051,3023.0237
RE1,PWRSOL001S,2052,1663.6496
RE1,PWRSOL001S,2053,1790.9296
RE1,PWRSOL001S,2054,2832.6682
RE1,PWRSOL001S,2055,10214.581
RE1,PWRSOL001S,2056,3703.9426
RE1,PWRSOL001S,2057,5304.4567
RE1,PWRSOL001S,2058,5725.6988
RE1,PWRSOL001S,2059,11885.763
RE1,PWRSOL001S,2060,8949.1819
RE1,PWRSOL001S,2061,13210.03
RE1,PWRSOL001S,2062,6486.628
RE1,PWRSOL001S,2063,7307.8893
RE1,PWRSOL001S,2064,13413.332
RE1,PWRSOL001S,2065,6142.6024
RE1,PWRSOL001S,2066,5403.2541
RE1,PWRSOL001S,2067,9000.8014
RE1,PWRSOL001S,2068,272.9306
RE1,PWRTRN,2026,112.001
RE1,PWRTRN,2027,113.1482
RE1,PWRTRN,2028,146.35
RE1,PWRTRN,2029,126.5127
RE1,PWRTRN,2030,423.2561
RE1,PWRTRN,2031,354.0858
RE1,PWRTRN,2032,184.3926
RE1,PWRTRN,2033,236.347
RE1,PWRTRN,2034,642.0157
RE1,PWRTRN,2035,205.5522
RE1,PWRTRN,2036,214.205
RE1,PWRTRN,2037,337.9998
RE1,PWRTRN,2038,198.4352
RE1,PWRTRN,2039,172.0464
RE1,PWRTRN,2040,1308.8409
RE1,PWRTRN,2041,94.4408
RE1,PWRTRN,2042,152.1034
RE1,PWRTRN,2043,307.8972
RE1,PWRTRN,2044,159.7534
RE1,PWRTRN,2045,273.211
RE1,PWRTRN,2046,210.5733
RE1,PWRTRN,2047,214.7774
RE1,PWRTRN,2048,191.9807
RE1,PWRTRN,2049,168.6198
RE1,PWRTRN,2050,20756.95
RE1,PWRTRN,2051,9732.8133
RE1,PWRTRN,2052,352.9257
RE1,PWRTRN,2053,360.85
RE1,PWRTRN,2054,339.2115
RE1,PWRTRN,2055,259.058
RE1,PWRTRN,2056,385.12
RE1,PWRTRN,2057,392.6418
RE1,PWRTRN,2058,400.0712
RE1,PWRTRN,2059,547.4603
RE1,PWRTRN,2060,126.0012
RE1,PWRTRN,2061,570.4786
RE1,PWRTRN,2062,428.9726
RE1,PWRTRN,2063,436.019
RE1,PWRTRN,2064,443.0032
RE1,PWRTRN,2065,182.2923
RE1,PWRTRN,2066,123.7709
RE1,PWRTRN,2070,350.5923
RE1,PWRDIST,2027,78.7517
RE1,PWRDIST,2028,166.4312
RE1,PWRDIST,2029,131.4609
RE1,PWRDIST,2030,403.621
RE1,PWRDIST,2031,316.1528
RE1,PWRDIST,2032,156.2716
RE1,PWRDIST,2033,189.9912
RE1,PWRDIST,2034,490.3756
RE1,PWRDIST,2035,152.3528
RE1,PWRDIST,2036,153.2158
RE1,PWRDIST,2037,232.9658
RE1,PWRDIST,2038,133.9106
RE1,PWRDIST,2039,113.499
RE1,PWRDIST,2040,827.1234
RE1,PWRDIST,2041,61.0049
RE1,PWRDIST,2042,94.7063
RE1,PWRDIST,2043,185.4279
RE1,PWRDIST,2044,96.0784
RE1,PWRDIST,2045,159.7603
RE1,PWRDIST,2046,122.1498
RE1,PWRDIST,2047,122.9573
RE1,PWRDIST,2048,108.9673
RE1,PWRDIST,2049,95.0776
RE1,PWRDIST,2050,11184.293
RE1,PWRDIST,2051,5444.0654
RE1,PWRDIST,2052,186.33
RE1,PWRDIST,2053,188.7944
RE1,PWRDIST,2054,175.9734
RE1,PWRDIST,2055,133.3274
RE1,PWRDIST,2056,196.7337
RE1,PWRDIST,2057,199.1764
RE1,PWRDIST,2058,201.6142
RE1,PWRDIST,2059,274.1888
RE1,PWRDIST,2060,62.7399
RE1,PWRDIST,2061,282.5064
RE1,PWRDIST,2062,211.3373
RE1,PWRDIST,2063,213.7658
RE1,PWRDIST,2064,216.1952
RE1,PWRDIST,2065,88.5781
RE1,PWRDIST,2066,59.8963
RE1,PWRDIST,2070,167.2649
RE1,DEMTRAEVC,2024,737.918
RE1,DEMTRAEVC,2025,15.6718
RE1,DEMTRAEVC,2026,21.3122
RE1,DEMTRAEVC,2027,24.9813
RE1,DEMTRAEVC,2028,28.4746
RE1,DEMTRAEVC,2029,31.8006
RE1,DEMTRAEVC,2030,34.9673
RE1,DEMTRAEVC,2031,370.2715
RE1,DEMTRAEVC,2032,164.0642
RE1,DEMTRAEVC,2033,242.0924
RE1,DEMTRAEVC,2034,855.3049
RE1,DEMTRAEVC,2035,196.3094
RE1,DEMTRAEVC,2036,181.44
RE1,DEMTRAEVC,2037,362.965
RE1,DEMTRAEVC,2038,127.9325
RE1,DEMTRAEVC,2039,74.2616
RE1,DEMTRAEVC,2040,90.907
RE1,DEMTRAEVC,2041,60.7409
RE1,DEMTRAEVC,2042,77.485
RE1,DEMTRAEVC,2043,79.5433
RE1,DEMTRAEVC,2044,81.503
RE1,DEMTRAEVC,2045,83.369
RE1,DEMTRAEVC,2046,66.5828
RE1,DEMTRAEVC,2047,67.9079
RE1,DEMTRAEVC,2048,69.1697
RE1,DEMTRAEVC,2049,70.3713
RE1,DEMTRAEVC,2050,32209.942
RE1,DEMTRAEVC,2051,444.5631
RE1,DEMTRAEVC,2052,333.0619
RE1,DEMTRAEVC,2053,340.189
RE1,DEMTRAEVC,2054,334.4743
RE1,DEMTRAEVC,2055,347.4254
RE1,DEMTRAEVC,2056,361.6287
RE1,DEMTRAEVC,2057,368.3059
RE1,DEMTRAEVC,2058,374.8814
RE1,DEMTRAEVC,2059,390.9588
RE1,DEMTRAEVC,2060,359.8185
RE1,DEMTRAEVC,2061,412.4504
RE1,DEMTRAEVC,2062,400.2717
RE1,DEMTRAEVC,2063,406.4159
RE1,DEMTRAEVC,2064,412.488
RE1,DEMTRAEVC,2068,18.9639
RE1,DEMTRAEVC,2069,424.5654
RE1,DEMTRAEVC,2070,657.184
RE1,DEMTRAMCYELC,2057,0.0
RE1,DEMTRAMCYELC,2058,0.0
RE1,DEMTRAMCYELC,2059,0.0
RE1,DEMTRAMCYELC,2060,0.0
RE1,DEMTRAMCYELC,2061,0.0001
RE1,DEMTRAMCYELC,2062,0.0
RE1,DEMTRAMCYELC,2063,0.0001
RE1,DEMTRAMCYELC,2064,0.0001
RE1,DEMTRAMCYELC,2065,0.0002
RE1,DEMTRAMCYELC,2066,0.0
RE1,DEMTRAMCYELC,2067,0.0001
RE1,DEMTRAMCYELC,2068,0.0
RE1,DEMTRAMCYELC,2069,0.0008
RE1,DEMTRAMCYELC,2070,0.0001
RE1,DEMTRACARELC,2052,0.0
RE1,DEMTRACARELC,2053,0.0
RE1,DEMTRACARELC,2054,0.0
RE1,DEMTRACARELC,2055,0.0
RE1,DEMTRACARELC,2056,0.0
RE1,DEMTRACARELC,2057,0.0
RE1,DEMTRACARELC,2058,0.0
RE1,DEMTRACARELC,2059,0.0
RE1,DEMTRACARELC,2060,0.0
RE1,DEMTRACARELC,2061,0.0
RE1,DEMTRACARELC,2062,0.0
RE1,DEMTRACARELC,2064,0.0001
RE1,DEMTRACARELC,2070,0.0045
RE1,DEMTRABUSELC,2052,351.189
RE1,DEMTRABUSELC,2053,690.9583
RE1,DEMTRABUSELC,2054,1019.7891
RE1,DEMTRABUSELC,2055,1338.1434
RE1,DEMTRABUSELC,2056,1646.4646
RE1,DEMTRABUSELC,2057,1945.1785
RE1,DEMTRABUSELC,2058,2234.6941
RE1,DEMTRABUSELC,2059,2515.4037
RE1,DEMTRABUSELC,2060,2787.6844
RE1,DEMTRABUSELC,2061,3051.898
RE1,DEMTRABUSELC,2062,3308.3918
RE1,DEMTRABUSELC,2063,3557.4997
RE1,DEMTRABUSELC,2064,3799.5419
RE1,DEMTRABUSELC,2065,4034.8263
RE1,DEMTRABUSELC,2066,4263.6482
RE1,DEMTRABUSELC,2067,4486.2913
RE1,DEMTRABUSELC,2068,4703.0281
RE1,DEMTRABUSELC,2069,4914.1205
RE1,DEMTRABUSELC,2070,585817.3
RE1,DEMINDELC,2062,0.0
RE1,DEMINDELC,2063,0.0
RE1,DEMINDELC,2064,0.0
RE1,DEMINDELC,2065,0.0
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0
RE1,DEMINDELC,2068,0.0
RE1,DEMINDELC,2069,0.0001
RE1,DEMINDELC,2070,0.0004
RE1,INDENEFFDP,2062,128.1407
RE1,INDENEFFDP,2063,251.2966
RE1,INDENEFFDP,2064,4000.6688
RE1,INDENEFFDP,2065,548.1889
RE1,INDENEFFDP,2066,756.4732
RE1,INDENEFFDP,2067,799.3333
RE1,INDENEFFDP,2068,802.6984
RE1,INDENEFFDP,2069,410.2696
RE1,DEMINDHEEH,2070,466.4582
RE1,DEMINDHEBIO,2057,21.735
RE1,DEMINDHEBIO,2058,42.4438
RE1,DEMINDHEBIO,2059,62.1852
RE1,DEMINDHEBIO,2060,2114.806
RE1,DEMINDHEBIO,2061,87.6847
RE1,DEMINDHEBIO,2062,102.9004
