r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2024,178.8709
RE1,COMENEFFDP,ELC003,2025,182.2389
RE1,COMENEFFDP,ELC003,2026,188.9237
RE1,COMENEFFDP,ELC003,2027,194.1447
RE1,COMENEFFDP,ELC003,2028,197.7773
RE1,COMENEFFDP,ELC003,2029,202.9567
RE1,COMENEFFDP,ELC003,2030,208.1362
RE1,COMENEFFDP,ELC003,2031,214.0562
RE1,COMENEFFDP,ELC003,2032,219.9763
RE1,COMENEFFDP,ELC003,2033,225.8964
RE1,COMENEFFDP,ELC003,2034,226.4077
RE1,COMENEFFDP,ELC003,2035,232.1897
RE1,COMENEFFDP,ELC003,2036,236.8446
RE1,COMENEFFDP,ELC003,2037,241.4995
RE1,COMENEFFDP,ELC003,2038,246.1543
RE1,COMENEFFDP,ELC003,2039,250.8092
RE1,COMENEFFDP,ELC003,2040,249.6833
RE1,COMENEFFDP,ELC003,2041,260.0223
RE1,COMENEFFDP,ELC003,2042,264.5804
RE1,COMENEFFDP,ELC003,2043,269.1386
RE1,COMENEFFDP,ELC003,2044,273.6969
RE1,COMENEFFDP,ELC003,2045,278.2551
RE1,COMENEFFDP,ELC003,2046,281.429
RE1,COMENEFFDP,ELC003,2047,284.603
RE1,COMENEFFDP,ELC003,2048,287.7768
RE1,COMENEFFDP,ELC003,2049,290.9507
RE1,COMENEFFDP,ELC003,2050,301.151
RE1,COMENEFFDP,ELC003,2051,297.4056
RE1,COMENEFFDP,ELC003,2052,300.7231
RE1,COMENEFFDP,ELC003,2053,304.0775
RE1,COMENEFFDP,ELC003,2054,307.4695
RE1,COMENEFFDP,ELC003,2055,310.8993
RE1,COMENEFFDP,ELC003,2056,314.3674
RE1,COMENEFFDP,ELC003,2057,317.874
RE1,COMENEFFDP,ELC003,2058,321.4199
RE1,COMENEFFDP,ELC003,2059,314.1382
RE1,COMENEFFDP,ELC003,2060,339.1839
RE1,COMENEFFDP,ELC003,2061,332.2965
RE1,COMENEFFDP,ELC003,2062,336.0032
RE1,COMENEFFDP,ELC003,2063,339.7512
RE1,COMENEFFDP,ELC003,2064,343.5411
RE1,COMENEFFDP,ELC003,2065,347.3733
RE1,COMENEFFDP,ELC003,2066,351.2482
RE1,COMENEFFDP,ELC003,2067,355.1663
RE1,COMENEFFDP,ELC003,2068,359.1282
RE1,COMENEFFDP,ELC003,2069,363.1341
