r,t,y,CapitalInvestment
RE1,MINOIL,2024,0.2142
RE1,MINBIO,2015,0.1083
RE1,MINBIO,2016,0.1039
RE1,MINBIO,2017,0.1078
RE1,MINBIO,2018,0.1117
RE1,MINBIO,2019,0.1137
RE1,MINBIO,2020,0.1171
RE1,MINBIO,2021,0.1198
RE1,MINBIO,2022,0.1213
RE1,MINBIO,2023,0.1228
RE1,MINBIO,2024,0.1242
RE1,MINBIO,2025,0.1257
RE1,MINBIO,2026,0.1274
RE1,MINBIO,2027,0.129
RE1,MINBIO,2028,0.1306
RE1,MINBIO,2029,0.1323
RE1,MINBIO,2030,0.1339
RE1,MINBIO,2031,0.1182
RE1,MINBIO,2032,0.1196
RE1,MINBIO,2033,0.1211
RE1,MINBIO,2034,0.1226
RE1,MINBIO,2035,0.1313
RE1,MINBIO,2036,0.1389
RE1,MINBIO,2037,0.1545
RE1,MINBIO,2038,0.1682
RE1,MINBIO,2039,0.1755
RE1,MINBIO,2040,0.1828
RE1,MINBIO,2041,0.1923
RE1,MINBIO,2042,0.2035
RE1,MINBIO,2043,0.2106
RE1,MINBIO,2044,0.2218
RE1,MINBIO,2045,0.236
RE1,MINBIO,2046,0.2412
RE1,MINBIO,2047,0.2473
RE1,MINBIO,2048,0.2526
RE1,MINBIO,2049,0.2578
RE1,MINBIO,2050,0.7224
RE1,MINBIO,2051,0.7382
RE1,MINBIO,2052,0.7473
RE1,MINBIO,2053,0.7564
RE1,MINBIO,2054,0.7656
RE1,MINBIO,2055,0.7749
RE1,MINBIO,2056,0.7843
RE1,MINBIO,2057,0.7938
RE1,MINBIO,2058,0.8033
RE1,MINBIO,2059,0.8117
RE1,MINBIO,2060,0.8249
RE1,MINBIO,2061,0.8325
RE1,MINBIO,2062,0.8424
RE1,MINBIO,2063,0.8524
RE1,MINBIO,2064,0.8625
RE1,MINBIO,2065,0.8726
RE1,MINBIO,2066,0.8829
RE1,MINBIO,2067,0.8933
RE1,MINBIO,2068,0.9037
RE1,MINBIO,2069,0.9105
RE1,MINBIO,2070,0.8987
RE1,IMPCOA,2027,0.3585
RE1,IMPCOA,2028,0.4132
RE1,IMPCOA,2029,0.4119
RE1,IMPCOA,2030,0.4132
RE1,IMPCOA,2031,0.4342
RE1,IMPCOA,2032,0.4446
RE1,IMPCOA,2033,0.4574
RE1,IMPCOA,2034,0.4665
RE1,IMPCOA,2035,0.4677
RE1,IMPCOA,2036,0.4686
RE1,IMPCOA,2037,0.4591
RE1,IMPCOA,2038,0.4601
RE1,IMPCOA,2039,0.4611
RE1,IMPCOA,2040,0.4621
RE1,IMPCOA,2041,0.4631
RE1,IMPCOA,2042,0.4589
RE1,IMPCOA,2043,0.46
RE1,IMPCOA,2044,0.461
RE1,IMPCOA,2045,0.462
RE1,IMPCOA,2046,0.4628
RE1,IMPCOA,2047,0.4636
RE1,IMPCOA,2048,0.4644
RE1,IMPCOA,2049,0.4652
RE1,IMPCOA,2050,0.466
RE1,IMPCOA,2051,0.4668
RE1,IMPCOA,2052,0.4676
RE1,IMPCOA,2053,0.4684
RE1,IMPCOA,2054,0.4692
RE1,IMPCOA,2055,0.47
RE1,IMPCOA,2056,0.4709
RE1,IMPCOA,2057,0.4717
RE1,IMPCOA,2058,0.4726
RE1,IMPCOA,2059,0.4734
RE1,IMPCOA,2060,0.4743
RE1,IMPCOA,2061,0.4752
RE1,IMPCOA,2062,0.476
RE1,IMPCOA,2063,0.4769
RE1,IMPCOA,2064,0.4778
RE1,IMPCOA,2065,0.4787
RE1,IMPCOA,2066,0.4796
RE1,IMPCOA,2067,0.4805
RE1,IMPCOA,2068,0.4814
RE1,IMPCOA,2069,0.4824
RE1,IMPCOA,2070,0.4045
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1133
RE1,MINCOA,2018,0.1153
RE1,MINCOA,2019,0.1263
RE1,MINCOA,2020,0.2936
RE1,MINCOA,2021,0.3016
RE1,MINCOA,2022,0.3114
RE1,MINCOA,2023,0.3212
RE1,MINCOA,2024,0.4271
RE1,MINCOA,2025,0.4095
RE1,MINCOA,2026,0.4107
RE1,MINCOA,2027,0.0535
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.6296
RE1,IMPLFO,2021,0.6407
RE1,IMPLFO,2022,0.6518
RE1,IMPLFO,2023,0.6629
RE1,IMPLFO,2024,0.3145
