r,t,y,DiscountedSalvageValue
RE1,PWRBIO001,2047,19.3812
RE1,PWRBIO001,2048,27.566
RE1,PWRBIO001,2049,30.476
RE1,PWRBIO001,2050,4421.0531
RE1,PWRBIO001,2051,186.374
RE1,PWRBIO001,2052,109.3512
RE1,PWRBIO001,2053,125.8082
RE1,PWRBIO001,2054,141.817
RE1,PWRBIO001,2055,157.3958
RE1,PWRBIO001,2056,172.5644
RE1,PWRBIO001,2057,187.3399
RE1,PWRBIO001,2058,201.7395
RE1,PWRBIO001,2059,183.0677
RE1,PWRBIO001,2060,515.7931
RE1,PWRBIO001,2061,358.6631
RE1,PWRBIO001,2062,671.3081
RE1,PWRBIO001,2063,645.7546
RE1,PWRBIO001,2064,468.0433
RE1,PWRBIO001,2065,490.38
RE1,PWRBIO001,2066,579.8096
RE1,PWRBIO001,2067,656.8014
RE1,PWRBIO001,2068,534.703
RE1,PWRBIO001,2069,560.4715
RE1,PWRCOA001,2019,41.9228
RE1,PWRCOA001,2020,819.1352
RE1,PWRCOA001,2021,37.0552
RE1,PWRCOA001,2022,50.0848
RE1,PWRCOA001,2023,53.4074
RE1,PWRCOA001,2024,684.4401
RE1,PWRCOA001,2031,207.6445
RE1,PWRCOA001,2032,83.0758
RE1,PWRCOA001,2033,106.9305
RE1,PWRCOA001,2034,74.9627
RE1,PWRGEO,2024,0.1953
RE1,PWRSOL001,2042,0.7865
RE1,PWRSOL001,2043,1.5354
RE1,PWRSOL001,2044,2.2482
RE1,PWRSOL001,2045,2.9269
RE1,PWRSOL001,2046,2.6082
RE1,PWRSOL001,2047,3.0574
RE1,PWRSOL001,2048,3.485
RE1,PWRSOL001,2049,3.8923
RE1,PWRSOL001,2050,367.2959
RE1,PWRSOL001,2051,21.0628
RE1,PWRSOL001,2052,8.5616
RE1,PWRSOL001,2053,9.2167
RE1,PWRSOL001,2054,9.8546
RE1,PWRSOL001,2055,373.7836
RE1,PWRSOL001,2056,17.4274
RE1,PWRSOL001,2057,22.1471
RE1,PWRSOL001,2058,27.4911
RE1,PWRSOL001,2059,18.6014
RE1,PWRSOL001,2061,57.9992
RE1,PWRSOL001,2062,26.9368
RE1,PWRSOL001,2063,27.7807
RE1,PWRSOL001,2064,46.3123
RE1,PWRSOL001,2065,80.1382
RE1,PWRSOL001,2066,66.0443
RE1,PWRSOL001,2067,38.417
RE1,PWRSOL001,2068,39.8108
RE1,PWRSOL001,2069,31.2932
RE1,PWRSOL001,2070,312.1827
RE1,PWRWND001,2070,1059.3582
RE1,PWRSOL001S,2042,0.9578
RE1,PWRSOL001S,2043,1.8544
RE1,PWRSOL001S,2044,2.6965
RE1,PWRSOL001S,2045,3.4816
RE1,PWRSOL001S,2046,3.0804
RE1,PWRSOL001S,2047,3.5808
RE1,PWRSOL001S,2048,4.0522
RE1,PWRSOL001S,2049,4.4875
RE1,PWRSOL001S,2050,420.3492
RE1,PWRSOL001S,2051,24.1052
RE1,PWRSOL001S,2052,9.7982
RE1,PWRSOL001S,2053,10.5479
RE1,PWRSOL001S,2054,11.2781
RE1,PWRSOL001S,2055,11.9901
RE1,PWRSOL001S,2056,12.6842
RE1,PWRSOL001S,2057,13.3616
RE1,PWRSOL001S,2058,14.0231
RE1,PWRSOL001S,2059,49.9686
RE1,PWRSOL001S,2060,627.7097
RE1,PWRSOL001S,2061,66.3768
RE1,PWRSOL001S,2062,30.8277
RE1,PWRSOL001S,2063,31.7934
RE1,PWRSOL001S,2064,53.0018
RE1,PWRSOL001S,2065,34.1648
RE1,PWRSOL001S,2066,32.5115
RE1,PWRSOL001S,2067,33.3274
RE1,PWRSOL001S,2068,34.1199
RE1,PWRSOL001S,2069,114.172
RE1,PWRSOL001S,2070,273.2638
RE1,PWRTRN,2026,1.7737
RE1,PWRTRN,2027,4.6021
RE1,PWRTRN,2028,5.242
RE1,PWRTRN,2029,4.6396
RE1,PWRTRN,2030,18.3032
RE1,PWRTRN,2031,1.3304
RE1,PWRTRN,2032,8.9283
RE1,PWRTRN,2033,11.3284
RE1,PWRTRN,2034,12.4796
RE1,PWRTRN,2035,10.6559
RE1,PWRTRN,2036,9.2531
RE1,PWRTRN,2037,9.6334
RE1,PWRTRN,2038,18.0069
RE1,PWRTRN,2039,10.3752
RE1,PWRTRN,2040,14.0397
RE1,PWRTRN,2041,10.7849
RE1,PWRTRN,2042,11.074
RE1,PWRTRN,2043,11.4293
RE1,PWRTRN,2044,17.6119
RE1,PWRTRN,2045,17.2752
RE1,PWRTRN,2046,8.606
RE1,PWRTRN,2047,9.3589
RE1,PWRTRN,2048,9.0135
RE1,PWRTRN,2049,9.0797
RE1,PWRTRN,2050,965.5741
RE1,PWRTRN,2051,619.7408
RE1,PWRTRN,2052,17.7796
RE1,PWRTRN,2053,18.1832
RE1,PWRTRN,2054,18.5811
RE1,PWRTRN,2055,18.9737
RE1,PWRTRN,2056,19.3613
RE1,PWRTRN,2057,19.7441
RE1,PWRTRN,2058,20.1225
RE1,PWRTRN,2059,22.2617
RE1,PWRTRN,2060,11.9717
RE1,PWRTRN,2061,28.4073
RE1,PWRTRN,2062,21.5966
RE1,PWRTRN,2063,21.9565
RE1,PWRTRN,2064,22.3136
RE1,PWRTRN,2065,22.6678
RE1,PWRTRN,2066,23.0196
RE1,PWRTRN,2067,23.369
RE1,PWRTRN,2068,23.7163
RE1,PWRTRN,2069,26.6033
RE1,PWRDIST,2029,4.2043
RE1,PWRDIST,2030,17.4803
RE1,PWRDIST,2031,1.2803
RE1,PWRDIST,2032,7.5802
RE1,PWRDIST,2033,9.1211
RE1,PWRDIST,2034,9.6025
