r,t,f,y,ProductionByTechnologyAnnual
RE1,COMENEFFDP,COMELC,2024,230.6794
RE1,COMENEFFDP,COMELC,2025,236.9106
RE1,COMENEFFDP,COMELC,2026,243.6439
RE1,COMENEFFDP,COMELC,2027,250.3771
RE1,COMENEFFDP,COMELC,2028,257.1104
RE1,COMENEFFDP,COMELC,2029,263.8438
RE1,COMENEFFDP,COMELC,2030,270.577
RE1,COMENEFFDP,COMELC,2031,278.2731
RE1,COMENEFFDP,COMELC,2032,285.9692
RE1,COMENEFFDP,COMELC,2033,293.6653
RE1,COMENEFFDP,COMELC,2034,301.3614
RE1,COMENEFFDP,COMELC,2035,309.0574
RE1,COMENEFFDP,COMELC,2036,315.2534
RE1,COMENEFFDP,COMELC,2037,321.4493
RE1,COMENEFFDP,COMELC,2038,327.6451
RE1,COMENEFFDP,COMELC,2039,333.841
RE1,COMENEFFDP,COMELC,2040,340.8446
RE1,COMENEFFDP,COMELC,2041,346.1041
RE1,COMENEFFDP,COMELC,2042,352.1713
RE1,COMENEFFDP,COMELC,2043,358.2386
RE1,COMENEFFDP,COMELC,2044,367.2318
RE1,COMENEFFDP,COMELC,2045,370.373
RE1,COMENEFFDP,COMELC,2046,374.5977
RE1,COMENEFFDP,COMELC,2047,378.8224
RE1,COMENEFFDP,COMELC,2048,383.047
RE1,COMENEFFDP,COMELC,2049,387.2717
RE1,COMENEFFDP,COMELC,2050,394.6407
RE1,COMENEFFDP,COMELC,2051,395.8635
RE1,COMENEFFDP,COMELC,2052,400.2792
RE1,COMENEFFDP,COMELC,2053,404.7443
RE1,COMENEFFDP,COMELC,2054,409.2592
RE1,COMENEFFDP,COMELC,2055,413.8244
RE1,COMENEFFDP,COMELC,2056,418.4405
RE1,COMENEFFDP,COMELC,2057,423.1081
RE1,COMENEFFDP,COMELC,2058,427.8278
RE1,COMENEFFDP,COMELC,2059,432.6002
RE1,COMENEFFDP,COMELC,2060,440.9391
RE1,COMENEFFDP,COMELC,2061,442.3052
RE1,COMENEFFDP,COMELC,2062,447.239
RE1,COMENEFFDP,COMELC,2063,452.2279
RE1,COMENEFFDP,COMELC,2064,457.2724
RE1,COMENEFFDP,COMELC,2065,462.3732
RE1,COMENEFFDP,COMELC,2066,467.531
RE1,COMENEFFDP,COMELC,2067,472.7462
RE1,COMENEFFDP,COMELC,2068,478.0196
RE1,COMENEFFDP,COMELC,2069,487.234
RE1,COMENEFFDP,COMELC,2070,461.3798
RE1,DEMCOMELC,COMELC,2015,169.2528
RE1,DEMCOMELC,COMELC,2016,179.0399
RE1,DEMCOMELC,COMELC,2017,187.428
RE1,DEMCOMELC,COMELC,2018,195.8162
RE1,DEMCOMELC,COMELC,2019,204.2043
RE1,DEMCOMELC,COMELC,2020,212.5924
RE1,DEMCOMELC,COMELC,2021,219.0306
RE1,DEMCOMELC,COMELC,2022,225.4689
RE1,DEMCOMELC,COMELC,2023,231.9071
RE1,DEMCOMELC,COMELC,2024,7.666
RE1,DEMCOMELC,COMELC,2025,7.8731
RE1,DEMCOMELC,COMELC,2026,8.0968
RE1,DEMCOMELC,COMELC,2027,8.3206
RE1,DEMCOMELC,COMELC,2028,8.5443
RE1,DEMCOMELC,COMELC,2029,8.7681
RE1,DEMCOMELC,COMELC,2030,8.9919
RE1,DEMCOMELC,COMELC,2031,9.2476
RE1,DEMCOMELC,COMELC,2032,9.5034
RE1,DEMCOMELC,COMELC,2033,9.7591
RE1,DEMCOMELC,COMELC,2034,10.0149
RE1,DEMCOMELC,COMELC,2035,10.2707
RE1,DEMCOMELC,COMELC,2036,10.4766
RE1,DEMCOMELC,COMELC,2037,10.6825
RE1,DEMCOMELC,COMELC,2038,10.8884
RE1,DEMCOMELC,COMELC,2039,11.0943
RE1,DEMCOMELC,COMELC,2040,10.4925
RE1,DEMCOMELC,COMELC,2041,11.5018
RE1,DEMCOMELC,COMELC,2042,11.7034
RE1,DEMCOMELC,COMELC,2043,11.9051
RE1,DEMCOMELC,COMELC,2044,9.1806
RE1,DEMCOMELC,COMELC,2045,12.3083
RE1,DEMCOMELC,COMELC,2046,12.4487
RE1,DEMCOMELC,COMELC,2047,12.5891
RE1,DEMCOMELC,COMELC,2048,12.7295
RE1,DEMCOMELC,COMELC,2049,12.8699
RE1,DEMCOMELC,COMELC,2050,9.8658
RE1,DEMCOMELC,COMELC,2051,13.1554
RE1,DEMCOMELC,COMELC,2052,13.3022
RE1,DEMCOMELC,COMELC,2053,13.4506
RE1,DEMCOMELC,COMELC,2054,13.6006
RE1,DEMCOMELC,COMELC,2055,13.7523
RE1,DEMCOMELC,COMELC,2056,13.9057
RE1,DEMCOMELC,COMELC,2057,14.0608
RE1,DEMCOMELC,COMELC,2058,14.2177
RE1,DEMCOMELC,COMELC,2059,14.3763
RE1,DEMCOMELC,COMELC,2060,11.0233
RE1,DEMCOMELC,COMELC,2061,14.6988
RE1,DEMCOMELC,COMELC,2062,14.8627
RE1,DEMCOMELC,COMELC,2063,15.0285
RE1,DEMCOMELC,COMELC,2064,15.1962
RE1,DEMCOMELC,COMELC,2065,15.3657
RE1,DEMCOMELC,COMELC,2066,15.5371
RE1,DEMCOMELC,COMELC,2067,15.7104
RE1,DEMCOMELC,COMELC,2068,15.8856
RE1,DEMCOMELC,COMELC,2069,12.1806
RE1,DEMCOMELC,COMELC,2070,43.6058
RE1,DEMCOMHEBIO,COMHEL,2015,37.209
RE1,DEMCOMHEBIO,COMHEL,2016,39.1015
RE1,DEMCOMHEBIO,COMHEL,2017,40.0453
RE1,DEMCOMHEBIO,COMHEL,2018,40.9891
RE1,DEMCOMHEBIO,COMHEL,2019,41.933
RE1,DEMCOMHEBIO,COMHEL,2020,42.8768
RE1,DEMCOMHEBIO,COMHEL,2021,43.6453
RE1,DEMCOMHEBIO,COMHEL,2022,44.4138
RE1,DEMCOMHEBIO,COMHEL,2023,45.1824
RE1,DEMCOMHEBIO,COMHEL,2024,45.9509
RE1,DEMCOMHEBIO,COMHEL,2025,46.7194
RE1,DEMCOMHEBIO,COMHEL,2026,47.5908
RE1,DEMCOMHEBIO,COMHEL,2027,48.4622
RE1,DEMCOMHEBIO,COMHEL,2028,49.3335
RE1,DEMCOMHEBIO,COMHEL,2029,50.2049
RE1,DEMCOMHEBIO,COMHEL,2030,51.0763
RE1,DEMCOMHEBIO,COMHEL,2031,51.7934
RE1,DEMCOMHEBIO,COMHEL,2032,52.5105
RE1,DEMCOMHEBIO,COMHEL,2033,53.2276
RE1,DEMCOMHEBIO,COMHEL,2034,53.9447
RE1,DEMCOMHEBIO,COMHEL,2035,54.6618
RE1,DEMCOMHEBIO,COMHEL,2036,55.3222
