r;t;y;TotalTechnologyAnnualActivity
RE1;MINOIL;2024;2141.65
RE1;MINBIO;2015;1083.1531
RE1;MINBIO;2016;1039.3007
RE1;MINBIO;2017;1077.9026
RE1;MINBIO;2018;1116.6382
RE1;MINBIO;2019;1137.3916
RE1;MINBIO;2020;1170.5173
RE1;MINBIO;2021;1197.7543
RE1;MINBIO;2022;1212.6692
RE1;MINBIO;2023;1227.5592
RE1;MINBIO;2024;1242.4259
RE1;MINBIO;2025;1257.2707
RE1;MINBIO;2026;1273.636
RE1;MINBIO;2027;1289.9767
RE1;MINBIO;2028;1306.2942
RE1;MINBIO;2029;1322.5899
RE1;MINBIO;2030;1338.8648
RE1;MINBIO;2031;1181.6437
RE1;MINBIO;2032;1196.2983
RE1;MINBIO;2033;1210.9213
RE1;MINBIO;2034;1225.5142
RE1;MINBIO;2035;1312.9459
RE1;MINBIO;2036;1389.3214
RE1;MINBIO;2037;1544.995
RE1;MINBIO;2038;1682.452
RE1;MINBIO;2039;1754.799
RE1;MINBIO;2040;1828.3064
RE1;MINBIO;2041;1923.3735
RE1;MINBIO;2042;2035.1202
RE1;MINBIO;2043;2106.4582
RE1;MINBIO;2044;2218.0406
RE1;MINBIO;2045;2360.4907
RE1;MINBIO;2046;2412.1838
RE1;MINBIO;2047;2473.3876
RE1;MINBIO;2048;2526.3399
RE1;MINBIO;2049;2577.9183
RE1;MINBIO;2050;7224.105
RE1;MINBIO;2051;7382.4006
RE1;MINBIO;2052;7472.8918
RE1;MINBIO;2053;7564.1996
RE1;MINBIO;2054;7656.3322
RE1;MINBIO;2055;7749.2968
RE1;MINBIO;2056;7843.1016
RE1;MINBIO;2057;7937.7543
RE1;MINBIO;2058;8033.2627
RE1;MINBIO;2059;8116.6505
RE1;MINBIO;2060;8248.8755
RE1;MINBIO;2061;8325.0041
RE1;MINBIO;2062;8424.0171
RE1;MINBIO;2063;8523.9269
RE1;MINBIO;2064;8624.7417
RE1;MINBIO;2065;8726.4704
RE1;MINBIO;2066;8829.1214
RE1;MINBIO;2067;8932.7033
RE1;MINBIO;2068;9037.225
RE1;MINBIO;2069;9105.0482
RE1;MINBIO;2070;8987.1553
RE1;IMPCOA;2027;3585.2829
RE1;IMPCOA;2028;4132.4296
RE1;IMPCOA;2029;4119.3537
RE1;IMPCOA;2030;4130.9917
RE1;IMPCOA;2031;4341.5635
RE1;IMPCOA;2032;4446.0165
RE1;IMPCOA;2033;4574.0744
RE1;IMPCOA;2034;4665.2358
RE1;IMPCOA;2035;4676.5121
RE1;IMPCOA;2036;4686.4121
RE1;IMPCOA;2037;4590.9725
RE1;IMPCOA;2038;4600.8518
RE1;IMPCOA;2039;4610.7213
RE1;IMPCOA;2040;4620.5814
RE1;IMPCOA;2041;4630.855
RE1;IMPCOA;2042;4589.436
RE1;IMPCOA;2043;4599.6959
RE1;IMPCOA;2044;4609.9494
RE1;IMPCOA;2045;4614.5105
RE1;IMPCOA;2046;4622.1831
RE1;IMPCOA;2047;4630.5499
RE1;IMPCOA;2048;4638.3146
RE1;IMPCOA;2049;4645.9792
RE1;IMPCOA;2050;4636.5871
RE1;IMPCOA;2051;4639.0403
RE1;IMPCOA;2052;4646.8031
RE1;IMPCOA;2053;4654.6246
RE1;IMPCOA;2054;4662.5051
RE1;IMPCOA;2055;4670.445
RE1;IMPCOA;2056;4678.445
RE1;IMPCOA;2057;4686.5053
RE1;IMPCOA;2058;4694.6266
RE1;IMPCOA;2059;4702.4821
RE1;IMPCOA;2060;4711.9275
RE1;IMPCOA;2061;4719.3602
RE1;IMPCOA;2062;4727.7296
RE1;IMPCOA;2063;4736.1623
RE1;IMPCOA;2064;4744.6587
RE1;IMPCOA;2065;4753.2193
RE1;IMPCOA;2066;4761.8446
RE1;IMPCOA;2067;4770.5351
RE1;IMPCOA;2068;4779.2913
RE1;IMPCOA;2069;4823.5155
RE1;IMPCOA;2070;3701.9793
RE1;MINCOA;2015;1201.8755
RE1;MINCOA;2016;1120.3443
RE1;MINCOA;2017;1132.6139
RE1;MINCOA;2018;1153.041
RE1;MINCOA;2019;1262.8933
RE1;MINCOA;2020;2935.6729
RE1;MINCOA;2021;3016.1628
RE1;MINCOA;2022;3114.3238
RE1;MINCOA;2023;3212.4118
RE1;MINCOA;2024;4270.994
RE1;MINCOA;2025;4094.5094
RE1;MINCOA;2026;4107.1652
RE1;MINCOA;2027;534.5221
RE1;IMPLFO;2015;5550.7898
RE1;IMPLFO;2016;5742.9386
RE1;IMPLFO;2017;5873.1208
RE1;IMPLFO;2018;6018.0954
RE1;IMPLFO;2019;6157.2481
RE1;IMPLFO;2020;6296.354
RE1;IMPLFO;2021;6407.2812
RE1;IMPLFO;2022;6518.1765
RE1;IMPLFO;2023;6629.0418
RE1;IMPLFO;2024;3145.0971
RE1;IMPLFO;2025;5155.3183
RE1;IMPLFO;2026;5247.4693
RE1;IMPLFO;2027;5339.605
RE1;IMPLFO;2028;5431.7263
RE1;IMPLFO;2029;5523.8338
RE1;IMPLFO;2030;5615.9284
RE1;IMPLFO;2031;5692.1349
RE1;IMPLFO;2032;5768.3205
RE1;IMPLFO;2033;5844.4863
RE1;IMPLFO;2034;5920.6333
RE1;IMPLFO;2035;5996.7626
RE1;IMPLFO;2036;6066.1647
RE1;IMPLFO;2037;6135.5566
RE1;IMPLFO;2038;6204.9389
RE1;IMPLFO;2039;6274.3118
RE1;IMPLFO;2040;6343.6757
RE1;IMPLFO;2041;6409.678
RE1;IMPLFO;2042;6475.6737
RE1;IMPLFO;2043;6541.663
RE1;IMPLFO;2044;6607.6461
RE1;IMPLFO;2045;6673.6232
RE1;IMPLFO;2046;6725.2119
RE1;IMPLFO;2047;6776.7979
RE1;IMPLFO;2048;6828.3813
RE1;IMPLFO;2049;6879.9622
RE1;UPSREF001;2024;2141.65
RE1;MINNGS;2015;794.6634
RE1;MINNGS;2016;796.9507
RE1;MINNGS;2017;806.5935
RE1;MINNGS;2018;839.6294
RE1;MINNGS;2019;846.9226
RE1;MINNGS;2024;12.0407
RE1;MINNGS;2025;11.3331
RE1;MINNGS;2026;65.5686
RE1;MINNGS;2027;118.2552
RE1;MINNGS;2028;169.2656
RE1;MINNGS;2029;235.7775
RE1;MINNGS;2030;79.8135
RE1;MINNGS;2031;141.4833
RE1;MINNGS;2032;142.46
RE1;MINNGS;2033;130.5444
RE1;MINNGS;2034;127.5292
RE1;MINNGS;2035;128.538
RE1;MINNGS;2036;129.2408
RE1;MINNGS;2037;130.091
RE1;MINNGS;2038;86.1789
RE1;MINNGS;2039;87.0286
RE1;MINNGS;2040;77.825
RE1;MINNGS;2041;71.2877
RE1;MINNGS;2042;72.115
RE1;MINNGS;2043;72.6168
RE1;MINNGS;2044;40.3956
RE1;MINSOL;2015;8.5316
RE1;MINSOL;2016;14.7631
RE1;MINSOL;2017;16.2722
RE1;MINSOL;2018;17.8654
RE1;MINSOL;2019;17.9916
RE1;MINSOL;2020;17.9916
RE1;MINSOL;2021;18.4546
RE1;MINSOL;2022;18.4546
RE1;MINSOL;2023;18.4546
RE1;MINSOL;2024;18.4546
