r,e,y,AnnualEmissions
RE1,EMIC02,2015,651263.08
RE1,EMIC02,2016,652609.22
RE1,EMIC02,2017,667192.7
RE1,EMIC02,2018,684898.72
RE1,EMIC02,2019,707418.51
RE1,EMIC02,2020,831103.72
RE1,EMIC02,2021,849129.02
RE1,EMIC02,2022,867591.58
RE1,EMIC02,2023,886042.68
RE1,EMIC02,2024,861041.74
RE1,EMIC02,2025,825861.11
RE1,EMIC02,2026,836066.13
RE1,EMIC02,2027,844686.51
RE1,EMIC02,2028,853276.66
RE1,EMIC02,2029,854061.24
RE1,EMIC02,2030,856637.66
RE1,EMIC02,2031,843759.22
RE1,EMIC02,2032,849987.84
RE1,EMIC02,2033,855490.25
RE1,EMIC02,2034,855086.84
RE1,EMIC02,2035,861183.23
RE1,EMIC02,2036,867730.82
RE1,EMIC02,2037,863591.24
RE1,EMIC02,2038,870545.02
RE1,EMIC02,2039,877988.63
RE1,EMIC02,2040,762328.72
RE1,EMIC02,2041,775273.29
RE1,EMIC02,2042,788331.85
RE1,EMIC02,2043,789739.61
RE1,EMIC02,2044,802982.09
RE1,EMIC02,2045,813272.59
RE1,EMIC02,2046,819383.94
RE1,EMIC02,2047,826066.43
RE1,EMIC02,2048,832710.47
RE1,EMIC02,2049,839720.97
RE1,EMIC02,2050,485406.76
RE1,EMIC02,2051,494079.67
RE1,EMIC02,2052,498626.48
RE1,EMIC02,2053,503214.61
RE1,EMIC02,2054,507844.47
RE1,EMIC02,2055,512516.43
RE1,EMIC02,2056,517230.9
RE1,EMIC02,2057,521988.29
RE1,EMIC02,2058,526789.0
RE1,EMIC02,2059,533141.38
RE1,EMIC02,2060,535324.68
RE1,EMIC02,2061,541455.14
RE1,EMIC02,2062,546433.25
RE1,EMIC02,2063,551456.78
RE1,EMIC02,2064,556526.14
RE1,EMIC02,2065,567246.34
RE1,EMIC02,2066,577896.95
RE1,EMIC02,2067,588341.34
RE1,EMIC02,2068,608540.97
RE1,EMIC02,2069,630041.7
RE1,EMIC02,2070,392780.97
