r,t,y,CapitalInvestment
RE1,MINOIL,2024,0.2142
RE1,MINBIO,2015,0.1083
RE1,MINBIO,2016,0.1039
RE1,MINBIO,2017,0.1078
RE1,MINBIO,2018,0.1117
RE1,MINBIO,2019,0.1137
RE1,MINBIO,2020,0.1171
RE1,MINBIO,2021,0.1198
RE1,MINBIO,2022,0.1213
RE1,MINBIO,2023,0.1228
RE1,MINBIO,2024,0.1242
RE1,MINBIO,2025,0.1257
RE1,MINBIO,2026,0.1274
RE1,MINBIO,2027,0.129
RE1,MINBIO,2028,0.1306
RE1,MINBIO,2029,0.1323
RE1,MINBIO,2030,0.1339
RE1,MINBIO,2031,0.1182
RE1,MINBIO,2032,0.1196
RE1,MINBIO,2033,0.1211
RE1,MINBIO,2034,0.1226
RE1,MINBIO,2035,0.124
RE1,MINBIO,2036,0.1253
RE1,MINBIO,2037,0.1266
RE1,MINBIO,2038,0.1278
RE1,MINBIO,2039,0.1291
RE1,MINBIO,2040,0.1304
RE1,MINBIO,2041,0.1317
RE1,MINBIO,2042,0.133
RE1,MINBIO,2043,0.1343
RE1,MINBIO,2044,0.1355
RE1,MINBIO,2045,0.1368
RE1,MINBIO,2046,0.1354
RE1,MINBIO,2047,0.1339
RE1,MINBIO,2048,0.1337
RE1,MINBIO,2049,0.1346
RE1,MINBIO,2050,0.1344
RE1,MINBIO,2051,0.1342
RE1,MINBIO,2052,0.1352
RE1,MINBIO,2053,0.1362
RE1,MINBIO,2054,0.1372
RE1,MINBIO,2055,0.1383
RE1,MINBIO,2056,0.1393
RE1,MINBIO,2057,0.1404
RE1,MINBIO,2058,0.1415
RE1,MINBIO,2059,0.1425
RE1,MINBIO,2060,0.1436
RE1,MINBIO,2061,0.1447
RE1,MINBIO,2062,0.1458
RE1,MINBIO,2063,0.1469
RE1,MINBIO,2064,0.148
RE1,MINBIO,2065,0.1491
RE1,MINBIO,2066,0.1503
RE1,MINBIO,2067,0.1514
RE1,MINBIO,2068,0.1526
RE1,MINBIO,2069,0.1537
RE1,MINBIO,2070,0.1362
RE1,IMPCOA,2027,0.1005
RE1,IMPCOA,2028,0.3487
RE1,IMPCOA,2029,0.3474
RE1,IMPCOA,2030,0.3487
RE1,IMPCOA,2031,0.3457
RE1,IMPCOA,2032,0.3468
RE1,IMPCOA,2033,0.348
RE1,IMPCOA,2034,0.3491
RE1,IMPCOA,2035,0.3502
RE1,IMPCOA,2036,0.3512
RE1,IMPCOA,2037,0.3417
RE1,IMPCOA,2038,0.3427
RE1,IMPCOA,2039,0.3436
RE1,IMPCOA,2040,0.3446
RE1,IMPCOA,2041,0.3498
RE1,IMPCOA,2042,0.3572
RE1,IMPCOA,2043,0.3645
RE1,IMPCOA,2044,0.381
RE1,IMPCOA,2045,0.3975
RE1,IMPCOA,2046,0.4058
RE1,IMPCOA,2047,0.4154
RE1,IMPCOA,2048,0.4223
RE1,IMPCOA,2049,0.4274
RE1,IMPCOA,2050,0.7381
RE1,IMPCOA,2051,0.7591
RE1,IMPCOA,2052,0.7669
RE1,IMPCOA,2053,0.7748
RE1,IMPCOA,2054,0.7828
RE1,IMPCOA,2055,0.7909
RE1,IMPCOA,2056,0.799
RE1,IMPCOA,2057,0.8072
RE1,IMPCOA,2058,0.8155
RE1,IMPCOA,2059,0.8277
RE1,IMPCOA,2060,0.8293
RE1,IMPCOA,2061,0.8409
RE1,IMPCOA,2062,0.8495
RE1,IMPCOA,2063,0.8582
RE1,IMPCOA,2064,0.867
RE1,IMPCOA,2065,0.8759
RE1,IMPCOA,2066,0.8848
RE1,IMPCOA,2067,0.8939
RE1,IMPCOA,2068,0.903
RE1,IMPCOA,2069,0.9122
RE1,IMPCOA,2070,0.4793
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1133
RE1,MINCOA,2018,0.1153
RE1,MINCOA,2019,0.1263
RE1,MINCOA,2020,0.2936
RE1,MINCOA,2021,0.3016
RE1,MINCOA,2022,0.3114
RE1,MINCOA,2023,0.3212
RE1,MINCOA,2024,0.3626
RE1,MINCOA,2025,0.3449
RE1,MINCOA,2026,0.3462
RE1,MINCOA,2027,0.247
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.6296
RE1,IMPLFO,2021,0.6407
RE1,IMPLFO,2022,0.6518
RE1,IMPLFO,2023,0.6629
RE1,IMPLFO,2024,0.3145
