y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.0,1.670977180162913,9.994908960229993e-05,3.906504852640462
2016,0.0,1.6702429981749989,0.00010001580709594907,4.252419578349131
2017,0.0,1.6516176633828223,9.997224920216454e-05,4.6285805468822625
2018,0.0,1.6391947591737772,0.00010004729266164434,5.060548030614906
2019,0.1276631925698318,1.6485798933564653,0.00010007398714154506,5.478216092343899
2020,2.298300336343592,2.413009055310818,9.997552618697994e-05,3.801892688044751
2021,2.3168488606158113,2.3877497433584733,9.998635201129816e-05,3.8210648737339707
2022,2.3562296432485574,2.3582949027378564,9.999827191926407e-05,3.8583868359813374
2023,2.3933298152223568,2.3305152758267527,9.995466781582822e-05,3.894469710639347
2024,2.2207423297577105,1.5548645067497402,9.997923156801659e-05,4.634377098278449
2025,2.816316153359072,1.6305919783408718,9.99870304622019e-05,4.174833558291317
2026,2.899776859637261,1.5927918829973031,9.999722779962538e-05,4.157395163016714
2027,3.097177481058957,1.579948305127342,9.998724060734708e-05,4.1308836705756455
2028,3.291081582895702,1.5635874902880764,9.998566784089797e-05,4.236392776681978
2029,3.8362159913582308,1.575085690482071,9.997530108712079e-05,3.7600601253657344
2030,4.286740756063,1.5670891734440788,0.00010000288400530656,3.357473491191185
2031,4.783195841100335,1.4811127354967797,0.0001000112728451252,3.2425166285810816
2032,4.889582752404553,1.4645266272189348,0.00010001997644157578,3.185990984010046
2033,5.021342044585738,1.4378248520949288,9.99959570367775e-05,3.0960401481093225
2034,5.420238230931885,1.441886946700724,0.00010000590973859255,2.714133135291348
2035,5.53634307955903,1.4176358019532076,0.00010000707218125356,2.6684040540743736
2036,5.614872016936337,1.3866951712804954,9.998735937302489e-05,2.6473722911299604
2037,5.812960075743344,1.3577767799154128,9.996923545442961e-05,2.506909875947941
2038,5.833892445527229,1.2958708383767987,9.995231632615633e-05,2.5097164790851063
2039,5.8278538503120245,1.2773369602810134,9.996661764573203e-05,2.533999704873391
2040,7.373779737724312,1.3937804489824792,9.998349329120192e-05,1.2091992392676931
2041,7.31989827846135,1.378626188491381,9.997609900840031e-05,1.2607194159369317
2042,7.308490064177322,1.3725258542971823,0.00010000057422092576,1.3078142885486672
2043,7.407995724614908,1.379664029328483,9.999632262462767e-05,1.2405032276401107
2044,7.446216824253576,1.3748800198480178,9.999275212836538e-05,1.2482233669684912
2045,7.517711154027892,1.3732708038523365,9.999038289804499e-05,1.2254280313766048
2046,7.5497386810247455,1.3694221071356687,9.998748796396533e-05,1.2380078219733086
2047,7.595585697484086,1.3444173246157325,9.998492013054857e-05,1.2562646946377993
2048,7.610753346266722,1.3385776636645281,0.00010000906507121411,1.2668401287162028
2049,7.554289672751489,1.3357922555197967,9.998072724296607e-05,1.2740685038924804
2050,6.8787125388084265,1.2449482943591121,9.99959589691982e-05,1.233857367209758
2051,7.001299185405376,1.2360196480371302,0.00010000644620640753,1.2576626419198496
2052,6.97948607385944,1.2367259434944788,9.999450509428875e-05,1.2600453190311196
2053,6.958095524849616,1.237431333035254,0.00010000012666260502,1.2624192428384142
2054,6.84590846425772,1.2335762280325113,9.999774016406408e-05,1.2647854346529226
2055,6.816700208456457,1.196235872981899,9.999975112057958e-05,1.2671417914564127
2056,6.804312016055244,1.1973163613937712,0.00010000616712920135,1.2694908498387432
2057,6.779764950598066,1.1983933503104662,9.999229794012688e-05,1.2718321945845428
2058,6.755626120950963,1.1994634193038665,9.9994668243574e-05,1.274161950688844
2059,6.705102384976688,1.2018153844680233,9.99992816143562e-05,1.2793712934951347
2060,6.656579512820849,1.200876940969685,0.00010000382104152037,1.2772228318803218
2061,6.613531188684522,1.2026519667535114,0.00010000141594925237,1.2811046099483814
2062,6.601387327266802,1.2037055342440117,9.999532185628742e-05,1.283401091313826
2063,6.588160647286248,1.204756972619572,0.00010000463682099553,1.2856915391866173
2064,6.554001388764338,1.2058030495742522,9.999414029512231e-05,1.287972385070076
2065,6.518112727112825,1.2042564046499764,9.999863343172626e-05,1.3145792686792157
2066,6.489752606148789,1.2029772164186263,0.00010000620806031978,1.3402464407559755
2067,6.461168128967631,1.2021593667841362,9.999440622028304e-05,1.364409268665254
2068,6.384836571949478,1.195857513849648,9.998580660613776e-05,1.4292112303404985
2069,6.315814914140191,1.1900554469330538,0.00010000230799919549,1.498143757467101
2070,6.149261408635425,1.6384373507277368,9.999462224429563e-05,0.5651627903437799
