r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2019,41.9228
RE1,PWRCOA001,2020,819.1352
RE1,PWRCOA001,2021,37.0552
RE1,PWRCOA001,2022,50.0848
RE1,PWRCOA001,2023,53.4074
RE1,PWRCOA001,2024,262.7839
RE1,PWRCOA001,2041,44.8195
RE1,PWRCOA001,2042,124.5552
RE1,PWRCOA001,2043,69.3516
RE1,PWRCOA001,2044,172.5009
RE1,PWRCOA001,2045,174.5067
RE1,PWRCOA001,2046,84.9749
RE1,PWRCOA001,2047,102.074
RE1,PWRCOA001,2048,70.6903
RE1,PWRCOA001,2049,50.891
RE1,PWRCOA001,2050,3669.0942
RE1,PWRCOA001,2051,241.6847
RE1,PWRCOA001,2052,84.3554
RE1,PWRCOA001,2053,85.8348
RE1,PWRCOA001,2054,87.305
RE1,PWRCOA001,2055,88.7669
RE1,PWRCOA001,2056,90.2213
RE1,PWRCOA001,2057,91.6691
RE1,PWRCOA001,2058,93.1109
RE1,PWRCOA001,2059,142.6704
RE1,PWRCOA001,2060,9.2096
RE1,PWRCOA001,2061,135.9958
RE1,PWRCOA001,2062,98.8333
RE1,PWRCOA001,2063,100.2561
RE1,PWRCOA001,2064,101.677
RE1,PWRCOA001,2065,103.0968
RE1,PWRCOA001,2066,104.5159
RE1,PWRCOA001,2067,105.935
RE1,PWRCOA001,2068,107.3546
RE1,PWRCOA001,2069,108.7753
RE1,PWRGEO,2024,0.1953
RE1,PWRWND001,2070,3909.352
RE1,PWRSOL001S,2042,3.2054
RE1,PWRSOL001S,2043,42.7125
RE1,PWRSOL001S,2044,19.4974
RE1,PWRSOL001S,2045,42.0201
RE1,PWRSOL001S,2046,38.439
RE1,PWRSOL001S,2047,49.8028
RE1,PWRSOL001S,2048,45.1924
RE1,PWRSOL001S,2049,42.4335
RE1,PWRSOL001S,2050,5614.5527
RE1,PWRSOL001S,2051,196.7165
RE1,PWRSOL001S,2052,108.2583
RE1,PWRSOL001S,2053,116.5407
RE1,PWRSOL001S,2054,184.3296
RE1,PWRSOL001S,2055,664.691
RE1,PWRSOL001S,2056,241.0258
RE1,PWRSOL001S,2057,345.1757
RE1,PWRSOL001S,2058,372.587
RE1,PWRSOL001S,2059,773.4394
RE1,PWRSOL001S,2060,582.348
RE1,PWRSOL001S,2061,859.6131
RE1,PWRSOL001S,2062,422.1028
RE1,PWRSOL001S,2063,475.5446
RE1,PWRSOL001S,2064,872.8426
RE1,PWRSOL001S,2065,399.7161
RE1,PWRSOL001S,2066,351.6047
RE1,PWRSOL001S,2067,585.707
RE1,PWRSOL001S,2068,17.7603
RE1,PWRTRN,2026,7.2882
RE1,PWRTRN,2027,7.3629
RE1,PWRTRN,2028,9.5234
RE1,PWRTRN,2029,8.2325
RE1,PWRTRN,2030,27.5424
RE1,PWRTRN,2031,23.0413
RE1,PWRTRN,2032,11.9989
RE1,PWRTRN,2033,15.3798
RE1,PWRTRN,2034,41.7777
RE1,PWRTRN,2035,13.3759
RE1,PWRTRN,2036,13.9389
RE1,PWRTRN,2037,21.9946
RE1,PWRTRN,2038,12.9127
RE1,PWRTRN,2039,11.1955
RE1,PWRTRN,2040,85.1699
RE1,PWRTRN,2041,6.1455
RE1,PWRTRN,2042,9.8978
RE1,PWRTRN,2043,20.0357
RE1,PWRTRN,2044,10.3956
RE1,PWRTRN,2045,17.7786
RE1,PWRTRN,2046,13.7026
RE1,PWRTRN,2047,13.9762
RE1,PWRTRN,2048,12.4927
RE1,PWRTRN,2049,10.9726
RE1,PWRTRN,2050,1350.7121
RE1,PWRTRN,2051,633.3411
RE1,PWRTRN,2052,22.9659
RE1,PWRTRN,2053,23.4815
RE1,PWRTRN,2054,22.0734
RE1,PWRTRN,2055,16.8576
RE1,PWRTRN,2056,25.0608
RE1,PWRTRN,2057,25.5503
RE1,PWRTRN,2058,26.0337
RE1,PWRTRN,2059,35.6248
RE1,PWRTRN,2060,8.1992
RE1,PWRTRN,2061,37.1226
RE1,PWRTRN,2062,27.9144
RE1,PWRTRN,2063,28.373
RE1,PWRTRN,2064,28.8274
RE1,PWRTRN,2065,11.8623
RE1,PWRTRN,2066,8.0541
RE1,PWRTRN,2070,22.814
RE1,PWRDIST,2027,5.1246
RE1,PWRDIST,2028,10.8301
RE1,PWRDIST,2029,8.5545
RE1,PWRDIST,2030,26.2647
RE1,PWRDIST,2031,20.5729
RE1,PWRDIST,2032,10.169
RE1,PWRDIST,2033,12.3633
RE1,PWRDIST,2034,31.9101
RE1,PWRDIST,2035,9.914
RE1,PWRDIST,2036,9.9702
RE1,PWRDIST,2037,15.1597
