r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINOIL,1,2024,2141.65
RE1,MINBIO,1,2015,1083.1531
RE1,MINBIO,1,2016,1039.3007
RE1,MINBIO,1,2017,1077.9026
RE1,MINBIO,1,2018,1116.6382
RE1,MINBIO,1,2019,1137.3916
RE1,MINBIO,1,2020,1170.5173
RE1,MINBIO,1,2021,1197.7543
RE1,MINBIO,1,2022,1212.6692
RE1,MINBIO,1,2023,1227.5592
RE1,MINBIO,1,2024,1242.4259
RE1,MINBIO,1,2025,1257.2707
RE1,MINBIO,1,2026,1273.636
RE1,MINBIO,1,2027,1289.9767
RE1,MINBIO,1,2028,1306.2942
RE1,MINBIO,1,2029,1322.5899
RE1,MINBIO,1,2030,1338.8648
RE1,MINBIO,1,2031,1181.6437
RE1,MINBIO,1,2032,1196.2983
RE1,MINBIO,1,2033,1210.9213
RE1,MINBIO,1,2034,1225.5142
RE1,MINBIO,1,2035,1240.0786
RE1,MINBIO,1,2036,1252.8549
RE1,MINBIO,1,2037,1265.615
RE1,MINBIO,1,2038,1278.3596
RE1,MINBIO,1,2039,1291.0891
RE1,MINBIO,1,2040,1293.0527
RE1,MINBIO,1,2041,1311.9806
RE1,MINBIO,1,2042,1329.653
RE1,MINBIO,1,2043,1331.8102
RE1,MINBIO,1,2044,1344.7091
RE1,MINBIO,1,2045,1357.5984
RE1,MINBIO,1,2046,1345.9451
RE1,MINBIO,1,2047,1334.3381
RE1,MINBIO,1,2048,1333.5362
RE1,MINBIO,1,2049,1343.3879
RE1,MINBIO,1,2050,1342.3759
RE1,MINBIO,1,2051,1341.7019
RE1,MINBIO,1,2052,1351.8642
RE1,MINBIO,1,2053,1362.1048
RE1,MINBIO,1,2054,1372.4243
RE1,MINBIO,1,2055,1382.8232
RE1,MINBIO,1,2056,1393.3022
RE1,MINBIO,1,2057,1403.8619
RE1,MINBIO,1,2058,1414.5029
RE1,MINBIO,1,2059,1425.2259
RE1,MINBIO,1,2060,1436.0316
RE1,MINBIO,1,2061,1446.9204
RE1,MINBIO,1,2062,1457.8932
RE1,MINBIO,1,2063,1468.9504
RE1,MINBIO,1,2064,1480.0929
RE1,MINBIO,1,2065,1491.3213
RE1,MINBIO,1,2066,1502.6362
RE1,MINBIO,1,2067,1514.0383
RE1,MINBIO,1,2068,1525.5282
RE1,MINBIO,1,2069,1537.1067
RE1,MINBIO,1,2070,1362.1471
RE1,IMPCOA,1,2027,1004.9658
RE1,IMPCOA,1,2028,3487.3503
RE1,IMPCOA,1,2029,3474.2744
RE1,IMPCOA,1,2030,3472.672
RE1,IMPCOA,1,2031,3435.9127
RE1,IMPCOA,1,2032,3430.4528
RE1,IMPCOA,1,2033,3423.7353
RE1,IMPCOA,1,2034,3406.2953
RE1,IMPCOA,1,2035,3399.5742
RE1,IMPCOA,1,2036,3404.441
RE1,IMPCOA,1,2037,3296.36
RE1,IMPCOA,1,2038,3301.0875
RE1,IMPCOA,1,2039,3306.8207
RE1,IMPCOA,1,2040,2019.8989
RE1,IMPCOA,1,2041,2088.2629
RE1,IMPCOA,1,2042,2159.2758
