r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2024,156982.94
RE1,MINBIO,EMIC02,2015,108315.31
RE1,MINBIO,EMIC02,2016,103930.07
RE1,MINBIO,EMIC02,2017,107790.26
RE1,MINBIO,EMIC02,2018,111663.82
RE1,MINBIO,EMIC02,2019,113739.16
RE1,MINBIO,EMIC02,2020,117051.73
RE1,MINBIO,EMIC02,2021,119775.43
RE1,MINBIO,EMIC02,2022,121266.92
RE1,MINBIO,EMIC02,2023,122755.92
RE1,MINBIO,EMIC02,2024,124242.59
RE1,MINBIO,EMIC02,2025,125727.07
RE1,MINBIO,EMIC02,2026,127363.6
RE1,MINBIO,EMIC02,2027,128997.67
RE1,MINBIO,EMIC02,2028,130629.42
RE1,MINBIO,EMIC02,2029,132258.99
RE1,MINBIO,EMIC02,2030,133886.48
RE1,MINBIO,EMIC02,2031,118164.37
RE1,MINBIO,EMIC02,2032,119629.83
RE1,MINBIO,EMIC02,2033,121092.13
RE1,MINBIO,EMIC02,2034,122551.42
RE1,MINBIO,EMIC02,2035,131294.59
RE1,MINBIO,EMIC02,2036,138932.14
RE1,MINBIO,EMIC02,2037,154499.5
RE1,MINBIO,EMIC02,2038,168245.2
RE1,MINBIO,EMIC02,2039,175479.9
RE1,MINBIO,EMIC02,2040,182830.64
RE1,MINBIO,EMIC02,2041,192337.35
RE1,MINBIO,EMIC02,2042,203512.02
RE1,MINBIO,EMIC02,2043,210645.82
RE1,MINBIO,EMIC02,2044,221804.06
RE1,MINBIO,EMIC02,2045,236049.07
RE1,MINBIO,EMIC02,2046,241218.38
RE1,MINBIO,EMIC02,2047,247338.76
RE1,MINBIO,EMIC02,2048,252633.99
RE1,MINBIO,EMIC02,2049,257791.83
RE1,MINBIO,EMIC02,2050,722410.5
RE1,MINBIO,EMIC02,2051,738240.06
RE1,MINBIO,EMIC02,2052,747289.18
RE1,MINBIO,EMIC02,2053,756419.96
RE1,MINBIO,EMIC02,2054,765633.22
RE1,MINBIO,EMIC02,2055,774929.68
RE1,MINBIO,EMIC02,2056,784310.16
RE1,MINBIO,EMIC02,2057,793775.43
RE1,MINBIO,EMIC02,2058,803326.27
RE1,MINBIO,EMIC02,2059,811665.05
RE1,MINBIO,EMIC02,2060,824887.55
RE1,MINBIO,EMIC02,2061,832500.41
RE1,MINBIO,EMIC02,2062,842401.71
RE1,MINBIO,EMIC02,2063,852392.69
RE1,MINBIO,EMIC02,2064,862474.17
RE1,MINBIO,EMIC02,2065,872647.04
RE1,MINBIO,EMIC02,2066,882912.14
RE1,MINBIO,EMIC02,2067,893270.33
RE1,MINBIO,EMIC02,2068,903722.5
RE1,MINBIO,EMIC02,2069,910504.82
RE1,MINBIO,EMIC02,2070,898715.53
RE1,IMPCOA,EMIC02,2027,339167.76
RE1,IMPCOA,EMIC02,2028,390927.84
RE1,IMPCOA,EMIC02,2029,389690.86
RE1,IMPCOA,EMIC02,2030,390791.82
RE1,IMPCOA,EMIC02,2031,410711.9
RE1,IMPCOA,EMIC02,2032,420593.16
RE1,IMPCOA,EMIC02,2033,432707.44
RE1,IMPCOA,EMIC02,2034,441331.3
RE1,IMPCOA,EMIC02,2035,442398.05
RE1,IMPCOA,EMIC02,2036,443334.59
RE1,IMPCOA,EMIC02,2037,434306.0
RE1,IMPCOA,EMIC02,2038,435240.58
RE1,IMPCOA,EMIC02,2039,436174.23
RE1,IMPCOA,EMIC02,2040,437107.0
RE1,IMPCOA,EMIC02,2041,438078.88
RE1,IMPCOA,EMIC02,2042,434160.64
RE1,IMPCOA,EMIC02,2043,435131.24
RE1,IMPCOA,EMIC02,2044,436101.22
RE1,IMPCOA,EMIC02,2045,436532.69
RE1,IMPCOA,EMIC02,2046,437258.52
RE1,IMPCOA,EMIC02,2047,438050.02
RE1,IMPCOA,EMIC02,2048,438784.56
RE1,IMPCOA,EMIC02,2049,439509.63
RE1,IMPCOA,EMIC02,2050,438621.14
RE1,IMPCOA,EMIC02,2051,438853.21
RE1,IMPCOA,EMIC02,2052,439587.57
RE1,IMPCOA,EMIC02,2053,440327.48
RE1,IMPCOA,EMIC02,2054,441072.98
RE1,IMPCOA,EMIC02,2055,441824.1
RE1,IMPCOA,EMIC02,2056,442580.9
RE1,IMPCOA,EMIC02,2057,443343.41
RE1,IMPCOA,EMIC02,2058,444111.67
RE1,IMPCOA,EMIC02,2059,444854.81
RE1,IMPCOA,EMIC02,2060,445748.34
RE1,IMPCOA,EMIC02,2061,446451.47
RE1,IMPCOA,EMIC02,2062,447243.22
RE1,IMPCOA,EMIC02,2063,448040.95
RE1,IMPCOA,EMIC02,2064,448844.71
RE1,IMPCOA,EMIC02,2065,449654.54
RE1,IMPCOA,EMIC02,2066,450470.5
RE1,IMPCOA,EMIC02,2067,451292.62
