r,t,y,AnnualVariableOperatingCost
RE1,MINOIL,2024,28982.968
RE1,MINBIO,2015,1451.4252
RE1,MINBIO,2016,1392.6629
RE1,MINBIO,2017,1444.3895
RE1,MINBIO,2018,1496.2951
RE1,MINBIO,2019,1524.1047
RE1,MINBIO,2020,1568.4932
RE1,MINBIO,2021,1604.9908
RE1,MINBIO,2022,1624.9767
RE1,MINBIO,2023,1644.9294
RE1,MINBIO,2024,1664.8508
RE1,MINBIO,2025,1684.7427
RE1,MINBIO,2026,1706.6722
RE1,MINBIO,2027,1728.5688
RE1,MINBIO,2028,1750.4343
RE1,MINBIO,2029,1772.2704
RE1,MINBIO,2030,1794.0788
RE1,MINBIO,2031,1583.4026
RE1,MINBIO,2032,1603.0398
RE1,MINBIO,2033,1622.6345
RE1,MINBIO,2034,1642.189
RE1,MINBIO,2035,1759.3476
RE1,MINBIO,2036,1861.6907
RE1,MINBIO,2037,2070.2933
RE1,MINBIO,2038,2254.4857
RE1,MINBIO,2039,2351.4306
RE1,MINBIO,2040,2449.9305
RE1,MINBIO,2041,2577.3205
RE1,MINBIO,2042,2727.0611
RE1,MINBIO,2043,2822.654
RE1,MINBIO,2044,2972.1745
RE1,MINBIO,2045,3163.0575
RE1,MINBIO,2046,3232.3263
RE1,MINBIO,2047,3314.3394
RE1,MINBIO,2048,3385.2954
RE1,MINBIO,2049,3454.4106
RE1,MINBIO,2050,9680.3007
RE1,MINBIO,2051,9892.4168
RE1,MINBIO,2052,10013.675
RE1,MINBIO,2053,10136.027
RE1,MINBIO,2054,10259.485
RE1,MINBIO,2055,10384.058
RE1,MINBIO,2056,10509.756
RE1,MINBIO,2057,10636.591
RE1,MINBIO,2058,10764.572
RE1,MINBIO,2059,10876.312
RE1,MINBIO,2060,11053.493
RE1,MINBIO,2061,11155.505
RE1,MINBIO,2062,11288.183
RE1,MINBIO,2063,11422.062
RE1,MINBIO,2064,11557.154
RE1,MINBIO,2065,11693.47
RE1,MINBIO,2066,11831.023
RE1,MINBIO,2067,11969.822
RE1,MINBIO,2068,12109.881
RE1,MINBIO,2069,12200.765
RE1,MINBIO,2070,12042.788
RE1,IMPCOA,2027,11175.108
RE1,IMPCOA,2028,12929.881
RE1,IMPCOA,2029,12938.163
RE1,IMPCOA,2030,13024.05
RE1,IMPCOA,2031,13853.847
RE1,IMPCOA,2032,14357.061
RE1,IMPCOA,2033,14945.385
RE1,IMPCOA,2034,15421.53
RE1,IMPCOA,2035,15637.52
RE1,IMPCOA,2036,15849.717
RE1,IMPCOA,2037,15702.38
RE1,IMPCOA,2038,15911.993
RE1,IMPCOA,2039,16122.327
RE1,IMPCOA,2040,16333.382
RE1,IMPCOA,2041,16402.88
RE1,IMPCOA,2042,16289.056
RE1,IMPCOA,2043,16358.43
RE1,IMPCOA,2044,16427.927
RE1,IMPCOA,2045,16477.246
RE1,IMPCOA,2046,16537.762
RE1,IMPCOA,2047,16600.878
RE1,IMPCOA,2048,16661.95
RE1,IMPCOA,2049,16722.773
RE1,IMPCOA,2050,16722.19
RE1,IMPCOA,2051,16731.038
RE1,IMPCOA,2052,16759.035
RE1,IMPCOA,2053,16787.243
RE1,IMPCOA,2054,16815.665
RE1,IMPCOA,2055,16844.301
RE1,IMPCOA,2056,16873.154
RE1,IMPCOA,2057,16902.224
RE1,IMPCOA,2058,16931.514
RE1,IMPCOA,2059,16959.845
RE1,IMPCOA,2060,16993.911
RE1,IMPCOA,2061,17020.717
RE1,IMPCOA,2062,17050.902
RE1,IMPCOA,2063,17081.315
RE1,IMPCOA,2064,17111.958
RE1,IMPCOA,2065,17142.833
RE1,IMPCOA,2066,17173.94
RE1,IMPCOA,2067,17205.283
RE1,IMPCOA,2068,17236.863
RE1,IMPCOA,2069,17396.361
RE1,IMPCOA,2070,13351.459
RE1,MINCOA,2015,2590.7438
RE1,MINCOA,2016,2542.1017
RE1,MINCOA,2017,2698.4387
RE1,MINCOA,2018,2877.9208
RE1,MINCOA,2019,3295.3828
RE1,MINCOA,2020,7993.3771
RE1,MINCOA,2021,8241.3544
RE1,MINCOA,2022,8539.323
RE1,MINCOA,2023,8838.9664
RE1,MINCOA,2024,11792.464
RE1,MINCOA,2025,11344.299
RE1,MINCOA,2026,11418.602
RE1,MINCOA,2027,1491.167
RE1,IMPLFO,2015,37884.26
RE1,IMPLFO,2016,48831.712
RE1,IMPLFO,2017,59793.105
RE1,IMPLFO,2018,71366.78
RE1,IMPLFO,2019,83348.151
RE1,IMPLFO,2020,95795.775
RE1,IMPLFO,2021,99120.952
RE1,IMPLFO,2022,102502.33
RE1,IMPLFO,2023,105939.9
RE1,IMPLFO,2024,51066.137
RE1,IMPLFO,2025,85023.102
RE1,IMPLFO,2026,87883.956
RE1,IMPLFO,2027,90791.65
RE1,IMPLFO,2028,93746.188
RE1,IMPLFO,2029,96747.571
RE1,IMPLFO,2030,99795.803
RE1,IMPLFO,2031,103352.46
RE1,IMPLFO,2032,106967.71
RE1,IMPLFO,2033,110641.54
RE1,IMPLFO,2034,114373.94
RE1,IMPLFO,2035,118164.93
RE1,IMPLFO,2036,121879.66
RE1,IMPLFO,2037,125647.9
RE1,IMPLFO,2038,129469.63
RE1,IMPLFO,2039,133344.86
RE1,IMPLFO,2040,137273.58
RE1,IMPLFO,2041,139742.86
RE1,IMPLFO,2042,142233.44
RE1,IMPLFO,2043,144745.31
RE1,IMPLFO,2044,147278.48
RE1,IMPLFO,2045,149832.95
RE1,IMPLFO,2046,152083.47
RE1,IMPLFO,2047,154350.69
RE1,IMPLFO,2048,156634.6
RE1,IMPLFO,2049,158935.21
RE1,UPSREF001,2024,1537.1693
RE1,MINNGS,2015,4099.725
RE1,MINNGS,2016,4720.6405
RE1,MINNGS,2017,5394.2435
RE1,MINNGS,2018,6256.9119
RE1,MINNGS,2019,6958.5695
RE1,MINNGS,2024,109.8584
RE1,MINNGS,2025,103.808
RE1,MINNGS,2026,602.9402
RE1,MINNGS,2027,1091.6601
RE1,MINNGS,2028,1568.6212
RE1,MINNGS,2029,2193.4496
RE1,MINNGS,2030,745.3687
RE1,MINNGS,2031,1325.6878
RE1,MINNGS,2032,1339.2625
RE1,MINNGS,2033,1231.2979
RE1,MINNGS,2034,1206.8178
RE1,MINNGS,2035,1220.356
RE1,MINNGS,2036,1231.0414
RE1,MINNGS,2037,1243.1793
RE1,MINNGS,2038,826.2205
RE1,MINNGS,2039,837.0695
RE1,MINNGS,2040,750.9625
RE1,MINNGS,2041,688.0522
RE1,MINNGS,2042,696.2095
RE1,MINNGS,2043,701.2272
RE1,MINNGS,2044,390.1778
RE1,MINSOL,2015,0.0009
RE1,MINSOL,2016,0.0015
RE1,MINSOL,2017,0.0016
RE1,MINSOL,2018,0.0018
RE1,MINSOL,2019,0.0018
RE1,MINSOL,2020,0.0018
RE1,MINSOL,2021,0.0018
RE1,MINSOL,2022,0.0018
RE1,MINSOL,2023,0.0018
RE1,MINSOL,2024,0.0018
RE1,MINSOL,2025,0.0104
RE1,MINSOL,2026,0.0106
RE1,MINSOL,2027,0.0108
RE1,MINSOL,2028,0.0111
RE1,MINSOL,2029,0.0113
RE1,MINSOL,2030,0.0115
RE1,MINSOL,2031,0.0118
RE1,MINSOL,2032,0.012
RE1,MINSOL,2033,0.0122
RE1,MINSOL,2034,0.0128
RE1,MINSOL,2035,0.013
RE1,MINSOL,2036,0.0132
RE1,MINSOL,2037,0.0134
RE1,MINSOL,2038,0.0136
