r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2024,177.4457
RE1,COMENEFFDP,ELC003,2025,182.2389
RE1,COMENEFFDP,ELC003,2026,187.4184
RE1,COMENEFFDP,ELC003,2027,192.5978
RE1,COMENEFFDP,ELC003,2028,197.7773
RE1,COMENEFFDP,ELC003,2029,202.9567
RE1,COMENEFFDP,ELC003,2030,206.3607
RE1,COMENEFFDP,ELC003,2031,214.0562
RE1,COMENEFFDP,ELC003,2032,219.9763
RE1,COMENEFFDP,ELC003,2033,225.8964
RE1,COMENEFFDP,ELC003,2034,231.8164
RE1,COMENEFFDP,ELC003,2035,237.7365
RE1,COMENEFFDP,ELC003,2036,242.5026
RE1,COMENEFFDP,ELC003,2037,247.2687
RE1,COMENEFFDP,ELC003,2038,252.0347
RE1,COMENEFFDP,ELC003,2039,256.8008
RE1,COMENEFFDP,ELC003,2040,263.6677
RE1,COMENEFFDP,ELC003,2041,266.2339
RE1,COMENEFFDP,ELC003,2042,270.901
RE1,COMENEFFDP,ELC003,2043,275.5682
RE1,COMENEFFDP,ELC003,2044,282.486
RE1,COMENEFFDP,ELC003,2045,284.9023
RE1,COMENEFFDP,ELC003,2046,288.1521
RE1,COMENEFFDP,ELC003,2047,291.4019
RE1,COMENEFFDP,ELC003,2048,294.6515
RE1,COMENEFFDP,ELC003,2049,297.9013
RE1,COMENEFFDP,ELC003,2050,303.5698
RE1,COMENEFFDP,ELC003,2051,306.9561
RE1,COMENEFFDP,ELC003,2052,307.9071
RE1,COMENEFFDP,ELC003,2053,311.3417
RE1,COMENEFFDP,ELC003,2054,314.8147
RE1,COMENEFFDP,ELC003,2055,318.3264
RE1,COMENEFFDP,ELC003,2056,321.8773
RE1,COMENEFFDP,ELC003,2057,325.4678
RE1,COMENEFFDP,ELC003,2058,329.0983
RE1,COMENEFFDP,ELC003,2059,332.7693
RE1,COMENEFFDP,ELC003,2060,339.1839
RE1,COMENEFFDP,ELC003,2061,342.9674
RE1,COMENEFFDP,ELC003,2062,346.7932
RE1,COMENEFFDP,ELC003,2063,350.6617
RE1,COMENEFFDP,ELC003,2064,351.748
RE1,COMENEFFDP,ELC003,2065,355.6717
RE1,COMENEFFDP,ELC003,2066,359.6392
RE1,COMENEFFDP,ELC003,2067,363.6509
RE1,COMENEFFDP,ELC003,2068,367.7073
RE1,COMENEFFDP,ELC003,2069,374.7954
RE1,COMENEFFDP,ELC003,2070,354.9075
RE1,DEMCOMELC,ELC003,2015,169.2528
RE1,DEMCOMELC,ELC003,2016,179.0399
RE1,DEMCOMELC,ELC003,2017,187.428
RE1,DEMCOMELC,ELC003,2018,195.8162
RE1,DEMCOMELC,ELC003,2019,204.2043
RE1,DEMCOMELC,ELC003,2020,212.5924
RE1,DEMCOMELC,ELC003,2021,219.0306
RE1,DEMCOMELC,ELC003,2022,225.4689
RE1,DEMCOMELC,ELC003,2023,231.9071
RE1,DEMCOMELC,ELC003,2024,7.666
RE1,DEMCOMELC,ELC003,2025,7.8731
RE1,DEMCOMELC,ELC003,2026,8.0968
RE1,DEMCOMELC,ELC003,2027,8.3206
RE1,DEMCOMELC,ELC003,2028,8.5443
RE1,DEMCOMELC,ELC003,2029,8.7681
RE1,DEMCOMELC,ELC003,2030,11.3
RE1,DEMCOMELC,ELC003,2031,9.2476
RE1,DEMCOMELC,ELC003,2032,9.5034
RE1,DEMCOMELC,ELC003,2033,9.7591
RE1,DEMCOMELC,ELC003,2034,10.0149
RE1,DEMCOMELC,ELC003,2035,10.2707
RE1,DEMCOMELC,ELC003,2036,10.4766
RE1,DEMCOMELC,ELC003,2037,10.6825
RE1,DEMCOMELC,ELC003,2038,10.8884
RE1,DEMCOMELC,ELC003,2039,11.0943
RE1,DEMCOMELC,ELC003,2040,8.569
RE1,DEMCOMELC,ELC003,2041,11.5018
RE1,DEMCOMELC,ELC003,2042,11.7034
RE1,DEMCOMELC,ELC003,2043,11.9051
RE1,DEMCOMELC,ELC003,2044,9.1806
RE1,DEMCOMELC,ELC003,2045,12.3083
RE1,DEMCOMELC,ELC003,2046,12.4487
RE1,DEMCOMELC,ELC003,2047,12.5891
RE1,DEMCOMELC,ELC003,2048,12.7295
RE1,DEMCOMELC,ELC003,2049,12.8699
RE1,DEMCOMELC,ELC003,2050,9.8658
RE1,DEMCOMELC,ELC003,2051,9.9759
RE1,DEMCOMELC,ELC003,2052,13.3022
RE1,DEMCOMELC,ELC003,2053,13.4506
RE1,DEMCOMELC,ELC003,2054,13.6006
RE1,DEMCOMELC,ELC003,2055,13.7523
RE1,DEMCOMELC,ELC003,2056,13.9057
RE1,DEMCOMELC,ELC003,2057,14.0608
RE1,DEMCOMELC,ELC003,2058,14.2177
RE1,DEMCOMELC,ELC003,2059,14.3763
RE1,DEMCOMELC,ELC003,2060,11.0233
RE1,DEMCOMELC,ELC003,2061,11.1462
RE1,DEMCOMELC,ELC003,2062,11.2706
RE1,DEMCOMELC,ELC003,2063,11.3963
RE1,DEMCOMELC,ELC003,2064,15.1962
