r,t,y,SalvageValue
RE1,PWRCOA001,2019,644.2451
RE1,PWRCOA001,2020,12587.988
RE1,PWRCOA001,2021,569.4425
RE1,PWRCOA001,2022,769.6741
RE1,PWRCOA001,2023,820.7329
RE1,PWRCOA001,2024,869.271
RE1,PWRCOA001,2025,2904.8385
RE1,PWRCOA001,2026,1038.7246
RE1,PWRCOA001,2027,1083.8599
RE1,PWRCOA001,2028,1126.7558
RE1,PWRCOA001,2029,1488.6012
RE1,PWRCOA001,2030,1206.2564
RE1,PWRCOA001,2031,4875.2868
RE1,PWRCOA001,2032,1465.7871
RE1,PWRCOA001,2033,1503.887
RE1,PWRCOA001,2034,1540.0783
RE1,PWRCOA001,2035,1992.3083
RE1,PWRCOA001,2036,1667.3289
RE1,PWRCOA001,2037,3006.9713
RE1,PWRCOA001,2038,1417.2363
RE1,PWRCOA001,2041,1241.499
RE1,PWRCOA001,2042,2269.9244
RE1,PWRCOA001,2043,1426.1413
RE1,PWRCOA001,2044,3017.1638
RE1,PWRCOA001,2045,3050.5222
RE1,PWRCOA001,2046,1563.061
RE1,PWRCOA001,2047,1803.8469
RE1,PWRCOA001,2048,1345.0332
RE1,PWRCOA001,2049,1046.5189
RE1,PWRCOA001,2050,1467.7832
RE1,PWRCOA001,2051,3413.3317
RE1,PWRCOA001,2052,1169.4269
RE1,PWRCOA001,2053,1191.2809
RE1,PWRCOA001,2054,1213.0527
RE1,PWRCOA001,2055,1237.5681
RE1,PWRCOA001,2056,1269.3357
RE1,PWRCOA001,2057,1291.1491
RE1,PWRCOA001,2058,1312.9227
RE1,PWRCOA001,2059,1334.6665
RE1,PWRCOA001,2060,1356.3902
RE1,PWRCOA001,2061,1378.1034
RE1,PWRCOA001,2062,1399.8152
RE1,PWRCOA001,2063,1421.5347
RE1,PWRCOA001,2064,1443.2706
RE1,PWRCOA001,2065,1465.0315
RE1,PWRCOA001,2066,1486.8257
RE1,PWRCOA001,2067,1508.6613
RE1,PWRCOA001,2068,1530.5463
RE1,PWRCOA001,2069,1552.4883
RE1,PWRNUC,2070,4552.4676
RE1,PWRTRN,2033,28.0058
RE1,PWRTRN,2034,142.907
RE1,PWRTRN,2035,150.4926
RE1,PWRTRN,2036,126.202
RE1,PWRTRN,2037,131.6861
RE1,PWRTRN,2038,136.8981
RE1,PWRTRN,2039,143.8518
RE1,PWRTRN,2040,148.6249
RE1,PWRTRN,2041,149.9221
RE1,PWRTRN,2042,154.1398
RE1,PWRTRN,2043,158.1467
RE1,PWRTRN,2044,161.9528
RE1,PWRTRN,2045,165.568
RE1,PWRTRN,2046,116.6376
RE1,PWRTRN,2047,118.8878
RE1,PWRTRN,2048,121.0243
RE1,PWRTRN,2049,123.0527
RE1,PWRTRN,2050,124.9782
RE1,PWRTRN,2051,9241.0689
RE1,PWRTRN,2052,138.6568
RE1,PWRTRN,2053,142.0906
RE1,PWRTRN,2054,145.4928
RE1,PWRTRN,2055,148.8657
RE1,PWRTRN,2056,152.2115
RE1,PWRTRN,2057,155.5323
RE1,PWRTRN,2058,158.8301
RE1,PWRTRN,2059,162.1069
RE1,PWRTRN,2060,165.3645
RE1,PWRTRN,2061,168.6049
RE1,PWRTRN,2062,171.8297
RE1,PWRTRN,2063,175.0408
RE1,PWRTRN,2064,178.2399
RE1,PWRTRN,2065,181.4285
RE1,PWRTRN,2066,184.6083
RE1,PWRTRN,2067,187.7808
RE1,PWRTRN,2068,190.9474
RE1,PWRTRN,2069,194.1098
RE1,PWRTRN,2070,197.2692
RE1,PWRDIST,2036,85.6999
RE1,PWRDIST,2037,91.411
RE1,PWRDIST,2038,92.3194
RE1,PWRDIST,2039,94.4759
RE1,PWRDIST,2040,95.3112
RE1,PWRDIST,2041,94.1113
RE1,PWRDIST,2042,94.8533
RE1,PWRDIST,2043,95.5599
RE1,PWRDIST,2044,96.2329
RE1,PWRDIST,2045,96.8738
RE1,PWRDIST,2046,67.8789
RE1,PWRDIST,2047,68.2837
RE1,PWRDIST,2048,68.6692
RE1,PWRDIST,2049,69.0364
RE1,PWRDIST,2050,69.3861
RE1,PWRDIST,2051,5181.9159
RE1,PWRDIST,2052,73.205
RE1,PWRDIST,2053,74.3409
RE1,PWRDIST,2054,75.4776
RE1,PWRDIST,2055,76.6156
RE1,PWRDIST,2056,77.7553
RE1,PWRDIST,2057,78.8973
RE1,PWRDIST,2058,80.0418
RE1,PWRDIST,2059,81.1892
RE1,PWRDIST,2060,82.3401
RE1,PWRDIST,2061,83.4947
RE1,PWRDIST,2062,84.6535
RE1,PWRDIST,2063,85.8168
RE1,PWRDIST,2064,86.985
RE1,PWRDIST,2065,88.1583
RE1,PWRDIST,2066,89.3373
RE1,PWRDIST,2067,90.5222
RE1,PWRDIST,2068,91.7133
RE1,PWRDIST,2069,92.911
RE1,PWRDIST,2070,94.1156
RE1,DEMTRAMCYGSL,2057,102.3242
RE1,DEMTRAMCYGSL,2058,200.1566
RE1,DEMTRAMCYGSL,2059,293.7084
RE1,DEMTRAMCYGSL,2060,7823.0736
RE1,DEMTRAMCYGSL,2061,750.9896
RE1,DEMTRAMCYGSL,2062,727.5219
RE1,DEMTRAMCYGSL,2063,853.3516
RE1,DEMTRAMCYGSL,2064,3508.078
RE1,DEMTRAMCYGSL,2065,394.9726
RE1,DEMTRAMCYGSL,2066,435.5524
RE1,DEMTRAMCYGSL,2067,472.1576
RE1,DEMTRAMCYGSL,2068,507.7085
RE1,DEMTRAMCYGSL,2069,542.251
RE1,DEMTRAMCYGSL,2070,1333.7883
RE1,DEMTRACARGSL,2053,29.4635
RE1,DEMTRACARGSL,2054,43.4853
RE1,DEMTRACARGSL,2055,57.0604
RE1,DEMTRACARGSL,2056,70.2076
RE1,DEMTRACARGSL,2057,82.9452
RE1,DEMTRACARGSL,2058,95.2906
RE1,DEMTRACARGSL,2059,107.2605
RE1,DEMTRACARGSL,2060,118.8709
RE1,DEMTRACARGSL,2061,280.7871
RE1,DEMTRACARGSL,2062,303.115
RE1,DEMTRACARGSL,2063,324.5832
RE1,DEMTRACARGSL,2064,345.2315
RE1,DEMTRACARGSL,2065,365.0978
RE1,DEMTRACARGSL,2066,340.0901
RE1,DEMTRACARGSL,2067,356.5612
RE1,DEMTRACARGSL,2068,372.4474
RE1,DEMTRACARGSL,2069,22851.875
RE1,DEMTRACARGSL,2070,218.3165
RE1,DEMTRABUSGSL,2052,0.0
RE1,DEMTRABUSGSL,2053,0.0
RE1,DEMTRABUSGSL,2054,0.0
RE1,DEMTRABUSGSL,2055,0.0004
RE1,DEMTRABUSGSL,2056,0.0
RE1,DEMTRABUSGSL,2057,0.0
RE1,DEMTRABUSGSL,2058,0.0
RE1,DEMTRABUSGSL,2059,0.0
RE1,DEMTRABUSGSL,2060,0.0
RE1,DEMTRABUSGSL,2061,0.0
RE1,DEMTRABUSGSL,2062,0.0001
RE1,DEMTRABUSGSL,2063,0.0
RE1,DEMTRABUSGSL,2064,0.0001
RE1,DEMTRABUSGSL,2065,0.0
RE1,DEMTRABUSGSL,2066,0.0
RE1,DEMTRABUSGSL,2067,0.0001
RE1,DEMTRABUSGSL,2068,0.0001
RE1,DEMTRABUSGSL,2069,0.0001
RE1,DEMTRABUSGSL,2070,0.0001
RE1,DEMINDELC,2062,0.0
RE1,DEMINDELC,2063,0.0
RE1,DEMINDELC,2064,0.0001
RE1,DEMINDELC,2065,0.0006
RE1,DEMINDELC,2066,0.0001
RE1,DEMINDELC,2067,0.0002
RE1,DEMINDELC,2068,0.0002
RE1,DEMINDELC,2069,0.0002
RE1,DEMINDELC,2070,0.0002
RE1,DEMINDHEBIO,2057,21.735
RE1,DEMINDHEBIO,2058,42.4438
RE1,DEMINDHEBIO,2059,62.1852
RE1,DEMINDHEBIO,2060,2114.806
RE1,DEMINDHEBIO,2061,87.6847
RE1,DEMINDHEBIO,2062,102.9004
RE1,DEMINDHEBIO,2063,117.4256
RE1,DEMINDHEBIO,2064,131.3188
RE1,DEMINDHEBIO,2065,144.6429
RE1,DEMINDHEBIO,2066,150.8249
RE1,DEMINDHEBIO,2067,207.7313
RE1,DEMINDHEBIO,2068,248.3554
RE1,DEMINDHEBIO,2069,263.8975
RE1,DEMINDHEBIO,2070,278.8692
RE1,DEMRESELC,2062,0.0
RE1,DEMRESELC,2063,0.0
RE1,DEMRESELC,2064,0.0
RE1,DEMRESELC,2065,0.0003
RE1,DEMRESELC,2066,0.0001
RE1,DEMRESELC,2067,0.0001
RE1,DEMRESELC,2068,0.0001
RE1,DEMRESELC,2069,0.0001
RE1,DEMRESELC,2070,0.0001
RE1,DEMRESCKNOIL,2052,3.0911
RE1,DEMRESCKNOIL,2053,6.037
RE1,DEMRESCKNOIL,2054,8.8449
RE1,DEMRESCKNOIL,2055,11.5214
RE1,DEMRESCKNOIL,2056,13.8184
RE1,DEMRESCKNOIL,2057,16.2093
RE1,DEMRESCKNOIL,2058,18.4896
RE1,DEMRESCKNOIL,2059,4.7023
RE1,DEMRESCKNOIL,2060,5.1851
RE1,DEMRESCKNOIL,2061,5.648
RE1,DEMRESCKNOIL,2062,6.0934
RE1,DEMRESCKNOIL,2063,6.5212
RE1,DEMRESCKNOIL,2064,6.9322
RE1,DEMRESCKNOIL,2065,7.3273
RE1,DEMRESCKNOIL,2066,6.7125
RE1,DEMRESCKNOIL,2067,39.1126
RE1,DEMRESCKNOIL,2068,40.9637
RE1,DEMRESCKNOIL,2069,42.4927
RE1,DEMRESCKNOIL,2070,43.952
RE1,DEMRESCKNBIO,2052,3.8243
RE1,DEMRESCKNBIO,2053,7.4683
RE1,DEMRESCKNBIO,2054,10.9408
RE1,DEMRESCKNBIO,2055,14.2499
RE1,DEMRESCKNBIO,2056,17.1804
RE1,DEMRESCKNBIO,2057,20.1496
RE1,DEMRESCKNBIO,2058,22.9804
RE1,DEMRESCKNBIO,2059,4.1248
RE1,DEMRESCKNBIO,2060,4.5483
RE1,DEMRESCKNBIO,2061,4.9543
RE1,DEMRESCKNBIO,2062,5.345
RE1,DEMRESCKNBIO,2063,5.7203
RE1,DEMRESCKNBIO,2064,6.0808
RE1,DEMRESCKNBIO,2065,6.4273
RE1,DEMRESCKNBIO,2066,5.8881
RE1,DEMRESCKNBIO,2067,6.1719
RE1,DEMRESCKNBIO,2068,6.4454
RE1,DEMRESCKNBIO,2069,6.7093
RE1,DEMRESCKNBIO,2070,20.1591
RE1,DEMRESHEBIO,2057,5.2577
RE1,DEMRESHEBIO,2058,10.2626
RE1,DEMRESHEBIO,2059,15.0294
RE1,DEMRESHEBIO,2060,422.7288
RE1,DEMRESHEBIO,2061,21.2367
RE1,DEMRESHEBIO,2062,24.9076
RE1,DEMRESHEBIO,2063,28.4081
RE1,DEMRESHEBIO,2064,49.5194
RE1,DEMRESHEBIO,2065,55.0751
