r,t,y,TotalTechnologyAnnualActivity
RE1,MINOIL,2024,2141.65
RE1,MINBIO,2015,1083.1531
RE1,MINBIO,2016,1039.3007
RE1,MINBIO,2017,1077.9026
RE1,MINBIO,2018,1116.6382
RE1,MINBIO,2019,1137.3916
RE1,MINBIO,2020,1170.5173
RE1,MINBIO,2021,1197.7543
RE1,MINBIO,2022,1212.6692
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,1242.4259
RE1,MINBIO,2025,1257.2707
RE1,MINBIO,2026,1273.636
RE1,MINBIO,2027,1289.9767
RE1,MINBIO,2028,1306.2942
RE1,MINBIO,2029,1322.5899
RE1,MINBIO,2030,1338.8648
RE1,MINBIO,2031,1181.6437
RE1,MINBIO,2032,1196.2983
RE1,MINBIO,2033,1210.9213
RE1,MINBIO,2034,1225.5142
RE1,MINBIO,2035,1240.0786
RE1,MINBIO,2036,1252.8549
RE1,MINBIO,2037,1265.615
RE1,MINBIO,2038,1278.3596
RE1,MINBIO,2039,1291.0891
RE1,MINBIO,2040,1303.8043
RE1,MINBIO,2041,1316.734
RE1,MINBIO,2042,1329.653
RE1,MINBIO,2043,1342.5618
RE1,MINBIO,2044,1355.4606
RE1,MINBIO,2045,1368.3499
RE1,MINBIO,2046,1353.6227
RE1,MINBIO,2047,1338.949
RE1,MINBIO,2048,1336.6245
RE1,MINBIO,2049,1346.4763
RE1,MINBIO,2050,1343.9129
RE1,MINBIO,2051,1341.7019
RE1,MINBIO,2052,1351.8642
RE1,MINBIO,2053,1362.1048
RE1,MINBIO,2054,1372.4243
RE1,MINBIO,2055,1382.8232
RE1,MINBIO,2056,1393.3022
RE1,MINBIO,2057,1403.8619
RE1,MINBIO,2058,1414.5029
RE1,MINBIO,2059,1425.2259
RE1,MINBIO,2060,1436.0316
RE1,MINBIO,2061,1446.9204
RE1,MINBIO,2062,1457.8932
RE1,MINBIO,2063,1468.9504
RE1,MINBIO,2064,1480.0929
RE1,MINBIO,2065,1491.3213
RE1,MINBIO,2066,1502.6362
RE1,MINBIO,2067,1514.0383
RE1,MINBIO,2068,1525.5282
RE1,MINBIO,2069,1537.1067
RE1,MINBIO,2070,1548.7745
RE1,IMPCOA,2027,846.9988
RE1,IMPCOA,2028,3726.8619
RE1,IMPCOA,2029,3832.8729
RE1,IMPCOA,2030,3938.8093
RE1,IMPCOA,2031,4274.8133
RE1,IMPCOA,2032,4393.061
RE1,IMPCOA,2033,4511.2183
RE1,IMPCOA,2034,4629.2862
RE1,IMPCOA,2035,4775.5847
RE1,IMPCOA,2036,4896.1148
RE1,IMPCOA,2037,4996.2894
RE1,IMPCOA,2038,5096.6785
RE1,IMPCOA,2039,5106.548
RE1,IMPCOA,2040,5116.4081
RE1,IMPCOA,2041,5202.2062
RE1,IMPCOA,2042,5296.9228
RE1,IMPCOA,2043,5391.5777
RE1,IMPCOA,2044,5578.1483
RE1,IMPCOA,2045,5764.5664
RE1,IMPCOA,2046,5861.7135
RE1,IMPCOA,2047,5971.5345
RE1,IMPCOA,2048,6054.6747
RE1,IMPCOA,2049,6120.5638
RE1,IMPCOA,2050,6208.8134
RE1,IMPCOA,2051,6392.4148
RE1,IMPCOA,2052,6462.993
RE1,IMPCOA,2053,6534.3297
RE1,IMPCOA,2054,6606.4331
RE1,IMPCOA,2055,6679.3116
RE1,IMPCOA,2056,6752.9736
RE1,IMPCOA,2057,6827.4276
RE1,IMPCOA,2058,6902.6823
RE1,IMPCOA,2059,6978.7463
RE1,IMPCOA,2060,7055.6285
RE1,IMPCOA,2061,7133.3378
RE1,IMPCOA,2062,7211.8832
RE1,IMPCOA,2063,7291.2737
RE1,IMPCOA,2064,7371.5187
RE1,IMPCOA,2065,7452.6273
RE1,IMPCOA,2066,7534.6089
RE1,IMPCOA,2067,7617.4732
RE1,IMPCOA,2068,7701.2296
RE1,IMPCOA,2069,7785.888
RE1,IMPCOA,2070,7793.4533
RE1,MINCOA,2015,1201.8755
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1132.6139
RE1,MINCOA,2018,1153.041
RE1,MINCOA,2019,1262.8933
RE1,MINCOA,2020,2935.6729
RE1,MINCOA,2021,3016.1628
RE1,MINCOA,2022,3114.3238
RE1,MINCOA,2023,3212.4118
RE1,MINCOA,2024,3310.4279
RE1,MINCOA,2025,3408.373
RE1,MINCOA,2026,3514.6129
RE1,MINCOA,2027,2773.7768
RE1,IMPLFO,2015,5550.7898
RE1,IMPLFO,2016,5742.9386
RE1,IMPLFO,2017,5873.1208
RE1,IMPLFO,2018,6018.0954
RE1,IMPLFO,2019,6157.2481
RE1,IMPLFO,2020,6296.354
RE1,IMPLFO,2021,6407.2812
RE1,IMPLFO,2022,6518.1765
RE1,IMPLFO,2023,6629.0418
RE1,IMPLFO,2024,4812.3939
RE1,IMPLFO,2025,6850.6895
RE1,IMPLFO,2026,6973.948
RE1,IMPLFO,2027,7097.1769
RE1,IMPLFO,2028,7220.3778
RE1,IMPLFO,2029,7343.5523
RE1,IMPLFO,2030,7466.7017
RE1,IMPLFO,2031,7569.1666
RE1,IMPLFO,2032,7671.5911
RE1,IMPLFO,2033,7773.9772
RE1,IMPLFO,2034,7876.3271
RE1,IMPLFO,2035,7978.6427
RE1,IMPLFO,2036,8071.7924
RE1,IMPLFO,2037,8164.9225
RE1,IMPLFO,2038,8258.0338
RE1,IMPLFO,2039,8350.4265
RE1,IMPLFO,2040,8442.8019
RE1,IMPLFO,2041,8530.8835
RE1,IMPLFO,2042,8618.9522
RE1,IMPLFO,2043,8707.0086
RE1,IMPLFO,2044,8795.053
RE1,IMPLFO,2045,8883.0859
RE1,IMPLFO,2046,8951.8267
RE1,IMPLFO,2047,9020.5623
RE1,IMPLFO,2048,9089.293
RE1,IMPLFO,2049,9158.0187
RE1,IMPLFO,2050,9226.7397
RE1,IMPLFO,2051,9297.0738
RE1,IMPLFO,2052,9367.9521
RE1,IMPLFO,2053,9439.3788
RE1,IMPLFO,2054,9511.3583
RE1,IMPLFO,2055,9583.8947
RE1,IMPLFO,2056,9656.9925
RE1,IMPLFO,2057,9730.6561
RE1,IMPLFO,2058,9804.8898
RE1,IMPLFO,2059,9879.6981
RE1,IMPLFO,2060,9955.0855
RE1,IMPLFO,2061,10031.056
RE1,IMPLFO,2062,10107.616
RE1,IMPLFO,2063,10184.767
RE1,IMPLFO,2064,10262.517
RE1,IMPLFO,2065,10340.868
RE1,IMPLFO,2066,10419.826
RE1,IMPLFO,2067,10499.395
RE1,IMPLFO,2068,10579.581
RE1,IMPLFO,2069,10660.387
RE1,IMPLFO,2070,10741.82
RE1,UPSREF001,2024,2141.65
RE1,MINNGS,2015,794.6634
RE1,MINNGS,2016,796.9507
RE1,MINNGS,2017,806.5935
RE1,MINNGS,2018,839.6294
RE1,MINNGS,2019,846.9226
RE1,MINNGS,2039,47.2138
RE1,MINNGS,2040,94.1685
RE1,MINNGS,2041,99.8877
RE1,MINNGS,2042,99.8877
RE1,MINNGS,2043,99.8877
RE1,MINNGS,2044,49.9438
RE1,MINSOL,2015,8.5316
RE1,MINSOL,2016,14.7631
