r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,222.8976
RE1,PWRBIO001,2016,222.8976
RE1,PWRBIO001,2017,222.8976
RE1,PWRBIO001,2018,222.8976
RE1,PWRBIO001,2019,222.8976
RE1,PWRBIO001,2020,222.8976
RE1,PWRBIO001,2021,222.8976
RE1,PWRBIO001,2022,222.8976
RE1,PWRBIO001,2023,222.8976
RE1,PWRBIO001,2024,222.8976
RE1,PWRBIO001,2025,222.8976
RE1,PWRBIO001,2026,222.8976
RE1,PWRBIO001,2027,222.8976
RE1,PWRBIO001,2028,222.8976
RE1,PWRBIO001,2029,222.8976
RE1,PWRBIO001,2030,222.8976
RE1,PWRCOA001,2015,273.468
RE1,PWRCOA001,2016,273.468
RE1,PWRCOA001,2017,275.0078
RE1,PWRCOA001,2018,507.5674
RE1,PWRCOA001,2019,507.5674
RE1,PWRCOA001,2020,507.5674
RE1,PWRCOA001,2021,507.5674
RE1,PWRCOA001,2022,525.2923
RE1,PWRCOA001,2023,902.6844
RE1,PWRCOA001,2024,1444.2305
RE1,PWRCOA001,2025,1542.5735
RE1,PWRCOA001,2026,1640.9795
RE1,PWRCOA001,2027,1640.9795
RE1,PWRCOA001,2028,1640.9795
RE1,PWRCOA001,2029,1623.9235
RE1,PWRCOA001,2030,1623.9235
RE1,PWRCOA001,2031,1596.5715
RE1,PWRCOA001,2032,1596.5715
RE1,PWRCOA001,2033,1596.5715
RE1,PWRCOA001,2034,1596.5715
RE1,PWRCOA001,2035,1596.5715
RE1,PWRCOA001,2036,1596.5715
RE1,PWRCOA001,2037,1526.6315
RE1,PWRCOA001,2038,1526.6315
RE1,PWRCOA001,2039,1526.6315
RE1,PWRCOA001,2040,1526.6315
RE1,PWRCOA001,2041,1526.6315
RE1,PWRCOA001,2042,1492.3115
RE1,PWRCOA001,2043,1492.3115
RE1,PWRCOA001,2044,1492.3115
RE1,PWRCOA001,2045,1492.3115
RE1,PWRCOA001,2046,1492.3115
RE1,PWRCOA001,2047,1492.3115
RE1,PWRCOA001,2048,1492.3115
RE1,PWRCOA001,2049,1492.3115
RE1,PWRCOA001,2050,1492.3115
RE1,PWRCOA001,2051,1492.3115
RE1,PWRCOA001,2052,1492.3115
RE1,PWRCOA001,2053,1492.3115
