r,t,y,SalvageValue
RE1,PWRCOA001,2017,10.3219
RE1,PWRCOA001,2018,1777.2415
RE1,PWRCOA001,2022,194.4482
RE1,PWRCOA001,2023,4417.653
RE1,PWRCOA001,2024,6718.494
RE1,PWRCOA001,2025,2917.1886
RE1,PWRCOA001,2026,1348.9947
RE1,PWRSOL001,2042,239.6846
RE1,PWRSOL001,2043,430.0054
RE1,PWRSOL001,2044,395.2468
RE1,PWRSOL001,2045,875.6338
RE1,PWRSOL001,2046,303.4574
RE1,PWRSOL001,2047,694.5166
RE1,PWRSOL001,2048,874.8349
RE1,PWRSOL001,2049,1009.8473
RE1,PWRSOL001,2050,856.6058
RE1,PWRSOL001,2051,3998.7904
RE1,PWRSOL001,2052,5450.8632
RE1,PWRSOL001,2053,724.4604
RE1,PWRSOL001,2054,1406.6976
RE1,PWRSOL001,2055,1690.75
RE1,PWRSOL001,2056,991.5026
RE1,PWRSOL001,2057,1043.4242
RE1,PWRSOL001,2058,1474.7816
RE1,PWRSOL001,2059,1874.3002
RE1,PWRSOL001,2060,2649.054
RE1,PWRSOL001,2061,2038.0699
RE1,PWRSOL001,2062,2387.9094
RE1,PWRSOL001,2063,2490.1198
RE1,PWRSOL001,2064,3468.5181
RE1,PWRSOL001,2065,3187.4676
RE1,PWRSOL001,2066,3243.9047
RE1,PWRSOL001,2067,3084.542
RE1,PWRSOL001,2068,5131.9151
RE1,PWRSOL001,2069,5704.0052
RE1,PWRSOL001,2070,2298.1233
RE1,PWRCSP002,2048,23654.339
RE1,PWRCSP002,2049,54971.88
RE1,PWRCSP002,2050,85346.947
RE1,PWRCSP002,2053,1403.3761
RE1,PWRCSP002,2054,1593.6766
RE1,PWRCSP002,2055,1656.45
RE1,PWRCSP002,2056,1717.2119
RE1,PWRCSP002,2057,1776.0722
RE1,PWRCSP002,2058,1833.13
RE1,PWRCSP002,2059,1888.4021
RE1,PWRCSP002,2060,1942.0321
RE1,PWRCSP002,2061,1994.0349
RE1,PWRCSP002,2062,2044.5266
RE1,PWRCSP002,2063,2093.5389
RE1,PWRCSP002,2064,2141.1445
RE1,PWRCSP002,2065,2187.4159
RE1,PWRCSP002,2066,2232.385
RE1,PWRCSP002,2067,2276.1643
RE1,PWRCSP002,2068,2318.7006
RE1,PWRCSP002,2069,2360.1139
RE1,PWRCSP002,2070,2400.5274
RE1,PWRHYD001,2051,4067.4441
RE1,PWRHYD001,2061,1000.2793
RE1,PWRHYD002,2051,171.2149
RE1,PWRHYD002,2061,42.1057
RE1,PWRHYD003,2062,1237.7316
RE1,PWRWND001,2042,656.1377
RE1,PWRWND001,2043,1177.142
RE1,PWRWND001,2044,1081.9901
RE1,PWRWND001,2045,1861.7663
RE1,PWRWND001,2046,1484.2805
RE1,PWRWND001,2047,1901.2428
RE1,PWRWND001,2048,6818.9839
RE1,PWRWND001,2049,775.5185
RE1,PWRWND001,2052,1063.8117
RE1,PWRWND001,2053,1145.3395
RE1,PWRWND001,2054,1224.7957
RE1,PWRWND001,2055,1302.27
RE1,PWRWND001,2056,7400.8935
RE1,PWRWND001,2057,16909.332
