r,t,y,TotalCapacityAnnual
RE1,MINOIL,2020,2141.6499
RE1,MINBIO,2015,1097.6423
RE1,MINBIO,2016,1029.2793
RE1,MINBIO,2017,1043.3476
RE1,MINBIO,2018,1069.9028
RE1,MINBIO,2019,1090.6562
RE1,MINBIO,2020,1111.3708
RE1,MINBIO,2021,1088.7683
RE1,MINBIO,2022,1065.1452
RE1,MINBIO,2023,1040.5053
RE1,MINBIO,2024,1014.8526
RE1,MINBIO,2025,988.1904
RE1,MINBIO,2026,961.755
RE1,MINBIO,2027,934.2098
RE1,MINBIO,2028,943.4206
RE1,MINBIO,2029,954.8552
RE1,MINBIO,2030,882.6871
RE1,MINBIO,2031,693.8999
RE1,MINBIO,2032,666.1716
RE1,MINBIO,2033,637.4484
RE1,MINBIO,2034,607.7343
RE1,MINBIO,2035,577.0331
RE1,MINBIO,2036,544.5265
RE1,MINBIO,2037,511.1612
RE1,MINBIO,2038,476.9389
RE1,MINBIO,2039,441.8615
RE1,MINBIO,2040,405.9306
RE1,MINBIO,2041,369.2165
RE1,MINBIO,2042,331.6375
RE1,MINBIO,2043,293.1948
RE1,MINBIO,2044,253.8896
RE1,MINBIO,2045,213.7229
RE1,MINBIO,2046,172.2936
RE1,MINBIO,2047,130.2062
RE1,MINBIO,2048,87.4612
RE1,MINBIO,2049,44.059
RE1,IMPCOA,2028,504.9498
RE1,IMPCOA,2029,3328.0651
RE1,IMPCOA,2030,3340.6619
RE1,IMPCOA,2031,3310.8271
RE1,IMPCOA,2032,3322.1624
RE1,IMPCOA,2033,3333.4769
RE1,IMPCOA,2034,3344.7719
RE1,IMPCOA,2035,3356.0482
RE1,IMPCOA,2036,3365.9482
RE1,IMPCOA,2037,3270.5086
RE1,IMPCOA,2038,3280.3879
RE1,IMPCOA,2039,3132.237
RE1,IMPCOA,2040,2935.6627
RE1,IMPCOA,2041,2555.8108
RE1,IMPCOA,2042,2192.8335
RE1,IMPCOA,2043,1814.6457
RE1,IMPCOA,2044,1421.3076
RE1,IMPCOA,2045,1517.7162
RE1,IMPCOA,2046,1083.1608
RE1,IMPCOA,2047,638.0034
RE1,IMPCOA,2048,406.1762
RE1,IMPCOA,2049,205.2844
RE1,MINCOA,2015,1201.8754
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1134.9327
RE1,MINCOA,2018,1505.5929
RE1,MINCOA,2019,1522.2298
RE1,MINCOA,2020,1538.8413
RE1,MINCOA,2021,1550.3677
RE1,MINCOA,2022,1588.5704
RE1,MINCOA,2023,2168.413
RE1,MINCOA,2024,2995.4551
RE1,MINCOA,2025,3155.0222
RE1,MINCOA,2026,3315.8766
RE1,MINCOA,2027,3328.5164
RE1,MINCOA,2028,2836.1912
RE1,IMPLFO,2015,5550.8602
RE1,IMPLFO,2016,5742.9384
RE1,IMPLFO,2017,5873.1206
RE1,IMPLFO,2018,6018.0952
RE1,IMPLFO,2019,6157.2479
RE1,IMPLFO,2020,4368.8689
RE1,IMPLFO,2021,6071.1992
RE1,IMPLFO,2022,5960.8877
RE1,IMPLFO,2023,5966.1374
RE1,IMPLFO,2024,5841.2282
RE1,IMPLFO,2025,5693.9721
RE1,IMPLFO,2026,5579.1582
RE1,IMPLFO,2027,5441.1688
RE1,IMPLFO,2028,5294.9436
RE1,IMPLFO,2029,5140.4864
RE1,IMPLFO,2030,4977.801
RE1,IMPLFO,2031,4793.8054
RE1,IMPLFO,2032,4602.9545
RE1,IMPLFO,2033,4405.2536
RE1,IMPLFO,2034,4200.7077
RE1,IMPLFO,2035,3989.3212
RE1,IMPLFO,2036,3766.8363
RE1,IMPLFO,2037,3538.133
RE1,IMPLFO,2038,3303.2134
RE1,IMPLFO,2039,3061.823
RE1,IMPLFO,2040,2814.2672
RE1,IMPLFO,2041,2559.265
RE1,IMPLFO,2042,2298.3872
RE1,IMPLFO,2043,2031.6353
RE1,IMPLFO,2044,1759.0105
RE1,IMPLFO,2045,1480.5143
RE1,IMPLFO,2046,1193.5769
RE1,IMPLFO,2047,902.0562
RE1,IMPLFO,2048,605.9528
RE1,IMPLFO,2049,305.2673
RE1,UPSREF001,2015,2876.6643
RE1,UPSREF001,2016,2876.6643
RE1,UPSREF001,2017,2876.6643
RE1,UPSREF001,2018,2876.6643
RE1,UPSREF001,2019,2876.6643
RE1,UPSREF001,2020,2876.6643
RE1,UPSREF001,2021,2876.6643
RE1,UPSREF001,2022,2876.6643
RE1,UPSREF001,2023,2876.6643
RE1,UPSREF001,2024,2876.6643
RE1,UPSREF001,2025,2876.6643
RE1,UPSREF001,2026,2876.6643
RE1,UPSREF001,2027,2876.6643
RE1,UPSREF001,2028,2876.6643
RE1,UPSREF001,2029,2876.6643
RE1,UPSREF001,2030,2876.6643
RE1,UPSREF001,2031,2876.6643
RE1,UPSREF001,2032,2876.6643
RE1,UPSREF001,2033,2876.6643
RE1,UPSREF001,2034,2876.6643
RE1,UPSREF001,2035,2876.6643
RE1,UPSREF001,2036,2876.6643
RE1,UPSREF001,2037,2876.6643
RE1,UPSREF001,2038,2876.6643
RE1,UPSREF001,2039,2876.6643
RE1,UPSREF001,2040,2876.6643
RE1,UPSREF001,2041,2876.6643
RE1,UPSREF001,2042,2876.6643
RE1,UPSREF001,2043,2876.6643
RE1,UPSREF001,2044,2876.6643
RE1,UPSREF001,2045,2876.6643
RE1,MINNGS,2015,784.854
RE1,MINNGS,2016,817.825
RE1,MINNGS,2017,846.9226
RE1,MINNGS,2018,705.1737
RE1,MINNGS,2019,767.0326
RE1,MINNGS,2020,828.851
RE1,MINNGS,2021,818.6919
RE1,MINNGS,2022,819.8864
RE1,MINNGS,2023,464.2065
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,19.2273
RE1,MINSOL,2017,19.2273
RE1,MINSOL,2018,19.2273
RE1,MINSOL,2019,19.2273
RE1,MINSOL,2020,19.2273
RE1,MINSOL,2021,180.7097
RE1,MINSOL,2022,389.4368
RE1,MINSOL,2023,456.3856
RE1,MINSOL,2024,491.3612
RE1,MINSOL,2025,533.4011
RE1,MINSOL,2026,665.0195
RE1,MINSOL,2027,733.1701
RE1,MINSOL,2028,790.4567
RE1,MINSOL,2029,828.3104
RE1,MINSOL,2030,1089.7283
RE1,MINSOL,2031,1136.0724
RE1,MINSOL,2032,1335.4501
RE1,MINSOL,2033,1422.9319
RE1,MINSOL,2034,1517.7286
RE1,MINSOL,2035,1631.216
RE1,MINSOL,2036,1743.8696
RE1,MINSOL,2037,1846.3028
RE1,MINSOL,2038,1984.5586
RE1,MINSOL,2039,2142.6764
RE1,MINSOL,2040,2248.2583
RE1,MINSOL,2041,2338.1488
RE1,MINSOL,2042,2424.343
RE1,MINSOL,2043,2503.5469
RE1,MINSOL,2044,2553.2082
RE1,MINSOL,2045,2945.5463
RE1,MINSOL,2046,3036.5419
RE1,MINSOL,2047,3028.2838
RE1,MINSOL,2048,3387.6308
RE1,MINSOL,2049,3774.544
RE1,MINSOL,2050,4274.8319
RE1,MINSOL,2051,4304.3236
RE1,MINSOL,2052,4334.0807
RE1,MINSOL,2053,4370.2215
RE1,MINSOL,2054,4407.2151
RE1,MINSOL,2055,4444.5172
RE1,MINSOL,2056,4482.1307
RE1,MINSOL,2057,4520.058
RE1,MINSOL,2058,4558.302
RE1,MINSOL,2059,4596.8654
