Somme de CapitalInvestment;Étiquettes de colonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Étiquettes de lignes;COMENEFFDP;COMENEFFGD;DEMCOMELC;DEMCOMHEBIO;DEMCOMHEEL;DEMCOMHEOIL;DEMINDELC;DEMINDHEBIO;DEMINDHECOA;DEMINDHEEH;DEMINDHEEL;DEMRESCKNELC;DEMRESELC;DEMRESHEBIO;DEMRESHEEL;DEMRESHEOIL;DEMTRABUSELC;DEMTRABUSGSL;DEMTRACARELC;DEMTRACARGSL;DEMTRAEVC;DEMTRAMCYELC;DEMTRAMCYGSL;IMPCOA;IMPLFO;INDENEFFDP;INDENEFFGD;MINBIO;MINCOA;MINGEO;MINHYD;MINNGS;MINOIL;MINSOL;MINWND;PWRCOA001;PWRCSP002;PWRDIST;PWRGEO;PWRHYD001;PWRHYD002;PWRHYD003;PWRHYD004;PWRSOL001;PWRSOL001S;PWRSOL002;PWRTRN;PWRTRNEXP;PWRTRNIMP;PWRWND001;PWRWND001S;PWRWND002;RESENEFFDP;RESENEFFGD;(vide);Total général
2015;;;0.0006;533.6865;;;0.0011;6118.9699;11403.233;;;;0.0006;1212.0074;;0.2605;;0.0014;;0.0016;;;0.0007;;0.5551;;;0.1098;0.1202;;0.0052;0.0785;;0.0019;0.0001;;;;;;;;;;;;;0;0.0003;;;;;;;19269.0344
2016;;;0;27.1383;;;0.0001;;;;;;0;;;;;0.0001;;0.0001;;;0;;0.5743;;;0.1029;0.112;;0.0052;0.0818;;0.0019;0.0001;;;;;;;;;;;;;0;0.0004;;;;;;;28.0172
2017;;;0;13.5298;;;0.0001;;;;;;0;;;;;0.0001;;0.0001;;;0;;0.5873;;;0.1043;0.1135;;0.0052;0.0847;;0.0019;0.0001;38.4944;;;;;;;;;;;;0;0.0005;;;;;;;52.922
2018;;;0;13.5264;;;0.0001;;;;;;0;;;;;;;0.0001;;;0;;0.6018;;;0.107;0.1506;;0.0052;0.0705;;0.0019;0.0001;5813.9904;;;;;;;;;;;;0;0.0005;;;;;;;5828.4546
2019;;;0;13.5223;;;0.0001;;;;;;0;30.3127;;;;0.0001;;0.0001;;;0;;0.6157;;;0.1091;0.1522;;0.0052;0.0767;;0.0019;0.0001;;;;;;;;;;;;;0;0.0005;;;;;;;44.7967
2020;;;0;13.517;;;0.0001;;;;;;0;30.2233;;;;0;;0.0002;;;0;;0.4369;;;0.1111;0.1539;;0.0052;0.0829;0.2142;0.0019;0.0001;;;;;;;;;;;;;0;0.0005;;;;;;;44.7473
2021;453.2541;2062.6352;;11.0036;;;;;;;;244.5818;;22.4702;;;;0;;0.0002;624.1317;2603.6996;;;0.6071;878.4864;3997.7505;0.1089;0.155;0.0001;0.0063;0.0819;;0.0181;0.0001;;;;16.5;1116.535;46.9994;;151.34;13024.401;;;;0;0.0005;;;;438.5426;1995.6872;;27688.9965
2022;453.2541;;;10.9996;;;;57.5756;107.5244;;;210.7644;;22.4093;;;;;;0.0002;624.1317;2398.5964;;;0.5961;878.4864;;0.1065;0.1589;0.0001;0.0072;0.082;;0.0389;0.0001;443.1234;;;;;;1362.06;;15813.85;;;;0;0.0006;;;;438.5426;;;22822.3085
2023;453.2541;;;10.9962;;;;88.7996;165.8868;;;244.5818;;22.353;;;;;;0.0002;624.1317;2193.4933;;;0.5966;878.4864;;0.1041;0.2168;0.0001;0.0072;0.0464;;0.0456;0.0001;9434.803;;;;;;;;838.2042;343.7259;8052.1191;;0;0.0006;;;;438.5426;;;23790.3954
2024;453.2541;;;10.9913;;;;88.6422;165.6668;;;244.5818;;22.2965;;;;;;0.0002;624.1317;1988.3901;;;0.5841;878.4864;;0.1015;0.2995;0.0001;0.0072;;;0.0491;0.0001;13538.652;;;;;;;;2307.6661;19696.346;;;0.0001;0.0008;;;;438.5426;;;40458.6903
2025;453.2541;;;10.988;;;;88.5041;165.4594;;;244.5818;;22.2458;;;;0.0001;;0.0001;624.1317;1783.287;;;0.5694;878.4864;;0.0988;0.3155;0.0001;0.0072;;;0.0533;0.0001;5578.5747;;135.4291;;;;;;2568.109;20561.122;;823.8668;0;0.0009;;;;438.5426;;;34377.628
2026;453.2541;;;12.453;;;;97.6675;182.6719;;;63.4943;;24.3684;;;49242.423;0.0002;;0.0001;872.1176;1578.1838;;;0.5579;878.4864;;0.0962;0.3316;0.0001;0.0072;;;0.0665;0.0043;2460.1495;;1.4774;;;;;;964.4004;1268.5391;15808.824;;0;0.0009;11188.048;;;438.5426;;;85536.166
2027;453.2541;;;12.4491;;;;97.5138;182.4404;;;71.1381;;24.3121;;;67388.503;0.0001;;0.0001;974.5826;1373.0807;;;0.5441;878.4864;;0.0934;0.3329;0.0001;0.0072;;;0.0733;0.0145;;;208.9239;;;;;;951.1504;1234.5254;7012.005;440.0142;0;0.0009;27010.818;;;438.5426;;;108752.8064
2028;453.2541;;;12.4436;;;;97.3534;182.2218;;;151.0836;;24.255;;;71951.867;0.0001;;0.0001;1010.9442;1167.9775;;0.0505;0.5295;878.4864;;0.0943;0.2836;0.0001;0.0072;;;0.079;0.0239;;;157.3632;;;;;;1602.1081;2050.3025;3914.4036;330.397;0;0.0009;7202.3297;;19698.815;438.5426;;;111325.2175
2029;453.2541;;;12.4377;;;;97.1969;182.0151;;;24.1533;;24.1999;;;112381.98;0.0001;16904.928;0.0001;1096.9023;962.8743;;0.3328;0.514;878.4864;;0.0955;;0.0001;0.0072;;;0.0828;0.0341;;;318.0356;;;;;;2128.1441;2683.1434;;670.76;0;0.0008;;;28368.381;438.5426;;;167626.5022
2030;453.2541;;;543.3155;;;;5205.9196;11585.053;;852.2563;90.3625;;1229.7891;;;108456.19;0.0001;94200.951;0.0001;1872.2346;757.7712;;0.3341;0.4978;878.4864;;0.0883;;0.0001;0.0072;;;0.109;0.0362;;;315.1068;;;;;;3182.3729;3949.2891;26358.197;664.1156;0;0.0007;845.1633;;5065.521;438.5426;;;266944.9652
2031;453.2541;1209.6376;0.0001;;32.4323;;0.0001;;163.9275;;76.2208;;0.0001;;19.2645;;104530.4;;93730.025;;1670.2992;552.668;;0.3311;0.4794;878.4864;2344.4908;0.0694;;0.0001;0.0072;;;0.1136;0.0519;;;624.7063;;;;;;2084.1121;2587.5419;994.0715;1319.5147;0;0.0007;35438.074;;3358.8824;438.5426;1170.3758;;253677.9812
2032;453.2541;141.4986;;;46.0325;;;;163.6112;;245.7392;9.0244;;;94.9402;;100604.61;;93859.779;;1694.4925;347.5649;;0.3322;0.4603;878.4864;274.2491;0.0666;;0.0001;0.0072;;;0.1335;0.058;;;236.078;;;;;;2445.725;3035.0236;19679.656;495.6805;0;0.0007;11179.792;;3992.361;438.5426;136.9059;;240454.1053
2033;453.2541;148.211;;;46.0072;;;;163.3122;;269.1252;144.0825;;;81.3054;;96678.819;;93415.113;;1080.3833;142.4617;;0.3333;0.4405;878.4864;287.2591;0.0637;;0.0001;0.0072;;;0.1423;0.0712;;;357.5703;;;;;;2440.0767;3029.4535;5171.5793;752.5491;0;0.0007;16137.536;15178.267;4035.7893;438.5426;143.4004;;241473.6433
2034;453.2541;106.4394;;;5.8461;;;;163.0293;;397.9776;68.4438;;;2.4097;;92753.029;;92396.575;;1196.6836;0.0001;;0.3345;0.4201;878.4864;206.2984;0.0608;;0.0001;0.0072;;;0.1518;0.083;;;422.1827;;;;;;3562.6622;3213.4585;5581.4176;888.7942;0;0.0007;6478.9251;22862.079;4341.3228;438.5426;102.9847;;236521.9001
2035;453.2541;91.649;;;;;;;162.7612;;415.8799;85.507;;;;;88827.238;;90804.884;;1268.5828;0.0001;;0.3356;0.3989;878.4864;177.632;0.0577;;0.0001;0.0072;;;0.1631;0.0947;;;429.3355;;;;;;3034.9315;3767.9378;6658.708;903.3467;0.0001;0.0007;7508.4821;18835.141;5159.0699;438.5426;88.6743;;229991.102
2036;453.2541;100.4815;;;45.8555;;;;142.8954;;281.12;244.5818;;;94.7888;;84901.448;;87222.639;;1228.5366;0.0001;;0.3366;0.3767;878.4864;194.7508;0.0545;;0.0001;0.0072;;;0.1744;0.1063;;;644.3476;;;;;;2954.6411;3663.7059;6582.9466;1357.4808;0.0001;0.0007;7453.3186;18982.605;5083.2325;438.5426;97.2201;;223047.9354
2037;453.2541;171.3821;;;40.5562;;;;250.2672;;294.8536;244.5818;;;94.7313;;80975.657;;84262.062;;1468.4076;0.0001;;0.3271;0.3538;878.4864;332.1688;0.0511;;0.0001;0.0072;;;0.1846;0.119;;;687.709;;;;;;2633.8508;3265.1999;5964.7925;1448.2699;0.0001;0.0007;6777.1196;23434.7;4587.5655;438.5426;165.8195;;218871.0212
2038;453.2541;;;;45.9136;;;;308.483;;312.7318;244.5818;;;94.6948;;77049.866;;80781.304;;1411.7097;0.0001;;0.328;0.3303;878.4864;;0.0477;;0.0001;0.0072;;;0.1985;0.1292;;;735.6971;;;;;;3483.7788;4313.1475;8017.8375;1548.7487;0.0001;0.0007;2311.9064;20479.603;6145.357;438.5426;;;209056.6857
2039;453.2541;132.2658;;;45.8832;;;;308.1217;;137.6361;244.5818;;;94.6321;;73124.076;;76897.215;;2340.2678;0.0001;;0.3132;0.3062;878.4864;256.3544;0.0442;;0.0001;0.0072;;;0.2143;0.1379;;;760.9283;;;;;;3902.8667;4830.7208;9137.4025;1601.0484;0.0001;0.0007;;18516.225;6974.9655;438.5426;127.9728;;201204.471
2040;906.5083;;;;77.6312;;;;307.7783;;630.163;105.8427;;;189.2225;;;;130558.9;;1375.3008;0.0002;;0.2936;0.2814;1756.9727;;0.0406;;0.0001;0.0072;;;0.2248;0.151;;;820.4925;;;;;;3929.939;4857.3452;2247.568;1725.8125;0.0001;0.001;28054.803;;;877.0853;;;178422.365
2041;906.5083;618.8271;0.0001;;;;0.0002;;330.9596;;508.8189;117.2902;0.0001;;;;;;118818.04;;2131.2094;0.0002;;0.2556;0.2559;1756.9727;1199.3962;0.0369;;0.0001;0.0072;;;0.2338;0.1642;;;892.967;;;;;;4034.6766;4947.0242;;1877.7138;0.0001;0.0013;11044.948;8433.6839;14315.119;877.0853;598.7416;;173410.9375
2042;906.5083;;;;46.3811;;;;;914.5131;626.2357;;;;;;;;107321.24;;1372.7874;0.0002;;0.2193;0.2298;1756.9727;;0.0332;;0.0001;0.0072;;;0.2424;0.181;;;983.105;;;;;;3868.766;4710.9057;;2066.7499;0.0001;0.0011;10590.767;27446.426;6899.5836;877.0853;;;170388.9412
2043;906.5083;;;;;;;;;1600.3981;207.7547;;;;1.0008;;;;95333.243;;1288.2208;0.0001;;0.1815;0.2032;1756.9727;;0.0293;;0.0001;0.0072;;;0.2504;0.199;;;985.1433;;;;;;3555.0175;4293.8149;;2069.7063;0.0001;0.0009;9731.8789;32878.939;6290.5107;877.0853;;;161777.0661
