r,t,y,TotalTechnologyAnnualActivity
RE1,MINOIL,2020,2141.65
RE1,MINBIO,2015,1097.6424
RE1,MINBIO,2016,1029.2794
RE1,MINBIO,2017,1043.3476
RE1,MINBIO,2018,1069.9029
RE1,MINBIO,2019,1090.6563
RE1,MINBIO,2020,1111.3709
RE1,MINBIO,2021,1088.7684
RE1,MINBIO,2022,1065.1452
RE1,MINBIO,2023,1040.5053
RE1,MINBIO,2024,1014.8526
RE1,MINBIO,2025,988.1904
RE1,MINBIO,2026,961.755
RE1,MINBIO,2027,934.2098
RE1,MINBIO,2028,905.5582
RE1,MINBIO,2029,875.8034
RE1,MINBIO,2030,844.9484
RE1,MINBIO,2031,693.8999
RE1,MINBIO,2032,666.1716
RE1,MINBIO,2033,637.4484
RE1,MINBIO,2034,607.7343
RE1,MINBIO,2035,577.0332
RE1,MINBIO,2036,544.5266
RE1,MINBIO,2037,511.1612
RE1,MINBIO,2038,476.9389
RE1,MINBIO,2039,441.8615
RE1,MINBIO,2040,405.9307
RE1,MINBIO,2041,369.2165
RE1,MINBIO,2042,331.6375
RE1,MINBIO,2043,293.1949
RE1,MINBIO,2044,253.8897
RE1,MINBIO,2045,213.7229
RE1,MINBIO,2046,172.2936
RE1,MINBIO,2047,130.2062
RE1,MINBIO,2048,87.4612
RE1,MINBIO,2049,44.059
RE1,IMPCOA,2028,331.3733
RE1,IMPCOA,2029,2787.5397
RE1,IMPCOA,2030,2725.4239
RE1,IMPCOA,2031,2813.6391
RE1,IMPCOA,2032,2736.5015
RE1,IMPCOA,2033,2651.4294
RE1,IMPCOA,2034,2573.5359
RE1,IMPCOA,2035,2471.6797
RE1,IMPCOA,2036,2351.335
RE1,IMPCOA,2037,2224.614
RE1,IMPCOA,2038,2091.5234
RE1,IMPCOA,2039,1952.5442
RE1,IMPCOA,2040,1807.1223
RE1,IMPCOA,2041,1654.8436
RE1,IMPCOA,2042,1496.2298
RE1,IMPCOA,2043,1331.2873
RE1,IMPCOA,2044,1160.0404
RE1,IMPCOA,2045,982.4557
RE1,IMPCOA,2046,794.766
RE1,IMPCOA,2047,602.6715
RE1,IMPCOA,2048,406.1763
RE1,IMPCOA,2049,205.2844
RE1,MINCOA,2015,1201.8755
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1134.9327
