r,t,y,SalvageValue
RE1,PWRCOA001,2019,11413.192
RE1,PWRCOA001,2020,744.9999
RE1,PWRCOA001,2021,569.4425
RE1,PWRCOA001,2022,769.6741
RE1,PWRCOA001,2023,820.7329
RE1,PWRCOA001,2024,869.271
RE1,PWRCOA001,2025,3753.2231
RE1,PWRCOA001,2026,1024.2032
RE1,PWRCOA001,2027,1068.6649
RE1,PWRCOA001,2028,2930.8639
RE1,PWRCOA001,2032,1284.7317
RE1,PWRGEO,2025,3.9079
RE1,PWRSOL001,2042,1053.1168
RE1,PWRSOL001,2043,2468.5467
RE1,PWRSOL001,2044,266.9896
RE1,PWRSOL001,2045,41.2215
RE1,PWRSOL001,2049,1270.8545
RE1,PWRSOL001,2050,11484.068
RE1,PWRSOL001,2051,4841.1027
RE1,PWRSOL001,2052,3808.1358
RE1,PWRSOL001,2053,3939.7098
RE1,PWRSOL001,2054,4205.233
RE1,PWRSOL001,2055,52689.079
RE1,PWRSOL001,2056,6021.5683
RE1,PWRSOL001,2057,6929.7394
RE1,PWRSOL001,2058,11195.032
RE1,PWRSOL001,2059,14776.666
RE1,PWRSOL001,2060,3152.4379
RE1,PWRSOL001,2061,18175.106
RE1,PWRSOL001,2062,18390.736
RE1,PWRSOL001,2063,19266.737
RE1,PWRSOL001,2064,11258.059
RE1,PWRSOL001,2065,11690.791
RE1,PWRSOL001,2066,12642.885
RE1,PWRSOL001,2067,4411.6524
RE1,PWRSOL001,2068,8573.2488
RE1,PWRSOL001,2069,24409.76
RE1,PWRHYD001,2064,6370.028
RE1,PWRHYD002,2064,256.7259
RE1,PWRHYD003,2032,87.4172
RE1,PWRWND001,2042,1911.402
RE1,PWRWND001,2043,3306.49
RE1,PWRWND001,2044,9944.7475
RE1,PWRWND001,2045,14373.527
RE1,PWRWND002,2046,15879.793
RE1,PWRWND002,2047,20701.059
RE1,PWRWND002,2048,22894.896
RE1,PWRWND002,2064,18115.539
RE1,PWRWND002,2065,31047.643
RE1,PWRWND002,2066,31196.543
RE1,PWRWND002,2067,35770.973
RE1,PWRWND002,2068,29707.597
RE1,PWRWND002,2069,25036.042
RE1,PWRSOL001S,2049,7141.7794
RE1,PWRSOL001S,2066,1611.489
RE1,PWRSOL001S,2067,7081.6783
RE1,PWRSOL001S,2068,9997.7477
RE1,PWRTRN,2025,341.9066
RE1,PWRTRN,2026,124.5171
RE1,PWRTRN,2027,157.7661
RE1,PWRTRN,2028,275.3663
RE1,PWRTRN,2029,868.9231
RE1,PWRTRN,2030,1453.6083
RE1,PWRTRN,2031,1237.2513
RE1,PWRTRN,2032,1101.2077
RE1,PWRTRN,2033,1132.9596
RE1,PWRTRN,2034,1221.6954
RE1,PWRTRN,2035,1254.5172
RE1,PWRTRN,2036,1519.572
RE1,PWRTRN,2037,1379.1189
RE1,PWRTRN,2038,2008.2732
RE1,PWRTRN,2039,2960.9954
RE1,PWRTRN,2040,3076.8451
RE1,PWRTRN,2041,2908.7338
RE1,PWRTRN,2042,2774.7143
RE1,PWRTRN,2043,3214.9046
RE1,PWRTRN,2044,1415.8717
RE1,PWRTRN,2045,1405.6914
RE1,PWRTRN,2046,985.948
RE1,PWRTRN,2049,5756.1246
RE1,PWRTRN,2050,3677.6628
RE1,PWRTRN,2051,10506.901
RE1,PWRTRN,2052,1078.6359
RE1,PWRTRN,2053,1059.872
RE1,PWRTRN,2054,1080.9362
RE1,PWRTRN,2055,4243.624
RE1,PWRTRN,2056,475.1392
RE1,PWRTRN,2057,219.6852
RE1,PWRTRN,2062,1460.2569
RE1,PWRTRN,2063,1620.8312
RE1,PWRTRN,2064,616.9945
RE1,PWRTRN,2065,930.3462
RE1,PWRTRN,2066,961.8942
RE1,PWRTRN,2067,708.1601
RE1,PWRTRN,2068,717.5085
RE1,PWRTRN,2069,698.1444
RE1,PWRDIST,2025,369.5251
RE1,PWRDIST,2026,181.9566
RE1,PWRDIST,2027,200.5823
RE1,PWRDIST,2028,312.1761
RE1,PWRDIST,2029,894.7112
RE1,PWRDIST,2030,1383.0351
RE1,PWRDIST,2031,1101.4179
RE1,PWRDIST,2032,925.4808
RE1,PWRDIST,2033,905.0622
RE1,PWRDIST,2034,933.0407
RE1,PWRDIST,2035,920.7361
RE1,PWRDIST,2036,1075.5206
RE1,PWRDIST,2037,945.9395
RE1,PWRDIST,2038,1336.1656
RE1,PWRDIST,2039,1916.7155
RE1,PWRDIST,2040,1944.7539
RE1,PWRDIST,2041,1799.5225
RE1,PWRDIST,2042,1683.348
RE1,PWRDIST,2043,1914.0885
RE1,PWRDIST,2044,834.0171
RE1,PWRDIST,2045,815.6004
RE1,PWRDIST,2046,566.9453
RE1,PWRDIST,2049,3163.8459
RE1,PWRDIST,2050,1991.9491
RE1,PWRDIST,2051,5856.7326
RE1,PWRDIST,2052,569.4746
RE1,PWRDIST,2053,554.5182
RE1,PWRDIST,2054,560.7593
RE1,PWRDIST,2055,2184.0337
RE1,PWRDIST,2056,242.7189
RE1,PWRDIST,2057,111.4402
RE1,PWRDIST,2062,719.409
RE1,PWRDIST,2063,794.6404
RE1,PWRDIST,2064,301.1068
RE1,PWRDIST,2065,452.0667
RE1,PWRDIST,2066,465.4886
RE1,PWRDIST,2067,341.3779
RE1,PWRDIST,2068,344.6241
RE1,PWRDIST,2069,334.1682
RE1,PWRHYD004,2032,9.713
RE1,DEMTRAEVC,2025,976.5174
RE1,DEMTRAEVC,2026,21.3122
RE1,DEMTRAEVC,2027,24.9813
RE1,DEMTRAEVC,2028,220.3175
RE1,DEMTRAEVC,2029,989.6025
RE1,DEMTRAEVC,2030,998.2298
RE1,DEMTRAEVC,2031,1595.4534
RE1,DEMTRAEVC,2032,612.7436
RE1,DEMTRAEVC,2033,641.9389
RE1,DEMTRAEVC,2034,643.442
RE1,DEMTRAEVC,2035,881.7581
RE1,DEMTRAEVC,2036,811.3177
RE1,DEMTRAEVC,2037,706.8076
RE1,DEMTRAEVC,2038,748.8181
RE1,DEMTRAEVC,2039,791.0515
RE1,DEMTRAEVC,2040,735.513
RE1,DEMTRAEVC,2041,963.3475
RE1,DEMTRAEVC,2042,903.0523
RE1,DEMTRAEVC,2043,942.0984
RE1,DEMTRAEVC,2044,980.7356
RE1,DEMTRAEVC,2045,404.2903
RE1,DEMTRAEVC,2046,1495.4714
RE1,DEMTRAEVC,2047,1088.3068
RE1,DEMTRAEVC,2048,1026.9569
RE1,DEMTRAEVC,2049,3509.8431
RE1,DEMTRAEVC,2050,5181.3089
RE1,DEMTRAEVC,2051,1976.2299
RE1,DEMTRAEVC,2052,1799.3216
RE1,DEMTRAEVC,2053,2977.9081
RE1,DEMTRAEVC,2054,662.0968
RE1,DEMTRAEVC,2056,1074.8279
RE1,DEMTRAEVC,2057,404.7429
RE1,DEMTRAEVC,2058,411.9248
RE1,DEMTRAEVC,2059,418.9993
RE1,DEMTRAEVC,2062,1171.4612
RE1,DEMTRAEVC,2063,575.1139
RE1,DEMTRAEVC,2064,445.7218
RE1,DEMTRAEVC,2065,452.1636
RE1,DEMTRAEVC,2066,458.5352
RE1,DEMTRAEVC,2067,464.8407
RE1,DEMTRAEVC,2068,471.0843
RE1,DEMTRAEVC,2069,477.2701
RE1,DEMTRAMCYELC,2057,0.0
RE1,DEMTRAMCYELC,2058,0.0
RE1,DEMTRAMCYELC,2059,0.0001
RE1,DEMTRAMCYELC,2060,0.0001
RE1,DEMTRAMCYELC,2061,0.0002
RE1,DEMTRAMCYELC,2062,0.0001
RE1,DEMTRAMCYELC,2063,0.0001
RE1,DEMTRAMCYELC,2064,0.0
RE1,DEMTRAMCYELC,2065,0.0
RE1,DEMTRAMCYELC,2066,0.0
RE1,DEMTRAMCYELC,2067,0.0001
RE1,DEMTRAMCYELC,2068,0.0001
RE1,DEMTRAMCYELC,2069,0.0001
RE1,DEMTRAMCYELC,2070,0.0006
RE1,DEMTRACARELC,2052,0.0
RE1,DEMTRACARELC,2053,0.0001
RE1,DEMTRACARELC,2054,0.0
RE1,DEMTRACARELC,2055,0.0
RE1,DEMTRACARELC,2056,0.0
RE1,DEMTRACARELC,2057,0.0001
RE1,DEMTRACARELC,2058,0.0001
RE1,DEMTRACARELC,2059,0.0001
RE1,DEMTRACARELC,2060,0.0001
RE1,DEMTRACARELC,2061,0.0001
RE1,DEMTRACARELC,2062,0.0002
RE1,DEMTRACARELC,2063,0.0002
RE1,DEMTRACARELC,2064,0.0002
RE1,DEMTRACARELC,2065,0.0002
RE1,DEMTRACARELC,2066,0.0002
RE1,DEMTRACARELC,2067,0.0002
RE1,DEMTRACARELC,2068,0.0003
RE1,DEMTRACARELC,2069,0.0001
RE1,DEMTRABUSELC,2052,4675.2143
RE1,DEMTRABUSELC,2053,9349.0319
RE1,DEMTRABUSELC,2054,14016.264
RE1,DEMTRABUSELC,2055,18672.236
RE1,DEMTRABUSELC,2056,23132.541
RE1,DEMTRABUSELC,2057,1945.1785
RE1,DEMTRABUSELC,2058,2234.6941
RE1,DEMTRABUSELC,2059,2515.4037
RE1,DEMTRABUSELC,2060,2787.6844
RE1,DEMTRABUSELC,2061,3051.898
RE1,DEMTRABUSELC,2062,3308.3918
RE1,DEMTRABUSELC,2063,3557.4997
RE1,DEMTRABUSELC,2064,3799.5419
RE1,DEMTRABUSELC,2065,4034.8263
RE1,DEMTRABUSELC,2066,4263.6482
RE1,DEMTRABUSELC,2067,4486.2913
RE1,DEMTRABUSELC,2068,7678.8782
RE1,DEMTRABUSELC,2069,233348.27
RE1,DEMTRABUSELC,2070,5119.8195
RE1,DEMINDELC,2065,0.0001
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0
RE1,DEMINDELC,2068,0.0
RE1,DEMINDELC,2069,0.0
RE1,DEMINDELC,2070,0.0013
