r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2025,182.2389
RE1,COMENEFFDP,ELC003,2026,187.4184
RE1,COMENEFFDP,ELC003,2027,192.5978
RE1,COMENEFFDP,ELC003,2028,196.9748
RE1,COMENEFFDP,ELC003,2029,198.2214
RE1,COMENEFFDP,ELC003,2030,209.8079
RE1,COMENEFFDP,ELC003,2031,215.7755
RE1,COMENEFFDP,ELC003,2032,222.825
RE1,COMENEFFDP,ELC003,2033,228.8217
RE1,COMENEFFDP,ELC003,2034,234.8184
RE1,COMENEFFDP,ELC003,2035,239.646
RE1,COMENEFFDP,ELC003,2036,244.4503
RE1,COMENEFFDP,ELC003,2037,249.2547
RE1,COMENEFFDP,ELC003,2038,254.059
RE1,COMENEFFDP,ELC003,2039,258.8633
RE1,COMENEFFDP,ELC003,2040,263.6677
RE1,COMENEFFDP,ELC003,2041,268.3723
RE1,COMENEFFDP,ELC003,2042,273.0768
RE1,COMENEFFDP,ELC003,2043,277.7815
RE1,COMENEFFDP,ELC003,2044,282.486
RE1,COMENEFFDP,ELC003,2045,288.5917
RE1,COMENEFFDP,ELC003,2046,290.4665
RE1,COMENEFFDP,ELC003,2047,293.7424
RE1,COMENEFFDP,ELC003,2048,298.4672
RE1,COMENEFFDP,ELC003,2049,301.759
RE1,COMENEFFDP,ELC003,2050,288.6277
RE1,COMENEFFDP,ELC003,2051,278.3923
RE1,COMENEFFDP,ELC003,2052,265.3737
RE1,COMENEFFDP,ELC003,2053,254.4605
RE1,COMENEFFDP,ELC003,2054,243.5473
RE1,COMENEFFDP,ELC003,2055,47.6639
RE1,COMENEFFDP,ELC003,2056,109.2975
RE1,COMENEFFDP,ELC003,2057,95.835
RE1,COMENEFFDP,ELC003,2058,80.5443
RE1,COMENEFFDP,ELC003,2059,72.2938
RE1,COMENEFFDP,ELC003,2060,317.6424
RE1,COMENEFFDP,ELC003,2061,317.6424
RE1,COMENEFFDP,ELC003,2062,317.6424
RE1,COMENEFFDP,ELC003,2063,339.7512
RE1,COMENEFFDP,ELC003,2064,354.5732
RE1,COMENEFFDP,ELC003,2065,358.5284
RE1,COMENEFFDP,ELC003,2066,362.5278
RE1,COMENEFFDP,ELC003,2067,366.5717
RE1,COMENEFFDP,ELC003,2068,370.6607
RE1,COMENEFFDP,ELC003,2069,374.7954
RE1,COMENEFFDP,ELC003,2070,135.8648
RE1,DEMCOMELC,ELC003,2015,169.2528
RE1,DEMCOMELC,ELC003,2016,179.0399
RE1,DEMCOMELC,ELC003,2017,187.428
RE1,DEMCOMELC,ELC003,2018,195.8162
RE1,DEMCOMELC,ELC003,2019,204.2043
RE1,DEMCOMELC,ELC003,2020,212.5924
RE1,DEMCOMELC,ELC003,2021,219.0306
RE1,DEMCOMELC,ELC003,2022,225.4689
RE1,DEMCOMELC,ELC003,2023,231.9071
RE1,DEMCOMELC,ELC003,2024,238.3453
RE1,DEMCOMELC,ELC003,2025,7.8731
RE1,DEMCOMELC,ELC003,2026,8.0968
RE1,DEMCOMELC,ELC003,2027,8.3206
RE1,DEMCOMELC,ELC003,2028,9.5874
RE1,DEMCOMELC,ELC003,2029,14.924
RE1,DEMCOMELC,ELC003,2030,6.8186
RE1,DEMCOMELC,ELC003,2031,7.0126
RE1,DEMCOMELC,ELC003,2032,5.8002
RE1,DEMCOMELC,ELC003,2033,5.9563
RE1,DEMCOMELC,ELC003,2034,6.1123
RE1,DEMCOMELC,ELC003,2035,7.7883
RE1,DEMCOMELC,ELC003,2036,7.9445
RE1,DEMCOMELC,ELC003,2037,8.1006
RE1,DEMCOMELC,ELC003,2038,8.2568
RE1,DEMCOMELC,ELC003,2039,8.4129
RE1,DEMCOMELC,ELC003,2040,8.569
RE1,DEMCOMELC,ELC003,2041,8.7219
RE1,DEMCOMELC,ELC003,2042,8.8748
RE1,DEMCOMELC,ELC003,2043,9.0277
RE1,DEMCOMELC,ELC003,2044,9.1806
RE1,DEMCOMELC,ELC003,2045,7.5121
RE1,DEMCOMELC,ELC003,2046,9.44
RE1,DEMCOMELC,ELC003,2047,9.5464
RE1,DEMCOMELC,ELC003,2048,7.7691
RE1,DEMCOMELC,ELC003,2049,7.8548
RE1,DEMCOMELC,ELC003,2050,29.2907
RE1,DEMCOMELC,ELC003,2051,47.1088
RE1,DEMCOMELC,ELC003,2052,68.5955
RE1,DEMCOMELC,ELC003,2053,87.3961
RE1,DEMCOMELC,ELC003,2054,106.2481
RE1,DEMCOMELC,ELC003,2055,365.6135
RE1,DEMCOMELC,ELC003,2056,290.2594
RE1,DEMCOMELC,ELC003,2057,312.5834
RE1,DEMCOMELC,ELC003,2058,337.3379
RE1,DEMCOMELC,ELC003,2059,352.9945
RE1,DEMCOMELC,ELC003,2060,39.0272
RE1,DEMCOMELC,ELC003,2061,44.0688
RE1,DEMCOMELC,ELC003,2062,49.1666
RE1,DEMCOMELC,ELC003,2063,25.5798
RE1,DEMCOMELC,ELC003,2064,11.5234
RE1,DEMCOMELC,ELC003,2065,11.652
RE1,DEMCOMELC,ELC003,2066,11.7819
RE1,DEMCOMELC,ELC003,2067,11.9134
RE1,DEMCOMELC,ELC003,2068,12.0463
RE1,DEMCOMELC,ELC003,2069,12.1806
RE1,DEMCOMELC,ELC003,2070,328.3613
RE1,DEMCOMHEBIO,BIO,2015,45.3768
RE1,DEMCOMHEBIO,BIO,2016,47.6848
RE1,DEMCOMHEBIO,BIO,2017,48.8357
RE1,DEMCOMHEBIO,BIO,2018,49.9867
RE1,DEMCOMHEBIO,BIO,2019,51.1378
RE1,DEMCOMHEBIO,BIO,2020,52.2888
RE1,DEMCOMHEBIO,BIO,2021,53.226
RE1,DEMCOMHEBIO,BIO,2022,54.1632
RE1,DEMCOMHEBIO,BIO,2023,55.1005
RE1,DEMCOMHEBIO,BIO,2024,56.0377
RE1,DEMCOMHEBIO,BIO,2025,56.9749
RE1,DEMCOMHEBIO,BIO,2026,58.0376
RE1,DEMCOMHEBIO,BIO,2027,59.1002
RE1,DEMCOMHEBIO,BIO,2028,60.1628
RE1,DEMCOMHEBIO,BIO,2029,61.2255
RE1,DEMCOMHEBIO,BIO,2030,60.9885
RE1,DEMCOMHEBIO,BIO,2031,58.6806
RE1,DEMCOMHEBIO,BIO,2032,57.5296
RE1,DEMCOMHEBIO,BIO,2033,56.3787
RE1,DEMCOMHEBIO,BIO,2034,40.6019
RE1,DEMCOMHEBIO,BIO,2035,40.8359
RE1,DEMCOMHEBIO,BIO,2036,39.9779
RE1,DEMCOMHEBIO,BIO,2037,38.232
RE1,DEMCOMHEBIO,BIO,2038,39.0374
RE1,DEMCOMHEBIO,BIO,2039,39.8428
RE1,DEMCOMHEBIO,BIO,2040,28.1411
RE1,DEMCOMHEBIO,BIO,2041,27.7999
RE1,DEMCOMHEBIO,BIO,2042,28.556
RE1,DEMCOMHEBIO,BIO,2043,27.7261
RE1,DEMCOMHEBIO,BIO,2044,21.0579
RE1,DEMCOMHEEL,ELC003,2030,1.0657
