r,e,y,AnnualEmissions
RE1,EMIC02,2015,652166.6
RE1,EMIC02,2016,652778.14
RE1,EMIC02,2017,666219.03
RE1,EMIC02,2018,706033.64
RE1,EMIC02,2019,722796.4
RE1,EMIC02,2020,762955.59
RE1,EMIC02,2021,722204.36
RE1,EMIC02,2022,714227.69
RE1,EMIC02,2023,748677.73
RE1,EMIC02,2024,789652.45
RE1,EMIC02,2025,773603.87
RE1,EMIC02,2026,759836.26
RE1,EMIC02,2027,743675.98
RE1,EMIC02,2028,726159.5
RE1,EMIC02,2029,707517.32
RE1,EMIC02,2030,687281.56
RE1,EMIC02,2031,667770.97
RE1,EMIC02,2032,644474.96
RE1,EMIC02,2033,619854.15
RE1,EMIC02,2034,595338.97
RE1,EMIC02,2035,567984.19
RE1,EMIC02,2036,537930.72
RE1,EMIC02,2037,506757.22
RE1,EMIC02,2038,474464.69
RE1,EMIC02,2039,441081.17
RE1,EMIC02,2040,406575.56
RE1,EMIC02,2041,370826.92
RE1,EMIC02,2042,333985.33
RE1,EMIC02,2043,296051.59
RE1,EMIC02,2044,257028.22
RE1,EMIC02,2045,216912.24
RE1,EMIC02,2046,175129.09
RE1,EMIC02,2047,132545.83
RE1,EMIC02,2048,89162.925
RE1,EMIC02,2049,44980.828
