r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2020,156982.95
RE1,MINBIO,EMIC02,2015,109764.24
RE1,MINBIO,EMIC02,2016,102927.94
RE1,MINBIO,EMIC02,2017,104334.76
RE1,MINBIO,EMIC02,2018,106990.29
RE1,MINBIO,EMIC02,2019,109065.63
RE1,MINBIO,EMIC02,2020,111137.09
RE1,MINBIO,EMIC02,2021,108876.84
RE1,MINBIO,EMIC02,2022,106514.52
RE1,MINBIO,EMIC02,2023,104050.53
RE1,MINBIO,EMIC02,2024,101485.26
RE1,MINBIO,EMIC02,2025,98819.042
RE1,MINBIO,EMIC02,2026,96175.504
RE1,MINBIO,EMIC02,2027,93420.978
RE1,MINBIO,EMIC02,2028,90555.821
RE1,MINBIO,EMIC02,2029,87580.339
RE1,MINBIO,EMIC02,2030,84494.84
RE1,MINBIO,EMIC02,2031,69389.989
RE1,MINBIO,EMIC02,2032,66617.16
RE1,MINBIO,EMIC02,2033,63744.838
RE1,MINBIO,EMIC02,2034,60773.429
RE1,MINBIO,EMIC02,2035,57703.315
RE1,MINBIO,EMIC02,2036,54452.655
RE1,MINBIO,EMIC02,2037,51116.117
RE1,MINBIO,EMIC02,2038,47693.888
RE1,MINBIO,EMIC02,2039,44186.149
RE1,MINBIO,EMIC02,2040,40593.067
RE1,MINBIO,EMIC02,2041,36921.648
RE1,MINBIO,EMIC02,2042,33163.752
RE1,MINBIO,EMIC02,2043,29319.486
RE1,MINBIO,EMIC02,2044,25388.966
RE1,MINBIO,EMIC02,2045,21372.293
RE1,MINBIO,EMIC02,2046,17229.357
RE1,MINBIO,EMIC02,2047,13020.618
RE1,MINBIO,EMIC02,2048,8746.1173
RE1,MINBIO,EMIC02,2049,4405.898
RE1,IMPCOA,EMIC02,2028,31347.918
RE1,IMPCOA,EMIC02,2029,263701.26
RE1,IMPCOA,EMIC02,2030,257825.1
RE1,IMPCOA,EMIC02,2031,266170.26
RE1,IMPCOA,EMIC02,2032,258873.04
