r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,212.3862
RE1,PWRBIO001,2016,242.7678
RE1,PWRBIO001,2017,273.0782
RE1,PWRBIO001,2018,288.1263
RE1,PWRBIO001,2019,288.1263
RE1,PWRBIO001,2020,303.4598
RE1,PWRBIO001,2021,318.6506
RE1,PWRBIO001,2022,318.6506
RE1,PWRBIO001,2023,318.6506
RE1,PWRBIO001,2024,318.6506
RE1,PWRBIO001,2025,318.6506
RE1,PWRBIO001,2026,318.6506
RE1,PWRBIO001,2027,318.6506
RE1,PWRBIO001,2028,318.6506
RE1,PWRBIO001,2029,318.6506
RE1,PWRBIO001,2030,318.6506
RE1,PWRBIO001,2031,106.2644
RE1,PWRBIO001,2032,202.4839
RE1,PWRBIO001,2033,202.4839
RE1,PWRBIO001,2034,202.4839
RE1,PWRBIO001,2035,202.4839
RE1,PWRBIO001,2036,202.4839
RE1,PWRBIO001,2037,202.4839
RE1,PWRBIO001,2038,202.4839
RE1,PWRBIO001,2039,202.4839
RE1,PWRBIO001,2040,202.4839
RE1,PWRBIO001,2041,202.4839
RE1,PWRBIO001,2042,202.4839
RE1,PWRBIO001,2043,202.4839
RE1,PWRBIO001,2044,202.4839
RE1,PWRBIO001,2045,202.4839
RE1,PWRBIO001,2046,172.1022
RE1,PWRBIO001,2047,141.7919
RE1,PWRBIO001,2048,126.7437
RE1,PWRBIO001,2049,126.7437
RE1,PWRBIO001,2050,111.4103
RE1,PWRBIO001,2051,96.2195
RE1,PWRBIO001,2052,96.2195
RE1,PWRBIO001,2053,96.2195
RE1,PWRBIO001,2054,96.2195
RE1,PWRBIO001,2055,96.2195
RE1,PWRBIO001,2056,96.2195
RE1,PWRCOA001,2015,282.6565
RE1,PWRCOA001,2016,282.6565
RE1,PWRCOA001,2017,282.6565
RE1,PWRCOA001,2018,282.6565
RE1,PWRCOA001,2019,1416.0298
RE1,PWRCOA001,2020,1483.3017
RE1,PWRCOA001,2021,1530.6331
RE1,PWRCOA001,2022,1590.1045
RE1,PWRCOA001,2023,1649.5368
RE1,PWRCOA001,2024,1708.9303
RE1,PWRCOA001,2025,1823.2936
RE1,PWRCOA001,2026,1886.6248
