r,t,y,CapitalInvestment
RE1,MINOIL,2024,0.2142
RE1,MINBIO,2015,0.1083
RE1,MINBIO,2016,0.1039
RE1,MINBIO,2017,0.1078
RE1,MINBIO,2018,0.1117
RE1,MINBIO,2019,0.1137
RE1,MINBIO,2020,0.1171
RE1,MINBIO,2021,0.1198
RE1,MINBIO,2022,0.1213
RE1,MINBIO,2023,0.1228
RE1,MINBIO,2024,0.1242
RE1,MINBIO,2025,0.1048
RE1,MINBIO,2026,0.1019
RE1,MINBIO,2027,0.1003
RE1,MINBIO,2028,0.1015
RE1,MINBIO,2029,0.1026
RE1,MINBIO,2030,0.0906
RE1,MINBIO,2031,0.0748
RE1,MINBIO,2032,0.0809
RE1,MINBIO,2033,0.0745
RE1,MINBIO,2034,0.0673
RE1,MINBIO,2035,0.062
RE1,MINBIO,2036,0.0585
RE1,MINBIO,2037,0.0548
RE1,MINBIO,2038,0.0511
RE1,MINBIO,2039,0.0473
RE1,MINBIO,2040,0.0435
RE1,MINBIO,2041,0.0395
RE1,MINBIO,2042,0.0355
RE1,MINBIO,2043,0.0313
RE1,MINBIO,2044,0.0271
RE1,MINBIO,2045,0.0275
RE1,MINBIO,2046,0.025
RE1,MINBIO,2047,0.0164
RE1,MINBIO,2048,0.0103
RE1,MINBIO,2049,0.0103
RE1,IMPCOA,2027,0.093
RE1,IMPCOA,2028,0.3954
RE1,IMPCOA,2029,0.3941
RE1,IMPCOA,2030,0.3954
RE1,IMPCOA,2031,0.3924
RE1,IMPCOA,2032,0.4029
RE1,IMPCOA,2033,0.4034
RE1,IMPCOA,2034,0.4034
RE1,IMPCOA,2035,0.4034
RE1,IMPCOA,2036,0.3972
RE1,IMPCOA,2037,0.3802
RE1,IMPCOA,2038,0.3592
RE1,IMPCOA,2039,0.3201
RE1,IMPCOA,2040,0.3006
RE1,IMPCOA,2041,0.3006
RE1,IMPCOA,2042,0.2954
RE1,IMPCOA,2043,0.2954
RE1,IMPCOA,2044,0.2632
RE1,IMPCOA,2045,0.2368
RE1,IMPCOA,2046,0.199
RE1,IMPCOA,2047,0.1569
RE1,IMPCOA,2048,0.1117
RE1,IMPCOA,2049,0.049
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1133
RE1,MINCOA,2018,0.1153
RE1,MINCOA,2019,0.2821
RE1,MINCOA,2020,0.2936
RE1,MINCOA,2021,0.3016
RE1,MINCOA,2022,0.3114
RE1,MINCOA,2023,0.3212
RE1,MINCOA,2024,0.331
RE1,MINCOA,2025,0.3489
RE1,MINCOA,2026,0.3593
RE1,MINCOA,2027,0.2768
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.6296
RE1,IMPLFO,2021,0.6407
RE1,IMPLFO,2022,0.6518
RE1,IMPLFO,2023,0.6629
RE1,IMPLFO,2024,0.4812
RE1,IMPLFO,2025,0.5155
RE1,IMPLFO,2026,0.5247
RE1,IMPLFO,2027,0.534
RE1,IMPLFO,2028,0.5295
RE1,IMPLFO,2029,0.514
RE1,IMPLFO,2030,0.4978
RE1,IMPLFO,2031,0.4794
RE1,IMPLFO,2032,0.4603
RE1,IMPLFO,2033,0.4405
RE1,IMPLFO,2034,0.4201
RE1,IMPLFO,2035,0.3989
RE1,IMPLFO,2036,0.3767
RE1,IMPLFO,2037,0.3538
RE1,IMPLFO,2038,0.3303
RE1,IMPLFO,2039,0.3062
RE1,IMPLFO,2040,0.2814
RE1,IMPLFO,2041,0.2559
RE1,IMPLFO,2042,0.2298
RE1,IMPLFO,2043,0.2032
RE1,IMPLFO,2044,0.1759
RE1,IMPLFO,2045,0.1481
RE1,IMPLFO,2046,0.1194
RE1,IMPLFO,2047,0.0902
RE1,IMPLFO,2048,0.0606
RE1,IMPLFO,2049,0.0305
RE1,MINNGS,2015,0.0795
RE1,MINNGS,2016,0.0797
RE1,MINNGS,2017,0.0807
RE1,MINNGS,2018,0.084
RE1,MINNGS,2039,0.0042
RE1,MINNGS,2040,0.0075
RE1,MINNGS,2041,0.0072
RE1,MINNGS,2042,0.0064
RE1,MINNGS,2043,0.0056
RE1,MINNGS,2044,0.0032
RE1,MINSOL,2015,0.0019
RE1,MINSOL,2016,0.0033
RE1,MINSOL,2017,0.0037
RE1,MINSOL,2018,0.004
RE1,MINSOL,2019,0.0041
RE1,MINSOL,2020,0.0041
RE1,MINSOL,2021,0.0042
