r,t,f,y,ProductionByTechnologyAnnual
RE1,COMENEFFDP,COMELC,2025,236.9106
RE1,COMENEFFDP,COMELC,2026,243.6439
RE1,COMENEFFDP,COMELC,2027,250.3771
RE1,COMENEFFDP,COMELC,2028,256.0673
RE1,COMENEFFDP,COMELC,2029,257.6878
RE1,COMENEFFDP,COMELC,2030,272.7502
RE1,COMENEFFDP,COMELC,2031,280.5081
RE1,COMENEFFDP,COMELC,2032,289.6724
RE1,COMENEFFDP,COMELC,2033,297.4682
RE1,COMENEFFDP,COMELC,2034,305.264
RE1,COMENEFFDP,COMELC,2035,311.5398
RE1,COMENEFFDP,COMELC,2036,317.7854
RE1,COMENEFFDP,COMELC,2037,324.0311
RE1,COMENEFFDP,COMELC,2038,330.2767
RE1,COMENEFFDP,COMELC,2039,336.5223
RE1,COMENEFFDP,COMELC,2040,342.7681
RE1,COMENEFFDP,COMELC,2041,348.884
RE1,COMENEFFDP,COMELC,2042,354.9999
RE1,COMENEFFDP,COMELC,2043,361.1159
RE1,COMENEFFDP,COMELC,2044,367.2318
RE1,COMENEFFDP,COMELC,2045,375.1693
RE1,COMENEFFDP,COMELC,2046,377.6064
RE1,COMENEFFDP,COMELC,2047,381.8651
RE1,COMENEFFDP,COMELC,2048,388.0074
RE1,COMENEFFDP,COMELC,2049,392.2867
RE1,COMENEFFDP,COMELC,2050,375.216
RE1,COMENEFFDP,COMELC,2051,361.91
RE1,COMENEFFDP,COMELC,2052,344.9858
RE1,COMENEFFDP,COMELC,2053,330.7987
RE1,COMENEFFDP,COMELC,2054,316.6115
RE1,COMENEFFDP,COMELC,2055,61.9631
RE1,COMENEFFDP,COMELC,2056,142.0868
RE1,COMENEFFDP,COMELC,2057,124.5855
RE1,COMENEFFDP,COMELC,2058,104.7076
RE1,COMENEFFDP,COMELC,2059,93.9819
RE1,COMENEFFDP,COMELC,2060,412.9351
RE1,COMENEFFDP,COMELC,2061,412.9351
RE1,COMENEFFDP,COMELC,2062,412.9351
RE1,COMENEFFDP,COMELC,2063,441.6766
RE1,COMENEFFDP,COMELC,2064,460.9452
RE1,COMENEFFDP,COMELC,2065,466.087
RE1,COMENEFFDP,COMELC,2066,471.2861
RE1,COMENEFFDP,COMELC,2067,476.5432
RE1,COMENEFFDP,COMELC,2068,481.8589
RE1,COMENEFFDP,COMELC,2069,487.234
RE1,COMENEFFDP,COMELC,2070,176.6242
RE1,DEMCOMELC,COMELC,2015,169.2528
RE1,DEMCOMELC,COMELC,2016,179.0399
RE1,DEMCOMELC,COMELC,2017,187.428
RE1,DEMCOMELC,COMELC,2018,195.8162
RE1,DEMCOMELC,COMELC,2019,204.2043
RE1,DEMCOMELC,COMELC,2020,212.5924
RE1,DEMCOMELC,COMELC,2021,219.0306
RE1,DEMCOMELC,COMELC,2022,225.4689
RE1,DEMCOMELC,COMELC,2023,231.9071
RE1,DEMCOMELC,COMELC,2024,238.3453
RE1,DEMCOMELC,COMELC,2025,7.8731
RE1,DEMCOMELC,COMELC,2026,8.0968
RE1,DEMCOMELC,COMELC,2027,8.3206
RE1,DEMCOMELC,COMELC,2028,9.5874
RE1,DEMCOMELC,COMELC,2029,14.924
RE1,DEMCOMELC,COMELC,2030,6.8186
RE1,DEMCOMELC,COMELC,2031,7.0126
RE1,DEMCOMELC,COMELC,2032,5.8002
RE1,DEMCOMELC,COMELC,2033,5.9563
RE1,DEMCOMELC,COMELC,2034,6.1123
RE1,DEMCOMELC,COMELC,2035,7.7883
RE1,DEMCOMELC,COMELC,2036,7.9445
RE1,DEMCOMELC,COMELC,2037,8.1006
RE1,DEMCOMELC,COMELC,2038,8.2568
RE1,DEMCOMELC,COMELC,2039,8.4129
RE1,DEMCOMELC,COMELC,2040,8.569
RE1,DEMCOMELC,COMELC,2041,8.7219
RE1,DEMCOMELC,COMELC,2042,8.8748
RE1,DEMCOMELC,COMELC,2043,9.0277
RE1,DEMCOMELC,COMELC,2044,9.1806
RE1,DEMCOMELC,COMELC,2045,7.5121
RE1,DEMCOMELC,COMELC,2046,9.44
RE1,DEMCOMELC,COMELC,2047,9.5464
RE1,DEMCOMELC,COMELC,2048,7.7691
RE1,DEMCOMELC,COMELC,2049,7.8548
RE1,DEMCOMELC,COMELC,2050,29.2907
RE1,DEMCOMELC,COMELC,2051,47.1088
RE1,DEMCOMELC,COMELC,2052,68.5955
RE1,DEMCOMELC,COMELC,2053,87.3961
RE1,DEMCOMELC,COMELC,2054,106.2481
RE1,DEMCOMELC,COMELC,2055,365.6135
RE1,DEMCOMELC,COMELC,2056,290.2594
RE1,DEMCOMELC,COMELC,2057,312.5834
RE1,DEMCOMELC,COMELC,2058,337.3379
RE1,DEMCOMELC,COMELC,2059,352.9945
RE1,DEMCOMELC,COMELC,2060,39.0272
RE1,DEMCOMELC,COMELC,2061,44.0688
RE1,DEMCOMELC,COMELC,2062,49.1666
RE1,DEMCOMELC,COMELC,2063,25.5798
RE1,DEMCOMELC,COMELC,2064,11.5234
RE1,DEMCOMELC,COMELC,2065,11.652
RE1,DEMCOMELC,COMELC,2066,11.7819
RE1,DEMCOMELC,COMELC,2067,11.9134
RE1,DEMCOMELC,COMELC,2068,12.0463
RE1,DEMCOMELC,COMELC,2069,12.1806
RE1,DEMCOMELC,COMELC,2070,328.3613
RE1,DEMCOMHEBIO,COMHEL,2015,37.209
RE1,DEMCOMHEBIO,COMHEL,2016,39.1015
RE1,DEMCOMHEBIO,COMHEL,2017,40.0453
RE1,DEMCOMHEBIO,COMHEL,2018,40.9891
RE1,DEMCOMHEBIO,COMHEL,2019,41.933
RE1,DEMCOMHEBIO,COMHEL,2020,42.8768
RE1,DEMCOMHEBIO,COMHEL,2021,43.6453
RE1,DEMCOMHEBIO,COMHEL,2022,44.4138
RE1,DEMCOMHEBIO,COMHEL,2023,45.1824
RE1,DEMCOMHEBIO,COMHEL,2024,45.9509
RE1,DEMCOMHEBIO,COMHEL,2025,46.7194
RE1,DEMCOMHEBIO,COMHEL,2026,47.5908
RE1,DEMCOMHEBIO,COMHEL,2027,48.4622
RE1,DEMCOMHEBIO,COMHEL,2028,49.3335
RE1,DEMCOMHEBIO,COMHEL,2029,50.2049
RE1,DEMCOMHEBIO,COMHEL,2030,50.0106
RE1,DEMCOMHEBIO,COMHEL,2031,48.1181
RE1,DEMCOMHEBIO,COMHEL,2032,47.1743
RE1,DEMCOMHEBIO,COMHEL,2033,46.2305
RE1,DEMCOMHEBIO,COMHEL,2034,33.2936
RE1,DEMCOMHEBIO,COMHEL,2035,33.4854
RE1,DEMCOMHEBIO,COMHEL,2036,32.7819
RE1,DEMCOMHEBIO,COMHEL,2037,31.3503
RE1,DEMCOMHEBIO,COMHEL,2038,32.0107
RE1,DEMCOMHEBIO,COMHEL,2039,32.6711
RE1,DEMCOMHEBIO,COMHEL,2040,23.0757
RE1,DEMCOMHEBIO,COMHEL,2041,22.7959
RE1,DEMCOMHEBIO,COMHEL,2042,23.4159
RE1,DEMCOMHEBIO,COMHEL,2043,22.7354
RE1,DEMCOMHEBIO,COMHEL,2044,17.2675
RE1,DEMCOMHEEL,COMHEL,2030,1.0657
RE1,DEMCOMHEEL,COMHEL,2031,3.6753
RE1,DEMCOMHEEL,COMHEL,2032,5.3362
