r,t,y,TotalCapacityAnnual
RE1,MINOIL,2024,2141.6499
RE1,MINBIO,2015,1083.0722
RE1,MINBIO,2016,1039.3006
RE1,MINBIO,2017,1077.9026
RE1,MINBIO,2018,1116.6381
RE1,MINBIO,2019,1137.3915
RE1,MINBIO,2020,1170.5173
RE1,MINBIO,2021,1197.7543
RE1,MINBIO,2022,1212.6691
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,1242.4259
RE1,MINBIO,2025,1047.7255
RE1,MINBIO,2026,1018.9087
RE1,MINBIO,2027,1003.415
RE1,MINBIO,2028,1014.8628
RE1,MINBIO,2029,1026.2974
RE1,MINBIO,2030,906.3113
RE1,MINBIO,2031,748.3743
RE1,MINBIO,2032,808.825
RE1,MINBIO,2033,745.266
RE1,MINBIO,2034,672.5899
RE1,MINBIO,2035,620.0393
RE1,MINBIO,2036,584.6656
RE1,MINBIO,2037,548.4332
RE1,MINBIO,2038,511.3438
RE1,MINBIO,2039,473.3993
RE1,MINBIO,2040,434.6014
RE1,MINBIO,2041,395.0202
RE1,MINBIO,2042,354.5741
RE1,MINBIO,2043,313.2644
RE1,MINBIO,2044,271.0921
RE1,MINBIO,2045,274.7258
RE1,MINBIO,2046,250.1344
RE1,MINBIO,2047,163.5476
RE1,MINBIO,2048,102.5887
RE1,MINBIO,2049,102.5887
RE1,IMPCOA,2027,930.4345
RE1,IMPCOA,2028,3954.0386
RE1,IMPCOA,2029,3940.9627
RE1,IMPCOA,2030,3953.5594
RE1,IMPCOA,2031,3923.7247
RE1,IMPCOA,2032,4028.7665
RE1,IMPCOA,2033,4034.2273
RE1,IMPCOA,2034,4034.2273
RE1,IMPCOA,2035,4034.2273
RE1,IMPCOA,2036,3971.7491
RE1,IMPCOA,2037,3801.9454
RE1,IMPCOA,2038,3591.7044
RE1,IMPCOA,2039,3200.6426
RE1,IMPCOA,2040,3005.6997
RE1,IMPCOA,2041,3005.6997
RE1,IMPCOA,2042,2954.014
RE1,IMPCOA,2043,2954.014
RE1,IMPCOA,2044,2632.3552
RE1,IMPCOA,2045,2367.9211
RE1,IMPCOA,2046,1989.8068
RE1,IMPCOA,2047,1568.8362
RE1,IMPCOA,2048,1117.0873
RE1,IMPCOA,2049,489.6451
RE1,MINCOA,2015,1201.8754
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1132.6138
RE1,MINCOA,2018,1153.041
RE1,MINCOA,2019,2821.0437
RE1,MINCOA,2020,2935.6728
RE1,MINCOA,2021,3016.1627
RE1,MINCOA,2022,3114.3237
RE1,MINCOA,2023,3212.4117
RE1,MINCOA,2024,3310.4278
RE1,MINCOA,2025,3488.5226
RE1,MINCOA,2026,3593.4542
RE1,MINCOA,2027,2767.8712
RE1,IMPLFO,2015,5550.8602
RE1,IMPLFO,2016,5742.9384
RE1,IMPLFO,2017,5873.1206
RE1,IMPLFO,2018,6018.0952
RE1,IMPLFO,2019,6157.2479
RE1,IMPLFO,2020,6296.3538
RE1,IMPLFO,2021,6407.281
RE1,IMPLFO,2022,6518.1763
RE1,IMPLFO,2023,6629.0416
RE1,IMPLFO,2024,4812.3938
RE1,IMPLFO,2025,5155.3181
RE1,IMPLFO,2026,5247.4691
RE1,IMPLFO,2027,5339.6049
RE1,IMPLFO,2028,5294.9436
RE1,IMPLFO,2029,5140.4864
RE1,IMPLFO,2030,4977.8009
RE1,IMPLFO,2031,4793.8054
RE1,IMPLFO,2032,4602.9545
RE1,IMPLFO,2033,4405.2536
RE1,IMPLFO,2034,4200.7077
RE1,IMPLFO,2035,3989.3213
RE1,IMPLFO,2036,3766.8363
RE1,IMPLFO,2037,3538.133
RE1,IMPLFO,2038,3303.2134
RE1,IMPLFO,2039,3061.823
RE1,IMPLFO,2040,2814.2672
RE1,IMPLFO,2041,2559.265
RE1,IMPLFO,2042,2298.3872
RE1,IMPLFO,2043,2031.6353
RE1,IMPLFO,2044,1759.0105
RE1,IMPLFO,2045,1480.5143
RE1,IMPLFO,2046,1193.5769
RE1,IMPLFO,2047,902.0562
RE1,IMPLFO,2048,605.9528
RE1,IMPLFO,2049,305.2673
RE1,UPSREF001,2015,2876.6643
RE1,UPSREF001,2016,2876.6643
RE1,UPSREF001,2017,2876.6643
RE1,UPSREF001,2018,2876.6643
RE1,UPSREF001,2019,2876.6643
RE1,UPSREF001,2020,2876.6643
RE1,UPSREF001,2021,2876.6643
RE1,UPSREF001,2022,2876.6643
RE1,UPSREF001,2023,2876.6643
RE1,UPSREF001,2024,2876.6643
RE1,UPSREF001,2025,2876.6643
RE1,UPSREF001,2026,2876.6643
RE1,UPSREF001,2027,2876.6643
RE1,UPSREF001,2028,2876.6643
RE1,UPSREF001,2029,2876.6643
RE1,UPSREF001,2030,2876.6643
RE1,UPSREF001,2031,2876.6643
RE1,UPSREF001,2032,2876.6643
RE1,UPSREF001,2033,2876.6643
RE1,UPSREF001,2034,2876.6643
RE1,UPSREF001,2035,2876.6643
RE1,UPSREF001,2036,2876.6643
RE1,UPSREF001,2037,2876.6643
RE1,UPSREF001,2038,2876.6643
RE1,UPSREF001,2039,2876.6643
RE1,UPSREF001,2040,2876.6643
RE1,UPSREF001,2041,2876.6643
RE1,UPSREF001,2042,2876.6643
RE1,UPSREF001,2043,2876.6643
RE1,UPSREF001,2044,2876.6643
RE1,UPSREF001,2045,2876.6643
RE1,MINNGS,2015,794.6634
RE1,MINNGS,2016,796.9507
RE1,MINNGS,2017,806.5935
RE1,MINNGS,2018,839.6294
RE1,MINNGS,2039,41.5481
RE1,MINNGS,2040,75.3348
RE1,MINNGS,2041,71.9191
RE1,MINNGS,2042,63.9281
RE1,MINNGS,2043,55.9371
RE1,MINNGS,2044,31.964
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,33.282
RE1,MINSOL,2017,36.6855
RE1,MINSOL,2018,40.2789
RE1,MINSOL,2019,40.5636
RE1,MINSOL,2020,40.5636
RE1,MINSOL,2021,41.6077
RE1,MINSOL,2022,41.6077
RE1,MINSOL,2023,41.6077
RE1,MINSOL,2024,41.6077
RE1,MINSOL,2025,1269.7838
RE1,MINSOL,2026,1402.6078
RE1,MINSOL,2027,1540.9929
RE1,MINSOL,2028,1787.9276
RE1,MINSOL,2029,2126.9876
RE1,MINSOL,2030,2589.6247
RE1,MINSOL,2031,2923.6795
RE1,MINSOL,2032,2923.6795
RE1,MINSOL,2033,3068.6955
RE1,MINSOL,2034,3120.1563
RE1,MINSOL,2035,3100.976
RE1,MINSOL,2036,3086.9213
RE1,MINSOL,2037,3083.5178
RE1,MINSOL,2038,3183.8269
RE1,MINSOL,2039,3688.6463
RE1,MINSOL,2040,4191.086
RE1,MINSOL,2041,4626.15
RE1,MINSOL,2042,5004.8664
RE1,MINSOL,2043,5459.5553
RE1,MINSOL,2044,5493.0863
RE1,MINSOL,2045,5497.0677
RE1,MINSOL,2046,5441.0798
RE1,MINSOL,2047,5201.275
RE1,MINSOL,2048,5036.2774
RE1,MINSOL,2049,5564.4112
RE1,MINSOL,2050,6117.7709
RE1,MINSOL,2051,6332.4935
RE1,MINSOL,2052,6489.5106
RE1,MINSOL,2053,6641.7473
RE1,MINSOL,2054,6795.0704
RE1,MINSOL,2055,7389.9222
RE1,MINSOL,2056,7455.7877
RE1,MINSOL,2057,7486.0683
RE1,MINSOL,2058,7486.0683
RE1,MINSOL,2059,7486.0683
RE1,MINSOL,2060,7350.1265
RE1,MINSOL,2061,7515.5656
RE1,MINSOL,2062,8006.8357
RE1,MINSOL,2063,8363.124
RE1,MINSOL,2064,8597.5182
RE1,MINSOL,2065,8887.6904
RE1,MINSOL,2066,9194.9192
RE1,MINSOL,2067,9300.0272
RE1,MINSOL,2068,9396.6471
RE1,MINSOL,2069,9452.6944
RE1,MINSOL,2070,1399.8057
RE1,MINWND,2015,1.5132
RE1,MINWND,2016,3.2785
RE1,MINWND,2017,4.061
RE1,MINWND,2018,7.1325
RE1,MINWND,2019,9.745
RE1,MINWND,2020,9.745
RE1,MINWND,2021,9.9907
RE1,MINWND,2022,9.9907
RE1,MINWND,2023,9.9907
RE1,MINWND,2024,9.9907
RE1,MINWND,2025,9.9907
RE1,MINWND,2026,9.9907
RE1,MINWND,2027,9.9907
RE1,MINWND,2028,9.9907
RE1,MINWND,2029,9.9907
RE1,MINWND,2030,9.9907
RE1,MINWND,2031,9.9907
RE1,MINWND,2032,21.5929
RE1,MINWND,2033,153.2236
RE1,MINWND,2034,287.3543
RE1,MINWND,2035,424.8232
RE1,MINWND,2036,557.5127
RE1,MINWND,2037,706.665
RE1,MINWND,2038,820.8608
RE1,MINWND,2039,910.2586
RE1,MINWND,2040,1006.4265
RE1,MINWND,2041,1127.1679
RE1,MINWND,2042,1270.5831
RE1,MINWND,2043,1397.6539
RE1,MINWND,2044,1658.6057
RE1,MINWND,2045,1948.263
RE1,MINWND,2046,2163.1839
RE1,MINWND,2047,2399.1628
RE1,MINWND,2048,2634.1186
RE1,MINWND,2049,2634.1186
RE1,MINWND,2050,2631.532
RE1,MINWND,2051,2631.532
RE1,MINWND,2052,2631.532
RE1,MINWND,2053,2631.532
RE1,MINWND,2054,2631.532
RE1,MINWND,2055,2631.532
RE1,MINWND,2056,2631.532
RE1,MINWND,2057,2631.532
RE1,MINWND,2058,2631.532
RE1,MINWND,2059,2631.532
RE1,MINWND,2060,2631.532
RE1,MINWND,2061,2631.532
RE1,MINWND,2062,2619.9299
RE1,MINWND,2063,2488.2992
RE1,MINWND,2064,2435.4881
RE1,MINWND,2065,2434.2583
RE1,MINWND,2066,2433.8278
RE1,MINWND,2067,2435.3456
RE1,MINWND,2068,2443.9916
RE1,MINWND,2069,2456.346
RE1,MINWND,2070,5985.3032
RE1,MINGEO,2025,1.4486
RE1,MINGEO,2026,1.4486
RE1,MINGEO,2027,1.4486
RE1,MINGEO,2028,1.4486
RE1,MINGEO,2029,1.4486
RE1,MINGEO,2030,1.4486
RE1,MINGEO,2031,1.4486
RE1,MINGEO,2032,1.4486
RE1,MINGEO,2033,1.4486
RE1,MINGEO,2034,1.4486
RE1,MINGEO,2035,1.4486
RE1,MINGEO,2036,1.4486
RE1,MINGEO,2037,1.4486
RE1,MINGEO,2038,1.4486
RE1,MINGEO,2039,1.4486
RE1,MINGEO,2040,1.4486
RE1,MINGEO,2041,1.4486
RE1,MINGEO,2042,1.4486
RE1,MINGEO,2043,1.4486
RE1,MINGEO,2044,1.4486
RE1,MINGEO,2045,1.4486
RE1,MINGEO,2046,1.4486
RE1,MINGEO,2047,1.4486
RE1,MINGEO,2048,1.4486
RE1,MINGEO,2049,1.4486
RE1,MINGEO,2050,1.4486
RE1,MINGEO,2051,1.4486
RE1,MINGEO,2052,1.4486
RE1,MINGEO,2053,1.4486
RE1,MINGEO,2054,1.4486
