r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2017,0.6717
RE1,PWRCOA001,2018,115.65
RE1,PWRCOA001,2022,12.6533
RE1,PWRCOA001,2023,287.4689
RE1,PWRCOA001,2024,437.191
RE1,PWRCOA001,2025,189.8295
RE1,PWRCOA001,2026,87.7828
RE1,PWRSOL001,2042,15.5969
RE1,PWRSOL001,2043,27.9816
RE1,PWRSOL001,2044,25.7198
RE1,PWRSOL001,2045,56.9799
RE1,PWRSOL001,2046,19.7468
RE1,PWRSOL001,2047,45.1941
RE1,PWRSOL001,2048,56.9279
RE1,PWRSOL001,2049,65.7136
RE1,PWRSOL001,2050,55.7417
RE1,PWRSOL001,2051,260.2123
RE1,PWRSOL001,2052,354.7027
RE1,PWRSOL001,2053,47.1426
RE1,PWRSOL001,2054,91.5377
RE1,PWRSOL001,2055,110.0218
RE1,PWRSOL001,2056,64.5198
RE1,PWRSOL001,2057,67.8985
RE1,PWRSOL001,2058,95.9681
RE1,PWRSOL001,2059,121.9659
RE1,PWRSOL001,2060,172.3813
RE1,PWRSOL001,2061,132.6228
RE1,PWRSOL001,2062,155.3879
RE1,PWRSOL001,2063,162.039
RE1,PWRSOL001,2064,225.7061
RE1,PWRSOL001,2065,207.4173
RE1,PWRSOL001,2066,211.0898
RE1,PWRSOL001,2067,200.7197
RE1,PWRSOL001,2068,333.9479
RE1,PWRSOL001,2069,371.1754
RE1,PWRSOL001,2070,149.5452
RE1,PWRCSP002,2048,1539.2532
RE1,PWRCSP002,2049,3577.1721
RE1,PWRCSP002,2050,5553.7617
RE1,PWRCSP002,2053,91.3216
RE1,PWRCSP002,2054,103.7049
RE1,PWRCSP002,2055,107.7898
RE1,PWRCSP002,2056,111.7437
RE1,PWRCSP002,2057,115.5739
RE1,PWRCSP002,2058,119.2868
RE1,PWRCSP002,2059,122.8835
RE1,PWRCSP002,2060,126.3734
RE1,PWRCSP002,2061,129.7574
RE1,PWRCSP002,2062,133.043
RE1,PWRCSP002,2063,136.2324
RE1,PWRCSP002,2064,139.3302
RE1,PWRCSP002,2065,142.3412
RE1,PWRCSP002,2066,145.2675
RE1,PWRCSP002,2067,148.1163
RE1,PWRCSP002,2068,150.8843
RE1,PWRCSP002,2069,153.5791
RE1,PWRCSP002,2070,156.2089
RE1,PWRHYD001,2051,264.6798
RE1,PWRHYD001,2061,65.0909
RE1,PWRHYD002,2051,11.1414
RE1,PWRHYD002,2061,2.7399
RE1,PWRHYD003,2062,80.5426
RE1,PWRWND001,2042,42.6967
RE1,PWRWND001,2043,76.5999
RE1,PWRWND001,2044,70.4081
RE1,PWRWND001,2045,121.1503
RE1,PWRWND001,2046,96.5862
RE1,PWRWND001,2047,123.7191
RE1,PWRWND001,2048,443.7301
RE1,PWRWND001,2049,50.4651
RE1,PWRWND001,2052,69.2252
RE1,PWRWND001,2053,74.5304
RE1,PWRWND001,2054,79.7008
RE1,PWRWND001,2055,84.7423
RE1,PWRWND001,2056,481.5966
RE1,PWRWND001,2057,1100.337
RE1,PWRWND001,2058,383.3022
RE1,PWRWND001,2059,103.7311
RE1,PWRWND001,2060,145.3214
RE1,PWRWND001,2061,1764.0087
RE1,PWRWND001,2062,668.964
RE1,PWRWND001,2063,964.5728
RE1,PWRWND001,2064,483.308
RE1,PWRWND001,2065,567.806
RE1,PWRWND001,2066,577.8596
RE1,PWRWND001,2067,549.4712
RE1,PWRWND001,2068,284.1957
RE1,PWRWND001,2069,144.6436
RE1,PWRWND002,2042,27.8157
RE1,PWRWND002,2043,49.5128
RE1,PWRWND002,2044,45.1522
RE1,PWRWND002,2045,77.0761
RE1,PWRWND002,2046,60.9568
RE1,PWRWND002,2047,77.4511
RE1,PWRWND002,2048,96.7666
RE1,PWRWND002,2049,229.1123
RE1,PWRWND002,2052,42.2796
RE1,PWRWND002,2053,45.5198
RE1,PWRWND002,2054,48.6777
RE1,PWRWND002,2055,51.7568
RE1,PWRWND002,2056,54.7607
RE1,PWRWND002,2057,57.6928
RE1,PWRWND002,2058,866.3613
RE1,PWRWND002,2059,1367.8971
RE1,PWRWND002,2060,288.2118
RE1,PWRWND002,2061,221.738
RE1,PWRWND002,2062,259.7998
RE1,PWRWND002,2063,270.9201
RE1,PWRWND002,2064,295.1826
RE1,PWRWND002,2065,346.7901
RE1,PWRWND002,2066,352.9304
RE1,PWRWND002,2067,335.592
RE1,PWRWND002,2068,432.3418
RE1,PWRWND002,2069,491.2812
RE1,PWRWND002,2070,90.5948
RE1,PWRSOL001S,2042,18.992
RE1,PWRSOL001S,2043,33.7967
RE1,PWRSOL001S,2044,30.8475
RE1,PWRSOL001S,2045,52.6426
RE1,PWRSOL001S,2046,41.6708
RE1,PWRSOL001S,2047,52.9314
RE1,PWRSOL001S,2048,66.193
RE1,PWRSOL001S,2049,75.7607
RE1,PWRSOL001S,2050,63.7932
RE1,PWRSOL001S,2051,26.6634
RE1,PWRSOL001S,2052,28.9403
RE1,PWRSOL001S,2053,38.0528
RE1,PWRSOL001S,2054,486.7364
RE1,PWRSOL001S,2055,579.2741
RE1,PWRSOL001S,2056,73.8393
RE1,PWRSOL001S,2057,77.706
RE1,PWRSOL001S,2058,109.83
RE1,PWRSOL001S,2059,139.583
RE1,PWRSOL001S,2060,197.2806
RE1,PWRSOL001S,2061,151.7793
RE1,PWRSOL001S,2062,177.8326
RE1,PWRSOL001S,2063,185.4444
RE1,PWRSOL001S,2064,202.052
RE1,PWRSOL001S,2065,237.3773
RE1,PWRSOL001S,2066,241.5803
RE1,PWRSOL001S,2067,229.7123
RE1,PWRSOL001S,2068,295.9373
RE1,PWRSOL001S,2069,336.2813
RE1,PWRSOL001S,2070,350.2776
RE1,PWRWND001S,2042,110.6503
RE1,PWRWND001S,2043,258.791
RE1,PWRWND001S,2044,518.5585
RE1,PWRWND001S,2045,228.891
RE1,PWRWND001S,2046,837.0719
RE1,PWRWND001S,2047,1196.5611
RE1,PWRWND001S,2048,369.2206
RE1,PWRWND001S,2049,596.8294
RE1,PWRWND001S,2050,53.3971
RE1,PWRWND001S,2051,8.5654
RE1,PWRWND001S,2052,121.291
RE1,PWRWND001S,2053,130.5864
RE1,PWRWND001S,2054,139.6456
RE1,PWRWND001S,2055,148.4789
RE1,PWRWND001S,2056,157.0966
RE1,PWRWND001S,2057,165.5081
RE1,PWRWND001S,2058,173.7226
RE1,PWRWND001S,2059,181.7496
RE1,PWRWND001S,2060,189.5972
RE1,PWRWND001S,2061,197.2741
RE1,PWRWND001S,2062,204.7879
RE1,PWRWND001S,2063,988.7743
RE1,PWRWND001S,2064,1455.9003
RE1,PWRWND001S,2065,1301.7885
RE1,PWRWND001S,2066,1342.4062
RE1,PWRWND001S,2067,1638.2829
RE1,PWRWND001S,2068,1493.7686
RE1,PWRWND001S,2069,1401.4716
RE1,PWRWND001S,2070,259.897
RE1,PWRTRN,2025,10.4132
RE1,PWRTRN,2027,7.9608
RE1,PWRTRN,2028,6.8146
RE1,PWRTRN,2029,15.4529
RE1,PWRTRN,2030,16.8258
RE1,PWRTRN,2031,36.3182
RE1,PWRTRN,2032,14.6761
RE1,PWRTRN,2033,23.7752
RE1,PWRTRN,2034,29.7596
RE1,PWRTRN,2035,31.8732
RE1,PWRTRN,2036,50.2241
RE1,PWRTRN,2037,55.948
RE1,PWRTRN,2038,62.2382
RE1,PWRTRN,2039,66.7112
RE1,PWRTRN,2040,74.3442
RE1,PWRTRN,2041,83.4103
RE1,PWRTRN,2042,94.4518
RE1,PWRTRN,2043,97.1089
RE1,PWRTRN,2044,88.4072
RE1,PWRTRN,2045,55.9796
RE1,PWRTRN,2046,103.2569
RE1,PWRTRN,2047,104.238
RE1,PWRTRN,2048,7.1286
RE1,PWRTRN,2049,112.5873
RE1,PWRTRN,2050,295.6126
RE1,PWRTRN,2051,555.2456
RE1,PWRTRN,2052,19.3759
RE1,PWRTRN,2053,22.0576
RE1,PWRTRN,2054,22.7336
RE1,PWRTRN,2055,23.202
RE1,PWRTRN,2056,23.6637
RE1,PWRTRN,2057,24.1191
RE1,PWRTRN,2058,24.5685
RE1,PWRTRN,2059,25.0124
RE1,PWRTRN,2060,25.451
RE1,PWRTRN,2061,25.8846
RE1,PWRTRN,2062,26.3137
RE1,PWRTRN,2063,26.7384
RE1,PWRTRN,2064,27.159
RE1,PWRTRN,2065,27.5759
RE1,PWRTRN,2066,27.9892
RE1,PWRTRN,2067,28.3993
RE1,PWRDIST,2025,6.2868
RE1,PWRDIST,2026,0.07
RE1,PWRDIST,2027,10.1038
RE1,PWRDIST,2028,7.7521
RE1,PWRDIST,2029,15.9401
RE1,PWRDIST,2030,16.0508
RE1,PWRDIST,2031,32.3074
RE1,PWRDIST,2032,12.384
RE1,PWRDIST,2033,19.0097
RE1,PWRDIST,2034,22.7286
RE1,PWRDIST,2035,23.3886
RE1,PWRDIST,2036,35.4946
RE1,PWRDIST,2037,38.2827
RE1,PWRDIST,2038,41.3611
RE1,PWRDIST,2039,43.1805
RE1,PWRDIST,2040,46.9722
RE1,PWRDIST,2041,51.5481
RE1,PWRDIST,2042,57.1988
RE1,PWRDIST,2043,57.7444
RE1,PWRDIST,2044,51.7262
RE1,PWRDIST,2045,32.3615
RE1,PWRDIST,2046,58.6045
RE1,PWRDIST,2047,58.3909
RE1,PWRDIST,2048,4.2651
RE1,PWRDIST,2049,61.5713
RE1,PWRDIST,2050,159.3954
RE1,PWRDIST,2051,309.0638
RE1,PWRDIST,2052,10.2163
RE1,PWRDIST,2053,11.5253
RE1,PWRDIST,2054,11.7782
RE1,PWRDIST,2055,11.9256
RE1,PWRDIST,2056,12.0725
RE1,PWRDIST,2057,12.2189
RE1,PWRDIST,2058,12.365
RE1,PWRDIST,2059,12.5108
RE1,PWRDIST,2060,12.6563
RE1,PWRDIST,2061,12.8016
RE1,PWRDIST,2062,12.9467
RE1,PWRDIST,2063,13.0918
RE1,PWRDIST,2064,13.2369
RE1,PWRDIST,2065,13.3819
RE1,PWRDIST,2066,13.5271
RE1,PWRDIST,2067,13.6724
RE1,PWRSOL002,2048,95.7723
RE1,PWRSOL002,2049,48.4018
RE1,PWRSOL002,2050,232.3397
RE1,PWRSOL002,2051,131.4181
RE1,PWRSOL002,2052,105.5761
RE1,PWRSOL002,2053,39.7705
RE1,PWRSOL002,2054,711.7515
RE1,PWRSOL002,2055,79.7101
RE1,PWRSOL002,2056,672.5814
RE1,PWRSOL002,2057,238.9987
RE1,PWRSOL002,2058,273.5598
RE1,PWRSOL002,2059,335.7853
RE1,PWRSOL002,2060,354.5332
RE1,PWRSOL002,2061,347.939
RE1,PWRSOL002,2062,462.6698
RE1,PWRSOL002,2063,540.0971
RE1,PWRSOL002,2064,212.408
RE1,PWRSOL002,2065,102.0121
RE1,PWRSOL002,2066,106.4189
RE1,PWRSOL002,2067,110.7298
RE1,PWRSOL002,2068,114.9496
RE1,PWRSOL002,2069,2908.2761
RE1,PWRSOL002,2070,123.132
RE1,PWRHYD004,2061,8.8227
RE1,DEMTRAEVC,2022,2.1188
RE1,DEMTRAEVC,2023,4.1366
RE1,DEMTRAEVC,2024,6.0584
RE1,DEMTRAEVC,2025,7.8887
RE1,DEMTRAEVC,2026,13.4588
RE1,DEMTRAEVC,2027,17.6323
RE1,DEMTRAEVC,2028,20.8511
RE1,DEMTRAEVC,2029,25.2704
RE1,DEMTRAEVC,2030,47.4343
RE1,DEMTRAEVC,2031,45.9732
RE1,DEMTRAEVC,2032,50.1705
RE1,DEMTRAEVC,2033,34.1324
RE1,DEMTRAEVC,2034,40.0687
RE1,DEMTRAEVC,2035,44.76
RE1,DEMTRAEVC,2036,45.4534
RE1,DEMTRAEVC,2037,56.726
RE1,DEMTRAEVC,2038,56.7311
