r,t,f,y,UseByTechnologyAnnual
RE1,COMENEFFDP,ELC003,2021,14.9085
RE1,COMENEFFDP,ELC003,2022,29.8169
RE1,COMENEFFDP,ELC003,2023,44.7254
RE1,COMENEFFDP,ELC003,2024,59.6338
RE1,COMENEFFDP,ELC003,2025,74.5423
RE1,COMENEFFDP,ELC003,2026,89.4508
RE1,COMENEFFDP,ELC003,2027,104.3592
RE1,COMENEFFDP,ELC003,2028,119.2677
RE1,COMENEFFDP,ELC003,2029,134.1762
RE1,COMENEFFDP,ELC003,2030,149.0846
RE1,COMENEFFDP,ELC003,2031,149.0846
RE1,COMENEFFDP,ELC003,2032,149.0846
RE1,COMENEFFDP,ELC003,2033,149.0846
RE1,COMENEFFDP,ELC003,2034,149.0846
RE1,COMENEFFDP,ELC003,2035,149.0846
RE1,COMENEFFDP,ELC003,2036,149.0846
RE1,COMENEFFDP,ELC003,2037,149.0846
RE1,COMENEFFDP,ELC003,2038,149.0846
RE1,COMENEFFDP,ELC003,2039,149.0846
RE1,COMENEFFDP,ELC003,2040,163.9931
RE1,COMENEFFDP,ELC003,2041,178.9015
RE1,COMENEFFDP,ELC003,2042,193.81
RE1,COMENEFFDP,ELC003,2043,208.7185
RE1,COMENEFFDP,ELC003,2044,223.6269
RE1,COMENEFFDP,ELC003,2045,238.5354
RE1,COMENEFFDP,ELC003,2046,253.4438
RE1,COMENEFFDP,ELC003,2047,268.3523
RE1,COMENEFFDP,ELC003,2048,282.6225
RE1,COMENEFFDP,ELC003,2049,295.3223
RE1,COMENEFFDP,ELC003,2050,296.1044
RE1,COMENEFFDP,ELC003,2051,309.7154
RE1,COMENEFFDP,ELC003,2052,318.0573
RE1,COMENEFFDP,ELC003,2053,321.6052
RE1,COMENEFFDP,ELC003,2054,325.1927
RE1,COMENEFFDP,ELC003,2055,328.8201
RE1,COMENEFFDP,ELC003,2056,332.4881
RE1,COMENEFFDP,ELC003,2057,336.1969
RE1,COMENEFFDP,ELC003,2058,339.9472
RE1,COMENEFFDP,ELC003,2059,343.7392
RE1,COMENEFFDP,ELC003,2060,347.5736
RE1,COMENEFFDP,ELC003,2061,351.4507
RE1,COMENEFFDP,ELC003,2062,355.3711
RE1,COMENEFFDP,ELC003,2063,359.3352
RE1,COMENEFFDP,ELC003,2064,363.3435
RE1,COMENEFFDP,ELC003,2065,367.3966
RE1,COMENEFFDP,ELC003,2066,371.4948
RE1,COMENEFFDP,ELC003,2067,375.6388
RE1,COMENEFFDP,ELC003,2068,379.8289
RE1,COMENEFFDP,ELC003,2069,384.0659
RE1,COMENEFFDP,ELC003,2070,388.3501
RE1,COMENEFFGD,ELC003,2021,135.6744
RE1,COMENEFFGD,ELC003,2022,135.6744
RE1,COMENEFFGD,ELC003,2023,135.4258
RE1,COMENEFFGD,ELC003,2024,133.1786
RE1,COMENEFFGD,ELC003,2025,126.3696
RE1,COMENEFFGD,ELC003,2026,117.7867
RE1,COMENEFFGD,ELC003,2027,106.9832
RE1,COMENEFFGD,ELC003,2028,96.1798
RE1,COMENEFFGD,ELC003,2029,85.3764
RE1,COMENEFFGD,ELC003,2030,74.5729
RE1,COMENEFFGD,ELC003,2031,75.3897
RE1,COMENEFFGD,ELC003,2032,83.3586
RE1,COMENEFFGD,ELC003,2033,91.1956
RE1,COMENEFFGD,ELC003,2034,98.0023
RE1,COMENEFFGD,ELC003,2035,104.4441
RE1,COMENEFFGD,ELC003,2036,110.2888
RE1,COMENEFFGD,ELC003,2037,117.1777
RE1,COMENEFFGD,ELC003,2038,121.2484
RE1,COMENEFFGD,ELC003,2039,127.4941
RE1,COMENEFFGD,ELC003,2040,118.925
RE1,COMENEFFGD,ELC003,2041,96.4023
RE1,COMENEFFGD,ELC003,2042,86.4783
RE1,COMENEFFGD,ELC003,2043,76.1141
RE1,COMENEFFGD,ELC003,2044,67.1919
RE1,COMENEFFGD,ELC003,2045,57.9199
RE1,COMENEFFGD,ELC003,2046,46.4034
RE1,COMENEFFGD,ELC003,2047,33.721
RE1,COMENEFFGD,ELC003,2048,24.5783
RE1,COMENEFFGD,ELC003,2049,14.1066
RE1,COMENEFFGD,ELC003,2050,16.9273
RE1,DEMCOMELC,ELC003,2015,169.2528
RE1,DEMCOMELC,ELC003,2016,179.0399
RE1,DEMCOMELC,ELC003,2017,187.428
RE1,DEMCOMELC,ELC003,2018,195.8162
RE1,DEMCOMELC,ELC003,2019,204.2043
RE1,DEMCOMELC,ELC003,2020,212.5924
RE1,DEMCOMELC,ELC003,2021,43.6241
RE1,DEMCOMELC,ELC003,2022,30.6813
RE1,DEMCOMELC,ELC003,2023,18.0244
RE1,DEMCOMELC,ELC003,2024,7.666
RE1,DEMCOMELC,ELC003,2025,2.5535
RE1,DEMCOMELC,ELC003,2031,7.0126
RE1,DEMCOMELC,ELC003,2032,5.8002
RE1,DEMCOMELC,ELC003,2033,4.7395
RE1,DEMCOMELC,ELC003,2034,4.8637
RE1,DEMCOMELC,ELC003,2035,5.4074
RE1,DEMCOMELC,ELC003,2036,5.0879
RE1,DEMCOMELC,ELC003,2037,3.5673
RE1,DEMCOMELC,ELC003,2038,5.2878
RE1,DEMCOMELC,ELC003,2039,4.5071
RE1,DEMCOMELC,ELC003,2040,1.3823
RE1,DEMCOMELC,ELC003,2041,14.1713
RE1,DEMCOMELC,ELC003,2042,12.4718
RE1,DEMCOMELC,ELC003,2043,11.2785
RE1,DEMCOMELC,ELC003,2044,8.4268
RE1,DEMCOMELC,ELC003,2045,5.9774
RE1,DEMCOMELC,ELC003,2046,4.2055
RE1,DEMCOMELC,ELC003,2047,3.7744
RE1,DEMCOMELC,ELC003,2048,0.1022
RE1,DEMCOMELC,ELC003,2050,0.1045
RE1,DEMCOMELC,ELC003,2051,6.3888
RE1,DEMCOMELC,ELC003,2052,0.1068
RE1,DEMCOMELC,ELC003,2053,0.108
RE1,DEMCOMELC,ELC003,2054,0.1092
RE1,DEMCOMELC,ELC003,2055,0.1104
RE1,DEMCOMELC,ELC003,2056,0.1117
RE1,DEMCOMELC,ELC003,2057,0.1129
RE1,DEMCOMELC,ELC003,2058,0.1142
RE1,DEMCOMELC,ELC003,2059,0.1155
RE1,DEMCOMELC,ELC003,2060,0.1167
RE1,DEMCOMELC,ELC003,2061,0.118
RE1,DEMCOMELC,ELC003,2062,0.1194
RE1,DEMCOMELC,ELC003,2063,0.1207
RE1,DEMCOMELC,ELC003,2064,0.122
RE1,DEMCOMELC,ELC003,2065,0.1234
RE1,DEMCOMELC,ELC003,2066,0.1248
RE1,DEMCOMELC,ELC003,2067,0.1262
RE1,DEMCOMELC,ELC003,2068,0.1276
RE1,DEMCOMELC,ELC003,2069,0.129
RE1,DEMCOMELC,ELC003,2070,0.1304
RE1,DEMCOMHEBIO,BIO,2015,45.3768
RE1,DEMCOMHEBIO,BIO,2016,47.6848
RE1,DEMCOMHEBIO,BIO,2017,48.8357
RE1,DEMCOMHEBIO,BIO,2018,49.9867
RE1,DEMCOMHEBIO,BIO,2019,51.1378
RE1,DEMCOMHEBIO,BIO,2020,52.2888
RE1,DEMCOMHEBIO,BIO,2021,53.226
RE1,DEMCOMHEBIO,BIO,2022,54.1632
RE1,DEMCOMHEBIO,BIO,2023,55.1005
