r,e,y,AnnualEmissions
RE1,EMIC02,2015,652169.8
RE1,EMIC02,2016,652778.14
RE1,EMIC02,2017,666219.03
RE1,EMIC02,2018,689315.33
RE1,EMIC02,2019,713373.93
RE1,EMIC02,2020,760824.17
RE1,EMIC02,2021,755890.35
RE1,EMIC02,2022,774357.65
RE1,EMIC02,2023,831864.15
RE1,EMIC02,2024,911137.44
RE1,EMIC02,2025,929566.69
RE1,EMIC02,2026,949795.33
RE1,EMIC02,2027,970012.15
RE1,EMIC02,2028,990217.5
RE1,EMIC02,2029,1010739.0
RE1,EMIC02,2030,1030922.3
RE1,EMIC02,2031,1054375.2
RE1,EMIC02,2032,1074124.9
RE1,EMIC02,2033,1093860.3
RE1,EMIC02,2034,1116260.6
RE1,EMIC02,2035,1135968.4
RE1,EMIC02,2036,1152708.7
RE1,EMIC02,2037,1169439.7
RE1,EMIC02,2038,1186161.7
RE1,EMIC02,2039,1202948.6
RE1,EMIC02,2040,1219726.7
RE1,EMIC02,2041,1236089.7
RE1,EMIC02,2042,1252445.0
RE1,EMIC02,2043,1268792.5
RE1,EMIC02,2044,1285141.1
RE1,EMIC02,2045,1301473.5
RE1,EMIC02,2046,1313468.2
RE1,EMIC02,2047,1325458.3
RE1,EMIC02,2048,1337443.9
RE1,EMIC02,2049,1349424.9
RE1,EMIC02,2050,1361401.3
RE1,EMIC02,2051,1383179.8
RE1,EMIC02,2052,1395784.6
RE1,EMIC02,2053,1408507.0
RE1,EMIC02,2054,1421348.1
RE1,EMIC02,2055,1434309.1
RE1,EMIC02,2056,1447391.1
RE1,EMIC02,2057,1460595.3
RE1,EMIC02,2058,1473922.9
RE1,EMIC02,2059,1487375.1
RE1,EMIC02,2060,1500953.0
RE1,EMIC02,2061,1514658.0
RE1,EMIC02,2062,1528491.2
RE1,EMIC02,2063,1542453.9
RE1,EMIC02,2064,1556547.4
RE1,EMIC02,2065,1570772.8
RE1,EMIC02,2066,1585131.6
RE1,EMIC02,2067,1599624.9
RE1,EMIC02,2068,1614254.1
RE1,EMIC02,2069,1629020.5
RE1,EMIC02,2070,1643925.5
