r,t,y,AnnualFixedOperatingCost
RE1,PWRBIO001,2015,222.8976
RE1,PWRBIO001,2016,222.8976
RE1,PWRBIO001,2017,222.8976
RE1,PWRBIO001,2018,222.8976
RE1,PWRBIO001,2019,222.8976
RE1,PWRBIO001,2020,222.8976
RE1,PWRBIO001,2021,222.8976
RE1,PWRBIO001,2022,222.8976
RE1,PWRBIO001,2023,222.8976
RE1,PWRBIO001,2024,222.8976
RE1,PWRBIO001,2025,222.8976
RE1,PWRBIO001,2026,222.8976
RE1,PWRBIO001,2027,222.8976
RE1,PWRBIO001,2028,222.8976
RE1,PWRBIO001,2029,222.8976
RE1,PWRBIO001,2030,222.8976
RE1,PWRCOA001,2015,273.468
RE1,PWRCOA001,2016,273.468
RE1,PWRCOA001,2017,275.0078
RE1,PWRCOA001,2018,334.4014
RE1,PWRCOA001,2019,409.9707
RE1,PWRCOA001,2020,485.4904
RE1,PWRCOA001,2021,543.0662
RE1,PWRCOA001,2022,600.6375
RE1,PWRCOA001,2023,1062.6685
RE1,PWRCOA001,2024,1750.2342
RE1,PWRCOA001,2025,1807.6593
RE1,PWRCOA001,2026,1869.8005
RE1,PWRCOA001,2027,1931.901
RE1,PWRCOA001,2028,1993.9609
RE1,PWRCOA001,2029,2058.2778
RE1,PWRCOA001,2030,2120.2566
RE1,PWRCOA001,2031,2348.0764
RE1,PWRCOA001,2032,2419.0678
RE1,PWRCOA001,2033,2490.0129
RE1,PWRCOA001,2034,2579.7157
RE1,PWRCOA001,2035,2650.5682
RE1,PWRCOA001,2036,2707.2189
RE1,PWRCOA001,2037,2763.8328
RE1,PWRCOA001,2038,2820.4097
RE1,PWRCOA001,2039,2877.8088
RE1,PWRCOA001,2040,2935.1705
RE1,PWRCOA001,2041,2991.2829
RE1,PWRCOA001,2042,3047.3588
RE1,PWRCOA001,2043,3103.3983
RE1,PWRCOA001,2044,3159.4619
RE1,PWRCOA001,2045,3215.4285
RE1,PWRCOA001,2046,3254.0291
RE1,PWRCOA001,2047,3292.6047
RE1,PWRCOA001,2048,3331.1552
RE1,PWRCOA001,2049,3369.6807
RE1,PWRCOA001,2050,3408.3661
RE1,PWRCOA001,2051,3521.5511
RE1,PWRCOA001,2052,3563.5395
RE1,PWRCOA001,2053,3605.9964
