r,t,e,y,AnnualTechnologyEmission
RE1,MINOIL,EMIC02,2020,156982.95
RE1,MINBIO,EMIC02,2015,109772.33
RE1,MINBIO,EMIC02,2016,102927.94
RE1,MINBIO,EMIC02,2017,104334.76
RE1,MINBIO,EMIC02,2018,106990.29
RE1,MINBIO,EMIC02,2019,109065.63
RE1,MINBIO,EMIC02,2020,111137.09
RE1,MINBIO,EMIC02,2021,112631.21
RE1,MINBIO,EMIC02,2022,114122.7
RE1,MINBIO,EMIC02,2023,115611.7
RE1,MINBIO,EMIC02,2024,117098.38
RE1,MINBIO,EMIC02,2025,118582.85
RE1,MINBIO,EMIC02,2026,120219.38
RE1,MINBIO,EMIC02,2027,121853.45
RE1,MINBIO,EMIC02,2028,123485.21
RE1,MINBIO,EMIC02,2029,125114.77
RE1,MINBIO,EMIC02,2030,126742.26
RE1,MINBIO,EMIC02,2031,109563.14
RE1,MINBIO,EMIC02,2032,111028.6
RE1,MINBIO,EMIC02,2033,112490.89
RE1,MINBIO,EMIC02,2034,113950.18
RE1,MINBIO,EMIC02,2035,115406.63
RE1,MINBIO,EMIC02,2036,116684.26
RE1,MINBIO,EMIC02,2037,117960.27
RE1,MINBIO,EMIC02,2038,119234.72
RE1,MINBIO,EMIC02,2039,120507.68
RE1,MINBIO,EMIC02,2040,121779.2
RE1,MINBIO,EMIC02,2041,123072.16
RE1,MINBIO,EMIC02,2042,124364.07
RE1,MINBIO,EMIC02,2043,125654.94
RE1,MINBIO,EMIC02,2044,126944.83
RE1,MINBIO,EMIC02,2045,128233.76
RE1,MINBIO,EMIC02,2046,129220.18
RE1,MINBIO,EMIC02,2047,130206.18
RE1,MINBIO,EMIC02,2048,131191.76
RE1,MINBIO,EMIC02,2049,132176.94
RE1,MINBIO,EMIC02,2050,133161.72
RE1,MINBIO,EMIC02,2051,134170.19
RE1,MINBIO,EMIC02,2052,135186.42
RE1,MINBIO,EMIC02,2053,136210.48
RE1,MINBIO,EMIC02,2054,137242.43
RE1,MINBIO,EMIC02,2055,138282.32
RE1,MINBIO,EMIC02,2056,139330.22
RE1,MINBIO,EMIC02,2057,140386.19
RE1,MINBIO,EMIC02,2058,141450.29
RE1,MINBIO,EMIC02,2059,142522.59
RE1,MINBIO,EMIC02,2060,143603.16
RE1,MINBIO,EMIC02,2061,144692.04
RE1,MINBIO,EMIC02,2062,145789.32
RE1,MINBIO,EMIC02,2063,146895.04
RE1,MINBIO,EMIC02,2064,148009.29
RE1,MINBIO,EMIC02,2065,149132.13
RE1,MINBIO,EMIC02,2066,150263.62
RE1,MINBIO,EMIC02,2067,151403.83
RE1,MINBIO,EMIC02,2068,152552.82
RE1,MINBIO,EMIC02,2069,153710.67
RE1,MINBIO,EMIC02,2070,154877.45
RE1,IMPCOA,EMIC02,2028,42747.16
RE1,IMPCOA,EMIC02,2029,376716.08
RE1,IMPCOA,EMIC02,2030,386737.66
RE1,IMPCOA,EMIC02,2031,420268.83
RE1,IMPCOA,EMIC02,2032,431455.07
RE1,IMPCOA,EMIC02,2033,442632.75
RE1,IMPCOA,EMIC02,2034,456480.92
RE1,IMPCOA,EMIC02,2035,467641.8
RE1,IMPCOA,EMIC02,2036,476649.21
RE1,IMPCOA,EMIC02,2037,485650.35
RE1,IMPCOA,EMIC02,2038,494645.27
RE1,IMPCOA,EMIC02,2039,503756.39
RE1,IMPCOA,EMIC02,2040,512861.3
RE1,IMPCOA,EMIC02,2041,521827.35
RE1,IMPCOA,EMIC02,2042,530787.54
RE1,IMPCOA,EMIC02,2043,539741.89
RE1,IMPCOA,EMIC02,2044,548699.09
RE1,IMPCOA,EMIC02,2045,557641.86
RE1,IMPCOA,EMIC02,2046,563886.44
RE1,IMPCOA,EMIC02,2047,570127.19
RE1,IMPCOA,EMIC02,2048,576364.11
RE1,IMPCOA,EMIC02,2049,582597.22
RE1,IMPCOA,EMIC02,2050,588826.51
RE1,IMPCOA,EMIC02,2051,604722.44
RE1,IMPCOA,EMIC02,2052,611399.14
RE1,IMPCOA,EMIC02,2053,618147.59
RE1,IMPCOA,EMIC02,2054,624968.57
RE1,IMPCOA,EMIC02,2055,631862.87
RE1,IMPCOA,EMIC02,2056,638831.3
RE1,IMPCOA,EMIC02,2057,645874.65
RE1,IMPCOA,EMIC02,2058,652993.74
RE1,IMPCOA,EMIC02,2059,660189.4
RE1,IMPCOA,EMIC02,2060,667462.46
RE1,IMPCOA,EMIC02,2061,674813.76
RE1,IMPCOA,EMIC02,2062,682244.15
RE1,IMPCOA,EMIC02,2063,689754.5
RE1,IMPCOA,EMIC02,2064,697345.67
RE1,IMPCOA,EMIC02,2065,705018.54
RE1,IMPCOA,EMIC02,2066,712774.0
RE1,IMPCOA,EMIC02,2067,720612.96
RE1,IMPCOA,EMIC02,2068,728536.32
RE1,IMPCOA,EMIC02,2069,736545.01
RE1,IMPCOA,EMIC02,2070,744639.94
RE1,MINCOA,EMIC02,2015,113697.42
RE1,MINCOA,EMIC02,2016,105984.58
RE1,MINCOA,EMIC02,2017,107364.64
RE1,MINCOA,EMIC02,2018,117758.67
RE1,MINCOA,EMIC02,2019,130098.65
RE1,MINCOA,EMIC02,2020,142429.16
RE1,MINCOA,EMIC02,2021,151722.19
RE1,MINCOA,EMIC02,2022,161012.97
RE1,MINCOA,EMIC02,2023,227924.31
RE1,MINCOA,EMIC02,2024,326965.45
RE1,MINCOA,EMIC02,2025,336231.06
RE1,MINCOA,EMIC02,2026,346281.35
RE1,MINCOA,EMIC02,2027,356324.34
RE1,MINCOA,EMIC02,2028,323612.95
RE1,IMPLFO,EMIC02,2015,384669.74
RE1,IMPLFO,EMIC02,2016,397985.64
RE1,IMPLFO,EMIC02,2017,407007.27
RE1,IMPLFO,EMIC02,2018,417054.01
RE1,IMPLFO,EMIC02,2019,426697.3
RE1,IMPLFO,EMIC02,2020,302762.62
RE1,IMPLFO,EMIC02,2021,444024.59
RE1,IMPLFO,EMIC02,2022,451709.63
RE1,IMPLFO,EMIC02,2023,459392.59
RE1,IMPLFO,EMIC02,2024,467073.61
RE1,IMPLFO,EMIC02,2025,474752.78
RE1,IMPLFO,EMIC02,2026,483294.6
RE1,IMPLFO,EMIC02,2027,491834.36
RE1,IMPLFO,EMIC02,2028,500372.18
RE1,IMPLFO,EMIC02,2029,508908.17
RE1,IMPLFO,EMIC02,2030,517442.43
RE1,IMPLFO,EMIC02,2031,524543.25
RE1,IMPLFO,EMIC02,2032,531641.26
RE1,IMPLFO,EMIC02,2033,538736.62
RE1,IMPLFO,EMIC02,2034,545829.47
