r,t,y,AnnualVariableOperatingCost
RE1,MINOIL,2020,27161.941
RE1,MINBIO,2015,1470.9492
RE1,MINBIO,2016,1379.2343
RE1,MINBIO,2017,1398.0858
RE1,MINBIO,2018,1433.6698
RE1,MINBIO,2019,1461.4794
RE1,MINBIO,2020,1489.2369
RE1,MINBIO,2021,1509.2582
RE1,MINBIO,2022,1529.2441
RE1,MINBIO,2023,1549.1968
RE1,MINBIO,2024,1569.1182
RE1,MINBIO,2025,1589.0102
RE1,MINBIO,2026,1610.9397
RE1,MINBIO,2027,1632.8362
RE1,MINBIO,2028,1654.7018
RE1,MINBIO,2029,1676.5379
RE1,MINBIO,2030,1698.3463
RE1,MINBIO,2031,1468.1461
RE1,MINBIO,2032,1487.7833
RE1,MINBIO,2033,1507.378
RE1,MINBIO,2034,1526.9325
RE1,MINBIO,2035,1546.4489
RE1,MINBIO,2036,1563.5691
RE1,MINBIO,2037,1580.6676
RE1,MINBIO,2038,1597.7453
RE1,MINBIO,2039,1614.8029
RE1,MINBIO,2040,1631.8412
RE1,MINBIO,2041,1649.167
RE1,MINBIO,2042,1666.4785
RE1,MINBIO,2043,1683.7762
RE1,MINBIO,2044,1701.0607
RE1,MINBIO,2045,1718.3324
RE1,MINBIO,2046,1731.5504
RE1,MINBIO,2047,1744.7628
RE1,MINBIO,2048,1757.9696
RE1,MINBIO,2049,1771.171
RE1,MINBIO,2050,1784.367
RE1,MINBIO,2051,1797.8805
RE1,MINBIO,2052,1811.4981
RE1,MINBIO,2053,1825.2205
RE1,MINBIO,2054,1839.0485
RE1,MINBIO,2055,1852.9831
RE1,MINBIO,2056,1867.0249
RE1,MINBIO,2057,1881.1749
RE1,MINBIO,2058,1895.4339
RE1,MINBIO,2059,1909.8028
RE1,MINBIO,2060,1924.2823
RE1,MINBIO,2061,1938.8733
RE1,MINBIO,2062,1953.5768
RE1,MINBIO,2063,1968.3936
RE1,MINBIO,2064,1983.3245
RE1,MINBIO,2065,1998.3705
RE1,MINBIO,2066,2013.5325
RE1,MINBIO,2067,2028.8113
RE1,MINBIO,2068,2044.2078
