r,t,y,CapitalInvestment
RE1,MINOIL,2020,0.2142
RE1,MINBIO,2015,0.1098
RE1,MINBIO,2016,0.1029
RE1,MINBIO,2017,0.1043
RE1,MINBIO,2018,0.107
RE1,MINBIO,2019,0.1091
RE1,MINBIO,2020,0.1111
RE1,MINBIO,2021,0.1126
RE1,MINBIO,2022,0.1141
RE1,MINBIO,2023,0.1156
RE1,MINBIO,2024,0.1171
RE1,MINBIO,2025,0.1186
RE1,MINBIO,2026,0.1202
RE1,MINBIO,2027,0.1219
RE1,MINBIO,2028,0.1235
RE1,MINBIO,2029,0.1251
RE1,MINBIO,2030,0.1267
RE1,MINBIO,2031,0.1096
RE1,MINBIO,2032,0.111
RE1,MINBIO,2033,0.1125
RE1,MINBIO,2034,0.114
RE1,MINBIO,2035,0.1154
RE1,MINBIO,2036,0.1167
RE1,MINBIO,2037,0.118
RE1,MINBIO,2038,0.1192
RE1,MINBIO,2039,0.1205
RE1,MINBIO,2040,0.1218
RE1,MINBIO,2041,0.1231
RE1,MINBIO,2042,0.1244
RE1,MINBIO,2043,0.1257
RE1,MINBIO,2044,0.1269
RE1,MINBIO,2045,0.1282
RE1,MINBIO,2046,0.1292
RE1,MINBIO,2047,0.1302
RE1,MINBIO,2048,0.1312
RE1,MINBIO,2049,0.1322
RE1,MINBIO,2050,0.1332
RE1,MINBIO,2051,0.1342
RE1,MINBIO,2052,0.1352
RE1,MINBIO,2053,0.1362
RE1,MINBIO,2054,0.1372
RE1,MINBIO,2055,0.1383
RE1,MINBIO,2056,0.1393
RE1,MINBIO,2057,0.1404
RE1,MINBIO,2058,0.1415
RE1,MINBIO,2059,0.1425
RE1,MINBIO,2060,0.1436
RE1,MINBIO,2061,0.1447
RE1,MINBIO,2062,0.1458
RE1,MINBIO,2063,0.1469
RE1,MINBIO,2064,0.148
RE1,MINBIO,2065,0.1491
RE1,MINBIO,2066,0.1503
RE1,MINBIO,2067,0.1514
RE1,MINBIO,2068,0.1526
RE1,MINBIO,2069,0.1537
RE1,MINBIO,2070,0.1549
RE1,IMPCOA,2028,0.0452
RE1,IMPCOA,2029,0.3982
RE1,IMPCOA,2030,0.4088
RE1,IMPCOA,2031,0.4443
RE1,IMPCOA,2032,0.4561
RE1,IMPCOA,2033,0.4679
RE1,IMPCOA,2034,0.4825
RE1,IMPCOA,2035,0.4943
RE1,IMPCOA,2036,0.5039
RE1,IMPCOA,2037,0.5134
RE1,IMPCOA,2038,0.5229
RE1,IMPCOA,2039,0.5325
RE1,IMPCOA,2040,0.5421
RE1,IMPCOA,2041,0.5516
RE1,IMPCOA,2042,0.5611
RE1,IMPCOA,2043,0.5706
RE1,IMPCOA,2044,0.58
RE1,IMPCOA,2045,0.5895
RE1,IMPCOA,2046,0.5961
RE1,IMPCOA,2047,0.6027
RE1,IMPCOA,2048,0.6093
RE1,IMPCOA,2049,0.6159
RE1,IMPCOA,2050,0.6225
RE1,IMPCOA,2051,0.6403
RE1,IMPCOA,2052,0.6475
RE1,IMPCOA,2053,0.6547
RE1,IMPCOA,2054,0.662
RE1,IMPCOA,2055,0.6693
RE1,IMPCOA,2056,0.6768
RE1,IMPCOA,2057,0.6844
RE1,IMPCOA,2058,0.6921
RE1,IMPCOA,2059,0.6999
RE1,IMPCOA,2060,0.7077
RE1,IMPCOA,2061,0.7157
RE1,IMPCOA,2062,0.7237
RE1,IMPCOA,2063,0.7318
RE1,IMPCOA,2064,0.74
RE1,IMPCOA,2065,0.7482
RE1,IMPCOA,2066,0.7566
RE1,IMPCOA,2067,0.765
RE1,IMPCOA,2068,0.7736
RE1,IMPCOA,2069,0.7822
RE1,IMPCOA,2070,0.791
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1135
RE1,MINCOA,2018,0.1245
RE1,MINCOA,2019,0.1375
RE1,MINCOA,2020,0.1506
RE1,MINCOA,2021,0.1604
RE1,MINCOA,2022,0.1702
RE1,MINCOA,2023,0.2409
RE1,MINCOA,2024,0.3456
RE1,MINCOA,2025,0.3554
RE1,MINCOA,2026,0.366
RE1,MINCOA,2027,0.3767
RE1,MINCOA,2028,0.3421
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.4369
RE1,IMPLFO,2021,0.6407
RE1,IMPLFO,2022,0.6518
RE1,IMPLFO,2023,0.6629
RE1,IMPLFO,2024,0.674
RE1,IMPLFO,2025,0.6851
RE1,IMPLFO,2026,0.6974
RE1,IMPLFO,2027,0.7097
RE1,IMPLFO,2028,0.722
RE1,IMPLFO,2029,0.7344
RE1,IMPLFO,2030,0.7467
RE1,IMPLFO,2031,0.7569
RE1,IMPLFO,2032,0.7672
RE1,IMPLFO,2033,0.7774
RE1,IMPLFO,2034,0.7876
RE1,IMPLFO,2035,0.7979
RE1,IMPLFO,2036,0.8072
RE1,IMPLFO,2037,0.8165
RE1,IMPLFO,2038,0.8258
RE1,IMPLFO,2039,0.835
RE1,IMPLFO,2040,0.8443
RE1,IMPLFO,2041,0.8531
RE1,IMPLFO,2042,0.8619
RE1,IMPLFO,2043,0.8707
RE1,IMPLFO,2044,0.8795
RE1,IMPLFO,2045,0.8883
RE1,IMPLFO,2046,0.8952
RE1,IMPLFO,2047,0.9021
RE1,IMPLFO,2048,0.9089
RE1,IMPLFO,2049,0.9158
RE1,IMPLFO,2050,0.9227
RE1,IMPLFO,2051,0.9297
RE1,IMPLFO,2052,0.9368
RE1,IMPLFO,2053,0.9439
RE1,IMPLFO,2054,0.9511
RE1,IMPLFO,2055,0.9584
RE1,IMPLFO,2056,0.9657
RE1,IMPLFO,2057,0.9731
RE1,IMPLFO,2058,0.9805
RE1,IMPLFO,2059,0.988
RE1,IMPLFO,2060,0.9955
RE1,IMPLFO,2061,1.0031
RE1,IMPLFO,2062,1.0108
RE1,IMPLFO,2063,1.0185
RE1,IMPLFO,2064,1.0263
RE1,IMPLFO,2065,1.0341
RE1,IMPLFO,2066,1.042
RE1,IMPLFO,2067,1.0499
RE1,IMPLFO,2068,1.058
RE1,IMPLFO,2069,1.066
RE1,IMPLFO,2070,1.0742
RE1,MINNGS,2015,0.0785
RE1,MINNGS,2016,0.0818
RE1,MINNGS,2017,0.0847
RE1,MINNGS,2018,0.0847
RE1,MINNGS,2019,0.0847
RE1,MINNGS,2020,0.0847
RE1,MINNGS,2021,0.0847
RE1,MINNGS,2022,0.0847
RE1,MINNGS,2023,0.0516
RE1,MINSOL,2015,0.0019
RE1,MINSOL,2016,0.0019
RE1,MINSOL,2017,0.0019
RE1,MINSOL,2018,0.0019
RE1,MINSOL,2019,0.0019
RE1,MINSOL,2020,0.0019
RE1,MINSOL,2021,0.0019
RE1,MINSOL,2022,0.0019
RE1,MINSOL,2023,0.0019
RE1,MINSOL,2024,0.0019
RE1,MINSOL,2025,0.0019
RE1,MINSOL,2026,0.0019
RE1,MINSOL,2027,0.0019
RE1,MINSOL,2028,0.0019
RE1,MINSOL,2029,0.0019
RE1,MINSOL,2030,0.0019
RE1,MINSOL,2031,0.0019
RE1,MINSOL,2032,0.0019
RE1,MINSOL,2033,0.0019
RE1,MINSOL,2034,0.0
RE1,MINSOL,2035,0.0
